Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,15830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,500,480,479,979,24,25,6,67.6,37
All Students,15901,Alamo Heights ISD,Bexar County,San Antonio,20,560,547,539,1107,52.3,323,169,87.5,369
All Students,15904,Harlandale ISD,Bexar County,San Antonio,20,445,420,413,865,5.8,343,20,46.8,733
All Students,15905,Edgewood ISD,Bexar County,San Antonio,20,415,387,366,802,2.2,277,6,53.9,514
All Students,15906,Randolph Field ISD,Bexar County,San Antonio,20,542,555,523,1097,50,64,32,83.1,77
All Students,15907,San Antonio ISD,Bexar County,San Antonio,20,427,401,394,828,3.8,"1,355",51,57.3,"2,366"
All Students,15908,South San Antonio ISD,Bexar County,San Antonio,20,444,416,413,860,7.2,208,15,53.7,387
All Students,15909,Somerset ISD,Bexar County,San Antonio,20,430,403,390,833,5,119,6,65.4,182
All Students,15910,North East ISD,Bexar County,San Antonio,20,517,504,487,1022,31.6,"2,860",903,72.1,"3,964"
All Students,15911,East Central ISD,Bexar County,San Antonio,20,464,445,426,909,15.5,284,44,50.8,559
All Students,15912,Southwest ISD,Bexar County,San Antonio,20,436,408,400,844,2.9,239,7,42.8,559
All Students,15913,Lackland ISD,Bexar County,San Antonio,20,517,490,453,1007,,9,<5,36,25
All Students,15914,Ft Sam Houston ISD,Bexar County,San Antonio,20,523,508,490,1032,31.4,51,16,86.4,59
All Students,15915,Northside ISD,Bexar County,San Antonio,20,499,479,460,978,24.5,"3,505",860,67.9,"5,163"
All Students,15916,Judson ISD,Bexar County,San Antonio,20,468,456,439,924,14.4,662,95,57.9,"1,143"
All Students,15917,Southside ISD,Bexar County,San Antonio,20,423,397,398,820,4.4,182,8,69.2,263
All Students,16901,Johnson City ISD,Blanco County,Austin,13,539,496,476,1034,33.3,27,9,75,36
All Students,16902,Blanco ISD,Blanco County,Austin,13,502,491,471,994,25,28,7,37.8,74
All Students,17901,Borden County ISD,Borden County,Lubbock,17,,,,,,<5,<5,,15
All Students,18901,Clifton ISD,Bosque County,Waco,12,518,502,481,1020,29.4,34,10,52.3,65
All Students,18902,Meridian ISD,Bosque County,Waco,12,478,419,410,897,,10,<5,47.6,21
All Students,18903,Morgan ISD,Bosque County,Waco,12,466,489,441,954,,7,<5,,<10
All Students,18904,Valley Mills ISD,Bosque County,Waco,12,489,479,447,967,,7,<5,19.4,36
All Students,18906,Iredell ISD,Bosque County,Waco,12,563,447,443,1010,,<5,<5,,6
All Students,18907,Kopperl ISD,Bosque County,Waco,12,503,471,427,974,,7,<5,50,14
All Students,18908,Cranfills Gap ISD,Bosque County,Waco,12,437,413,410,850,,<5,<5,,8
All Students,19901,Dekalb ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,54
All Students,19902,Hooks ISD,Bowie County,Mt Pleasant,8,450,435,447,885,,12,<5,19,63
All Students,19903,Maud ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,30
All Students,19905,New Boston ISD,Bowie County,Mt Pleasant,8,630,580,610,1210,,<5,<5,,71
All Students,19906,Redwater ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,55
All Students,19907,Texarkana ISD,Bowie County,Mt Pleasant,8,511,512,484,1023,38.7,31,12,7.4,418
All Students,19908,Liberty-Eylau ISD,Bowie County,Mt Pleasant,8,498,423,393,922,,6,<5,4.5,134
All Students,19909,Simms ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,36
All Students,19912,Pleasant Grove ISD,Bowie County,Mt Pleasant,8,533,501,509,1034,,8,<5,5.7,141
All Students,20901,Alvin ISD,Brazoria County,Houston,4,494,459,443,953,21.7,448,97,53.7,835
All Students,20902,Angleton ISD,Brazoria County,Houston,4,501,466,444,967,21.4,220,47,50.5,436
All Students,20904,Danbury ISD,Brazoria County,Houston,4,484,448,433,933,,26,<5,50,52
All Students,20905,Brazosport ISD,Brazoria County,Houston,4,512,489,472,1001,30.1,369,111,48.2,766
All Students,20906,Sweeny ISD,Brazoria County,Houston,4,461,427,408,888,13.4,97,13,78.9,123
All Students,20907,Columbia-Brazoria ISD,Brazoria County,Houston,4,497,465,449,961,26.6,64,17,35.8,179
All Students,20908,Pearland ISD,Brazoria County,Houston,4,518,501,482,1019,34.6,735,254,67.8,"1,084"
All Students,21804,Harmony Science Acad (College Stat,Brazos County,Huntsville,6,632,574,586,1206,,5,<5,,<5
All Students,21901,College Station ISD,Brazos County,Huntsville,6,573,533,522,1106,50.8,482,245,74.8,644
All Students,21902,Bryan ISD,Brazos County,Huntsville,6,492,457,447,949,19.7,390,77,51.3,760
All Students,22901,Alpine ISD,Brewster County,Midland,18,484,484,455,968,,22,<5,35.5,62
All Students,23902,Silverton ISD,Briscoe County,Amarillo,16,447,453,447,900,,<5,<5,,7
All Students,24901,Brooks County ISD,Brooks County,Corpus Christi,2,423,370,364,793,,12,<5,21.1,57
All Students,25901,Bangs ISD,Brown County,San Angelo,15,473,471,450,943,,18,<5,27.7,65
All Students,25902,Brownwood ISD,Brown County,San Angelo,15,499,480,456,979,23.8,80,19,49.7,161
All Students,25905,May ISD,Brown County,San Angelo,15,484,436,424,920,,<10,<5,,13
All Students,25906,Zephyr ISD,Brown County,San Angelo,15,,,,,,<5,<5,,8
All Students,25909,Early ISD,Brown County,San Angelo,15,511,505,491,1016,32.5,40,13,54.8,73
All Students,26901,Caldwell ISD,Burleson County,Huntsville,6,491,468,465,959,,61,<20,58.7,104
All Students,26902,Somerville ISD,Burleson County,Huntsville,6,460,451,405,911,,16,<5,51.6,31
All Students,26903,Snook ISD,Burleson County,Huntsville,6,538,484,492,1022,,10,<5,38.5,26
All Students,27903,Burnet CISD,Burnet County,Austin,13,489,470,455,958,18.6,145,27,61.7,235
All Students,27904,Marble Falls ISD,Burnet County,Austin,13,495,486,461,980,21.7,138,30,57.7,239
All Students,28902,Lockhart ISD,Caldwell County,Austin,13,468,441,427,909,12,133,16,47.5,280
All Students,28903,Luling ISD,Caldwell County,Austin,13,477,439,431,916,,37,<5,42,88
All Students,28906,Prairie Lea ISD,Caldwell County,Austin,13,507,513,453,1020,,<5,<5,,13
All Students,29901,Calhoun County ISD,Calhoun County,Victoria,3,518,481,473,999,26.5,113,30,42.2,268
All Students,30901,Cross Plains ISD,Callahan County,Abilene,14,,,,,,<5,<5,,23
All Students,30902,Clyde CISD,Callahan County,Abilene,14,495,452,445,947,15.4,39,6,57.4,68
All Students,30903,Baird ISD,Callahan County,Abilene,14,,,,,,<5,<5,,21
All Students,30906,Eula ISD,Callahan County,Abilene,14,524,472,449,997,,9,<5,32.1,28
All Students,31504,University Of Texas At Brownsville,Cameron County,Edinburg,1,575,567,545,1142,59,39,23,,<5
All Students,31901,Brownsville ISD,Cameron County,Edinburg,1,470,434,426,903,10,906,91,36.9,"2,453"
All Students,31903,Harlingen CISD,Cameron County,Edinburg,1,463,437,419,899,11,580,64,60.6,957
All Students,31905,La Feria ISD,Cameron County,Edinburg,1,459,426,421,885,12,75,9,38.1,197
All Students,31906,Los Fresnos CISD,Cameron County,Edinburg,1,473,426,417,899,8.2,319,26,59.4,537
All Students,31909,Point Isabel ISD,Cameron County,Edinburg,1,440,410,410,850,,73,<10,55.3,132
All Students,31911,Rio Hondo ISD,Cameron County,Edinburg,1,448,442,419,890,14.3,70,10,60.3,116
All Students,31912,San Benito CISD,Cameron County,Edinburg,1,440,414,406,854,,295,<20,49.6,595
All Students,31913,Santa Maria ISD,Cameron County,Edinburg,1,394,358,351,752,,26,<5,,<30
All Students,31914,Santa Rosa ISD,Cameron County,Edinburg,1,456,413,407,869,,24,<5,30.4,79
All Students,31916,South Texas ISD,Cameron County,Edinburg,1,533,505,491,1038,31.9,486,155,95.7,508
All Students,32902,Pittsburg ISD,Camp County,Mt Pleasant,8,439,433,396,871,,52,<5,40.9,127
All Students,33902,Panhandle ISD,Carson County,Amarillo,16,488,528,480,1017,,6,<5,11.3,53
All Students,33904,White Deer ISD,Carson County,Amarillo,16,,,,,,<5,<5,,17
