Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,509,496,1005,<150,<150,100,<25,12.7
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,515,481,996,<100,<75,76.1,<25,11.4
All Students,015831,School Of Science And Technology D,015,Bexar County,20,San Antonio,500,509,1009,<25,<25,100,<25,20.0
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,502,473,975,<50,<25,60.0,<25,
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,581,577,1159,411,326,79.3,152,46.6
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,421,434,855,986,894,90.7,36,4.0
All Students,015905,Edgewood ISD,015,Bexar County,20,San Antonio,448,446,894,<600,<275,42.8,<25,3.2
All Students,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,553,534,1087,111,84,75.7,23,27.4
All Students,015907,San Antonio ISD,015,Bexar County,20,San Antonio,429,428,857,2672,2776,100,102,3.7
All Students,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,434,424,858,533,440,82.6,11,2.5
All Students,015909,Somerset ISD,015,Bexar County,20,San Antonio,429,434,863,<275,<250,96.0,<25,1.7
All Students,015910,North East ISD,015,Bexar County,20,San Antonio,550,539,1089,4981,3364,67.5,1050,31.2
All Students,015911,East Central ISD,015,Bexar County,20,San Antonio,497,495,992,697,337,48.4,35,10.4
All Students,015912,Southwest ISD,015,Bexar County,20,San Antonio,421,416,837,<875,<750,87.0,<50,3.4
All Students,015913,Lackland ISD,015,Bexar County,20,San Antonio,551,551,1102,<50,<25,52.6,<25,20.0
All Students,015914,Ft Sam Houston ISD,015,Bexar County,20,San Antonio,529,511,1040,77,58,75.3,11,19.0
All Students,015915,Northside ISD,015,Bexar County,20,San Antonio,495,486,981,6856,6536,95.3,968,14.8
All Students,015916,Judson ISD,015,Bexar County,20,San Antonio,463,454,917,1343,1224,91.1,99,8.1
All Students,015917,Southside ISD,015,Bexar County,20,San Antonio,424,433,857,<350,<325,99.7,<25,2.8
All Students,016901,Johnson City ISD,016,Blanco County,13,Austin,545,560,1105,58,35,60.3,11,31.4
All Students,016902,Blanco ISD,016,Blanco County,13,Austin,514,539,1053,<100,<50,31.6,<25,8.0
All Students,017901,Borden County ISD,017,Borden County,17,Lubbock,545,550,1095,<25,<25,12.5,<25,50.0
All Students,018901,Clifton ISD,018,Bosque County,12,Waco,531,540,1074,<100,<25,12.8,<25,40.0
All Students,018902,Meridian ISD,018,Bosque County,12,Waco,506,495,1001,<50,<25,61.8,<25,14.3
All Students,018903,Morgan ISD,018,Bosque County,12,Waco,462,484,946,<25,<25,62.5,<25,
All Students,018904,Valley Mills ISD,018,Bosque County,12,Waco,498,486,984,<75,<25,48.0,<25,8.3
All Students,018905,Walnut Springs ISD,018,Bosque County,12,Waco,498,440,938,<25,<25,36.4,<25,
All Students,018906,Iredell ISD,018,Bosque County,12,Waco,520,513,1039,<25,<25,72.7,<25,25.0
All Students,018907,Kopperl ISD,018,Bosque County,12,Waco,477,487,963,<25,<25,33.3,<25,
