Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,061912,Lake Dallas ISD,061,Denton County,11,Fort Worth,540,539,1079,295,175,59.3,52,29.7
All Students,061914,Little Elm ISD,061,Denton County,11,Fort Worth,534,517,1051,462,220,47.6,54,24.5
All Students,062901,Cuero ISD,062,DeWitt County,03,Victoria,521,518,1038,142,40,28.2,10,25.0
All Students,062902,Nordheim ISD,062,DeWitt County,03,Victoria,417,453,870,<25,<25,27.3,<25,
All Students,062903,Yoakum ISD,062,DeWitt County,03,Victoria,492,505,997,<100,<25,14.6,<25,7.7
All Students,062904,Yorktown ISD,062,DeWitt County,03,Victoria,497,469,966,<50,<25,39.5,<25,5.9
All Students,064903,Carrizo Springs CISD,064,Dimmit County,20,San Antonio,515,517,1033,119,61,51.3,7,11.5
All Students,065901,Clarendon ISD,065,Donley County,16,Amarillo,,,,<50,<25,3.1,<25,100
All Students,066903,Freer ISD,066,Duval County,02,Corpus Christi,,,,<75,<25,1.8,<25,100
All Students,067902,Cisco ISD,067,Eastland County,14,Abilene,580,557,1139,<75,<25,12.9,<25,44.4
All Students,067903,Eastland ISD,067,Eastland County,14,Abilene,482,501,983,<75,<50,56.5,<25,10.3
All Students,067904,Gorman ISD,067,Eastland County,14,Abilene,504,530,1034,<50,<25,65.4,<25,11.8
All Students,067907,Ranger ISD,067,Eastland County,14,Abilene,502,479,981,<50,<25,33.3,<25,
All Students,067908,Rising Star ISD,067,Eastland County,14,Abilene,600,565,1165,<25,<25,20.0,<25,50.0
All Students,068901,Ector County ISD,068,Ector County,18,Midland,453,445,899,1581,1608,100,88,5.5
All Students,070801,Waxahachie Faith Family Academy,070,Ellis County,10,Richardson,476,455,931,<100,<75,59.5,<25,6.0
All Students,070901,Avalon ISD,070,Ellis County,10,Richardson,508,526,1034,<25,<25,47.1,<25,25.0
All Students,070903,Ennis ISD,070,Ellis County,10,Richardson,535,526,1061,389,71,18.3,16,22.5
All Students,070905,Ferris ISD,070,Ellis County,10,Richardson,565,526,1091,<150,<25,16.1,<25,16.7
All Students,070907,Italy ISD,070,Ellis County,10,Richardson,486,475,962,<50,<25,27.5,<25,9.1
All Students,070908,Midlothian ISD,070,Ellis County,10,Richardson,552,559,1111,605,278,46.0,91,32.7
All Students,070909,Milford ISD,070,Ellis County,10,Richardson,518,525,1043,<25,<25,42.9,<25,16.7
All Students,070910,Palmer ISD,070,Ellis County,10,Richardson,532,498,1031,<75,<50,44.1,<25,13.3
All Students,070911,Red Oak ISD,070,Ellis County,10,Richardson,516,504,1020,428,223,52.1,34,15.2
All Students,070912,Waxahachie ISD,070,Ellis County,10,Richardson,541,527,1067,586,314,53.6,84,26.8
All Students,070915,Maypearl ISD,070,Ellis County,10,Richardson,530,511,1041,<75,<50,49.3,<25,14.3
All Students,071801,Burnham Wood Charter School Distri,071,El Paso County,19,El Paso,541,528,1069,<25,<25,84.2,<25,25.0
All Students,071803,Paso Del Norte Academy Charter Dis,071,El Paso County,19,El Paso,397,392,789,<100,<50,39.5,<25,
All Students,071804,El Paso Academy,071,El Paso County,19,El Paso,565,530,1095,<175,<25,1.1,<25,
All Students,071806,Harmony Science Acad (El Paso),071,El Paso County,19,El Paso,518,530,1048,<100,<100,96.7,<25,23.6
All Students,071901,Clint ISD,071,El Paso County,19,El Paso,423,435,858,783,794,100,21,2.6
All Students,071902,El Paso ISD,071,El Paso County,19,El Paso,476,481,957,3883,3837,98.8,461,12.0
All Students,071903,Fabens ISD,071,El Paso County,19,El Paso,472,474,946,157,110,70.1,6,5.5
All Students,071904,San Elizario ISD,071,El Paso County,19,El Paso,442,448,890,<225,<150,60.6,<25,0.8
All Students,071905,Ysleta ISD,071,El Paso County,19,El Paso,485,473,959,2824,1269,44.9,100,7.9
All Students,071906,Anthony ISD,071,El Paso County,19,El Paso,475,493,968,<75,<25,25.4,<25,6.3
All Students,071907,Canutillo ISD,071,El Paso County,19,El Paso,524,516,1040,409,69,16.9,10,14.5
All Students,071908,Tornillo ISD,071,El Paso County,19,El Paso,439,437,876,<75,<75,83.6,<25,3.3
All Students,071909,Socorro ISD,071,El Paso County,19,El Paso,465,460,924,3319,3096,93.3,147,4.7
All Students,072801,Premier High Schools,072,Erath County,11,Fort Worth,497,476,974,1371,209,15.2,21,10.0
All Students,072802,Erath Excels Academy Inc,072,Erath County,11,Fort Worth,493,483,977,<50,<25,9.7,<25,33.3
All Students,072902,Dublin ISD,072,Erath County,11,Fort Worth,513,496,1008,<75,<50,50.8,<25,3.3
All Students,072903,Stephenville ISD,072,Erath County,11,Fort Worth,541,533,1073,228,115,50.4,32,27.8
All Students,072908,Huckabay ISD,072,Erath County,11,Fort Worth,,,,<25,<25,12.5,<25,100
All Students,072909,Lingleville ISD,072,Erath County,11,Fort Worth,568,565,1133,<25,<25,23.5,<25,50.0
All Students,073901,Chilton ISD,073,Falls County,12,Waco,615,585,1195,<25,<25,10.0,<25,50.0
All Students,073903,Marlin ISD,073,Falls County,12,Waco,497,482,979,<50,<25,35.6,<25,6.3
All Students,073905,Rosebud-Lott ISD,073,Falls County,12,Waco,502,483,985,<50,<50,63.0,<25,3.4
All Students,074903,Bonham ISD,074,Fannin County,10,Richardson,509,501,1009,<125,<50,32.1,<25,8.8
All Students,074904,Dodd City ISD,074,Fannin County,10,Richardson,550,555,1105,<50,<25,7.1,<25,50.0
All Students,074905,Ector ISD,074,Fannin County,10,Richardson,529,537,1066,<25,<25,50.0,<25,20.0
All Students,074907,Honey Grove ISD,074,Fannin County,10,Richardson,549,493,1042,<50,<25,28.9,<25,9.1
All Students,074909,Leonard ISD,074,Fannin County,10,Richardson,552,517,1069,61,24,39.3,6,25.0
All Students,074911,Savoy ISD,074,Fannin County,10,Richardson,552,537,1089,<25,<25,50.0,<25,18.2
All Students,074912,Trenton ISD,074,Fannin County,10,Richardson,557,539,1095,<50,<25,35.7,<25,20.0
All Students,074917,Sam Rayburn ISD,074,Fannin County,10,Richardson,533,447,980,<50,<25,9.1,<25,
All Students,075901,Flatonia ISD,075,Fayette County,13,Austin,514,519,1034,<50,<50,67.4,<25,12.9
All Students,075902,La Grange ISD,075,Fayette County,13,Austin,527,513,1039,116,67,57.8,13,19.4
All Students,075903,Schulenburg ISD,075,Fayette County,13,Austin,493,496,989,<75,<50,51.8,<25,3.4
All Students,075906,Fayetteville ISD,075,Fayette County,13,Austin,547,534,1079,<25,<25,70.0,<25,14.3
All Students,075908,Round Top-Carmine ISD,075,Fayette County,13,Austin,515,507,1021,<25,<25,81.0,<25,17.6
All Students,076903,Roby CISD,076,Fisher County,14,Abilene,590,558,1148,<25,<25,28.6,<25,25.0
All Students,076904,Rotan ISD,076,Fisher County,14,Abilene,543,533,1075,<25,<25,30.8,<25,
All Students,077901,Floydada ISD,077,Floyd County,17,Lubbock,555,610,1165,<75,<25,3.6,<25,
All Students,077902,Lockney ISD,077,Floyd County,17,Lubbock,507,522,1028,<50,<25,24.0,<25,
All Students,078901,Crowell ISD,078,Foard County,09,Wichita Falls,545,535,1080,<25,<25,18.2,<25,
All Students,079103,Knowledge-First Empowerment Academ,079,Fort Bend County,04,Houston,,,,<25,<25,,<25,
All Students,079901,Lamar CISD,079,Fort Bend County,04,Houston,514,506,1020,1851,1635,88.3,351,21.5
All Students,079906,Needville ISD,079,Fort Bend County,04,Houston,549,527,1075,220,98,44.5,21,21.4
All Students,079907,Fort Bend ISD,079,Fort Bend County,04,Houston,553,556,1108,5487,4021,73.3,1465,36.4
All Students,079910,Stafford MSD,079,Fort Bend County,04,Houston,502,503,1005,<250,<175,65.4,<25,9.9
All Students,080901,Mount Vernon ISD,080,Franklin County,08,Mt Pleasant,557,542,1098,<125,<25,5.7,<25,33.3
All Students,081902,Fairfield ISD,081,Freestone County,12,Waco,562,537,1099,117,21,17.9,8,38.1
All Students,081904,Teague ISD,081,Freestone County,12,Waco,541,503,1048,<125,<25,9.3,<25,10.0
All Students,081905,Wortham ISD,081,Freestone County,12,Waco,490,495,985,<50,<25,5.6,<25,
All Students,082902,Dilley ISD,082,Frio County,20,San Antonio,431,421,853,<75,<25,40.4,<25,
All Students,082903,Pearsall ISD,082,Frio County,20,San Antonio,477,468,945,<150,<50,20.3,<25,
All Students,083901,Seagraves ISD,083,Gaines County,17,Lubbock,690,630,1320,<50,<25,5.1,<25,100
All Students,083902,Loop ISD,083,Gaines County,17,Lubbock,510,505,1015,<25,<25,40.0,<25,
All Students,083903,Seminole ISD,083,Gaines County,17,Lubbock,519,524,1043,169,61,36.1,11,18.0
All Students,084802,Odyssey Academy Inc,084,Galveston County,04,Houston,514,480,994,<25,<25,42.1,<25,12.5
All Students,084805,Premier Learning Academy,084,Galveston County,04,Houston,452,443,896,<25,<25,,<25,11.1
All Students,084901,Dickinson ISD,084,Galveston County,04,Houston,484,481,965,638,514,80.6,51,9.9
All Students,084902,Galveston ISD,084,Galveston County,04,Houston,514,502,1017,413,204,49.4,36,17.6
All Students,084903,High Island ISD,084,Galveston County,05,Beaumont,491,440,931,<25,<25,43.8,<25,
All Students,084906,Texas City ISD,084,Galveston County,04,Houston,479,470,948,588,230,39.1,8,3.5
All Students,084908,Hitchcock ISD,084,Galveston County,04,Houston,465,450,914,<100,<50,56.3,<25,2.0
All Students,084909,Santa Fe ISD,084,Galveston County,04,Houston,526,504,1030,<350,<150,39.8,<25,10.8
All Students,084910,Clear Creek ISD,084,Galveston County,04,Houston,569,569,1138,3018,1961,65.0,779,39.7
All Students,084911,Friendswood ISD,084,Galveston County,04,Houston,590,584,1175,540,371,68.7,168,45.3
All Students,085903,Southland ISD,085,Garza County,17,Lubbock,,,,<25,<25,6.7,<25,
All Students,086901,Fredericksburg ISD,086,Gillespie County,13,Austin,535,526,1062,228,122,53.5,30,24.6
All Students,086902,Harper ISD,086,Gillespie County,13,Austin,528,495,1021,<75,<50,62.0,<25,16.1
All Students,087901,Glasscock County ISD,087,Glasscock County,18,Midland,500,550,1050,<25,<25,15.8,<25,
All Students,088902,Goliad ISD,088,Goliad County,03,Victoria,514,499,1013,<125,<50,33.0,<25,5.7
All Students,089901,Gonzales ISD,089,Gonzales County,13,Austin,515,501,1016,180,65,36.1,8,12.3
All Students,089903,Nixon-Smiley CISD,089,Gonzales County,13,Austin,501,468,969,<100,<25,23.1,<25,
All Students,089905,Waelder ISD,089,Gonzales County,13,Austin,397,391,788,<25,<25,64.3,<25,
All Students,090902,Lefors ISD,090,Gray County,16,Amarillo,,,,<25,<25,10.0,<25,
All Students,090904,Pampa ISD,090,Gray County,16,Amarillo,534,509,1043,235,33,14.0,5,15.2
All Students,091901,Bells ISD,091,Grayson County,10,Richardson,542,530,1072,<50,<25,26.5,<25,15.4
All Students,091902,Collinsville ISD,091,Grayson County,10,Richardson,560,504,1068,<50,<25,12.2,<25,40.0
All Students,091903,Denison ISD,091,Grayson County,10,Richardson,540,535,1074,<275,<75,28.1,<25,23.0
All Students,091905,Howe ISD,091,Grayson County,10,Richardson,541,520,1060,73,28,38.4,6,21.4
All Students,091906,Sherman ISD,091,Grayson County,10,Richardson,557,548,1105,<425,<150,33.3,<50,30.6
All Students,091907,Tioga ISD,091,Grayson County,10,Richardson,567,513,1077,<25,<25,27.3,<25,16.7
All Students,091908,Van Alstyne ISD,091,Grayson County,10,Richardson,563,533,1096,106,30,28.3,6,20.0
All Students,091909,Whitesboro ISD,091,Grayson County,10,Richardson,569,573,1141,<100,<25,7.8,<25,42.9
All Students,091910,Whitewright ISD,091,Grayson County,10,Richardson,576,557,1133,64,28,43.8,10,35.7
All Students,091913,Pottsboro ISD,091,Grayson County,10,Richardson,548,528,1076,121,55,45.5,15,27.3
All Students,091914,S And S CISD,091,Grayson County,10,Richardson,529,493,1023,<75,<25,24.0,<25,8.3
All Students,091917,Gunter ISD,091,Grayson County,10,Richardson,583,585,1165,62,20,32.3,11,55.0
All Students,091918,Tom Bean ISD,091,Grayson County,10,Richardson,517,471,989,<50,<25,42.9,<25,11.1
All Students,092801,East Texas Charter Schools,092,Gregg County,07,Kilgore,504,504,1008,<50,<25,11.4,<25,20.0
All Students,092901,Gladewater ISD,092,Gregg County,07,Kilgore,491,474,964,<125,<50,32.7,<25,2.9
All Students,092902,Kilgore ISD,092,Gregg County,07,Kilgore,549,523,1072,243,37,15.2,8,21.6
All Students,092903,Longview ISD,092,Gregg County,07,Kilgore,512,500,1013,575,185,32.2,28,15.1
All Students,092904,Pine Tree ISD,092,Gregg County,07,Kilgore,543,534,1077,318,116,36.5,29,25.0
All Students,092906,Sabine ISD,092,Gregg County,07,Kilgore,566,544,1108,75,21,28.0,6,28.6
All Students,092907,Spring Hill ISD,092,Gregg County,07,Kilgore,569,558,1129,111,31,27.9,12,38.7
All Students,092908,White Oak ISD,092,Gregg County,07,Kilgore,560,556,1116,<100,<25,17.4,<25,25.0
All Students,093901,Anderson-Shiro CISD,093,Grimes County,06,Huntsville,510,481,991,<75,<50,59.7,<25,8.1
All Students,093903,Iola ISD,093,Grimes County,06,Huntsville,513,514,1027,<50,<25,52.8,<25,21.1
All Students,093904,Navasota ISD,093,Grimes County,06,Huntsville,496,481,977,<200,<100,49.2,<25,12.5
All Students,093905,Richards ISD,093,Grimes County,06,Huntsville,497,423,920,<25,<25,37.5,<25,
All Students,094901,Seguin ISD,094,Guadalupe County,13,Austin,504,489,994,462,180,39.0,18,10.0
All Students,094902,Schertz-Cibolo-U City ISD,094,Guadalupe County,20,San Antonio,515,507,1023,1247,1144,91.7,205,17.9
All Students,094903,Navarro ISD,094,Guadalupe County,13,Austin,522,520,1041,128,81,63.3,10,12.3
All Students,094904,Marion ISD,094,Guadalupe County,20,San Antonio,522,497,1019,122,74,60.7,10,13.5
All Students,095901,Abernathy ISD,095,Hale County,17,Lubbock,550,537,1088,<75,<25,14.8,<25,11.1
All Students,095902,Cotton Center ISD,095,Hale County,17,Lubbock,,,,<25,<25,14.3,<25,
All Students,095903,Hale Center ISD,095,Hale County,17,Lubbock,540,537,1077,<75,<25,11.5,<25,33.3
All Students,095905,Plainview ISD,095,Hale County,17,Lubbock,547,546,1092,<375,<25,4.3,<25,31.3
All Students,096905,Turkey-Quitaque ISD,096,Hall County,16,Amarillo,,,,<25,<25,6.3,<25,
All Students,097902,Hamilton ISD,097,Hamilton County,12,Waco,545,529,1074,<50,<25,27.7,<25,30.8
All Students,097903,Hico ISD,097,Hamilton County,12,Waco,566,566,1131,47,18,38.3,10,55.6
All Students,098901,Gruver ISD,098,Hansford County,16,Amarillo,560,533,1093,<50,<25,10.3,<25,33.3
All Students,099903,Quanah ISD,099,Hardeman County,09,Wichita Falls,670,640,1310,<50,<25,5.9,<25,100
All Students,100903,Kountze ISD,100,Hardin County,05,Beaumont,495,520,1011,<75,<50,49.1,<25,11.1
All Students,100904,Silsbee ISD,100,Hardin County,05,Beaumont,531,509,1039,<200,<125,56.3,<25,18.7
All Students,100905,Hardin-Jefferson ISD,100,Hardin County,05,Beaumont,533,538,1071,153,104,68.0,21,20.2
All Students,100907,Lumberton ISD,100,Hardin County,05,Beaumont,548,521,1069,248,162,65.3,37,22.8
All Students,100908,West Hardin County CISD,100,Hardin County,05,Beaumont,505,470,976,<50,<25,60.0,<25,
All Students,101804,George I Sanchez Charter,101,Harris County,04,Houston,413,413,826,<100,<25,14.6,<25,
All Students,101806,Raul Yzaguirre School For Success,101,Harris County,04,Houston,456,462,918,<75,<50,76.5,<25,5.1
All Students,101813,Kipp Inc Charter,101,Harris County,04,Houston,489,479,968,485,135,27.8,10,7.4
All Students,101821,Houston Heights High School,101,Harris County,04,Houston,473,432,908,<100,<50,35.7,<25,
All Students,101828,Houston Gateway Academy Inc,101,Harris County,04,Houston,451,487,937,<50,<50,97.8,<25,4.4
All Students,101837,Calvin Nelms Charter Schools,101,Harris County,04,Houston,518,514,1031,<50,<25,53.3,<25,16.7
All Students,101838,Southwest School,101,Harris County,04,Houston,441,443,884,<100,<100,78.9,<25,6.7
All Students,101845,Yes Prep Public Schools Inc,101,Harris County,04,Houston,511,517,1027,800,679,84.9,97,14.3
All Students,101846,Harmony Science Academy,101,Harris County,04,Houston,500,497,998,193,198,100,33,16.7
All Students,101858,Harmony School Of Excellence,101,Harris County,04,Houston,563,557,1120,157,167,100,64,38.3
All Students,101862,Harmony School Of Science - Housto,101,Harris County,04,Houston,553,558,1111,162,169,100,57,33.7
All Students,101865,Victory Prep,101,Harris County,04,Houston,426,397,828,<25,<50,,<25,
All Students,101867,Fallbrook College Preparatory Acad,101,Harris County,04,Houston,,,,<25,<25,,<25,
All Students,101868,The Pro-Vision Academy,101,Harris County,04,Houston,424,421,845,<50,<25,44.7,<25,
All Students,101902,Aldine ISD,101,Harris County,04,Houston,436,441,876,3665,3404,92.9,138,4.1
All Students,101903,Alief ISD,101,Harris County,04,Houston,459,461,920,2702,2517,93.2,184,7.3
All Students,101905,Channelview ISD,101,Harris County,04,Houston,485,492,977,<625,<325,50.6,<50,8.4
All Students,101906,Crosby ISD,101,Harris County,04,Houston,475,484,958,356,317,89.0,31,9.8
All Students,101907,Cypress-Fairbanks ISD,101,Harris County,04,Houston,549,547,1097,8072,4325,53.6,1377,31.8
All Students,101908,Deer Park ISD,101,Harris County,04,Houston,529,536,1065,927,438,47.2,101,23.1
All Students,101910,Galena Park ISD,101,Harris County,04,Houston,495,491,985,1607,394,24.5,45,11.4
All Students,101911,Goose Creek CISD,101,Harris County,04,Houston,475,478,953,1483,1084,73.1,105,9.7
All Students,101912,Houston ISD,101,Harris County,04,Houston,475,475,950,10613,9563,90.1,1341,14.0
All Students,101913,Humble ISD,101,Harris County,04,Houston,544,529,1074,2899,1667,57.5,451,27.1
All Students,101914,Katy ISD,101,Harris County,04,Houston,572,574,1145,5016,3556,70.9,1501,42.2
All Students,101915,Klein ISD,101,Harris County,04,Houston,543,539,1083,3437,1750,50.9,532,30.4
All Students,101916,La Porte ISD,101,Harris County,04,Houston,525,518,1043,<575,<275,45.3,<50,18.3
All Students,101917,Pasadena ISD,101,Harris County,04,Houston,494,498,991,3472,1852,53.3,235,12.7
All Students,101919,Spring ISD,101,Harris County,04,Houston,443,439,883,2058,1856,90.2,88,4.7
All Students,101920,Spring Branch ISD,101,Harris County,04,Houston,514,524,1038,2199,2103,95.6,602,28.6
All Students,101921,Tomball ISD,101,Harris County,04,Houston,562,559,1122,903,596,66.0,213,35.7
All Students,101924,Sheldon ISD,101,Harris County,04,Houston,434,432,866,480,436,90.8,13,3.0
All Students,101925,Huffman ISD,101,Harris County,04,Houston,520,503,1024,229,130,56.8,16,12.3
All Students,102902,Marshall ISD,102,Harrison County,07,Kilgore,506,478,985,<350,<50,11.6,<25,10.0
All Students,102903,Waskom ISD,102,Harrison County,07,Kilgore,543,533,1075,<75,<25,5.8,<25,50.0
All Students,102904,Hallsville ISD,102,Harrison County,07,Kilgore,535,529,1065,331,137,41.4,36,26.3
All Students,102905,Harleton ISD,102,Harrison County,07,Kilgore,630,615,1245,<75,<25,2.9,<25,100
All Students,102906,Elysian Fields ISD,102,Harrison County,07,Kilgore,550,515,1065,<75,<25,3.3,<25,50.0
All Students,103902,Hartley ISD,103,Hartley County,16,Amarillo,400,410,810,<25,<25,11.8,<25,
All Students,104901,Haskell CISD,104,Haskell County,14,Abilene,610,575,1185,<50,<25,4.8,<25,50.0
All Students,105801,Katherine Anne Porter School,105,Hays County,13,Austin,581,523,1106,<50,<25,67.6,<25,30.4
All Students,105902,San Marcos CISD,105,Hays County,13,Austin,509,500,1009,533,282,52.9,42,14.9
All Students,105904,Dripping Springs ISD,105,Hays County,13,Austin,592,587,1179,406,256,63.1,119,46.5
All Students,105905,Wimberley ISD,105,Hays County,13,Austin,561,558,1119,152,110,72.4,35,31.8
All Students,105906,Hays CISD,105,Hays County,13,Austin,487,487,974,1115,956,85.7,150,15.7
All Students,106901,Canadian ISD,106,Hemphill County,16,Amarillo,,,,<75,<25,1.5,<25,100
All Students,107901,Athens ISD,107,Henderson County,10,Richardson,518,510,1029,228,44,19.3,5,11.4
All Students,107902,Brownsboro ISD,107,Henderson County,07,Kilgore,481,477,959,174,120,69.0,15,12.5
All Students,107904,Cross Roads ISD,107,Henderson County,07,Kilgore,489,487,976,<50,<25,42.9,<25,
All Students,107905,Eustace ISD,107,Henderson County,07,Kilgore,508,507,1012,<125,<50,29.9,<25,8.6
All Students,107906,Malakoff ISD,107,Henderson County,07,Kilgore,511,492,1003,86,46,53.5,5,10.9
All Students,107907,Trinidad ISD,107,Henderson County,07,Kilgore,,,,<25,<25,6.7,<25,
All Students,107910,Lapoynor ISD,107,Henderson County,07,Kilgore,532,540,1072,<50,<25,55.6,<25,13.3
All Students,108804,Midvalley Academy Charter District,108,Hidalgo County,01,Edinburg,,,,<150,<25,0.7,<25,
All Students,108807,Idea Public Schools,108,Hidalgo County,01,Edinburg,526,518,1044,679,155,22.8,33,21.3
All Students,108808,Vanguard Academy,108,Hidalgo County,01,Edinburg,522,513,1035,50,50,100,7,14.0
All Students,108902,Donna ISD,108,Hidalgo County,01,Edinburg,535,531,1066,926,30,3.2,8,26.7
All Students,108903,Edcouch-Elsa ISD,108,Hidalgo County,01,Edinburg,459,449,908,<375,<150,39.6,<25,1.4
All Students,108904,Edinburg CISD,108,Hidalgo County,01,Edinburg,528,520,1049,2203,369,16.7,80,21.7
All Students,108905,Hidalgo ISD,108,Hidalgo County,01,Edinburg,453,450,903,225,163,72.4,6,3.7
All Students,108906,McAllen ISD,108,Hidalgo County,01,Edinburg,509,496,1005,1593,1046,65.7,155,14.8
All Students,108907,Mercedes ISD,108,Hidalgo County,01,Edinburg,507,463,970,<300,<25,3.1,<25,
All Students,108908,Mission CISD,108,Hidalgo County,01,Edinburg,480,466,946,928,473,51.0,25,5.3
All Students,108909,Pharr-San Juan-Alamo ISD,108,Hidalgo County,01,Edinburg,480,460,940,2043,485,23.7,31,6.4
All Students,108911,Sharyland ISD,108,Hidalgo County,01,Edinburg,532,530,1062,798,439,55.0,100,22.8
All Students,108912,La Joya ISD,108,Hidalgo County,01,Edinburg,490,487,976,1808,114,6.3,11,9.6
All Students,108913,Weslaco ISD,108,Hidalgo County,01,Edinburg,526,505,1031,1209,51,4.2,8,15.7
All Students,108914,La Villa ISD,108,Hidalgo County,01,Edinburg,544,503,1047,<50,<25,18.4,<25,28.6
All Students,108915,Monte Alto ISD,108,Hidalgo County,01,Edinburg,458,440,898,<75,<50,49.2,<25,3.1
All Students,108916,Valley View ISD,108,Hidalgo County,01,Edinburg,,,,<300,<25,0.3,<25,
All Students,109901,Abbott ISD,109,Hill County,12,Waco,643,603,1245,<25,<25,19.0,<25,75.0
All Students,109902,Bynum ISD,109,Hill County,12,Waco,530,520,1050,<25,<25,18.2,<25,
All Students,109903,Covington ISD,109,Hill County,12,Waco,420,485,905,<25,<25,8.7,<25,
All Students,109904,Hillsboro ISD,109,Hill County,12,Waco,497,491,988,<150,<50,35.1,<25,13.0
All Students,109905,Hubbard ISD,109,Hill County,12,Waco,498,485,986,<50,<25,32.0,<25,12.5
All Students,109907,Itasca ISD,109,Hill County,12,Waco,527,479,1006,<75,<25,27.8,<25,13.3
All Students,109911,Whitney ISD,109,Hill County,12,Waco,544,514,1058,<125,<50,28.3,<25,9.4
All Students,109912,Aquilla ISD,109,Hill County,12,Waco,524,495,1019,<25,<25,57.1,<25,25.0
All Students,109913,Blum ISD,109,Hill County,12,Waco,529,498,1027,<50,<25,48.3,<25,7.1
All Students,110902,Levelland ISD,110,Hockley County,17,Lubbock,558,539,1096,168,20,11.9,6,30.0
All Students,110905,Ropes ISD,110,Hockley County,17,Lubbock,,,,<25,<25,4.2,<25,
All Students,110906,Smyer ISD,110,Hockley County,17,Lubbock,518,513,1032,<50,<25,20.7,<25,
All Students,110907,Sundown ISD,110,Hockley County,17,Lubbock,525,553,1078,<50,<25,58.5,<25,25.0
All Students,110908,Whitharral ISD,110,Hockley County,17,Lubbock,530,515,1045,<25,<25,22.2,<25,
All Students,111901,Granbury ISD,111,Hood County,11,Fort Worth,546,539,1084,461,212,46.0,52,24.5
All Students,111902,Lipan ISD,111,Hood County,11,Fort Worth,467,477,943,<25,<25,42.9,<25,
All Students,111903,Tolar ISD,111,Hood County,11,Fort Worth,500,475,975,<75,<50,58.1,<25,8.3
All Students,112901,Sulphur Springs ISD,112,Hopkins County,08,Mt Pleasant,567,531,1100,289,46,15.9,13,28.3
All Students,112907,Miller Grove ISD,112,Hopkins County,08,Mt Pleasant,580,565,1145,<25,<25,8.7,<25,50.0
All Students,112908,Como-Pickton CISD,112,Hopkins County,08,Mt Pleasant,480,475,955,<50,<25,8.9,<25,
All Students,112910,Sulphur Bluff ISD,112,Hopkins County,08,Mt Pleasant,475,480,955,<25,<25,20.0,<25,
All Students,113901,Crockett ISD,113,Houston County,06,Huntsville,478,463,941,<75,<50,59.5,<25,4.5
All Students,113902,Grapeland ISD,113,Houston County,06,Huntsville,473,449,922,<50,<25,42.9,<25,
All Students,113903,Lovelady ISD,113,Houston County,06,Huntsville,533,499,1032,45,29,64.4,5,17.2
All Students,113905,Latexo ISD,113,Houston County,06,Huntsville,523,484,1013,<50,<25,80.0,<25,20.8
All Students,113906,Kennard ISD,113,Houston County,06,Huntsville,460,464,924,<25,<25,33.3,<25,
All Students,114901,Big Spring ISD,114,Howard County,18,Midland,556,520,1076,<225,<25,3.5,<25,28.6
All Students,114902,Coahoma ISD,114,Howard County,18,Midland,531,558,1086,<75,<25,15.0,<25,44.4
All Students,114904,Forsan ISD,114,Howard County,18,Midland,425,405,830,<50,<25,5.0,<25,
All Students,115901,Ft Hancock ISD,115,Hudspeth County,19,El Paso,455,434,888,<50,<25,80.0,<25,
All Students,116901,Caddo Mills ISD,116,Hunt County,10,Richardson,517,505,1023,120,42,35.0,6,14.3
All Students,116902,Celeste ISD,116,Hunt County,10,Richardson,481,480,961,<50,<25,24.3,<25,11.1
All Students,116903,Commerce ISD,116,Hunt County,10,Richardson,546,527,1073,119,23,19.3,5,21.7
All Students,116905,Greenville ISD,116,Hunt County,08,Mt Pleasant,491,494,984,327,118,36.1,18,15.3
All Students,116906,Lone Oak ISD,116,Hunt County,10,Richardson,515,538,1053,<75,<25,31.3,<25,19.0
All Students,116908,Quinlan ISD,116,Hunt County,10,Richardson,538,505,1043,183,58,31.7,12,20.7
All Students,116909,Wolfe City ISD,116,Hunt County,10,Richardson,545,600,1145,<50,<25,13.6,<25,50.0
All Students,116910,Campbell ISD,116,Hunt County,10,Richardson,474,511,985,<25,<25,45.8,<25,18.2
All Students,116915,Bland ISD,116,Hunt County,10,Richardson,523,521,1044,<50,<25,47.7,<25,9.5
All Students,116916,Boles ISD,116,Hunt County,10,Richardson,520,512,1030,<50,<25,43.8,<25,4.8
All Students,117901,Borger ISD,117,Hutchinson County,16,Amarillo,493,481,974,195,72,36.9,5,6.9
All Students,117903,Sanford-Fritch ISD,117,Hutchinson County,16,Amarillo,575,583,1158,<50,<25,8.9,<25,50.0
All Students,117904,Plemons-Stinnett-Phillips CISD,117,Hutchinson County,16,Amarillo,,,,<50,<25,2.5,<25,
All Students,119901,Bryson ISD,119,Jack County,09,Wichita Falls,505,465,970,<25,<25,8.7,<25,
All Students,119902,Jacksboro ISD,119,Jack County,09,Wichita Falls,510,508,1018,<75,<50,54.2,<25,12.5
All Students,119903,Perrin-Whitt CISD,119,Jack County,09,Wichita Falls,493,500,993,<50,<25,57.7,<25,13.3
All Students,120901,Edna ISD,120,Jackson County,03,Victoria,535,531,1066,87,28,32.2,9,32.1
All Students,120902,Ganado ISD,120,Jackson County,03,Victoria,473,520,993,<75,<25,6.0,<25,
