Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,015915,Northside ISD,015,Bexar County,20,San Antonio,14311,4878,34.1,2072,42.5,11682,4317,37.0
All Students,015916,Judson ISD,015,Bexar County,20,San Antonio,2912,298,10.2,84,28.2,590,136,23.1
All Students,015917,Southside ISD,015,Bexar County,20,San Antonio,680,125,18.4,20,16.0,164,24,14.6
All Students,016901,Johnson City ISD,016,Blanco County,13,Austin,112,20,17.9,7,35.0,36,13,36.1
All Students,016902,Blanco ISD,016,Blanco County,13,Austin,145,34,23.4,18,52.9,57,23,40.4
All Students,018901,Clifton ISD,018,Bosque County,12,Waco,<150,<25,1.4,<25,,<25,<25,
All Students,018904,Valley Mills ISD,018,Bosque County,12,Waco,<100,<25,2.2,<25,,<25,<25,
All Students,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,<125,<25,0.9,<25,100,<25,<25,50.0
All Students,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,185,17,9.2,5,29.4,19,7,36.8
All Students,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,913,212,23.2,132,62.3,450,255,56.7
All Students,019912,Pleasant Grove ISD,019,Bowie County,08,Mt Pleasant,313,68,21.7,37,54.4,109,49,45.0
All Students,020901,Alvin ISD,020,Brazoria County,04,Houston,2666,577,21.6,304,52.7,1474,645,43.8
All Students,020902,Angleton ISD,020,Brazoria County,04,Houston,910,215,23.6,55,25.6,413,84,20.3
All Students,020904,Danbury ISD,020,Brazoria County,04,Houston,<125,<25,21.9,<25,8.7,<25,<25,8.7
All Students,020905,Brazosport ISD,020,Brazoria County,04,Houston,1679,308,18.3,151,49.0,616,264,42.9
All Students,020906,Sweeny ISD,020,Brazoria County,04,Houston,276,15,5.4,5,33.3,16,6,37.5
All Students,020907,Columbia-Brazoria ISD,020,Brazoria County,04,Houston,<400,<25,0.3,<25,,<25,<25,
All Students,020908,Pearland ISD,020,Brazoria County,04,Houston,3050,1160,38.0,727,62.7,3795,2044,53.9
All Students,021803,Brazos School For Inquiry & Creati,021,Brazos County,06,Huntsville,<25,<25,,<25,100,<25,<25,100
All Students,021901,College Station ISD,021,Brazos County,06,Huntsville,1675,493,29.4,422,85.6,1252,1076,85.9
All Students,021902,Bryan ISD,021,Brazos County,06,Huntsville,1907,316,16.6,136,43.0,659,222,33.7
All Students,022901,Alpine ISD,022,Brewster County,18,Midland,132,16,12.1,9,56.3,26,15,57.7
All Students,025909,Early ISD,025,Brown County,15,San Angelo,161,19,11.8,14,73.7,26,20,76.9
All Students,026901,Caldwell ISD,026,Burleson County,06,Huntsville,257,46,17.9,21,45.7,56,30,53.6
All Students,026902,Somerville ISD,026,Burleson County,06,Huntsville,<50,<25,2.2,<25,100,<25,<25,100
All Students,026903,Snook ISD,026,Burleson County,06,Huntsville,<75,<25,32.8,<25,4.5,<25,<25,4.5
All Students,027903,Burnet CISD,027,Burnet County,13,Austin,456,148,32.5,28,18.9,262,32,12.2
