Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,220905,Fort Worth ISD,Tarrant County,Fort Worth,11,37.4,21.9,8143,1786,668,3935,1335,33.9
All students,220906,Grapevine-Colleyville ISD,Tarrant County,Fort Worth,11,78.6,49,2203,1080,849,3093,2155,69.7
All students,220907,Keller ISD,Tarrant County,Fort Worth,11,71.8,27.4,4294,1178,846,2734,1724,63.1
All students,220908,Mansfield ISD,Tarrant County,Fort Worth,11,33.6,32.6,4406,1437,483,2571,775,30.1
All students,220910,Lake Worth ISD,Tarrant County,Fort Worth,11,30.2,17.4,304,53,16,79,18,22.8
All students,220912,Crowley ISD,Tarrant County,Fort Worth,11,53.4,15.5,1872,290,155,528,244,46.2
All students,220914,Kennedale ISD,Tarrant County,Fort Worth,11,71.1,8.6,443,38,27,51,32,62.7
All students,220915,Azle ISD,Tarrant County,Fort Worth,11,52.4,10.9,754,82,43,132,53,40.2
All students,220916,Hurst-Euless-Bedford ISD,Tarrant County,Fort Worth,11,56,22.4,2986,670,375,1095,592,54.1
All students,220917,Castleberry ISD,Tarrant County,Fort Worth,11,18.6,23.9,360,86,16,154,19,12.3
All students,220918,Eagle Mt-Saginaw ISD,Tarrant County,Fort Worth,11,52.2,28.1,1889,531,277,1141,472,41.4
All students,220919,Carroll ISD,Tarrant County,Fort Worth,11,85.9,41.1,1281,526,452,1362,1145,84.1
All students,220920,White Settlement ISD,Tarrant County,Fort Worth,11,33.3,15.2,789,120,40,206,59,28.6
All students,221801,Texas College Preparatory Academie,Taylor County,Abilene,14,56.8,11,336,37,21,56,31,55.4
All students,221901,Abilene ISD,Taylor County,Abilene,14,45.1,26.3,1974,519,234,1111,409,36.8
All students,221904,Merkel ISD,Taylor County,Abilene,14,38.1,13.9,151,21,8,34,11,32.4
All students,221911,Jim Ned CISD,Taylor County,Abilene,14,67.4,26.9,160,43,29,61,38,62.3
All students,221912,Wylie ISD,Taylor County,Abilene,14,,,432,<55,37,69,51,73.9
All students,225902,Mount Pleasant ISD,Titus County,Mt Pleasant,08,36.5,10.3,614,63,23,115,32,27.8
All students,225906,Chapel Hill ISD,Titus County,Mt Pleasant,08,64.7,22.4,152,34,22,53,28,52.8
All students,226903,San Angelo ISD,Tom Green County,San Angelo,15,63.8,12.4,1872,232,148,537,344,64.1
All students,226905,Water Valley ISD,Tom Green County,San Angelo,15,,19.6,51,10,<5,10,<5,
All students,226907,Grape Creek ISD,Tom Green County,San Angelo,15,,14.4,146,21,<5,28,<5,
All students,227804,Nyos Charter School,Travis County,Austin,13,76.2,39.6,53,21,16,39,23,59
All students,227805,Texas Empowerment Academy,Travis County,Austin,13,,,<5,<5,<5,<5,<5,
All students,227814,Chaparral Star Academy,Travis County,Austin,13,68.4,67.9,28,19,13,33,18,54.5
All students,227816,Harmony Science Academy (Austin),Travis County,Austin,13,55.9,57.8,102,59,33,109,49,45
All students,227818,Austin Can Academy Charter School,Travis County,Austin,13,,,99,<5,<5,<5,<5,
All students,227820,Kipp Austin Public Schools Inc,Travis County,Austin,13,48.9,64.8,145,94,46,183,69,37.7
All students,227901,Austin ISD,Travis County,Austin,13,60.5,32,9316,2980,1802,6346,3421,53.9
All students,227904,Pflugerville ISD,Travis County,Austin,13,54.7,28.6,3158,902,493,2026,955,47.1
All students,227905,Texas Sch For The Blind & Visually,Travis County,Austin,13,,,<5,<5,<5,6,<5,
All students,227906,Texas Sch For The Deaf,Travis County,Austin,13,,,<5,<5,<5,<5,<5,
All students,227907,Manor ISD,Travis County,Austin,13,16.1,17.9,660,118,19,162,19,11.7
All students,227909,Eanes ISD,Travis County,Austin,13,83.3,60.1,1277,768,640,2485,1917,77.1
All students,227910,Del Valle ISD,Travis County,Austin,13,34.2,27.7,1108,307,105,534,144,27
All students,227912,Lago Vista ISD,Travis County,Austin,13,63.6,29.4,187,55,35,122,74,60.7
All students,227913,Lake Travis ISD,Travis County,Austin,13,84.2,34.7,1036,360,303,752,590,78.5
All students,229901,Colmesneil ISD,Tyler County,Beaumont,05,,13.4,82,11,<5,11,<5,
All students,229903,Woodville ISD,Tyler County,Beaumont,05,,14,171,24,<5,24,<5,
All students,229905,Spurger ISD,Tyler County,Beaumont,05,,,<40,7,<5,9,<5,
All students,230901,Big Sandy ISD,Upshur County,Kilgore,07,,,96,<5,<5,<5,<5,
All students,230902,Gilmer ISD,Upshur County,Kilgore,07,21.7,28.8,288,83,18,110,25,22.7
All students,230904,Union Hill ISD,Upshur County,Kilgore,07,,,56,<5,<5,<5,<5,
All students,230905,Harmony ISD,Upshur County,Kilgore,07,54.5,6.6,166,11,6,11,6,54.5
All students,230906,New Diana ISD,Upshur County,Kilgore,07,,3.7,136,5,<5,5,<5,
All students,230908,Union Grove ISD,Upshur County,Kilgore,07,,6,117,7,<5,7,<5,
All students,232901,Knippa ISD,Uvalde County,San Antonio,20,,57.9,19,11,<5,11,<5,
All students,232902,Sabinal ISD,Uvalde County,San Antonio,20,,27.9,68,19,<5,22,<5,
All students,232903,Uvalde CISD,Uvalde County,San Antonio,20,13.6,18.4,560,103,14,137,15,10.9
All students,233901,San Felipe-Del Rio CISD,Val Verde County,San Angelo,15,23.3,22.3,1269,283,66,574,104,18.1
All students,234801,Ranch Academy,Van Zandt County,Kilgore,07,,,35,<5,<5,<5,<5,
All students,234902,Canton ISD,Van Zandt County,Richardson,10,65.4,19.1,272,52,34,78,43,55.1
All students,234903,Edgewood ISD,Van Zandt County,Kilgore,07,,,129,<5,<5,<5,<5,
All students,234905,Martins Mill ISD,Van Zandt County,Kilgore,07,,,68,<5,<5,<5,<5,
All students,234906,Van ISD,Van Zandt County,Kilgore,07,,2.9,312,9,<10,9,6,66.7
All students,234907,Wills Point ISD,Van Zandt County,Richardson,10,51.6,8.8,353,31,16,45,19,42.2
All students,235901,Bloomington ISD,Victoria County,Victoria,03,,9.2,76,7,<5,7,<5,
All students,235902,Victoria ISD,Victoria County,Victoria,03,47.5,6.1,1649,101,48,196,71,36.2
All students,236901,New Waverly ISD,Walker County,Huntsville,06,,8.5,141,12,<5,16,5,31.3
All students,236902,Huntsville ISD,Walker County,Huntsville,06,58.8,8.9,767,68,40,112,61,54.5
All students,237902,Hempstead ISD,Waller County,Houston,04,38.5,6.8,190,13,5,16,6,37.5
All students,237904,Waller ISD,Waller County,Houston,04,32.4,14,728,102,33,231,58,25.1
All students,237905,Royal ISD,Waller County,Houston,04,44,9.9,253,25,11,43,15,34.9
All students,239901,Brenham ISD,Washington County,Huntsville,06,75,13.2,667,88,66,129,91,70.5
All students,239903,Burton ISD,Washington County,Huntsville,06,,,58,<5,<5,<5,<5,
All students,240801,Gateway (Student Alternative Progr,Webb County,Edinburg,01,,6.7,328,22,<15,27,<15,
All students,240804,Harmony Science Academy - Laredo,Webb County,Edinburg,01,,30,20,6,<5,6,<5,
All students,240901,Laredo ISD,Webb County,Edinburg,01,18.9,32.3,2276,736,139,1224,141,11.5
All students,240903,United ISD,Webb County,Edinburg,01,43.6,13.7,5568,761,332,1382,417,30.2
All students,240904,Webb CISD,Webb County,Edinburg,01,,,58,<10,<5,<10,<5,
All students,241901,Boling ISD,Wharton County,Victoria,03,42.9,10.4,134,14,6,22,9,40.9
All students,241903,El Campo ISD,Wharton County,Victoria,03,39.5,9.1,417,38,15,46,17,37
All students,241906,Louise ISD,Wharton County,Victoria,03,,,74,<5,<5,<5,<5,
All students,243901,Burkburnett ISD,Wichita County,Wichita Falls,09,57,30.9,391,121,69,253,123,48.6
All students,243905,Wichita Falls ISD,Wichita County,Wichita Falls,09,49.4,26.5,1752,464,229,1373,477,34.7
All students,243906,City View ISD,Wichita County,Wichita Falls,09,18.2,27.3,121,33,6,60,8,13.3
All students,244905,Northside ISD,Wilbarger County,Wichita Falls,09,,,23,<5,<5,<5,<5,
All students,245902,Lyford CISD,Willacy County,Edinburg,01,28.9,20,225,45,13,86,20,23.3
All students,245903,Raymondville ISD,Willacy County,Edinburg,01,,27.9,280,78,<10,177,<10,
All students,246902,Florence ISD,Williamson County,Austin,13,,,152,<5,<5,<5,<5,
All students,246904,Georgetown ISD,Williamson County,Austin,13,73.8,16.9,1403,237,175,503,325,64.6
All students,246906,Hutto ISD,Williamson County,Austin,13,51.2,18.9,651,123,63,242,111,45.9
All students,246907,Jarrell ISD,Williamson County,Austin,13,40,21.6,116,25,10,34,11,32.4
All students,246908,Liberty Hill ISD,Williamson County,Austin,13,68,21.4,350,75,51,110,70,63.6
All students,246909,Round Rock ISD,Williamson County,Austin,13,79.1,34.3,5839,2003,1585,4977,3646,73.3
All students,246911,Taylor ISD,Williamson County,Austin,13,55.3,9.8,389,38,21,78,36,46.2
All students,246912,Thrall ISD,Williamson County,Austin,13,,16,81,13,<5,13,<5,
All students,246913,Leander ISD,Williamson County,Austin,13,66.9,34.7,4136,1434,959,2953,1833,62.1
All students,247901,Floresville ISD,Wilson County,San Antonio,20,25.8,15.9,558,89,23,126,29,23
All students,247903,La Vernia ISD,Wilson County,San Antonio,20,55.4,13.8,405,56,31,69,38,55.1
All students,247904,Poth ISD,Wilson County,San Antonio,20,,9.3,129,12,<5,12,<5,
All students,247906,Stockdale ISD,Wilson County,San Antonio,20,,22.9,105,24,<5,26,<5,
All students,248901,Kermit ISD,Winkler County,Midland,18,,,144,<5,<5,<5,<5,
All students,248902,Wink-Loving ISD,Winkler County,Midland,18,,12.5,48,6,<5,6,<5,
All students,249902,Boyd ISD,Wise County,Fort Worth,11,,10.5,181,19,<5,20,<5,
All students,249903,Bridgeport ISD,Wise County,Fort Worth,11,,10.9,274,30,<25,61,33,54.1
All students,249905,Decatur ISD,Wise County,Fort Worth,11,75.7,9,413,37,28,87,63,72.4
All students,249906,Paradise ISD,Wise County,Fort Worth,11,,,165,<10,<5,<10,<5,
All students,250904,Quitman ISD,Wood County,Kilgore,07,,13.2,167,22,<5,28,<5,
All students,250906,Alba-Golden ISD,Wood County,Kilgore,07,,9.8,123,12,<5,12,<5,
All students,251901,Denver City ISD,Yoakum County,Lubbock,17,,4.3,187,8,<5,8,<5,
All students,252901,Graham ISD,Young County,Wichita Falls,09,33.3,7.4,323,24,8,48,12,25
All students,253901,Zapata County ISD,Zapata County,Edinburg,01,27,16.1,392,63,17,112,19,17
All students,254901,Crystal City ISD,Zavala County,San Antonio,20,,2.4,252,6,<5,6,<5,
All students,254902,La Pryor ISD,Zavala County,San Antonio,20,,11.3,80,9,<5,9,<5,
