Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,139911,North Lamar ISD,Lamar County,Mt Pleasant,08,70,12.1,414,50,35,91,59,64.8
All students,140904,Littlefield ISD,Lamb County,Lubbock,17,28,14,179,25,7,40,7,17.5
All students,140907,Springlake-Earth ISD,Lamb County,Lubbock,17,,,51,<5,<5,<5,<5,
All students,140908,Sudan ISD,Lamb County,Lubbock,17,,,61,<5,<5,6,<5,
All students,141901,Lampasas ISD,Lampasas County,Waco,12,56.2,31.4,437,137,77,321,133,41.4
All students,142901,Cotulla ISD,La Salle County,San Antonio,20,,42.4,139,59,<5,110,<5,
All students,143901,Hallettsville ISD,Lavaca County,Victoria,03,46.2,8.3,157,13,6,13,6,46.2
All students,143902,Moulton ISD,Lavaca County,Victoria,03,,19.6,46,9,<5,10,<5,
All students,143903,Shiner ISD,Lavaca County,Victoria,03,,11,91,10,<5,14,<5,
All students,144901,Giddings ISD,Lee County,Austin,13,34,16.5,303,50,17,76,21,27.6
All students,144902,Lexington ISD,Lee County,Austin,13,,,126,<5,<5,<5,<5,
All students,145901,Buffalo ISD,Leon County,Huntsville,06,,9.3,129,12,<5,12,<5,
All students,146901,Cleveland ISD,Liberty County,Houston,04,,,398,<5,<5,<5,<5,
All students,146902,Dayton ISD,Liberty County,Houston,04,42.1,5.6,674,38,16,66,27,40.9
All students,146905,Hull-Daisetta ISD,Liberty County,Houston,04,,16.3,86,14,<5,14,<5,
All students,146906,Liberty ISD,Liberty County,Houston,04,30.6,13.2,272,36,11,60,19,31.7
All students,146907,Tarkington ISD,Liberty County,Houston,04,60.7,9.5,296,28,17,59,28,47.5
All students,147901,Coolidge ISD,Limestone County,Waco,12,,,31,<5,<5,<5,<5,
All students,147902,Groesbeck ISD,Limestone County,Waco,12,,6.1,245,15,<5,15,<5,
All students,149901,George West ISD,Live Oak County,Corpus Christi,02,,,150,<5,<5,<5,<5,
All students,150901,Llano ISD,Llano County,Austin,13,40.7,12.3,220,27,11,39,14,35.9
All students,152805,Harmony Science Acad (Lubbock),Lubbock County,Lubbock,17,,,27,<5,<5,<5,<5,
All students,152901,Lubbock ISD,Lubbock County,Lubbock,17,48,30.5,3211,979,470,2199,813,37
All students,152903,Slaton ISD,Lubbock County,Lubbock,17,,14.8,149,22,<5,29,<5,
All students,152906,Lubbock-Cooper ISD,Lubbock County,Lubbock,17,,3.5,424,15,<10,15,<10,
All students,152907,Frenship ISD,Lubbock County,Lubbock,17,39.7,15.3,920,141,56,195,79,40.5
All students,152908,Roosevelt ISD,Lubbock County,Lubbock,17,,3.4,145,5,<5,5,<5,
All students,153904,Tahoka ISD,Lynn County,Lubbock,17,,15.9,69,11,<5,11,<5,
All students,154901,Madisonville CISD,Madison County,Huntsville,06,,2.3,302,7,<5,7,<5,
All students,155901,Jefferson ISD,Marion County,Mt Pleasant,08,,14.7,156,23,<5,30,<5,
All students,156902,Stanton ISD,Martin County,Midland,18,,24.2,99,24,<10,28,<10,
All students,157901,Mason ISD,Mason County,San Angelo,15,,8.7,92,8,<5,8,<5,
All students,158901,Bay City ISD,Matagorda County,Victoria,03,48.6,14,530,74,36,120,63,52.5
All students,158902,Tidehaven ISD,Matagorda County,Victoria,03,,22.7,97,22,<5,30,<5,
All students,158905,Palacios ISD,Matagorda County,Victoria,03,20.8,22.1,217,48,10,88,11,12.5
All students,158906,Van Vleck ISD,Matagorda County,Victoria,03,,7.8,129,10,<5,13,<5,
