DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ARGYLE ISD,Fort Worth,2012,23.6,64.2,89,202,62.4,2.269662921,68,162,41.97530864,1079,80.2,599216
ARGYLE ISD,Fort Worth,2013,23.3,62,83,190,69.5,2.289156627,49,150,32.66666667,1069,71.3,607796
ARGYLE ISD,Fort Worth,2014,24.5,73.3,116,245,72.7,2.112068966,55,176,31.25,1082,81.3,574613
ARGYLE ISD,Fort Worth,2015,24.5,63.1,67,138,74.6,2.059701493,63,176,35.79545455,1107,73.3,553208
ARGYLE ISD,Fort Worth,2016,24,82,46,102,80.4,2.217391304,52,167,31.13772455,1083,64.1,544808
ARGYLE ISD,Fort Worth,2017,23.7,73.8,37,68,73.5,1.837837838,49,183,26.77595628,1162,63.9,567092
ARLINGTON ISD,Fort Worth,2011,21,25.2,1229,2662,43.3,2.165988609,807,3611,22.34837995,985,65.2,338766
ARLINGTON ISD,Fort Worth,2012,20.9,23.1,1242,2584,43.4,2.080515298,749,3616,20.71349558,984,60.8,314773
ARLINGTON ISD,Fort Worth,2013,20.8,23.2,1320,2812,43.8,2.13030303,790,3760,21.0106383,977,58.3,316340
ARLINGTON ISD,Fort Worth,2014,20.7,28.6,1493,3126,46.3,2.093770931,790,3655,21.61422709,973,60.7,325124
ARLINGTON ISD,Fort Worth,2015,20.1,26.6,1796,3773,36.6,2.10077951,800,3762,21.26528442,949,64.1,341135
ARLINGTON ISD,Fort Worth,2016,20.7,27.7,2053,4623,35.3,2.251826595,829,3944,21.01926978,938,62.1,351491
ARLINGTON ISD,Fort Worth,2017,20.8,26.3,2476,5773,33.8,2.331583199,895,4075,21.96319018,1026,61.4,368110
AUSTIN ISD,Austin,2011,21.3,32.6,3188,6933,49.1,2.174717691,855,4174,20.48394825,1015,72.8,793908
AUSTIN ISD,Austin,2012,21.4,33.6,2980,6346,53.9,2.129530201,873,4259,20.49776943,1020,65.1,751327
AUSTIN ISD,Austin,2013,21.5,35.3,3004,6244,53.1,2.078561917,858,4236,20.25495751,1025,63.7,768123
AUSTIN ISD,Austin,2014,21.9,36.1,2767.5,6749,54.6,2.438663053,898,4155,21.61251504,1026,67.5,805850
AUSTIN ISD,Austin,2015,22.2,37.6,3060,7699,56.9,2.516013072,889,4254,20.89797837,1025,65.6,867833
AUSTIN ISD,Austin,2016,22.5,38.3,3321,7676,59.2,2.311352002,922,4386,21.02143183,1014,67.6,969782
