DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
GARLAND ISD,Richardson,2011,20.6,26,1637,3448,42,2.1,659,3772,17,973,53,249795,257,39
GARLAND ISD,Richardson,2012,20.9,25,1549,3196,40,2.1,696,3869,18,972,51,242390,291,42
GARLAND ISD,Richardson,2013,20.6,24,1347,2746,45,2.0,661,3940,17,970,45,240230,284,43
GARLAND ISD,Richardson,2014,20.7,27,1462.5,3308,41,2.3,699,3957,18,974,50,240611,329,47
GEORGETOWN ISD,Austin,2011,21.8,36,261,528,61,2.0,211,714,30,1043,67,529858,90,43
GEORGETOWN ISD,Austin,2012,23,33,237,503,65,2.1,206,685,30,1062,62,539763,90,44
GEORGETOWN ISD,Austin,2013,22.4,33,245,454,66,1.9,178,694,26,1046,63,548453,78,44
GEORGETOWN ISD,Austin,2014,22.7,34,292,534,64,1.8,198,792,25,1056,62,555072,100,51
GIDDINGS ISD,Austin,2011,19.8,26,36,60,38,1.7,28,140,20,967,53,408700,16,57
GIDDINGS ISD,Austin,2013,19.8,21,47,64,30,1.4,35,149,23,949,51,408946,18,51
GIDDINGS ISD,Austin,2014,18.4,11,47,60,30,1.3,24,143,17,933,55,421893,18,75
GONZALES ISD,Austin,2011,19.4,46,34,51,10,1.5,17,134,13,943,36,242721,6,35
GONZALES ISD,Austin,2013,21.2,28,42,63,24,1.5,34,163,21,962,36,249437,18,53
GRANBURY ISD,Fort Worth,2011,22.9,35,203,358,49,1.8,92,411,22,1051,56,767593,29,32
GRANBURY ISD,Fort Worth,2012,21.7,40,226,410,50,1.8,117,462,25,998,47,772115,45,38
GRANBURY ISD,Fort Worth,2013,22.2,43,238,463,45,1.9,118,397,30,1013,53,754804,54,46
GRANBURY ISD,Fort Worth,2014,21.9,46,188,378,44,2.0,105,395,27,1016,46,762202,39,37
GRAND PRAIRIE ISD,Richardson,2012,19.2,26,707,1345,27,1.9,247,1569,16,936,42,185641,71,29
GRAND PRAIRIE ISD,Richardson,2013,18.7,22,852,1528,24,1.8,254,1640,15,917,49,182429,69,27
GRAND PRAIRIE ISD,Richardson,2014,18.9,25,936,1793,22,1.9,287,1742,16,910,47,173211,96,33
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2011,24.5,52,1142,3338,66,2.9,264,1058,25,1099,82,791537,148,56
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2012,24.3,56,1080,3093,70,2.9,272,1045,26,1096,77,766565,162,60
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2013,24.5,51,1010,2976,71,2.9,268,1106,24,1100,74,792003,159,59
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2014,24.5,53,1081,3066,66,2.8,242,988,24,1098,71,785247,145,60
GREENVILLE ISD,Richardson,2011,18.3,20,109,193,12,1.8,45,267,17,967,40,330209,15,33
GREENVILLE ISD,Richardson,2012,19.9,20,45,60,30,1.3,46,268,17,989,39,353126,17,37
HARLANDALE ISD,San Antonio,2011,18.7,24,311,425,13,1.4,93,826,11,865,47,90871,14,15
HARLANDALE ISD,San Antonio,2012,17.9,28,315,464,11,1.5,97,860,11,857,50,85263,25,26
HARLANDALE ISD,San Antonio,2013,17.4,27,275,421,14,1.5,102,842,12,798,92,83293,32,31
HARLANDALE ISD,San Antonio,2014,18.4,25,409,671,9,1.6,122,887,14,791,90,81759,38,31
HIGHLAND PARK ISD,Richardson,2011,26.8,81,772,2387,68,3.1,151,508,30,1215,94,1920412,98,65
HIGHLAND PARK ISD,Richardson,2012,26.6,81,764,2368,66,3.1,121,483,25,1213,86,1821457,87,72
HIGHLAND PARK ISD,Richardson,2014,27.2,85,817,2504,73,3.1,120,502,24,1217,70,1748197,91,76
HOUSTON ISD,Houston,2011,19.6,30,6786,14971,34,2.2,2128,9955,21,915,69,591624,401,19
HOUSTON ISD,Houston,2012,20.5,22,7600,16479,33,2.2,2231,9684,23,848,98,569432,463,21
HOUSTON ISD,Houston,2013,20.5,21,7560,16403,35,2.2,2015,9487,21,850,96,578069,472,23
HOUSTON ISD,Houston,2014,20.5,21,7428,16085,35,2.2,1980,9580,21,839,98,597768,506,26
HUFFMAN ISD,Houston,2011,21.8,21,104,183,36,1.8,35,202,17,978,72,256255,14,40
HUFFMAN ISD,Houston,2012,19.9,19,74,138,41,1.9,46,228,20,975,69,250183,19,41
HUFFMAN ISD,Houston,2013,22.2,13,48,84,50,1.8,35,186,19,975,56,262155,19,54
HUFFMAN ISD,Houston,2014,22.3,15,69,108,44,1.6,40,202,20,988,53,251819,16,40
HUMBLE ISD,Houston,2011,22.4,30,978,1989,58,2.0,580,2452,24,1011,69,293248,215,37
HUMBLE ISD,Houston,2012,22,33,1261,2494,56,2.0,571,2538,22,1001,66,286829,207,36
HUMBLE ISD,Houston,2013,22.3,28,1215,2566,56,2.1,595,2557,23,1000,63,283061,271,46
HUMBLE ISD,Houston,2014,22.8,31,1326,2520,59,1.9,634,2562,25,1012,60,279638,288,45
HURST-EULESS-BEDFORD ISD,Fort Worth,2011,22,32,619,1105,59,1.8,274,1457,19,1028,55,430237,98,36
HURST-EULESS-BEDFORD ISD,Fort Worth,2012,21.8,35,670,1095,54,1.6,275,1417,19,1011,57,408613,109,40
HURST-EULESS-BEDFORD ISD,Fort Worth,2013,21.1,33,646,1018,58,1.6,254,1422,18,1000,56,407853,99,39
HURST-EULESS-BEDFORD ISD,Fort Worth,2014,21.9,32,719,1211,53,1.7,235,1443,16,1022,54,410262,105,45
HUTTO ISD,Austin,2011,20.9,28,163,332,34,2.0,57,275,21,954,67,265353,11,19
HUTTO ISD,Austin,2012,19.5,22,123,242,46,2.0,73,319,23,958,59,257525,29,40
HUTTO ISD,Austin,2013,20.2,26,103,200,42,1.9,71,335,21,966,62,259548,32,45
HUTTO ISD,Austin,2014,20.4,34,122,261,30,2.1,62,317,20,934,54,257165,22,35
INGRAM ISD,San Antonio,2011,21.3,38,43,61,38,1.4,13,82,16,964,68,433730,6,46
IRVING ISD,Richardson,2011,18.7,15,957,1837,27,1.9,286,1949,15,847,78,286194,73,26
IRVING ISD,Richardson,2012,19.2,14,1037,2103,28,2.0,262,1922,14,861,79,267332,78,30
IRVING ISD,Richardson,2013,18.4,11,1059,2129,27,2.0,271,2010,13,834,84,264581,74,27
IRVING ISD,Richardson,2014,18.7,15,1239,2484,28,2.0,251,1998,13,837,87,262509,83,33
JOSHUA ISD,Fort Worth,2011,20.6,18,56,97,66,1.7,52,288,18,992,52,359225,18,35
JOSHUA ISD,Fort Worth,2012,21.6,14,42,73,63,1.7,47,289,16,986,53,334284,13,28
JOSHUA ISD,Fort Worth,2013,22.2,15,36,56,64,1.6,61,305,20,1011,50,332789,30,49
JUDSON ISD,San Antonio,2011,19.3,14,361,673,37,1.9,188,1256,15,924,58,289992,46,24
JUDSON ISD,San Antonio,2012,18.9,16,308,541,40,1.8,197,1369,14,897,60,284328,45,23
JUDSON ISD,San Antonio,2013,19,16,247,467,41,1.9,275,1334,21,903,66,280166,67,24
JUDSON ISD,San Antonio,2014,18.6,15,240,382.5,39,1.6,229,1366,17,893,64,287277,81,35
KATY ISD,Houston,2011,23.7,35,2423,6522,78,2.7,993,4078,24,1071,75,330939,450,45
KATY ISD,Houston,2012,23.5,37,2625,6978,77,2.7,939,4090,23,1068,72,327631,436,46
KATY ISD,Houston,2013,23.6,36,2811,7635,74,2.7,954,4259,22,1071,70,331108,480,50
KATY ISD,Houston,2014,23.9,37,2781,7698,80,2.8,1077,4457,24,1074,70,338212,537,50
KAUFMAN ISD,Richardson,2011,17.9,10,66,125,27,1.9,33,216,15,943,48,179593,15,45
KELLER ISD,Fort Worth,2011,22.7,39,1074,2472,59,2.3,470,2004,23,1044,66,347047,205,44
KELLER ISD,Fort Worth,2012,23.1,37,1178,2734,63,2.3,499,2075,24,1050,64,340389,212,42
KELLER ISD,Fort Worth,2013,22.8,45,1410,3186,63,2.3,499,2172,23,1049,63,345629,247,49
KELLER ISD,Fort Worth,2014,23.1,47,1574,3717,63,2.4,559,2315,24,1053,61,348489,289,52
KENNEDALE ISD,Fort Worth,2011,20.7,18,51,82,48,1.6,42,208,20,950,67,331825,14,33
KENNEDALE ISD,Fort Worth,2012,20,18,38,51,63,1.3,54,220,25,966,67,316270,26,48
KENNEDALE ISD,Fort Worth,2013,21.8,20,42,52,75,1.2,51,226,23,979,51,325209,31,61
KENNEDALE ISD,Fort Worth,2014,21.3,24,43,63,60,1.5,38,211,18,980,63,325660,20,53
KERRVILLE ISD,San Antonio,2011,22.8,18,153,275,58,1.8,72,332,22,1004,64,476934,21,29
KERRVILLE ISD,San Antonio,2012,22.5,14,132,288,62,2.2,51,312,16,1022,55,489113,21,41
KERRVILLE ISD,San Antonio,2013,22.4,15,180,347,52,1.9,65,335,19,1030,53,494725,22,34
KERRVILLE ISD,San Antonio,2014,22.3,15,207,454,55,2.2,74,323,23,1023,62,486896,26,35
KLEIN ISD,Houston,2011,22.4,27,1119,2304,58,2.1,743,3065,24,1021,71,301357,294,40
KLEIN ISD,Houston,2012,22.9,28,1034,2138,59,2.1,717,3061,23,1024,65,285220,312,44
KLEIN ISD,Houston,2013,22.4,27,1055,2110,58,2.0,720,3106,23,1018,61,282795,325,45
KLEIN ISD,Houston,2014,22.4,28,1012.5,2211,59,2.2,733,3197,23,1024,58,282036,355,48
KRUM ISD,Fort Worth,2013,21.3,35,39,56,46,1.4,24,111,22,945,49,388088,13,54
KRUM ISD,Fort Worth,2014,20.7,39,37,59,39,1.6,22,99,22,981,56,344256,11,50
LA GRANGE ISD,Austin,2011,20.8,16,39,57,74,1.5,30,146,21,1011,64,523995,23,77
LA GRANGE ISD,Austin,2012,20.7,21,58,83,64,1.4,16,111,14,998,58,524082,11,69
LA GRANGE ISD,Austin,2013,21.6,14,74,103,61,1.4,30,154,19,1005,59,508932,22,73
LA GRANGE ISD,Austin,2014,21.4,12,60,98,60,1.6,25,155,16,977,50,557146,20,80
LA PORTE ISD,Houston,2011,20.1,17,186,345,37,1.9,60,525,11,968,48,849915,28,47
LA PORTE ISD,Houston,2012,20,21,151,293,41,1.9,82,484,17,970,50,823231,32,39
LA PORTE ISD,Houston,2013,19.5,11,151,312,44,2.1,59,544,11,969,40,845785,32,54
LA PORTE ISD,Houston,2014,18.9,13,210,443,30,2.1,66,524,13,953,45,898184,22,33
LA VERNIA ISD,San Antonio,2011,21.9,27,52,72,64,1.4,44,210,21,1001,69,230871,13,30
LA VERNIA ISD,San Antonio,2012,22.2,25,56,69,55,1.2,42,205,20,996,62,243224,22,52
LA VERNIA ISD,San Antonio,2013,21.2,28,48,58,47,1.2,37,200,19,972,54,260077,17,46
LA VERNIA ISD,San Antonio,2014,20.6,26,81,95,45,1.2,52,216,24,974,62,268247,26,50
LAGO VISTA ISD,Austin,2012,21.2,45,55,122,61,2.2,34,76,45,1025,78,1122652,8,24
LAGO VISTA ISD,Austin,2013,23.3,47,61,123,65,2.0,24,97,25,1030,63,1091340,12,50
LAGO VISTA ISD,Austin,2014,23,51,54,130,57,2.4,24,92,26,1014,58,1020808,11,46
LAKE DALLAS ISD,Fort Worth,2011,21.8,23,75,116,49,1.5,47,251,19,994,63,324484,22,47
LAKE DALLAS ISD,Fort Worth,2012,22,23,72,106,53,1.5,40,260,15,1000,59,313195,22,55
LAKE DALLAS ISD,Fort Worth,2013,22.3,37,75,111,43,1.5,60,282,21,1021,60,320677,30,50
LAKE DALLAS ISD,Fort Worth,2014,22.5,30,67,87,54,1.3,61,274,22,998,58,327185,29,48
LAKE TRAVIS ISD,Austin,2011,24.3,48,348,714,73,2.1,153,424,36,1117,91,1066698,68,44
LAKE TRAVIS ISD,Austin,2012,25.2,45,360,752,79,2.1,152,513,30,1122,80,965921,75,49
LAKE TRAVIS ISD,Austin,2013,24.7,55,438,988,72,2.3,186,494,38,1138,87,939378,79,42
LAKE TRAVIS ISD,Austin,2014,25.1,57,487,1036,72,2.1,177,533,33,1136,82,915434,103,58
LAKE WORTH ISD,Fort Worth,2012,20.1,18,53,79,23,1.5,19,135,14,858,59,236361,5,26
LANCASTER ISD,Richardson,2011,15.4,62,138,200,5,1.4,82,329,25,802,58,262718,7,9
LANCASTER ISD,Richardson,2012,16.1,31,127,213,4,1.7,86,334,26,818,57,261013,15,17
LANCASTER ISD,Richardson,2013,16,42,196,316,4,1.6,79,348,23,788,60,252102,6,8
LANCASTER ISD,Richardson,2014,16.4,43,186,347,4,1.9,85,365,23,802,52,232472,24,28
LEANDER ISD,Austin,2011,23.7,40,1284,2802,59,2.2,456,1723,26,1070,78,429373,199,44
LEANDER ISD,Austin,2012,23.2,39,1434,2953,62,2.1,540,1903,28,1056,69,401483,236,44
LEANDER ISD,Austin,2013,23.8,39,1664,3643,64,2.2,567,2076,27,1075,68,397625,300,53
LEANDER ISD,Austin,2014,23.6,40,1597.5,3960,67,2.5,599,2037,29,1081,71,400260,301,50
LEWISVILLE ISD,Fort Worth,2011,23.8,44,1951,4325,72,2.2,756,3487,22,1079,70,471674,352,47
LEWISVILLE ISD,Fort Worth,2012,23.7,41,2014,4392,72,2.2,767,3439,22,1088,68,457115,371,48
LEWISVILLE ISD,Fort Worth,2013,24,41,2136,4763,71,2.2,820,3577,23,1094,68,465378,417,51
LEWISVILLE ISD,Fort Worth,2014,23.7,41,2126,4832,75,2.3,872,3642,24,1091,66,471430,501,57
LIBERTY HILL ISD,Austin,2011,23.6,36,86,117,66,1.4,42,179,23,1058,62,397559,18,43
LIBERTY HILL ISD,Austin,2012,22.5,34,75,110,64,1.5,50,170,29,1031,65,387378,19,38
LIBERTY HILL ISD,Austin,2013,23.4,31,88,130,65,1.5,37,167,22,1040,58,378196,16,43
LIBERTY HILL ISD,Austin,2014,24,38,101,140,64,1.4,46,202,23,1039,62,362894,22,48
LIBERTY ISD,Houston,2011,19.1,25,29,71,28,2.4,20,121,17,915,54,378162,6,30
LIBERTY ISD,Houston,2012,19.1,29,36,60,32,1.7,25,121,21,970,66,359996,12,48
LINDSAY ISD,Fort Worth,2011,24.7,50,37,51,35,1.4,16,43,37,1064,80,373435,10,63
LITTLE ELM ISD,Fort Worth,2011,20.4,30,182,428,29,2.4,60,301,20,963,63,284871,9,15
LITTLE ELM ISD,Fort Worth,2012,19.2,35,165,390,28,2.4,64,339,19,918,54,273718,16,25
LITTLE ELM ISD,Fort Worth,2013,19.9,28,177,410,39,2.3,51,341,15,941,51,296573,14,27
LITTLE ELM ISD,Fort Worth,2014,20.3,36,140,322,45,2.3,73,365,20,964,52,292988,27,37
LLANO ISD,Austin,2014,23.3,20,95,171,9,1.8,35,115,30,972,61,1744509,14,40
LOCKHART ISD,Austin,2011,18.8,34,70,107,43,1.5,61,320,19,909,48,194200,15,25
LOCKHART ISD,Austin,2012,18.4,31,111,183,39,1.6,60,331,18,947,47,200928,19,32
LOCKHART ISD,Austin,2013,19.8,21,89,188,40,2.1,64,320,20,932,49,213087,21,33
LOCKHART ISD,Austin,2014,19.2,24,155,294,27,1.9,66,298,22,917,52,207941,16,24
LOVEJOY ISD,Richardson,2011,24,62,303,706,52,2.3,52,229,23,1096,93,447132,38,73
LOVEJOY ISD,Richardson,2012,24.3,69,345,921,61,2.7,62,242,26,1124,83,434606,30,48
LOVEJOY ISD,Richardson,2013,25.4,64,395,1134,60,2.9,78,274,28,1127,83,434201,54,69
LOVEJOY ISD,Richardson,2014,25.6,67,341,935,73,2.7,75,275,27,1144,82,435809,40,53
LYTLE ISD,San Antonio,2011,18.5,62,44,54,13,1.2,25,136,18,942,38,132264,6,24
LYTLE ISD,San Antonio,2014,17.8,48,41,54,30,1.3,8,122,7,900,25,143012,5,63
MABANK ISD,Richardson,2011,20.9,19,81,94,32,1.2,21,227,9,954,39,333112,13,62
MABANK ISD,Richardson,2012,20.7,38,105,156,25,1.5,25,241,10,952,34,323884,7,28
MABANK ISD,Richardson,2013,21.6,43,104,164,26,1.6,40,236,17,1026,32,330707,15,38
MABANK ISD,Richardson,2014,21.8,31,84,120,43,1.4,24,211,11,1016,26,328954,15,63
MANOR ISD,Austin,2011,16.6,32,191,313,4,1.6,64,336,19,849,63,441022,17,27
MANOR ISD,Austin,2012,16.9,53,118,162,12,1.4,67,284,24,854,67,374184,12,18
MANOR ISD,Austin,2013,16.8,44,174,283,10,1.6,75,373,20,835,63,327997,14,19
MANOR ISD,Austin,2014,17.5,45,251,368,6,1.5,98,392,25,852,68,301301,27,28
MANSFIELD ISD,Fort Worth,2011,20.9,26,1312,2445,26,1.9,463,1961,24,977,68,304326,175,38
MANSFIELD ISD,Fort Worth,2012,20.9,26,1437,2571,30,1.8,522,2039,26,975,68,293078,212,41
MANSFIELD ISD,Fort Worth,2013,20.8,32,1452,2902,31,2.0,519,2159,24,978,66,298968,243,47
MANSFIELD ISD,Fort Worth,2014,21.3,32,1355,2667,35,2.0,543,2154,25,987,66,298201,270,50
MARBLE FALLS ISD,Austin,2011,22.3,39,101,195,35,1.9,75,267,28,980,58,751177,33,44
MARBLE FALLS ISD,Austin,2012,21.1,38,87,164,38,1.9,62,232,27,989,38,754097,23,37
MARBLE FALLS ISD,Austin,2013,20.6,36,108,202,35,1.9,66,266,25,985,43,760294,21,32
MARBLE FALLS ISD,Austin,2014,21.2,38,78,136,50,1.7,63,272,23,981,49,771953,28,44
MCKINNEY ISD,Richardson,2011,23,47,1298,3154,61,2.4,296,1429,21,1051,75,383840,138,47
MCKINNEY ISD,Richardson,2012,23.7,47,1478,3832,63,2.6,285,1467,19,1073,67,379570,165,58
MCKINNEY ISD,Richardson,2013,23.9,46,1498,3807,64,2.5,315,1562,20,1079,63,386689,156,50
MCKINNEY ISD,Richardson,2014,23.3,42,1588,4026,60,2.5,329,1578,21,1072,62,387547,169,51
MELISSA ISD,Richardson,2014,21.7,60,58,62,26,1.1,26,130,20,1006,45,241211,16,62
MESQUITE ISD,Richardson,2011,19.2,27,645,1253,35,1.9,439,2429,18,930,58,173861,156,36
MESQUITE ISD,Richardson,2012,19.1,24,746,1399,39,1.9,426,2348,18,916,50,164305,127,30
MESQUITE ISD,Richardson,2013,18.2,24,822,1601,40,1.9,394,2490,16,908,48,159323,131,33
MESQUITE ISD,Richardson,2014,18.9,23,1041,1962,41,1.9,433,2543,17,905,52,152759,149,34
MIDLOTHIAN ISD,Richardson,2011,21.5,56,222,454,37,2.0,115,529,22,1029,50,377098,60,52
MIDLOTHIAN ISD,Richardson,2012,22,53,216,420,44,1.9,118,496,24,1034,44,373084,61,52
MIDLOTHIAN ISD,Richardson,2013,22.2,53,200,456,48,2.3,114,521,22,1008,49,364426,61,54
MIDLOTHIAN ISD,Richardson,2014,22.3,52,206,438,58,2.1,125,527,24,1024,46,353849,70,56
MINERAL WELLS ISD,Fort Worth,2012,21.7,17,30,52,52,1.7,31,235,13,953,39,227247,13,42
MINERAL WELLS ISD,Fort Worth,2013,21,15,47,66,26,1.4,19,233,8,953,32,233945,11,58
MINERAL WELLS ISD,Fort Worth,2014,20.8,17,33,51,49,1.5,21,198,11,922,28,243419,5,24
NAVARRO ISD,Austin,2011,21.4,30,40,60,43,1.5,28,98,29,999,72,352092,5,18
NAVARRO ISD,Austin,2012,20.9,48,44,66,50,1.5,39,109,36,983,74,338292,19,49
NEW BRAUNFELS ISD,Austin,2011,21.9,22,250,745,62,3.0,144,556,26,999,64,390190,46,32
NEW BRAUNFELS ISD,Austin,2012,21.9,22,285,792,55,2.8,128,555,23,1005,60,385312,53,41
NEW BRAUNFELS ISD,Austin,2013,21.9,18,274,751,57,2.7,133,555,24,1027,59,389897,51,38
NEW BRAUNFELS ISD,Austin,2014,22.3,22,284,775,46,2.7,98,545,18,1024,57,394429,46,47
NORTH EAST ISD,San Antonio,2011,22.3,25,2969,7517,47,2.5,1074,4285,25,1022,72,435807,391,36
NORTH EAST ISD,San Antonio,2012,21.9,27,3106,7875,48,2.5,1040,4425,24,1024,69,424008,385,37
NORTH EAST ISD,San Antonio,2013,21.6,27,3257,8352,49,2.6,1096,4634,24,1013,69,422025,469,43
NORTH EAST ISD,San Antonio,2014,22.4,27,3362,8781,51,2.6,1151,4676,25,1013,69,425971,528,46
NORTHSIDE ISD,San Antonio,2011,21.4,24,3967,8705,35,2.2,1077,5678,19,978,68,355682,352,33
NORTHSIDE ISD,San Antonio,2012,21.2,22,3958,8592,36,2.2,1134,6020,19,967,63,347261,439,39
NORTHSIDE ISD,San Antonio,2013,21.6,20,4078,8932,39,2.2,1185,6038,20,971,63,346026,486,41
NORTHSIDE ISD,San Antonio,2014,21.2,22,4402,9964,39,2.3,1412,6444,22,976,60,349563,576,41
NORTHWEST ISD,Fort Worth,2011,22.7,27,434,974,53,2.2,150,771,19,1000,72,728886,51,34
NORTHWEST ISD,Fort Worth,2012,22.8,33,617,1444,44,2.3,185,889,21,1005,68,649557,55,30
NORTHWEST ISD,Fort Worth,2013,22.5,36,725,1783,47,2.5,222,964,23,1014,64,622609,95,43
NORTHWEST ISD,Fort Worth,2014,22.6,38,796,1940,44,2.4,273,1083,25,1013,63,578270,127,47
PASADENA ISD,Houston,2011,18.9,10,1356,2811,30,2.1,323,2874,11,924,44,211175,86,27
PASADENA ISD,Houston,2012,19.2,15,1304,2816,31,2.2,392,2961,13,896,47,197326,105,27
PASADENA ISD,Houston,2013,19.8,13,1289,2990,33,2.3,343,2997,11,905,47,193179,115,34
PASADENA ISD,Houston,2014,19.8,16,1501,3649,32,2.4,436,2997,15,901,51,194446,148,34
PEARLAND ISD,Houston,2011,22.1,20,637,1572,56,2.5,288,1185,24,1019,68,313079,111,39
PEARLAND ISD,Houston,2012,21.4,21,689,1701,59,2.5,292,1252,23,1008,63,301850,128,44
PEARLAND ISD,Houston,2013,21.4,22,849,2338,56,2.8,282,1327,21,1006,54,296335,141,50
PEARLAND ISD,Houston,2014,22.5,21,925,2663,59,2.9,336,1332,25,1044,59,292463,179,53
PFLUGERVILLE ISD,Austin,2011,20.6,26,813,1927,50,2.4,397,1389,29,989,76,346234,123,31
PFLUGERVILLE ISD,Austin,2012,20.3,28,902,2026,47,2.2,358,1418,25,974,69,327131,110,31
PFLUGERVILLE ISD,Austin,2013,20.7,34,913,2063,45,2.3,388,1471,26,973,66,322940,143,37
PFLUGERVILLE ISD,Austin,2014,20.1,32,917,2137,43,2.3,413,1520,27,966,68,325796,146,35
PLANO ISD,Richardson,2011,25.7,50,3200,8471,76,2.6,865,3577,24,1142,78,632444,510,59
PLANO ISD,Richardson,2012,25.6,49,3157,8627,80,2.7,796,3634,22,1134,74,627117,454,57
PLANO ISD,Richardson,2013,25.9,52,3303,9556,80,2.9,916,3802,24,1149,71,628109,530,58
PLANO ISD,Richardson,2014,25.8,53,3574,9939,80,2.8,967,3796,25,1151,70,644625,591,61
PLEASANTON ISD,San Antonio,2012,20.4,25,58,89,20,1.5,31,196,16,949,31,214467,10,32
PLEASANTON ISD,San Antonio,2013,20.5,22,66,98,28,1.5,25,218,11,951,34,233095,9,36
PLEASANTON ISD,San Antonio,2014,20.1,21,91,143,13,1.6,38,213,18,930,45,332902,12,32
POTTSBORO ISD,Richardson,2014,23.4,37,38,60,60,1.6,14,71,20,1094,49,536767,9,64
PRINCETON ISD,Richardson,2011,19.9,12,37,58,43,1.6,20,188,11,943,55,170175,7,35
PROSPER ISD,Richardson,2011,22.7,54,213,412,55,1.9,45,200,23,1056,65,412745,30,67
PROSPER ISD,Richardson,2012,23.4,65,264,547,64,2.1,56,265,21,1054,68,382713,26,46
PROSPER ISD,Richardson,2013,23.5,61,281,584,62,2.1,56,278,20,1070,64,356936,19,34
PROSPER ISD,Richardson,2014,23.2,61,292,595,64,2.0,92,343,27,1060,67,341003,48,52
RED OAK ISD,Richardson,2011,21.6,33,99,209,42,2.1,71,407,17,998,59,223496,31,44
RED OAK ISD,Richardson,2012,20.4,45,110,198,47,1.8,92,416,22,964,48,219873,39,42
RED OAK ISD,Richardson,2013,20.5,37,107,208,51,1.9,99,465,21,957,46,214929,54,55
RED OAK ISD,Richardson,2014,21,41,101,219,56,2.2,104,451,23,979,48,216626,36,35
RICHARDSON ISD,Richardson,2011,22.2,46,1634,3871,56,2.4,467,2019,23,1037,74,494286,202,43
RICHARDSON ISD,Richardson,2012,22.4,43,1588,3773,61,2.4,445,2058,22,1032,67,461633,202,45
RICHARDSON ISD,Richardson,2013,22.2,46,1607,3824,62,2.4,457,2025,23,1046,65,450786,232,51
RICHARDSON ISD,Richardson,2014,20.2,92,1715,4075,61,2.4,469,2082,23,1052,59,451178,245,52
ROCKWALL ISD,Richardson,2011,23.2,47,781,1691,54,2.2,212,882,24,1057,72,428552,105,50
ROCKWALL ISD,Richardson,2012,23.3,40,733,1567,58,2.1,237,1010,23,1063,66,419117,118,50
ROCKWALL ISD,Richardson,2013,23.4,44,700,1521,63,2.2,244,955,26,1054,64,417638,127,52
ROCKWALL ISD,Richardson,2014,22.9,46,723,1668,65,2.3,286,1007,28,1058,65,417692,153,53
ROUND ROCK ISD,Austin,2011,24,44,2019,4843,70,2.4,772,2627,29,1092,77,490691,360,47
ROUND ROCK ISD,Austin,2012,24,42,2003,4977,73,2.5,788,2734,29,1091,74,466287,366,46
ROUND ROCK ISD,Austin,2013,23.7,40,2014,5054,76,2.5,802,2921,27,1095,68,465921,412,51
ROUND ROCK ISD,Austin,2014,23.9,42,2091,5301,78,2.5,860,3054,28,1099,69,471419,449,52
ROYSE CITY ISD,Richardson,2011,20,30,143,280,33,2.0,44,276,16,965,53,242484,13,30
ROYSE CITY ISD,Richardson,2012,21,25,127,271,29,2.1,37,267,14,953,49,236626,18,49
ROYSE CITY ISD,Richardson,2013,21.4,20,98,166,37,1.7,39,298,13,940,52,229081,18,46
ROYSE CITY ISD,Richardson,2014,21.6,24,99,173,40,1.7,55,271,20,971,58,226520,30,55
SAN ANTONIO ISD,San Antonio,2011,16.7,27,1501,2816,7,1.9,254,2777,9,828,57,245848,32,13
SAN ANTONIO ISD,San Antonio,2012,17,39,1478,2726,10,1.8,338,2696,13,824,57,237062,45,13
SAN ANTONIO ISD,San Antonio,2013,16.7,39,1331,2483,10,1.9,345,2693,13,819,58,237214,63,18
SAN ANTONIO ISD,San Antonio,2014,16.7,42,1371,2295,10,1.7,373,2519,15,809,61,244098,88,24
SANTA FE ISD,Houston,2011,20.3,9,84,125,22,1.5,35,317,11,968,39,217418,11,31
SANTA FE ISD,Houston,2012,20,7,79,106,37,1.3,39,331,12,961,41,232757,25,64
SANTA FE ISD,Houston,2013,21.7,10,38,59,46,1.6,42,304,14,998,38,234103,17,40
SANTA FE ISD,Houston,2014,21,10,36,57,39,1.6,42,287,15,950,32,239933,18,43
SCHERTZ-CIBOLO-U CITY ISD,Austin,2011,22.8,20,483,953,40,2.0,203,882,23,989,72,279591,56,28
SCHERTZ-CIBOLO-U CITY ISD,San Antonio,2012,22,24,578,1154,38,2.0,244,1012,24,999,65,276266,91,37
SCHERTZ-CIBOLO-U CITY ISD,San Antonio,2013,22.2,20,631,1465,41,2.3,213,1020,21,1015,57,273136,86,40
SCHERTZ-CIBOLO-U CITY ISD,San Antonio,2014,21.8,22,677,1365,40,2.0,229,1015,23,999,64,281571,90,39
SEGUIN ISD,Austin,2011,19.3,24,139,181,21,1.3,86,486,18,949,54,359068,17,20
SEGUIN ISD,Austin,2012,20.2,23,176,218,19,1.2,73,473,15,933,48,371170,18,25
SEGUIN ISD,Austin,2013,19.5,20,228,375,15,1.6,82,472,17,913,52,395782,28,34
SEGUIN ISD,Austin,2014,20.1,18,186,313,26,1.7,67,413,16,940,47,401752,23,34
