DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
BASTROP ISD,Austin,2014,20,18,135,270,44,2.0,97,569,17,946,50,306454,38,39
BIRDVILLE ISD,Fort Worth,2011,22,30,909,2219,40,2.4,213,1446,15,1002,53,337577,81,38
BIRDVILLE ISD,Fort Worth,2012,21.8,31,944,2147,48,2.3,203,1353,15,993,48,309498,90,44
BIRDVILLE ISD,Fort Worth,2013,21.4,34,940,2154,44,2.3,269,1471,18,991,46,305372,133,49
BIRDVILLE ISD,Fort Worth,2014,21.4,35,971,2258,49,2.3,264,1480,18,995,44,311982,122,46
BLANCO ISD,Austin,2012,19.6,70,33,55,47,1.7,21,67,31,958,42,715930,5,24
BLANCO ISD,Austin,2013,21.6,73,37,68,57,1.8,25,74,34,1025,32,727452,8,32
BLANCO ISD,Austin,2014,20.9,67,29,51,57,1.8,19,63,30,1001,41,721038,6,32
BOERNE ISD,San Antonio,2011,24.4,38,427,1183,61,2.8,181,506,36,1070,84,692549,81,45
BOERNE ISD,San Antonio,2012,24.4,49,445,1139,67,2.6,144,525,27,1084,73,689003,62,43
BOERNE ISD,San Antonio,2013,25,45,441,1203,68,2.7,175,569,31,1094,76,674863,100,57
BOERNE ISD,San Antonio,2014,24.3,46,453,1155,66,2.5,179,558,32,1080,74,687364,83,46
BRAZOSPORT ISD,Houston,2011,22.1,17,240,508,58,2.1,129,874,15,1001,48,588257,62,48
BRAZOSPORT ISD,Houston,2012,22.2,21,211,434,66,2.1,121,785,15,1015,40,553129,68,56
BRAZOSPORT ISD,Houston,2013,21.7,24,191,356,65,1.9,126,759,17,1026,43,544943,61,48
BRAZOSPORT ISD,Houston,2014,22,19,186,382,69,2.1,130,736,18,994,44,553287,72,55
BRIDGEPORT ISD,Fort Worth,2011,20.2,33,37,67,34,1.8,27,150,18,964,46,580285,11,41
BRIDGEPORT ISD,Fort Worth,2013,21.6,26,35,65,42,1.9,21,129,16,1005,40,631212,6,29
BRIDGEPORT ISD,Fort Worth,2014,20,35,44,71,38,1.6,22,134,16,979,52,666860,9,41
BURLESON ISD,Fort Worth,2011,22.3,14,174,366,56,2.1,100,636,16,997,53,379208,45,45
