DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ANGLETON ISD,Houston,19.9,12.3,2013,116.0,218.0,34.4,1.879310345,65.0,473,13.74207188,1012.0,38.9,358284
ANGLETON ISD,Houston,18.6,11.3,2014,154.0,289.0,36.3,1.8766233769999998,70.0,417,16.78657074,1035.0,43.2,360331
ANGLETON ISD,Houston,20.3,11.9,2015,190.0,341.0,14.1,1.7947368419999998,70.0,412,16.99029126,1011.0,52.2,337541
ANGLETON ISD,Houston,19.7,11.8,2016,215.0,413.0,20.3,1.9209302330000002,71.0,433,16.39722864,999.0,45.0,348473
ANGLETON ISD,Houston,21.3,9.8,2017,235.0,483.0,22.4,2.0553191490000002,54.0,420,12.85714286,1048.0,37.6,378109
ARGYLE ISD,Fort Worth,24.6,50.3,2011,94.0,215.0,72.6,2.287234043,51.0,153,33.33333333,1157.0,83.7,598246
ARGYLE ISD,Fort Worth,23.6,64.2,2012,89.0,202.0,62.4,2.269662921,68.0,162,41.97530864,1138.0,80.2,599216
ARGYLE ISD,Fort Worth,23.3,62.0,2013,83.0,190.0,69.5,2.2891566269999997,49.0,150,32.66666667,1144.0,71.3,607796
ARGYLE ISD,Fort Worth,24.5,73.3,2014,116.0,245.0,72.7,2.112068966,55.0,176,31.25,1158.0,81.3,574613
ARGYLE ISD,Fort Worth,24.5,63.1,2015,67.0,138.0,74.6,2.059701493,63.0,176,35.79545455,1178.0,73.3,553208
ARGYLE ISD,Fort Worth,24.0,82.0,2016,46.0,102.0,80.4,2.217391304,52.0,167,31.13772455,1158.0,64.1,544808
ARGYLE ISD,Fort Worth,23.7,73.8,2017,37.0,68.0,73.5,1.8378378380000002,49.0,183,26.77595628,1162.0,63.9,567092
ARLINGTON ISD,Fort Worth,21.0,25.2,2011,1229.0,2662.0,43.3,2.1659886090000002,807.0,3611,22.34837995,1065.0,65.2,338766
ARLINGTON ISD,Fort Worth,20.9,23.1,2012,1242.0,2584.0,43.4,2.080515298,749.0,3616,20.71349558,1065.0,60.8,314773
ARLINGTON ISD,Fort Worth,20.8,23.2,2013,1320.0,2812.0,43.8,2.13030303,790.0,3760,21.0106383,1051.0,58.3,316340
ARLINGTON ISD,Fort Worth,20.7,28.6,2014,1493.0,3126.0,46.3,2.093770931,790.0,3655,21.61422709,1044.0,60.7,325124
ARLINGTON ISD,Fort Worth,20.1,26.6,2015,1796.0,3773.0,36.6,2.10077951,800.0,3762,21.26528442,1021.0,64.1,341135
ARLINGTON ISD,Fort Worth,20.7,27.7,2016,2053.0,4623.0,35.3,2.251826595,829.0,3944,21.01926978,1012.0,62.1,351491
ARLINGTON ISD,Fort Worth,20.8,26.3,2017,2476.0,5773.0,33.8,2.331583199,895.0,4075,21.96319018,1026.0,61.4,368110
AUSTIN ISD,Austin,21.3,32.6,2011,3188.0,6933.0,49.1,2.174717691,855.0,4174,20.48394825,1091.0,72.8,793908
AUSTIN ISD,Austin,21.4,33.6,2012,2980.0,6346.0,53.9,2.129530201,873.0,4259,20.49776943,1093.0,65.1,751327
AUSTIN ISD,Austin,21.5,35.3,2013,3004.0,6244.0,53.1,2.078561917,858.0,4236,20.25495751,1104.0,63.7,768123
