DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
GALVESTON ISD,Houston,1019.0,52.0,2011
LA MARQUE ISD,Houston,913.0,45.8,2011
TEXAS CITY ISD,Houston,1008.0,40.5,2011
HITCHCOCK ISD,Houston,928.0,37.0,2011
SANTA FE ISD,Houston,1038.0,39.0,2011
CLEAR CREEK ISD,Houston,1148.0,75.4,2011
FRIENDSWOOD ISD,Houston,1181.0,88.0,2011
FREDERICKSBURG ISD,Austin,1082.0,63.9,2011
HARPER ISD,Austin,1065.0,65.2,2011
GONZALES ISD,Austin,1019.0,36.1,2011
BELLS ISD,Richardson,1031.0,38.0,2011
DENISON ISD,Richardson,1110.0,29.5,2011
HOWE ISD,Richardson,1059.0,27.3,2011
SHERMAN ISD,Richardson,1123.0,35.4,2011
VAN ALSTYNE ISD,Richardson,1084.0,57.1,2011
WHITESBORO ISD,Richardson,1149.0,8.1,2011
WHITEWRIGHT ISD,Richardson,1123.0,52.9,2011
POTTSBORO ISD,Richardson,1097.0,50.7,2011
GUNTER ISD,Richardson,1115.0,50.9,2011
TOM BEAN ISD,Richardson,1076.0,58.6,2011
SEGUIN ISD,Austin,1017.0,53.8,2011
SCHERTZ-CIBOLO-U CITY ISD,Austin,1064.0,72.0,2011
NAVARRO ISD,Austin,1063.0,71.7,2011
MARION ISD,Austin,1032.0,62.5,2011
ALDINE ISD,Houston,959.0,51.7,2011
ALIEF ISD,Houston,982.0,62.8,2011
CHANNELVIEW ISD,Houston,983.0,42.1,2011
CROSBY ISD,Houston,1044.0,46.2,2011
CYPRESS-FAIRBANKS ISD,Houston,1097.0,65.7,2011
DEER PARK ISD,Houston,1080.0,44.8,2011
NORTH FOREST ISD,Houston,825.0,57.9,2011
GALENA PARK ISD,Houston,983.0,31.8,2011
HOUSTON ISD,Houston,1000.0,68.5,2011
HUMBLE ISD,Houston,1084.0,69.2,2011
KATY ISD,Houston,1141.0,75.4,2011
KLEIN ISD,Houston,1094.0,70.6,2011
LA PORTE ISD,Houston,1035.0,48.3,2011
PASADENA ISD,Houston,1007.0,43.5,2011
SPRING ISD,Houston,972.0,60.5,2011
SPRING BRANCH ISD,Houston,1130.0,78.7,2011
TOMBALL ISD,Houston,1109.0,65.9,2011
SHELDON ISD,Houston,931.0,53.5,2011
HUFFMAN ISD,Houston,1049.0,71.6,2011
DRIPPING SPRINGS ISD,Austin,1208.0,85.0,2011
WIMBERLEY ISD,Austin,1152.0,87.4,2011
GRANBURY ISD,Fort Worth,1126.0,55.6,2011
TOLAR ISD,Fort Worth,1071.0,60.0,2011
CADDO MILLS ISD,Richardson,1112.0,52.7,2011
COMMERCE ISD,Richardson,1028.0,41.9,2011
GREENVILLE ISD,Richardson,1043.0,39.8,2011
LONE OAK ISD,Richardson,1126.0,52.5,2011
QUINLAN ISD,Richardson,966.0,40.3,2011
WOLFE CITY ISD,Richardson,1163.0,17.5,2011
BLAND ISD,Richardson,1013.0,58.3,2011
BOLES ISD,Richardson,1064.0,32.4,2011
ALVARADO ISD,Fort Worth,1013.0,50.6,2011
BURLESON ISD,Fort Worth,1068.0,52.9,2011
CLEBURNE ISD,Fort Worth,1063.0,41.4,2011
GRANDVIEW ISD,Fort Worth,1046.0,43.3,2011
JOSHUA ISD,Fort Worth,1070.0,51.7,2011
KEENE ISD,Fort Worth,1001.0,80.0,2011
RIO VISTA ISD,Fort Worth,1049.0,41.2,2011
VENUS ISD,Fort Worth,994.0,26.7,2011
GODLEY ISD,Fort Worth,1086.0,54.8,2011
CRANDALL ISD,Richardson,1053.0,38.5,2011
FORNEY ISD,Richardson,1052.0,63.1,2011
KAUFMAN ISD,Richardson,1022.0,48.0,2011
KEMP ISD,Richardson,1019.0,29.0,2011
MABANK ISD,Richardson,1029.0,38.7,2011
TERRELL ISD,Richardson,944.0,46.0,2011
SCURRY-ROSSER ISD,Richardson,1106.0,45.0,2011
BOERNE ISD,San Antonio,1152.0,83.5,2011
COMFORT ISD,Austin,1015.0,63.9,2011
CENTER POINT ISD,San Antonio,1014.0,54.5,2011
KERRVILLE ISD,San Antonio,1078.0,63.7,2011
INGRAM ISD,San Antonio,1044.0,67.5,2011
BRACKETT ISD,San Antonio,1040.0,64.7,2011
COTULLA ISD,San Antonio,961.0,19.7,2011
GIDDINGS ISD,Austin,1051.0,53.1,2011
LEXINGTON ISD,Austin,1039.0,76.9,2011
DIME BOX ISD,Austin,921.0,116.7,2011
CLEVELAND ISD,Houston,987.0,49.6,2011
DAYTON ISD,Houston,1010.0,46.1,2011
HARDIN ISD,Houston,973.0,45.2,2011
HULL-DAISETTA ISD,Houston,938.0,48.5,2011
LIBERTY ISD,Houston,996.0,54.2,2011
TARKINGTON ISD,Houston,1069.0,50.0,2011
LLANO ISD,Austin,1049.0,64.1,2011
EAGLE PASS ISD,San Antonio,949.0,62.5,2011
DEVINE ISD,San Antonio,992.0,39.7,2011
NATALIA ISD,San Antonio,927.0,87.8,2011
HONDO ISD,San Antonio,1123.0,11.7,2011
MEDINA VALLEY ISD,San Antonio,1091.0,17.2,2011
THORNDALE ISD,Austin,1068.0,70.2,2011
GRAFORD ISD,Fort Worth,953.0,61.5,2011
MINERAL WELLS ISD,Fort Worth,1023.0,40.7,2011
