DistName,RegnName,Wealth/ADA,Year
BARBERS HILL ISD,Houston,883464,2015
BARBERS HILL ISD,Houston,976033,2016
BARBERS HILL ISD,Houston,1082616,2017
BARTLETT ISD,Austin,247897,2011
BARTLETT ISD,Austin,237584,2012
BARTLETT ISD,Austin,238927,2013
BARTLETT ISD,Austin,251572,2014
BARTLETT ISD,Austin,289071,2016
BARTLETT ISD,Austin,289808,2017
BASTROP ISD,Austin,308882,2011
BASTROP ISD,Austin,316748,2012
BASTROP ISD,Austin,318564,2013
BASTROP ISD,Austin,306454,2014
BASTROP ISD,Austin,313113,2015
BASTROP ISD,Austin,312909,2016
BASTROP ISD,Austin,318106,2017
BELLS ISD,Richardson,216345,2011
BELLS ISD,Richardson,268025,2012
BELLS ISD,Richardson,264116,2013
BELLS ISD,Richardson,253557,2014
BELLS ISD,Richardson,254557,2015
BELLS ISD,Richardson,243337,2016
BELLS ISD,Richardson,264379,2017
BIRDVILLE ISD,Fort Worth,337577,2011
BIRDVILLE ISD,Fort Worth,309498,2012
BIRDVILLE ISD,Fort Worth,305372,2013
BIRDVILLE ISD,Fort Worth,311982,2014
BIRDVILLE ISD,Fort Worth,317725,2015
BIRDVILLE ISD,Fort Worth,322629,2016
BIRDVILLE ISD,Fort Worth,338349,2017
BLANCO ISD,Austin,704424,2011
BLANCO ISD,Austin,715930,2012
BLANCO ISD,Austin,727452,2013
BLANCO ISD,Austin,721038,2014
BLANCO ISD,Austin,733219,2015
BLANCO ISD,Austin,751758,2016
BLANCO ISD,Austin,779918,2017
BLAND ISD,Richardson,212445,2011
BLAND ISD,Richardson,206064,2012
BLAND ISD,Richardson,201037,2013
BLAND ISD,Richardson,206846,2014
BLAND ISD,Richardson,218848,2015
BLAND ISD,Richardson,203633,2016
BLAND ISD,Richardson,203488,2017
BLUE RIDGE ISD,Richardson,201729,2011
BLUE RIDGE ISD,Richardson,197617,2012
BLUE RIDGE ISD,Richardson,200726,2013
BLUE RIDGE ISD,Richardson,201229,2014
BLUE RIDGE ISD,Richardson,189323,2015
BLUE RIDGE ISD,Richardson,190448,2016
BLUE RIDGE ISD,Richardson,200203,2017
BOERNE ISD,San Antonio,692549,2011
BOERNE ISD,San Antonio,689003,2012
BOERNE ISD,San Antonio,674863,2013
BOERNE ISD,San Antonio,687364,2014
BOERNE ISD,San Antonio,693152,2015
BOERNE ISD,San Antonio,683039,2016
BOERNE ISD,San Antonio,705406,2017
BOLES ISD,Richardson,33742,2011
BOLES ISD,Richardson,32585,2013
BOLES ISD,Richardson,31795,2014
BOLES ISD,Richardson,33152,2015
BOLES ISD,Richardson,29653,2016
BOLES ISD,Richardson,27932,2017
BONHAM ISD,Richardson,303666,2011
BONHAM ISD,Richardson,304421,2012
BONHAM ISD,Richardson,300941,2013
BONHAM ISD,Richardson,301415,2014
BONHAM ISD,Richardson,320960,2015
BONHAM ISD,Richardson,316471,2016
BONHAM ISD,Richardson,337235,2017
BOYD ISD,Fort Worth,746612,2011
BOYD ISD,Fort Worth,790320,2012
BOYD ISD,Fort Worth,761003,2013
BOYD ISD,Fort Worth,766263,2014
BOYD ISD,Fort Worth,740551,2015
BOYD ISD,Fort Worth,795987,2016
BOYD ISD,Fort Worth,678321,2017
BRACKETT ISD,San Antonio,275853,2011
BRACKETT ISD,San Antonio,302987,2012
BRACKETT ISD,San Antonio,297789,2013
BRACKETT ISD,San Antonio,297167,2014
BRACKETT ISD,San Antonio,376900,2015
BRACKETT ISD,San Antonio,427466,2016
BRACKETT ISD,San Antonio,629550,2017
BRAZOSPORT ISD,Houston,588257,2011
BRAZOSPORT ISD,Houston,553129,2012
BRAZOSPORT ISD,Houston,544943,2013
BRAZOSPORT ISD,Houston,553287,2014
BRAZOSPORT ISD,Houston,586183,2015
BRAZOSPORT ISD,Houston,588141,2016
BRAZOSPORT ISD,Houston,689681,2017
BRIDGEPORT ISD,Fort Worth,580285,2011
BRIDGEPORT ISD,Fort Worth,571326,2012
BRIDGEPORT ISD,Fort Worth,631212,2013
BRIDGEPORT ISD,Fort Worth,666860,2014
BRIDGEPORT ISD,Fort Worth,703874,2015
BRIDGEPORT ISD,Fort Worth,735835,2016
BRIDGEPORT ISD,Fort Worth,720342,2017
BROCK ISD,Fort Worth,451428,2011
BROCK ISD,Fort Worth,513178,2012
BROCK ISD,Fort Worth,461733,2013
BROCK ISD,Fort Worth,495704,2014
BROCK ISD,Fort Worth,398233,2015
BROCK ISD,Fort Worth,365423,2016
BROCK ISD,Fort Worth,397992,2017
BURLESON ISD,Fort Worth,379208,2011
BURLESON ISD,Fort Worth,351767,2012
BURLESON ISD,Fort Worth,338552,2013
BURLESON ISD,Fort Worth,330044,2014
BURLESON ISD,Fort Worth,314727,2015
BURLESON ISD,Fort Worth,317675,2016
BURLESON ISD,Fort Worth,322091,2017
CADDO MILLS ISD,Richardson,242965,2011
CADDO MILLS ISD,Richardson,236187,2012
CADDO MILLS ISD,Richardson,242939,2013
CADDO MILLS ISD,Richardson,239538,2014
CADDO MILLS ISD,Richardson,230625,2015
CADDO MILLS ISD,Richardson,218009,2016
CADDO MILLS ISD,Richardson,225080,2017
CALLISBURG ISD,Fort Worth,488166,2011
CALLISBURG ISD,Fort Worth,503052,2012
CALLISBURG ISD,Fort Worth,511344,2013
CALLISBURG ISD,Fort Worth,519790,2014
CALLISBURG ISD,Fort Worth,544455,2015
CALLISBURG ISD,Fort Worth,550295,2016
CALLISBURG ISD,Fort Worth,550136,2017
CAMPBELL ISD,Richardson,238737,2014
CAMPBELL ISD,Richardson,234946,2015
CAMPBELL ISD,Richardson,226542,2016
CAMPBELL ISD,Richardson,244805,2017
CANTON ISD,Richardson,312980,2011
