DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ALAMO HEIGHTS ISD,San Antonio,24.2,51,2011,336,739,66,2.2,73,379,19,1180,88,1098268
ALAMO HEIGHTS ISD,San Antonio,23.9,52,2012,355,836,66,2.4,101,374,27,1175,85,1061587
ALAMO HEIGHTS ISD,San Antonio,24.7,65,2013,328,753,69,2.3,102,355,29,1179,85,1056007
ALAMO HEIGHTS ISD,San Antonio,24.7,59,2014,292,668,74,2.3,104,353,29,1179,84,1081447
ALAMO HEIGHTS ISD,San Antonio,24.5,60,2015,295,668,72,2.3,75,369,20,1164,79,1137027
ALAMO HEIGHTS ISD,San Antonio,24,65,2016,320,755,77,2.4,95,380,25,1158,82,1179836
ALAMO HEIGHTS ISD,San Antonio,24.5,63,2017,314,740,75,2.4,118,411,29,1159,79,1296290
ALDINE ISD,Houston,17.7,26,2011,1399,2582,16,1.8,496,2991,17,959,52,227596
ALDINE ISD,Houston,17.7,29,2012,1359,2344,19,1.7,523,2980,18,956,49,210385
ALDINE ISD,Houston,17.8,29,2013,1240,2191,18,1.8,447,3052,15,938,52,211736
ALDINE ISD,Houston,17.7,37,2014,1545,2722,17,1.8,542,3080,18,948,53,215342
ALDINE ISD,Houston,18.2,21,2015,1736,3082.5,14,1.8,539,3370,16,873,88,231165
ALDINE ISD,Houston,17.7,22,2016,1615,3099,16,1.9,529,3556,15,846,94,253334
ALDINE ISD,Houston,17.9,19,2017,1501,2617,16,1.7,569,3665,16,876,93,293519
ALEDO ISD,Fort Worth,24.9,49,2011,243,520,63,2.1,97,372,26,1164,81,571536
ALEDO ISD,Fort Worth,24.2,52,2012,254,533,68,2.1,90,393,23,1154,70,578269
ALEDO ISD,Fort Worth,23.9,52,2013,270,563,61,2.1,82,349,23,1148,75,541482
ALEDO ISD,Fort Worth,24.1,62,2014,296,632,68,2.1,95,359,26,1147,75,520317
