DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
VAN ALSTYNE ISD,Richardson,21,75.5,2016,39,54,18.5,1.384615385,16,98,16.32653061,951,32.7,335629,,
VAN ALSTYNE ISD,Richardson,21.4,75.5,2017,50,61,52.5,1.22,21,106,19.81132075,1096,28.3,340938,,
WALLER ISD,Houston,19.4,49.5,2011,140,276,17.4,1.971428571,57,340,16.76470588,996,25.1,305105,15,26.31578947
WALLER ISD,Houston,19.1,46.2,2012,102,231,25.1,2.264705882,56,368,15.2173913,965,32.6,333304,20,35.71428571
WALLER ISD,Houston,20.3,42.7,2013,76,132,37.1,1.736842105,52,349,14.89971347,970,31.2,324502,20,38.46153846
WALLER ISD,Houston,19.6,47,2014,70,123,31.7,1.757142857,53,351,15.0997151,933,36.5,299353,22,41.50943396
WALLER ISD,Houston,19.2,56,2015,101,143,30.8,1.415841584,67,334,20.05988024,929,32.6,319519,,
WALLER ISD,Houston,18,69.5,2016,118,175,29.7,1.483050847,80,384,20.83333333,930,41.4,303535,,
WALLER ISD,Houston,17.9,76.3,2017,148,258,35.3,1.743243243,76,422,18.00947867,1014,34.4,334082,,
WAXAHACHIE ISD,Richardson,21.3,29.1,2011,116,191,48.7,1.646551724,81,499,16.23246493,978,49.4,396353,24,29.62962963
WAXAHACHIE ISD,Richardson,20.6,30.2,2012,99,175,40,1.767676768,95,517,18.37524178,986,45.1,385162,42,44.21052632
WAXAHACHIE ISD,Richardson,21,27.3,2013,161,278,30.6,1.726708075,104,505,20.59405941,977,48.9,378685,42,40.38461538
WAXAHACHIE ISD,Richardson,21.3,24.4,2014,173,336,31.8,1.942196532,112,557,20.10771993,1003,49.6,372530,44,39.28571429
WAXAHACHIE ISD,Richardson,22.6,26.2,2015,124,250,40.4,2.016129032,98,545,17.98165138,1000,45.7,368652,,
WAXAHACHIE ISD,Richardson,21.4,28.6,2016,106,234,51.3,2.20754717,106,538,19.70260223,985,53.2,369706,,
WAXAHACHIE ISD,Richardson,22,30.2,2017,104,195,41,1.875,134,586,22.8668942,1067,53.6,384990,,
WEATHERFORD ISD,Fort Worth,21.8,21.9,2011,297,560,50.5,1.885521886,86,494,17.40890688,1045,52.2,469325,48,55.81395349
WEATHERFORD ISD,Fort Worth,22,23.8,2012,217,441,49.4,2.032258065,85,508,16.73228346,1012,47.2,470315,45,52.94117647
WEATHERFORD ISD,Fort Worth,22.2,26.6,2013,167,335,59.7,2.005988024,84,507,16.56804734,1020,45,462058,38,45.23809524
WEATHERFORD ISD,Fort Worth,20.9,29,2014,194,399,61.9,2.056701031,77,493,15.61866126,988,46.7,460732,41,53.24675325
WEATHERFORD ISD,Fort Worth,21.3,22.7,2015,170,403,56.1,2.370588235,77,520,14.80769231,1000,46,469749,,
WEATHERFORD ISD,Fort Worth,20.9,22.6,2016,256,555,47.7,2.16796875,84,514,16.34241245,966,47.1,467703,,
WEATHERFORD ISD,Fort Worth,21.3,31.5,2017,184,388,54.4,2.108695652,89,590,15.08474576,1050,41.4,495369,,
WHITE SETTLEMENT ISD,Fort Worth,19.5,21.7,2011,75,128,39.1,1.706666667,34,383,8.877284595,967,39.7,267932,8,23.52941176
WHITE SETTLEMENT ISD,Fort Worth,19.8,21.3,2012,120,206,28.6,1.716666667,46,446,10.31390135,929,45.7,246907,10,21.73913043
WHITE SETTLEMENT ISD,Fort Worth,20.3,25.9,2013,144,257,32.3,1.784722222,59,402,14.67661692,936,43.3,252344,15,25.42372881
WHITE SETTLEMENT ISD,Fort Worth,20.3,32,2014,136,262,42,1.926470588,65,412,15.77669903,939,49,275583,27,41.53846154
WHITE SETTLEMENT ISD,Fort Worth,20.1,29,2015,155,305,31.1,1.967741935,62,397,15.61712846,925,49.4,245106,,
WHITE SETTLEMENT ISD,Fort Worth,20,31.2,2016,188,368,23.4,1.957446809,65,420,15.47619048,936,53.8,254187,,
WHITE SETTLEMENT ISD,Fort Worth,20,31.6,2017,100,192,42.2,1.92,74,418,17.70334928,1001,55,251597,,
WHITESBORO ISD,Richardson,21.6,53.4,2014,38,51,37.3,1.342105263,18,103,17.47572816,1015,12.6,387315,10,55.55555556
WHITESBORO ISD,Richardson,22.5,56.5,2015,35,52,40.4,1.485714286,13,85,15.29411765,1003,8.2,400131,,
WHITESBORO ISD,Richardson,22.2,34.9,2016,39,65,44.6,1.666666667,18,109,16.51376147,1129,11,412959,,
WHITESBORO ISD,Richardson,22,50,2017,44,61,42.6,1.386363636,19,90,21.11111111,1141,7.8,434989,,
WIMBERLEY ISD,Austin,23.3,51,2011,89,173,57.8,1.943820225,52,155,33.5483871,1083,87.4,727482,15,28.84615385
WIMBERLEY ISD,Austin,22.3,50.8,2012,85,130,52.3,1.529411765,54,179,30.16759777,1045,74.9,730476,23,42.59259259
WIMBERLEY ISD,Austin,23.4,44.3,2013,78,113,69.9,1.448717949,52,149,34.89932886,1088,67.8,735402,20,38.46153846
WIMBERLEY ISD,Austin,23.8,42.6,2014,107,175,68,1.635514019,47,162,29.01234568,1102,69.8,738706,20,42.55319149
WIMBERLEY ISD,Austin,23.5,60,2015,100,167,71.9,1.67,51,170,30,1088,68.8,748028,,
WIMBERLEY ISD,Austin,23.5,52.5,2016,82,136,74.3,1.658536585,38,141,26.95035461,1082,53.2,727220,,
WIMBERLEY ISD,Austin,22.7,52,2017,105,190,75.8,1.80952381,47,152,30.92105263,1119,72.4,772555,,
WYLIE ISD,Richardson,23.1,28.1,2011,278,527,55.8,1.895683453,121,721,16.78224688,1001,56.3,260926,38,31.40495868
WYLIE ISD,Richardson,22.2,38.2,2012,312,619,58,1.983974359,119,707,16.83168317,1004,60.3,255453,52,43.69747899
WYLIE ISD,Richardson,22.3,31.8,2013,336,656,58.5,1.952380952,152,802,18.95261845,1026,48.1,252732,68,44.73684211
WYLIE ISD,Richardson,21.8,37.9,2014,405,779,51.5,1.92345679,139,794,17.50629723,1001,51.4,249380,68,48.92086331
WYLIE ISD,Richardson,21.9,41.8,2015,422,824,54,1.952606635,154,858,17.94871795,1001,52.2,260321,,
WYLIE ISD,Richardson,22,45.5,2016,500,1035,55.6,2.07,199,949,20.96944152,1000,53.1,264703,,
WYLIE ISD,Richardson,22.1,40.4,2017,655,1439,55.8,2.196946565,187,993,18.83182276,1103,57.4,292170,,
