DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
AUSTIN ISD,Austin,22.2,37.6,2015,3060,7699,56.9,2.516013072,889,4254,20.89797837,1025,65.6,867833,,
AUSTIN ISD,Austin,22.5,38.3,2016,3321,7676,59.2,2.311352002,922,4386,21.02143183,1014,67.6,969782,,
AUSTIN ISD,Austin,22.5,35.7,2017,3350,7909,61.4,2.360895522,866,4352,19.89889706,1098,65.2,1146668,,
AZLE ISD,Fort Worth,22.3,21.3,2011,73,129,46.5,1.767123288,55,342,16.08187135,987,60.9,432477,20,36.36363636
AZLE ISD,Fort Worth,21.7,23.1,2012,82,132,40.2,1.609756098,46,346,13.29479769,964,50,425292,17,36.95652174
AZLE ISD,Fort Worth,21.4,28.1,2013,94,164,34.1,1.744680851,69,388,17.78350515,962,54.6,413243,17,24.63768116
AZLE ISD,Fort Worth,22,29.1,2014,118,211,36,1.788135593,64,385,16.62337662,982,50.4,391884,24,37.5
AZLE ISD,Fort Worth,21.3,23.8,2015,131,228,34.2,1.740458015,55,403,13.64764268,970,47.4,385407,,
AZLE ISD,Fort Worth,20.5,25.4,2016,122,221,38,1.81147541,54,453,11.9205298,945,44.6,375480,,
AZLE ISD,Fort Worth,20.8,21.4,2017,108,194,32,1.796296296,45,416,10.81730769,1057,39.2,392810,,
BANDERA ISD,San Antonio,23.1,50.9,2011,124,263,19,2.120967742,41,192,21.35416667,1013,70.6,533528,16,39.02439024
BANDERA ISD,San Antonio,20.8,40.1,2012,54,87,36.8,1.611111111,36,172,20.93023256,965,57,578911,10,27.77777778
BANDERA ISD,San Antonio,20.9,52.4,2013,47,85,34.1,1.808510638,29,168,17.26190476,1013,63.1,599874,15,51.72413793
BANDERA ISD,San Antonio,22,45.1,2014,30,52,50,1.733333333,40,162,24.69135802,1010,56.2,624854,11,27.5
BANDERA ISD,San Antonio,22,47,2015,44,70,57.1,1.590909091,28,149,18.79194631,1026,57,659994,,
BANDERA ISD,San Antonio,22.1,42,2016,39,65,41.5,1.666666667,38,176,21.59090909,1006,54.5,664723,,
BANDERA ISD,San Antonio,21.2,38.9,2017,28,71,57.7,2.535714286,29,149,19.46308725,1065,55,670540,,
BARBERS HILL ISD,Houston,22.1,17.9,2011,86,142,60.6,1.651162791,63,282,22.34042553,1029,60.4,751007,27,42.85714286
BARBERS HILL ISD,Houston,21.8,23.3,2012,70,103,50.5,1.471428571,57,270,21.11111111,1015,54.8,697273,25,43.85964912
BARBERS HILL ISD,Houston,21.3,21.5,2013,91,158,48.7,1.736263736,52,289,17.99307958,998,61.2,789780,28,53.84615385
BARBERS HILL ISD,Houston,21.7,25.9,2014,156,269,55.4,1.724358974,65,332,19.57831325,1013,53.9,905494,30,46.15384615
BARBERS HILL ISD,Houston,22.8,19.7,2015,169,307,53.7,1.816568047,88,319,27.5862069,1038,53,883464,,
BARBERS HILL ISD,Houston,22.5,20,2016,191,382,62.3,2,56,315,17.77777778,1023,51.7,976033,,
BARBERS HILL ISD,Houston,20.6,92.4,2017,218,478,64,2.19266055,92,344,26.74418605,1094,39.5,1082616,,
BASTROP ISD,Austin,19.4,15.4,2011,247,506,33.6,2.048582996,112,525,21.33333333,942,56.1,308882,29,25.89285714
BASTROP ISD,Austin,20,15,2012,112,221,59.3,1.973214286,89,515,17.2815534,952,52.8,316748,27,30.33707865
BASTROP ISD,Austin,20.1,12.2,2013,126,263,51,2.087301587,94,617,15.2350081,938,41.8,318564,26,27.65957447
BASTROP ISD,Austin,20,17.6,2014,135,270,43.7,2,97,569,17.04745167,946,50.3,306454,38,39.17525773
BASTROP ISD,Austin,19,17.3,2015,272,617,22,2.268382353,92,578,15.91695502,927,46.4,313113,,
BASTROP ISD,Austin,18.7,25,2016,347,758,26.5,2.18443804,129,721,17.89181692,922,49.4,312909,,
BASTROP ISD,Austin,19.3,20.8,2017,353,818,31.5,2.317280453,132,679,19.44035346,1010,45.5,318106,,
BIRDVILLE ISD,Fort Worth,22,29.7,2011,909,2219,39.8,2.441144114,213,1446,14.73029046,1002,53.2,337577,81,38.02816901
BIRDVILLE ISD,Fort Worth,21.8,30.9,2012,944,2147,47.6,2.274364407,203,1353,15.00369549,993,47.8,309498,90,44.33497537
BIRDVILLE ISD,Fort Worth,21.4,34.1,2013,940,2154,43.8,2.291489362,269,1471,18.28687967,991,46.1,305372,133,49.44237918
BIRDVILLE ISD,Fort Worth,21.4,34.7,2014,971,2258,49,2.325437693,264,1480,17.83783784,995,43.9,311982,122,46.21212121
BIRDVILLE ISD,Fort Worth,21.5,35.3,2015,1082,2730,44.6,2.52310536,262,1552,16.8814433,985,45.4,317725,,
BIRDVILLE ISD,Fort Worth,21.2,36.4,2016,1054,2602,44.4,2.468690702,254,1518,16.73254282,980,48.2,322629,,
BIRDVILLE ISD,Fort Worth,21.4,35.6,2017,1069,2583,44,2.416276894,253,1484,17.04851752,1073,51.8,338349,,
BLANCO ISD,Austin,19.6,70.1,2012,33,55,47.3,1.666666667,21,67,31.34328358,958,41.8,715930,5,23.80952381
BLANCO ISD,Austin,21.6,73,2013,37,68,57.4,1.837837838,25,74,33.78378378,1025,32.4,727452,8,32
BLANCO ISD,Austin,20.9,66.7,2014,29,51,56.9,1.75862069,19,63,30.15873016,1001,41.3,721038,6,31.57894737
BLANCO ISD,Austin,19.7,73.9,2015,34,62,38.7,1.823529412,21,69,30.43478261,965,29,733219,,
BLANCO ISD,Austin,19.9,73.1,2016,34,57,40.4,1.676470588,17,67,25.37313433,948,32.8,751758,,
BOERNE ISD,San Antonio,24.4,38.2,2011,427,1183,60.6,2.770491803,181,506,35.77075099,1070,83.5,692549,81,44.75138122
BOERNE ISD,San Antonio,24.4,49.3,2012,445,1139,66.9,2.559550562,144,525,27.42857143,1084,72.6,689003,62,43.05555556
BOERNE ISD,San Antonio,25,44.8,2013,441,1203,68.1,2.727891156,175,569,30.75571178,1094,76.3,674863,100,57.14285714
BOERNE ISD,San Antonio,24.3,46.2,2014,453,1155,66.4,2.549668874,179,558,32.07885305,1080,74,687364,83,46.36871508
BOERNE ISD,San Antonio,23.6,49,2015,500,1323,57.3,2.646,155,557,27.82764811,1050,74.1,693152,,
BOERNE ISD,San Antonio,23.9,53.3,2016,557,1465,64.1,2.63016158,197,580,33.96551724,1062,77.6,683039,,
BOERNE ISD,San Antonio,24,53.5,2017,607,1579,62.1,2.601317957,206,654,31.49847095,1141,71.3,705406,,
BRAZOSPORT ISD,Houston,22.1,17,2011,240,508,58.1,2.116666667,129,874,14.7597254,1001,48.2,588257,62,48.0620155
BRAZOSPORT ISD,Houston,22.2,21.4,2012,211,434,66.4,2.056872038,121,785,15.41401274,1015,40.3,553129,68,56.19834711
BRAZOSPORT ISD,Houston,21.7,23.6,2013,191,356,65.2,1.863874346,126,759,16.60079051,1026,43.2,544943,61,48.41269841
BRAZOSPORT ISD,Houston,22,18.9,2014,186,382,68.8,2.053763441,130,736,17.66304348,994,43.6,553287,72,55.38461538
BRAZOSPORT ISD,Houston,22.5,16.6,2015,301,603,39.5,2.003322259,119,793,15.00630517,988,40.9,586183,,
BRAZOSPORT ISD,Houston,19.6,57.4,2016,308,616,42.9,2,126,802,15.71072319,999,31.9,588141,,
BRAZOSPORT ISD,Houston,19.9,57.9,2017,302,693,42.7,2.294701987,91,807,11.27633209,1078,23.2,689681,,
BRIDGEPORT ISD,Fort Worth,20.2,33.3,2011,37,67,34.3,1.810810811,27,150,18,964,46.2,580285,11,40.74074074
BRIDGEPORT ISD,Fort Worth,21.1,18.7,2012,30,61,54.1,2.033333333,15,150,10,967,36,571326,,
BRIDGEPORT ISD,Fort Worth,21.6,26.4,2013,35,65,41.5,1.857142857,21,129,16.27906977,1005,39.5,631212,6,28.57142857
BRIDGEPORT ISD,Fort Worth,20,35.1,2014,44,71,38,1.613636364,22,134,16.41791045,979,52.2,666860,9,40.90909091
BRIDGEPORT ISD,Fort Worth,20.2,23.2,2015,38,58,19,1.526315789,24,142,16.90140845,955,45.8,703874,,
BRIDGEPORT ISD,Fort Worth,20.3,33.3,2016,32,58,58.6,1.8125,23,162,14.19753086,958,50.6,735835,,
BURLESON ISD,Fort Worth,22.3,13.5,2011,174,366,55.7,2.103448276,100,636,15.72327044,997,52.9,379208,45,45
BURLESON ISD,Fort Worth,21.2,21.6,2012,281,579,48,2.060498221,93,607,15.32125206,1001,51.6,351767,45,48.38709677
BURLESON ISD,Fort Worth,21.4,20.2,2013,386,844,35,2.186528497,99,683,14.49487555,985,54.8,338552,40,40.4040404
BURLESON ISD,Fort Worth,21.7,23.3,2014,491,1083,39.1,2.205702648,138,725,19.03448276,978,56.8,330044,62,44.92753623
BURLESON ISD,Fort Worth,22.1,19.5,2015,535,1188,36.4,2.220560748,114,752,15.15957447,988,53.5,314727,,
BURLESON ISD,Fort Worth,21.1,26,2016,496,1141,42.9,2.300403226,139,784,17.72959184,968,61,317675,,
BURLESON ISD,Fort Worth,21.5,24.9,2017,456,1144,46.1,2.50877193,145,853,16.99882767,1066,55.2,322091,,
CANTON ISD,Richardson,21.5,31.6,2011,65,104,42.3,1.6,21,129,16.27906977,1030,43.6,312980,9,42.85714286
CANTON ISD,Richardson,21.9,31.8,2012,52,78,55.1,1.5,25,132,18.93939394,1015,39.4,311875,11,44
CANTON ISD,Richardson,21.9,34,2013,55,74,41.9,1.345454545,41,141,29.07801418,1013,43.3,305249,15,36.58536585
CANTON ISD,Richardson,23.8,27.3,2014,53,72,47.2,1.358490566,33,139,23.74100719,1047,48.9,300187,17,51.51515152
CANTON ISD,Richardson,23.5,18.6,2016,65,81,51.9,1.246153846,33,129,25.58139535,1010,57.4,294564,,
CANTON ISD,Richardson,23.3,22.3,2017,65,90,55.6,1.384615385,38,166,22.89156627,1104,56,299359,,
CARROLL ISD,Fort Worth,25.7,81.6,2011,491,1240,83.9,2.525458248,130,565,23.00884956,1155,93.4,732585,66,50.76923077
CARROLL ISD,Fort Worth,26.1,77.3,2012,526,1362,84.1,2.589353612,172,669,25.71001495,1165,84,714518,108,62.79069767
CARROLL ISD,Fort Worth,26,78.6,2013,524,1345,86.3,2.566793893,144,589,24.44821732,1167,78.3,724355,70,48.61111111
CARROLL ISD,Fort Worth,26.6,81,2014,633,1709,83.7,2.699842022,179,620,28.87096774,1180,81.9,725097,119,66.48044693
CARROLL ISD,Fort Worth,26.6,84.9,2015,685,1881,80.4,2.745985401,188,661,28.44175492,1187,74,747542,,
CARROLL ISD,Fort Worth,26.8,84.3,2016,694,2031,82.6,2.926512968,175,617,28.363047,1186,76.2,776489,,
CARROLL ISD,Fort Worth,27.1,84.6,2017,771,2123,83,2.753566796,188,664,28.31325301,1261,70.2,803421,,
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.6,27.5,2011,939,1871,53.3,1.992545261,318,1568,20.28061224,998,63.3,555508,120,37.73584906
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.8,27.4,2012,937,1988,52.6,2.121664888,281,1617,17.37786024,999,59.6,524292,116,41.28113879
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.6,25.7,2013,1026,2162,47.9,2.107212476,285,1671,17.0556553,990,56.5,520350,105,36.84210526
CARROLLTON-FARMERS BRANCH ISD,Richardson,21,25.4,2014,995,2234,49,2.245226131,326,1641,19.86593541,1000,56.6,528929,155,47.54601227
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.1,23.8,2015,967.5,2250,42.3,2.325581395,303,1650,18.36363636,984,57.8,553416,,
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.4,26.4,2016,1035,2047.5,42,1.97826087,276,1608,17.1641791,976,55.9,587818,,
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.8,27.5,2017,877.5,1957.5,48.5,2.230769231,321,1597,20.10018785,1058,57.1,651220,,
CASTLEBERRY ISD,Fort Worth,19.6,14.8,2011,94,184,16.3,1.957446809,35,172,20.34883721,904,60.5,144198,,
CASTLEBERRY ISD,Fort Worth,19.8,9.1,2012,86,154,12.3,1.790697674,23,164,14.02439024,943,44.5,126550,10,43.47826087
CASTLEBERRY ISD,Fort Worth,19.6,4.6,2013,64,92,18.5,1.4375,19,174,10.91954023,901,41.4,124494,6,31.57894737
CASTLEBERRY ISD,Fort Worth,17.6,4.8,2014,71,114,14.9,1.605633803,23,187,12.29946524,873,45.5,123049,6,26.08695652
CASTLEBERRY ISD,Fort Worth,19,7.4,2015,83,127,10.2,1.530120482,23,188,12.23404255,886,38.3,121183,,
CASTLEBERRY ISD,Fort Worth,17.8,12,2016,93,153,5.2,1.64516129,28,200,14,857,48.5,119204,,
CASTLEBERRY ISD,Fort Worth,17.5,5.6,2017,142,236,4.2,1.661971831,14,214,6.542056075,950,44.4,118337,,
CEDAR HILL ISD,Richardson,18.3,60.1,2011,64,122,26.2,1.90625,120,534,22.47191011,872,55.4,349962,26,21.66666667
CEDAR HILL ISD,Richardson,19.1,63.4,2012,63,109,20.2,1.73015873,175,528,33.14393939,906,52.3,336580,38,21.71428571
CEDAR HILL ISD,Richardson,19.2,53.6,2014,38,61,21.3,1.605263158,156,541,28.83548983,911,48.4,335684,40,25.64102564
CEDAR HILL ISD,Richardson,18.6,48.8,2015,179,308,14.6,1.720670391,174,613,28.38499184,905,54.3,334031,,
CEDAR HILL ISD,Richardson,19.5,53.9,2016,177,304,13.2,1.717514124,184,595,30.92436975,909,54.5,332369,,
CEDAR HILL ISD,Richardson,18.8,54.5,2017,177,302,9.6,1.706214689,186,594,31.31313131,996,56.4,364558,,
CELINA ISD,Richardson,22.6,97,2011,85,152,31.6,1.788235294,28,115,24.34782609,1030,42.6,347996,14,50
CELINA ISD,Richardson,22.8,85.5,2012,82,138,59.4,1.682926829,24,145,16.55172414,1104,23.4,331019,12,50
CELINA ISD,Richardson,22.2,75,2013,74,128,54.7,1.72972973,36,148,24.32432432,1018,11.5,330339,19,52.77777778
CELINA ISD,Richardson,21.9,68.7,2014,77,107,46.7,1.38961039,25,134,18.65671642,1021,22.4,330842,18,72
CELINA ISD,Richardson,21.7,70.4,2015,88,112,37.5,1.272727273,25,152,16.44736842,1088,9.9,329084,,
CELINA ISD,Richardson,22.2,69.9,2016,92,118,50,1.282608696,31,173,17.91907514,1064,16.8,328523,,
CELINA ISD,Richardson,22.7,69.9,2017,109,146,58.9,1.339449541,42,163,25.76687117,1170,21.5,363462,,
CHANNELVIEW ISD,Houston,17,11.4,2011,159,278,41.4,1.748427673,53,491,10.79429735,898,42.1,286616,9,16.98113208
CHANNELVIEW ISD,Houston,17.8,19.5,2012,257,478,25.9,1.859922179,62,498,12.4497992,872,47.4,277548,15,24.19354839
CHANNELVIEW ISD,Houston,17.7,19.5,2013,288,616,21.6,2.138888889,59,481,12.26611227,897,41.8,271648,19,32.20338983
CHANNELVIEW ISD,Houston,17.3,23,2014,320,608,19.2,1.9,62,486,12.75720165,882,51.4,282106,17,27.41935484
CHANNELVIEW ISD,Houston,17.7,24.1,2015,276,539,23.4,1.952898551,86,498,17.26907631,896,50.8,303255,,
CHANNELVIEW ISD,Houston,18.1,23.3,2016,325,681,22,2.095384615,75,554,13.53790614,886,54,305450,,
CHANNELVIEW ISD,Houston,18.6,18.9,2017,295,574,21.1,1.945762712,69,609,11.33004926,977,50.6,304688,,
CLEAR CREEK ISD,Houston,23.5,31.2,2011,1504,3264,70.3,2.170212766,800,2671,29.95132909,1069,75.4,421864,349,43.625
CLEAR CREEK ISD,Houston,23.5,32.4,2012,1532,3264,70.9,2.130548303,737,2700,27.2962963,1066,70.7,412053,349,47.3541384
CLEAR CREEK ISD,Houston,23.6,31.8,2013,1634,3633,67.4,2.223378213,746,2797,26.67143368,1069,66.5,417074,359,48.1233244
CLEAR CREEK ISD,Houston,24.1,36.4,2014,1695,3831,72.3,2.260176991,875,2748,31.84133916,1079,68.3,417580,412,47.08571429
CLEAR CREEK ISD,Houston,23.5,36.6,2015,1665,3753,69.1,2.254054054,887,2981,29.75511573,1073,67.6,427252,,
CLEAR CREEK ISD,Houston,23.4,38.5,2016,1815,4188,66,2.307438017,823,2914,28.242965,1063,63,443525,,
CLEAR CREEK ISD,Houston,23.7,34.7,2017,1767,4435,66.1,2.509903792,947,3018,31.37839629,1138,65,476015,,
CLEBURNE ISD,Fort Worth,22.2,17.7,2011,94,120,35.8,1.276595745,55,389,14.13881748,990,41.4,529519,22,40
CLEBURNE ISD,Fort Worth,22.3,13.9,2012,113,166,31.9,1.469026549,76,418,18.18181818,984,44.3,474731,24,31.57894737
CLEBURNE ISD,Fort Worth,21,14.8,2013,99,193,35.8,1.949494949,62,405,15.30864198,959,44.4,472298,21,33.87096774
CLEBURNE ISD,Fort Worth,21.7,14.5,2014,165,340,34.1,2.060606061,71,394,18.02030457,955,48.2,459469,28,39.43661972
CLEBURNE ISD,Fort Worth,20.5,17.7,2015,165,367,37.1,2.224242424,52,361,14.40443213,941,44.9,435558,,
CLEBURNE ISD,Fort Worth,19.6,11,2016,169,351,34.2,2.076923077,63,437,14.41647597,932,40,405497,,
CLEBURNE ISD,Fort Worth,20.2,11.9,2017,175,351,35.3,2.005714286,47,396,11.86868687,1009,43.4,412297,,
CLEVELAND ISD,Houston,19.1,26.3,2011,32,53,15.1,1.65625,20,160,12.5,908,49.6,196567,5,25
CLEVELAND ISD,Houston,15.5,100,2017,73,89,15.7,1.219178082,25,224,11.16071429,855,88.8,207648,,
COMAL ISD,Austin,22.1,29.4,2011,583,1235,47.1,2.118353345,336,1159,28.99050906,995,77.4,632631,116,34.52380952
COMAL ISD,Austin,22,30.4,2012,662,1399,41.9,2.113293051,295,1116,26.43369176,1002,66.8,601831,123,41.69491525
COMAL ISD,Austin,22.3,34.2,2013,696,1603,44.6,2.30316092,323,1232,26.21753247,1014,65.3,569987,146,45.20123839
COMAL ISD,Austin,22.2,28.1,2014,867,1965,43.6,2.266435986,379,1263,30.00791766,1013,63.9,565606,173,45.64643799
COMAL ISD,Austin,22.4,28.7,2015,891,2111,41.1,2.369248036,369,1380,26.73913043,1009,64.6,576218,,
COMAL ISD,Austin,22.1,28.4,2016,905,2091,49,2.310497238,369,1406,26.24466572,1010,63.4,607061,,
COMAL ISD,San Antonio,22.6,35.6,2017,946,2035,51.9,2.151162791,372,1490,24.96644295,1062,84.3,639769,,
COMMUNITY ISD,Richardson,20.1,22.3,2014,35,61,14.8,1.742857143,14,103,13.59223301,947,52.4,291190,6,42.85714286
COPPELL ISD,Richardson,25.2,63.9,2011,539,1062,71.1,1.970315399,249,727,34.25034388,1140,87.9,752664,123,49.39759036
COPPELL ISD,Richardson,25.1,65.7,2012,623,1326,73.2,2.128410915,208,778,26.73521851,1150,83.7,690284,125,60.09615385
COPPELL ISD,Richardson,25.2,63.5,2013,715,1686,69.4,2.358041958,252,781,32.26632522,1142,88.7,664460,131,51.98412698
COPPELL ISD,Richardson,25.2,61.9,2014,675,1737,64.5,2.573333333,297,827,35.91293833,1153,86.7,676785,176,59.25925926
COPPELL ISD,Richardson,23.6,98.5,2015,771,2037,78,2.642023346,299,853,35.05275498,1155,74.7,705142,,
COPPELL ISD,Richardson,24.4,96.9,2016,720,1987,82,2.759722222,262,896,29.24107143,1162,74.4,733972,,
COPPELL ISD,Richardson,25.1,96.5,2017,787.5,2183,80.2,2.772063492,312,895,34.8603352,1249,67.6,771171,,
CRANDALL ISD,Richardson,20.5,49.1,2011,66,96,7.3,1.454545455,39,176,22.15909091,970,38.5,190696,17,43.58974359
CRANDALL ISD,Richardson,21.1,43.5,2012,74,144,10.4,1.945945946,35,191,18.32460733,1002,42.4,192849,15,42.85714286
CRANDALL ISD,Richardson,20.2,38.1,2014,81,124,27.4,1.530864198,38,226,16.81415929,997,35.4,179088,26,68.42105263
CRANDALL ISD,Richardson,20.8,39.4,2015,119,234,27.4,1.966386555,42,216,19.44444444,960,45.4,175505,,
CRANDALL ISD,Richardson,19.6,31.3,2016,97,165,33.9,1.701030928,41,227,18.06167401,925,47.1,163283,,
CRANDALL ISD,Richardson,20.5,40.9,2017,120,194,23.2,1.616666667,42,230,18.26086957,1034,37.4,161252,,
CROSBY ISD,Houston,18.6,32.4,2011,104,206,40.8,1.980769231,54,321,16.82242991,972,46.2,260603,20,37.03703704
CROSBY ISD,Houston,19.4,29.2,2012,101,184,37.5,1.821782178,45,315,14.28571429,981,34.9,272000,21,46.66666667
CROSBY ISD,Houston,19.4,25.4,2013,84,170,43.5,2.023809524,50,335,14.92537313,984,35.5,263186,17,34
CROSBY ISD,Houston,18.8,25.4,2014,65,126,49.2,1.938461538,46,307,14.98371336,963,36.5,254001,11,23.91304348
CROSBY ISD,Houston,18.6,23.7,2015,95,182,28,1.915789474,53,321,16.51090343,949,39.6,249983,,
CROSBY ISD,Houston,20.1,19.5,2016,95,186,37.6,1.957894737,61,399,15.28822055,926,42.4,276356,,
CROSBY ISD,Houston,20.1,13.8,2017,107,190,47.9,1.775700935,69,356,19.38202247,958,89,289761,,
CROWLEY ISD,Fort Worth,20.2,25.1,2011,283,586,48.8,2.070671378,181,905,20,941,70.3,356715,56,30.93922652
CROWLEY ISD,Fort Worth,19.9,22.9,2012,290,528,46.2,1.820689655,190,910,20.87912088,928,66.2,332041,71,37.36842105
CROWLEY ISD,Fort Worth,19,22.9,2013,291,564,44.7,1.93814433,195,994,19.61770624,917,62.8,342343,61,31.28205128
CROWLEY ISD,Fort Worth,18.6,27.5,2014,524,1029,30.5,1.963740458,198,885,22.37288136,909,59.9,340057,60,30.3030303
CROWLEY ISD,Fort Worth,19.3,26.4,2015,499,1106,32.7,2.216432866,170,1003,16.94915254,898,56,347124,,
CROWLEY ISD,Fort Worth,19,26.5,2016,441,1139,33.9,2.58276644,207,1020,20.29411765,895,54.4,348992,,
CROWLEY ISD,Fort Worth,18.3,26.3,2017,427,947,27.3,2.217798595,156,1027,15.18987342,960,57.7,355396,,
CYPRESS-FAIRBANKS ISD,Houston,21.5,28.3,2011,2735,6181,60.4,2.259963437,1481,6310,23.47068146,1025,65.7,348189,597,40.31060095
CYPRESS-FAIRBANKS ISD,Houston,21.6,28.2,2012,2427,5342,65.9,2.201071281,1397,6419,21.76351457,1020,61.6,333118,615,44.02290623
CYPRESS-FAIRBANKS ISD,Houston,21.9,28.2,2013,2620,5896,64.2,2.250381679,1515,6982,21.69865368,1024,60,331245,667,44.02640264
CYPRESS-FAIRBANKS ISD,Houston,21.9,31,2014,2738,5907,64,2.157414171,1696,7161,23.68384304,1023,59.7,338826,849,50.05896226
CYPRESS-FAIRBANKS ISD,Houston,22.1,34.8,2015,3243,7100,60.8,2.189330866,1637,7479,21.88795293,1015,59.1,361435,,
CYPRESS-FAIRBANKS ISD,Houston,19.2,95.4,2016,3543,7869,61,2.220999153,1776,7804,22.75756023,1012,54.3,390500,,
CYPRESS-FAIRBANKS ISD,Houston,19.5,92.5,2017,3830,8451,61.3,2.206527415,1727,8072,21.39494549,1097,53.6,439280,,
DALLAS ISD,Richardson,17.1,44.5,2011,5619,13532,21.5,2.408257697,1118,7267,15.38461538,863,66,546939,203,18.15742397
DALLAS ISD,Richardson,17.2,42.8,2012,5569,12825,24.6,2.302926917,1247,7275,17.14089347,863,64.8,513227,280,22.45388933
DALLAS ISD,Richardson,17.1,42.3,2013,5515,13727,24.3,2.489029918,1214,7706,15.75395795,856,64.6,503354,336,27.67710049
DALLAS ISD,Richardson,17.1,45.7,2014,6030,17013,25,2.821393035,1222,7410,16.49122807,865,65.4,511155,322,26.3502455
DALLAS ISD,Richardson,16.1,87.6,2015,6648,17417,23.7,2.61988568,1253,7505,16.69553631,799,100,533092,,
DALLAS ISD,Richardson,16.3,89.9,2016,6097.5,16910,24.7,2.773267733,1264,7774,16.25932596,799,100,568872,,
DALLAS ISD,Richardson,16.8,91.7,2017,6933,17825,24.7,2.571037069,1446,7685,18.81587508,921,97.7,628461,,
DAYTON ISD,Houston,19.7,13.4,2011,64,122,29.5,1.90625,38,300,12.66666667,930,46.1,289938,8,21.05263158
DAYTON ISD,Houston,18.7,8,2012,38,66,40.9,1.736842105,38,348,10.91954023,927,37.9,287850,16,42.10526316
DAYTON ISD,Houston,19.5,8.3,2013,41,81,34.6,1.975609756,36,336,10.71428571,938,33.9,306917,15,41.66666667
DAYTON ISD,Houston,18.3,8.9,2014,47,75,25.3,1.595744681,37,314,11.78343949,938,38.5,307752,15,40.54054054
DAYTON ISD,Houston,18.7,12.9,2015,64,106,21.7,1.65625,40,319,12.53918495,917,34.5,298671,,
DAYTON ISD,Houston,19.9,5.3,2016,65,105,26.7,1.615384615,40,304,13.15789474,905,39.8,301054,,
DAYTON ISD,Houston,19.6,11.8,2017,77,139,36.7,1.805194805,47,364,12.91208791,1001,39.3,325055,,
DECATUR ISD,Fort Worth,21.1,63.9,2011,47,91,59.3,1.936170213,50,209,23.92344498,996,42.4,770679,23,46
DECATUR ISD,Fort Worth,21.1,61.5,2012,37,87,72.4,2.351351351,33,205,16.09756098,994,25.9,805956,18,54.54545455
DECATUR ISD,Fort Worth,21.3,43,2013,50,100,48,2,33,186,17.74193548,1005,33.9,774948,17,51.51515152
DECATUR ISD,Fort Worth,21.8,49.3,2014,67,124,42.7,1.850746269,32,203,15.7635468,989,24.6,811515,15,46.875
DECATUR ISD,Fort Worth,22.1,39.5,2015,82,158,41.8,1.926829268,39,200,19.5,979,25.5,791631,,
DECATUR ISD,Fort Worth,20.7,54.8,2016,110,219,28.3,1.990909091,47,188,25,972,36.7,775684,,
DECATUR ISD,Fort Worth,20.6,60.5,2017,114,228,30.7,2,52,200,26,1036,38.5,748713,,
DEER PARK ISD,Houston,21.8,16.3,2011,240,445,45.6,1.854166667,136,864,15.74074074,1002,44.8,615668,81,59.55882353
DEER PARK ISD,Houston,21.6,16.8,2012,219,417,53.7,1.904109589,118,855,13.80116959,1001,46.9,566381,73,61.86440678
DEER PARK ISD,Houston,22,13,2013,328,516,42.8,1.573170732,129,855,15.0877193,993,45.8,587969,55,42.63565891
DEER PARK ISD,Houston,20.8,17,2014,268,522,47.9,1.947761194,120,928,12.93103448,986,47.3,557202,72,60
DEER PARK ISD,Houston,20.9,11.5,2015,400,895,33.9,2.2375,111,904,12.27876106,975,42.1,591623,,
DEER PARK ISD,Houston,21.3,14.5,2016,436,996,30.3,2.28440367,147,991,14.83350151,975,49.5,618557,,
DEER PARK ISD,Houston,21.8,14.1,2017,392,829,40,2.114795918,145,927,15.64185545,1065,47.2,627933,,
DEL VALLE ISD,Austin,18.7,31.7,2011,334,602,24.4,1.80239521,81,612,13.23529412,876,49.4,324622,20,24.69135802
DEL VALLE ISD,Austin,17.4,46.8,2012,307,534,27,1.739413681,89,616,14.44805195,868,29.5,286558,12,13.48314607
DEL VALLE ISD,Austin,17.8,41.2,2013,348,600,18.5,1.724137931,74,611,12.11129296,866,36.3,280218,19,25.67567568
DEL VALLE ISD,Austin,17.6,44.7,2014,379,658,28.3,1.736147757,66,586,11.26279863,847,36.9,281184,12,18.18181818
DEL VALLE ISD,Austin,18.2,38.9,2015,383,824,23.2,2.151436031,89,627,14.19457735,877,43.1,310976,,
DEL VALLE ISD,Austin,18.3,28.5,2016,368,829,29.1,2.252717391,73,691,10.56439942,845,41,343664,,
DEL VALLE ISD,Austin,18.2,19.9,2017,430,933,19.3,2.169767442,89,632,14.08227848,868,85.1,399519,,
DENISON ISD,Richardson,21.3,41.7,2011,123,289,49.5,2.349593496,32,319,10.03134796,1036,29.5,290422,14,43.75
DENISON ISD,Richardson,21.7,44.1,2012,119,291,53.3,2.445378151,21,290,7.24137931,1010,28.3,320449,7,33.33333333
