DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,12,14.1%,32,37.7%,41,48.2%,85,100.0%
109901   ABBOTT ISD,11,40.7%,12,44.4%,*,*,27,100.0%
095901   ABERNATHY ISD,8,14.8%,18,33.3%,28,51.9%,54,100.0%
221901   ABILENE ISD,123,13.1%,165,17.6%,650,69.3%,938,100.0%
014901   ACADEMY ISD,17,17.4%,37,37.8%,44,44.9%,98,100.0%
015816   ACADEMY OF CAREERS AND TECHNOLOGIE,,,*,*,13,81.3%,16,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,6,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,15,39.5%,38,100.0%
178901   AGUA DULCE ISD,8,29.6%,8,29.6%,11,40.7%,27,100.0%
015901   ALAMO HEIGHTS ISD,75,20.3%,91,24.7%,203,55.0%,369,100.0%
250906   ALBA-GOLDEN ISD,9,13.0%,22,31.9%,38,55.1%,69,100.0%
209901   ALBANY ISD,9,39.1%,8,34.8%,6,26.1%,23,100.0%
101902   ALDINE ISD,539,16.0%,883,26.2%,"1,948",57.8%,"3,370",100.0%
184907   ALEDO ISD,103,24.5%,150,35.7%,167,39.8%,420,100.0%
125901   ALICE ISD,65,22.7%,86,30.0%,136,47.4%,287,100.0%
101903   ALIEF ISD,503,19.7%,587,22.9%,"1,470",57.4%,"2,560",100.0%
043901   ALLEN ISD,357,26.2%,427,31.3%,581,42.6%,"1,365",100.0%
057832   ALPHA CHARTER SCHOOL,,,*,*,24,96.0%,25,100.0%
022901   ALPINE ISD,*,*,*,*,21,35.6%,59,100.0%
037901   ALTO ISD,10,18.5%,13,24.1%,31,57.4%,54,100.0%
126901   ALVARADO ISD,37,14.9%,64,25.8%,147,59.3%,248,100.0%
020901   ALVIN ISD,230,19.3%,382,32.0%,582,48.7%,"1,194",100.0%
249901   ALVORD ISD,16,28.6%,16,28.6%,24,42.9%,56,100.0%
188901   AMARILLO ISD,294,16.6%,700,39.5%,777,43.9%,"1,771",100.0%
140901   AMHERST ISD,,,7,63.6%,*,*,11,100.0%
036901   ANAHUAC ISD,18,22.2%,25,30.9%,38,46.9%,81,100.0%
093901   ANDERSON-SHIRO CISD,7,20.6%,10,29.4%,17,50.0%,34,100.0%
002901   ANDREWS ISD,45,17.7%,61,23.9%,149,58.4%,255,100.0%
020902   ANGLETON ISD,70,17.0%,138,33.5%,204,49.5%,412,100.0%
043902   ANNA ISD,16,11.2%,54,37.8%,73,51.1%,143,100.0%
127901   ANSON ISD,12,27.3%,7,15.9%,25,56.8%,44,100.0%
071906   ANTHONY ISD,11,22.5%,7,14.3%,31,63.3%,49,100.0%
110901   ANTON ISD,*,*,*,*,*,*,9,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,11,52.4%,21,100.0%
109912   AQUILLA ISD,*,*,*,*,9,37.5%,24,100.0%
004901   ARANSAS COUNTY ISD,48,23.0%,48,23.0%,113,54.1%,209,100.0%
205901   ARANSAS PASS ISD,8,8.1%,20,20.2%,71,71.7%,99,100.0%
005901   ARCHER CITY ISD,12,30.8%,9,23.1%,18,46.2%,39,100.0%
061910   ARGYLE ISD,63,35.8%,42,23.9%,71,40.3%,176,100.0%
220901   ARLINGTON ISD,800,21.3%,"1,080",28.7%,"1,882",50.0%,"3,762",100.0%
212901   ARP ISD,7,8.1%,34,39.1%,46,52.9%,87,100.0%
217901   ASPERMONT ISD,*,*,*,*,*,*,11,100.0%
107901   ATHENS ISD,25,12.7%,63,32.0%,109,55.3%,197,100.0%
034901   ATLANTA ISD,19,14.4%,27,20.5%,86,65.2%,132,100.0%
061907   AUBREY ISD,26,23.4%,29,26.1%,56,50.5%,111,100.0%
227901   AUSTIN ISD,889,20.9%,951,22.4%,"2,414",56.8%,"4,254",100.0%
196901   AUSTWELL-TIVOLI ISD,*,*,*,*,6,42.9%,14,100.0%
070901   AVALON ISD,*,*,*,*,10,55.6%,18,100.0%
194902   AVERY ISD,*,*,*,*,11,44.0%,25,100.0%
034902   AVINGER ISD,*,*,*,*,8,47.1%,17,100.0%
161918   AXTELL ISD,5,9.3%,28,51.9%,21,38.9%,54,100.0%
220915   AZLE ISD,55,13.7%,129,32.0%,219,54.3%,403,100.0%
030903   BAIRD ISD,*,*,*,*,8,34.8%,23,100.0%
200901   BALLINGER ISD,19,30.7%,9,14.5%,34,54.8%,62,100.0%
195902   BALMORHEA ISD,*,*,*,*,,,8,100.0%
010902   BANDERA ISD,28,18.8%,31,20.8%,90,60.4%,149,100.0%
025901   BANGS ISD,7,9.3%,21,28.0%,47,62.7%,75,100.0%
178913   BANQUETE ISD,17,27.9%,10,16.4%,34,55.7%,61,100.0%
036902   BARBERS HILL ISD,88,27.6%,133,41.7%,98,30.7%,319,100.0%
014902   BARTLETT ISD,*,*,*,*,19,79.2%,24,100.0%
011901   BASTROP ISD,92,15.9%,106,18.3%,380,65.7%,578,100.0%
158901   BAY CITY ISD,34,15.0%,71,31.4%,121,53.5%,226,100.0%
123910   BEAUMONT ISD,309,28.2%,217,19.8%,570,52.0%,"1,096",100.0%
183901   BECKVILLE ISD,*,*,*,*,11,31.4%,35,100.0%
013901   BEEVILLE ISD,20,10.6%,75,39.7%,94,49.7%,189,100.0%
039904   BELLEVUE ISD,*,*,*,*,8,53.3%,15,100.0%
091901   BELLS ISD,12,27.3%,16,36.4%,16,36.4%,44,100.0%
008901   BELLVILLE ISD,34,23.0%,60,40.5%,54,36.5%,148,100.0%
014903   BELTON ISD,130,18.4%,219,31.1%,356,50.5%,705,100.0%
125902   BEN BOLT-PALITO BLANCO ISD,9,17.3%,17,32.7%,26,50.0%,52,100.0%
066901   BENAVIDES ISD,7,38.9%,5,27.8%,6,33.3%,18,100.0%
138904   BENJAMIN ISD,,,*,*,,,*,*
187901   BIG SANDY ISD,7,18.4%,11,29.0%,20,52.6%,38,100.0%
230901   BIG SANDY ISD,7,19.4%,12,33.3%,17,47.2%,36,100.0%
114901   BIG SPRING ISD,22,10.5%,58,27.8%,129,61.7%,209,100.0%
193801   BIG SPRINGS CHARTER SCHOOL,*,*,*,*,7,50.0%,14,100.0%
220902   BIRDVILLE ISD,262,16.9%,543,35.0%,747,48.1%,"1,552",100.0%
178902   BISHOP CISD,35,36.5%,22,22.9%,39,40.6%,96,100.0%
177903   BLACKWELL CISD,*,*,*,*,*,*,11,100.0%
016902   BLANCO ISD,21,30.4%,20,29.0%,28,40.6%,69,100.0%
116915   BLAND ISD,10,25.0%,11,27.5%,19,47.5%,40,100.0%
025904   BLANKET ISD,*,*,*,*,6,54.6%,11,100.0%
034909   BLOOMBURG ISD,,,15,68.2%,7,31.8%,22,100.0%
175902   BLOOMING GROVE ISD,13,18.8%,33,47.8%,23,33.3%,69,100.0%
235901   BLOOMINGTON ISD,*,*,*,*,30,56.6%,53,100.0%
043917   BLUE RIDGE ISD,9,18.4%,21,42.9%,19,38.8%,49,100.0%
109913   BLUM ISD,*,*,*,*,11,42.3%,26,100.0%
123807   BOB HOPE SCHOOL,*,*,*,*,7,33.3%,21,100.0%
130901   BOERNE ISD,155,27.8%,129,23.2%,273,49.0%,557,100.0%
116916   BOLES ISD,9,29.0%,14,45.2%,8,25.8%,31,100.0%
241901   BOLING ISD,*,*,*,*,17,27.4%,62,100.0%
074903   BONHAM ISD,22,19.6%,22,19.6%,68,60.7%,112,100.0%
148901   BOOKER ISD,*,*,*,*,17,63.0%,27,100.0%
017901   BORDEN COUNTY ISD,6,42.9%,5,35.7%,*,*,14,100.0%
117901   BORGER ISD,21,11.1%,64,33.7%,105,55.3%,190,100.0%
161923   BOSQUEVILLE ISD,*,*,*,*,15,34.1%,44,100.0%
185901   BOVINA ISD,*,*,*,*,14,58.3%,24,100.0%
169901   BOWIE ISD,21,21.4%,18,18.4%,59,60.2%,98,100.0%
249902   BOYD ISD,14,15.4%,23,25.3%,54,59.3%,91,100.0%
180901   BOYS RANCH ISD,11,22.5%,14,28.6%,24,49.0%,49,100.0%
136901   BRACKETT ISD,12,25.0%,21,43.8%,15,31.3%,48,100.0%
160901   BRADY ISD,21,29.2%,11,15.3%,40,55.6%,72,100.0%
008903   BRAZOS ISD,*,*,*,*,36,58.1%,62,100.0%
213801   BRAZOS RIVER CHARTER SCHOOL,,,*,*,37,94.9%,39,100.0%
020905   BRAZOSPORT ISD,119,15.0%,317,40.0%,357,45.0%,793,100.0%
215901   BRECKENRIDGE ISD,15,16.7%,26,28.9%,49,54.4%,90,100.0%
198901   BREMOND ISD,*,*,*,*,13,34.2%,38,100.0%
239901   BRENHAM ISD,57,18.5%,102,33.1%,149,48.4%,308,100.0%
181901   BRIDGE CITY ISD,40,22.5%,60,33.7%,78,43.8%,178,100.0%
249903   BRIDGEPORT ISD,24,16.9%,36,25.4%,82,57.8%,142,100.0%
243801   BRIGHT IDEAS CHARTER,*,*,,,7,87.5%,8,100.0%
203902   BROADDUS ISD,6,23.1%,8,30.8%,12,46.2%,26,100.0%
184909   BROCK ISD,16,22.9%,32,45.7%,22,31.4%,70,100.0%
