DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
041901   BRONTE ISD,9,36.0%,6,24.0%,10,40.0%,25,100.0%
121902   BROOKELAND ISD,*,*,*,*,12,48.0%,25,100.0%
025908   BROOKESMITH ISD,*,*,,,8,80.0%,10,100.0%
015830   BROOKS ACADEMY OF SCIENCE AND ENGI,15,18.8%,27,33.8%,38,47.5%,80,100.0%
024901   BROOKS COUNTY ISD,21,23.9%,26,29.6%,41,46.6%,88,100.0%
223901   BROWNFIELD ISD,6,5.0%,39,32.2%,76,62.8%,121,100.0%
107902   BROWNSBORO ISD,25,13.8%,67,37.0%,89,49.2%,181,100.0%
031901   BROWNSVILLE ISD,782,27.4%,656,23.0%,"1,414",49.6%,"2,852",100.0%
025902   BROWNWOOD ISD,44,20.8%,25,11.8%,143,67.5%,212,100.0%
161919   BRUCEVILLE-EDDY ISD,7,12.1%,24,41.4%,27,46.6%,58,100.0%
021902   BRYAN ISD,139,16.0%,195,22.5%,533,61.5%,867,100.0%
119901   BRYSON ISD,*,*,*,*,6,37.5%,16,100.0%
166907   BUCKHOLTS ISD,,,*,*,12,85.7%,14,100.0%
186901   BUENA VISTA ISD,*,*,*,*,*,*,8,100.0%
145901   BUFFALO ISD,13,22.8%,20,35.1%,24,42.1%,57,100.0%
212902   BULLARD ISD,31,20.4%,51,33.6%,70,46.1%,152,100.0%
121903   BUNA ISD,23,22.6%,26,25.5%,53,52.0%,102,100.0%
243901   BURKBURNETT ISD,46,21.3%,53,24.5%,117,54.2%,216,100.0%
176901   BURKEVILLE ISD,*,*,*,*,13,56.5%,23,100.0%
126902   BURLESON ISD,114,15.2%,276,36.7%,362,48.1%,752,100.0%
027903   BURNET CISD,42,18.8%,55,24.6%,127,56.7%,224,100.0%
071801   BURNHAM WOOD CHARTER SCHOOL DISTRI,*,*,*,*,*,*,17,100.0%
239903   BURTON ISD,*,*,*,*,8,42.1%,19,100.0%
188904   BUSHLAND ISD,33,32.0%,31,30.1%,39,37.9%,103,100.0%
109902   BYNUM ISD,*,*,*,*,5,33.3%,15,100.0%
116901   CADDO MILLS ISD,17,18.5%,42,45.7%,33,35.9%,92,100.0%
178903   CALALLEN ISD,80,29.7%,67,24.9%,122,45.4%,269,100.0%
026901   CALDWELL ISD,18,15.5%,38,32.8%,60,51.7%,116,100.0%
029901   CALHOUN COUNTY ISD,55,19.8%,65,23.4%,158,56.8%,278,100.0%
049905   CALLISBURG ISD,16,18.4%,27,31.0%,44,50.6%,87,100.0%
198902   CALVERT ISD,*,*,*,*,*,*,9,100.0%
101837   CALVIN NELMS CHARTER SCHOOLS,*,*,*,*,19,67.9%,28,100.0%
166901   CAMERON ISD,19,22.1%,29,33.7%,38,44.2%,86,100.0%
116910   CAMPBELL ISD,*,*,*,*,13,48.2%,27,100.0%
106901   CANADIAN ISD,12,27.3%,7,15.9%,25,56.8%,44,100.0%
234902   CANTON ISD,30,22.1%,40,29.4%,66,48.5%,136,100.0%
071907   CANUTILLO ISD,94,22.3%,102,24.2%,225,53.4%,421,100.0%
191901   CANYON ISD,206,33.8%,167,27.4%,236,38.8%,609,100.0%
201913   CARLISLE ISD,*,*,*,*,27,57.5%,47,100.0%
064903   CARRIZO SPRINGS CISD,29,20.1%,55,38.2%,60,41.7%,144,100.0%
220919   CARROLL ISD,188,28.4%,137,20.7%,336,50.8%,661,100.0%
057903   CARROLLTON-FARMERS BRANCH ISD,303,18.4%,469,28.4%,878,53.2%,"1,650",100.0%
183902   CARTHAGE ISD,29,18.4%,60,38.0%,69,43.7%,158,100.0%
220917   CASTLEBERRY ISD,23,12.2%,51,27.1%,114,60.6%,188,100.0%
001902   CAYUGA ISD,8,14.3%,24,42.9%,24,42.9%,56,100.0%
057904   CEDAR HILL ISD,174,28.4%,162,26.4%,277,45.2%,613,100.0%
116902   CELESTE ISD,11,25.6%,13,30.2%,19,44.2%,43,100.0%
043903   CELINA ISD,25,16.5%,49,32.2%,78,51.3%,152,100.0%
210901   CENTER ISD,18,13.6%,73,55.3%,41,31.1%,132,100.0%
133901   CENTER POINT ISD,*,*,*,*,28,65.1%,43,100.0%
145902   CENTERVILLE ISD,15,26.8%,20,35.7%,21,37.5%,56,100.0%
228904   CENTERVILLE ISD,*,*,*,*,8,57.1%,14,100.0%
174908   CENTRAL HEIGHTS ISD,17,24.3%,23,32.9%,30,42.9%,70,100.0%
003907   CENTRAL ISD,8,8.1%,38,38.4%,53,53.5%,99,100.0%
101905   CHANNELVIEW ISD,86,17.3%,161,32.3%,251,50.4%,498,100.0%
103901   CHANNING ISD,*,*,*,*,*,*,8,100.0%
227814   CHAPARRAL STAR ACADEMY,*,*,*,*,15,51.7%,29,100.0%
212909   CHAPEL HILL ISD,24,11.6%,73,35.3%,110,53.1%,207,100.0%
225906   CHAPEL HILL ISD,11,13.6%,35,43.2%,35,43.2%,81,100.0%
007901   CHARLOTTE ISD,5,14.3%,8,22.9%,22,62.9%,35,100.0%
206903   CHEROKEE ISD,*,*,*,*,*,*,10,100.0%
229906   CHESTER ISD,*,*,*,*,*,*,5,100.0%
249904   CHICO ISD,5,12.8%,15,38.5%,19,48.7%,39,100.0%
038901   CHILDRESS ISD,22,28.6%,12,15.6%,43,55.8%,77,100.0%
099902   CHILLICOTHE ISD,*,*,*,*,*,*,11,100.0%
073901   CHILTON ISD,*,*,*,*,17,63.0%,27,100.0%
161920   CHINA SPRING ISD,26,17.1%,68,44.7%,58,38.2%,152,100.0%
174901   CHIRENO ISD,9,31.0%,9,31.0%,11,37.9%,29,100.0%
139905   CHISUM ISD,9,12.7%,35,49.3%,27,38.0%,71,100.0%
226901   CHRISTOVAL ISD,20,40.8%,8,16.3%,21,42.9%,49,100.0%
067902   CISCO ISD,12,18.5%,21,32.3%,32,49.2%,65,100.0%
243906   CITY VIEW ISD,8,15.1%,14,26.4%,31,58.5%,53,100.0%
065901   CLARENDON ISD,*,*,*,*,17,58.6%,29,100.0%
194904   CLARKSVILLE ISD,6,12.0%,21,42.0%,23,46.0%,50,100.0%
006902   CLAUDE ISD,*,*,*,*,9,37.5%,24,100.0%
084910   CLEAR CREEK ISD,887,29.8%,972,32.6%,"1,122",37.6%,"2,981",100.0%
126903   CLEBURNE ISD,52,14.4%,118,32.7%,191,52.9%,361,100.0%
146901   CLEVELAND ISD,20,9.7%,48,23.3%,138,67.0%,206,100.0%
018901   CLIFTON ISD,21,26.9%,31,39.7%,26,33.3%,78,100.0%
071901   CLINT ISD,165,23.6%,202,28.9%,332,47.5%,699,100.0%
030902   CLYDE CISD,18,22.8%,21,26.6%,40,50.6%,79,100.0%
114902   COAHOMA ISD,12,24.0%,20,40.0%,18,36.0%,50,100.0%
204901   COLDSPRING-OAKHURST CISD,13,10.2%,28,22.1%,86,67.7%,127,100.0%
042901   COLEMAN ISD,15,23.8%,12,19.1%,36,57.1%,63,100.0%
021901   COLLEGE STATION ISD,214,27.1%,250,31.6%,327,41.3%,791,100.0%
091902   COLLINSVILLE ISD,8,20.0%,13,32.5%,19,47.5%,40,100.0%
229901   COLMESNEIL ISD,*,*,*,*,24,64.9%,37,100.0%
168901   COLORADO ISD,14,22.6%,18,29.0%,30,48.4%,62,100.0%
020907   COLUMBIA-BRAZORIA ISD,28,16.0%,73,41.7%,74,42.3%,175,100.0%
045902   COLUMBUS ISD,22,18.0%,49,40.2%,51,41.8%,122,100.0%
046902   COMAL ISD,369,26.7%,302,21.9%,709,51.4%,"1,380",100.0%
047901   COMANCHE ISD,17,23.9%,17,23.9%,37,52.1%,71,100.0%
130902   COMFORT ISD,27,26.7%,12,11.9%,62,61.4%,101,100.0%
116903   COMMERCE ISD,32,37.2%,15,17.4%,39,45.4%,86,100.0%
043918   COMMUNITY ISD,16,15.5%,32,31.1%,55,53.4%,103,100.0%
112908   COMO-PICKTON CISD,7,15.6%,11,24.4%,27,60.0%,45,100.0%
101842   COMQUEST ACADEMY,,,*,*,15,88.2%,17,100.0%
233903   COMSTOCK ISD,*,*,*,*,*,*,14,100.0%
161921   CONNALLY ISD,14,10.9%,57,44.5%,57,44.5%,128,100.0%
170902   CONROE ISD,713,20.6%,893,25.8%,"1,851",53.5%,"3,457",100.0%
147901   COOLIDGE ISD,*,*,*,*,8,53.3%,15,100.0%
060902   COOPER ISD,8,11.4%,39,55.7%,23,32.9%,70,100.0%
057922   COPPELL ISD,299,35.1%,182,21.3%,372,43.6%,853,100.0%
050910   COPPERAS COVE ISD,87,15.9%,160,29.3%,299,54.8%,546,100.0%
178904   CORPUS CHRISTI ISD,465,20.3%,612,26.7%,"1,214",53.0%,"2,291",100.0%
187904   CORRIGAN-CAMDEN ISD,16,22.2%,20,27.8%,36,50.0%,72,100.0%
175903   CORSICANA ISD,36,11.2%,149,46.4%,136,42.4%,321,100.0%
095902   COTTON CENTER ISD,*,*,*,*,*,*,8,100.0%
142901   COTULLA ISD,16,20.3%,24,30.4%,39,49.4%,79,100.0%
109903   COVINGTON ISD,*,*,*,*,7,50.0%,14,100.0%
129901   CRANDALL ISD,42,19.4%,74,34.3%,100,46.3%,216,100.0%
052901   CRANE ISD,11,19.3%,19,33.3%,27,47.4%,57,100.0%
018908   CRANFILLS GAP ISD,*,*,*,*,6,42.9%,14,100.0%
161901   CRAWFORD ISD,6,13.3%,18,40.0%,21,46.7%,45,100.0%
053001   CROCKETT COUNTY CONSOLIDATED CSD,*,*,*,*,26,61.9%,42,100.0%
113901   CROCKETT ISD,16,19.8%,20,24.7%,45,55.6%,81,100.0%
101906   CROSBY ISD,53,16.5%,99,30.8%,169,52.7%,321,100.0%
054901   CROSBYTON CISD,*,*,*,*,11,64.7%,17,100.0%
030901   CROSS PLAINS ISD,7,41.2%,5,29.4%,5,29.4%,17,100.0%
107904   CROSS ROADS ISD,*,*,*,*,13,46.4%,28,100.0%
184801   CROSSTIMBERS ACADEMY,*,*,*,*,21,70.0%,30,100.0%
078901   CROWELL ISD,*,*,*,*,6,37.5%,16,100.0%
220912   CROWLEY ISD,170,17.0%,293,29.2%,540,53.8%,"1,003",100.0%
254901   CRYSTAL CITY ISD,8,8.9%,40,44.4%,42,46.7%,90,100.0%
062901   CUERO ISD,23,17.6%,40,30.5%,68,51.9%,131,100.0%
055901   CULBERSON COUNTY-ALLAMOORE ISD,*,*,*,*,9,42.9%,21,100.0%
112905   CUMBY ISD,5,15.2%,11,33.3%,17,51.5%,33,100.0%
174902   CUSHING ISD,10,23.3%,5,11.6%,28,65.1%,43,100.0%
101907   CYPRESS-FAIRBANKS ISD,"1,637",21.9%,"2,357",31.5%,"3,485",46.6%,"7,479",100.0%
172902   DAINGERFIELD-LONE STAR ISD,9,12.5%,30,41.7%,33,45.8%,72,100.0%
056901   DALHART ISD,23,18.7%,19,15.5%,81,65.9%,123,100.0%
057905   DALLAS ISD,"1,253",16.7%,"1,806",24.1%,"4,446",59.2%,"7,505",100.0%
020904   DANBURY ISD,10,18.2%,26,47.3%,19,34.6%,55,100.0%
148905   DARROUZETT ISD,*,*,,,*,*,5,100.0%
058902   DAWSON ISD,*,*,*,*,,,5,100.0%
175904   DAWSON ISD,5,18.5%,12,44.4%,10,37.0%,27,100.0%
146902   DAYTON ISD,40,12.5%,98,30.7%,181,56.7%,319,100.0%
047902   DE LEON ISD,8,22.9%,13,37.1%,14,40.0%,35,100.0%
249905   DECATUR ISD,39,19.5%,63,31.5%,98,49.0%,200,100.0%
101908   DEER PARK ISD,111,12.3%,393,43.5%,400,44.3%,904,100.0%
019901   DEKALB ISD,*,*,*,*,37,59.7%,62,100.0%
227910   DEL VALLE ISD,89,14.2%,141,22.5%,397,63.3%,627,100.0%
115903   DELL CITY ISD,*,*,,,*,*,6,100.0%
091903   DENISON ISD,32,11.3%,88,31.1%,163,57.6%,283,100.0%
061901   DENTON ISD,290,18.7%,368,23.8%,891,57.5%,"1,549",100.0%
251901   DENVER CITY ISD,13,14.3%,35,38.5%,43,47.3%,91,100.0%
057906   DESOTO ISD,152,22.4%,175,25.8%,351,51.8%,678,100.0%
194905   DETROIT ISD,*,*,*,*,8,32.0%,25,100.0%
163901   DEVINE ISD,19,14.6%,31,23.9%,80,61.5%,130,100.0%
176903   DEWEYVILLE ISD,7,13.5%,22,42.3%,23,44.2%,52,100.0%
163902   D'HANIS ISD,*,*,*,*,13,61.9%,21,100.0%
003905   DIBOLL ISD,16,13.8%,42,36.2%,58,50.0%,116,100.0%
084901   DICKINSON ISD,95,16.7%,206,36.3%,267,47.0%,568,100.0%
082902   DILLEY ISD,9,15.0%,8,13.3%,43,71.7%,60,100.0%
144903   DIME BOX ISD,*,*,*,*,10,66.7%,15,100.0%
035901   DIMMITT ISD,20,24.7%,16,19.8%,45,55.6%,81,100.0%
074904   DODD CITY ISD,*,*,*,*,15,68.2%,22,100.0%
108902   DONNA ISD,114,16.0%,218,30.5%,382,53.5%,714,100.0%
174911   DOUGLASS ISD,8,29.6%,8,29.6%,11,40.7%,27,100.0%
178801   DR M L GARZA-GONZALEZ CHARTER SCHO,,,,,*,*,*,*
105904   DRIPPING SPRINGS ISD,87,25.9%,99,29.5%,150,44.6%,336,100.0%
072902   DUBLIN ISD,20,35.1%,17,29.8%,20,35.1%,57,100.0%
171901   DUMAS ISD,22,9.0%,102,41.8%,120,49.2%,244,100.0%
057907   DUNCANVILLE ISD,197,23.2%,276,32.4%,378,44.4%,851,100.0%
220918   EAGLE MT-SAGINAW ISD,191,16.0%,398,33.3%,605,50.7%,"1,194",100.0%
159901   EAGLE PASS ISD,165,18.2%,332,36.6%,409,45.1%,906,100.0%
227909   EANES ISD,173,29.2%,131,22.1%,288,48.7%,592,100.0%
025909   EARLY ISD,15,22.1%,20,29.4%,33,48.5%,68,100.0%
241902   EAST BERNARD ISD,15,25.4%,27,45.8%,17,28.8%,59,100.0%
015911   EAST CENTRAL ISD,100,14.6%,188,27.4%,399,58.1%,687,100.0%
036903   EAST CHAMBERS ISD,18,22.2%,32,39.5%,31,38.3%,81,100.0%
092801   EAST TEXAS CHARTER SCHOOLS,,,11,21.6%,40,78.4%,51,100.0%
067903   EASTLAND ISD,9,14.1%,18,28.1%,37,57.8%,64,100.0%
068901   ECTOR COUNTY ISD,278,19.6%,419,29.5%,722,50.9%,"1,419",100.0%
074905   ECTOR ISD,*,*,*,*,13,68.4%,19,100.0%
108903   EDCOUCH-ELSA ISD,78,23.8%,95,29.0%,155,47.3%,328,100.0%
048901   EDEN CISD,*,*,*,*,6,42.9%,14,100.0%
015905   EDGEWOOD ISD,54,9.6%,144,25.6%,364,64.8%,562,100.0%
234903   EDGEWOOD ISD,12,16.0%,23,30.7%,40,53.3%,75,100.0%
108904   EDINBURG CISD,631,31.6%,443,22.2%,921,46.2%,"1,995",100.0%
120901   EDNA ISD,14,13.7%,30,29.4%,58,56.9%,102,100.0%
241903   EL CAMPO ISD,29,11.6%,91,36.4%,130,52.0%,250,100.0%
071804   EL PASO ACADEMY,*,*,*,*,127,72.6%,175,100.0%
071902   EL PASO ISD,"1,193",30.4%,943,24.1%,"1,784",45.5%,"3,920",100.0%
243902   ELECTRA ISD,*,*,*,*,8,44.4%,18,100.0%
011902   ELGIN ISD,59,18.8%,82,26.1%,173,55.1%,314,100.0%
001903   ELKHART ISD,15,20.6%,25,34.3%,33,45.2%,73,100.0%
102906   ELYSIAN FIELDS ISD,6,7.4%,24,29.6%,51,63.0%,81,100.0%
070903   ENNIS ISD,53,14.1%,116,30.9%,206,54.9%,375,100.0%
049906   ERA ISD,7,17.1%,23,56.1%,11,26.8%,41,100.0%
072802   ERATH EXCELS ACADEMY INC,*,*,*,*,39,76.5%,51,100.0%
030906   EULA ISD,6,17.7%,9,26.5%,19,55.9%,34,100.0%
107905   EUSTACE ISD,6,9.7%,26,41.9%,30,48.4%,62,100.0%
121906   EVADALE ISD,8,22.2%,17,47.2%,11,30.6%,36,100.0%
050901   EVANT ISD,5,27.8%,7,38.9%,6,33.3%,18,100.0%
220904   EVERMAN ISD,42,13.4%,79,25.2%,192,61.3%,313,100.0%
057834   EVOLUTION ACADEMY CHARTER SCHOOL,5,2.5%,37,18.2%,161,79.3%,203,100.0%
101811   EXCEL ACADEMY,,,*,*,*,*,*,*
071903   FABENS ISD,29,18.0%,52,32.3%,80,49.7%,161,100.0%
081902   FAIRFIELD ISD,18,17.0%,41,38.7%,47,44.3%,106,100.0%
128904   FALLS CITY ISD,11,42.3%,8,30.8%,7,26.9%,26,100.0%
060914   FANNINDEL ISD,*,*,*,*,7,53.9%,13,100.0%
043904   FARMERSVILLE ISD,20,18.0%,33,29.7%,58,52.3%,111,100.0%
185902   FARWELL ISD,*,*,*,*,16,64.0%,25,100.0%
075906   FAYETTEVILLE ISD,,,5,38.5%,8,61.5%,13,100.0%
070905   FERRIS ISD,13,8.6%,55,36.4%,83,55.0%,151,100.0%
075901   FLATONIA ISD,7,18.0%,13,33.3%,19,48.7%,39,100.0%
246902   FLORENCE ISD,14,18.4%,23,30.3%,39,51.3%,76,100.0%
247901   FLORESVILLE ISD,61,21.8%,69,24.6%,150,53.6%,280,100.0%
178914   FLOUR BLUFF ISD,165,36.0%,94,20.5%,200,43.6%,459,100.0%
077901   FLOYDADA ISD,*,*,*,*,15,40.5%,37,100.0%
057817   FOCUS LEARNING ACADEMY,*,*,*,*,22,53.7%,41,100.0%
148902   FOLLETT ISD,*,*,*,*,6,46.2%,13,100.0%
169910   FORESTBURG ISD,*,*,*,*,*,*,10,100.0%
129902   FORNEY ISD,114,18.5%,189,30.7%,312,50.7%,615,100.0%
114904   FORSAN ISD,10,23.3%,19,44.2%,14,32.6%,43,100.0%
079907   FORT BEND ISD,"1,782",32.8%,"1,498",27.6%,"2,157",39.7%,"5,437",100.0%
242906   FORT ELLIOTT CISD,*,*,*,*,*,*,9,100.0%
186902   FORT STOCKTON ISD,26,20.2%,31,24.0%,72,55.8%,129,100.0%
220809   FORT WORTH ACADEMY OF FINE ARTS,11,19.6%,17,30.4%,28,50.0%,56,100.0%
220905   FORT WORTH ISD,653,16.8%,"1,041",26.8%,"2,197",56.5%,"3,891",100.0%
198903   FRANKLIN ISD,15,22.7%,25,37.9%,26,39.4%,66,100.0%
001904   FRANKSTON ISD,*,*,*,*,27,62.8%,43,100.0%
086901   FREDERICKSBURG ISD,67,29.5%,33,14.5%,127,56.0%,227,100.0%
066903   FREER ISD,10,22.2%,11,24.4%,24,53.3%,45,100.0%
152907   FRENSHIP ISD,148,29.5%,131,26.1%,223,44.4%,502,100.0%
084911   FRIENDSWOOD ISD,175,32.9%,178,33.5%,179,33.7%,532,100.0%
