DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,11,15.5%,13,18.3%,47,66.2%,71,100.0%
109901   ABBOTT ISD,*,*,*,*,6,28.6%,21,100.0%
095901   ABERNATHY ISD,12,19.7%,19,31.2%,30,49.2%,61,100.0%
221901   ABILENE ISD,131,13.0%,199,19.8%,676,67.2%,"1,006",100.0%
014901   ACADEMY ISD,24,23.1%,45,43.3%,35,33.7%,104,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,5,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,18,66.7%,27,100.0%
178901   AGUA DULCE ISD,7,29.2%,11,45.8%,6,25.0%,24,100.0%
015901   ALAMO HEIGHTS ISD,118,28.7%,99,24.1%,194,47.2%,411,100.0%
250906   ALBA-GOLDEN ISD,10,16.7%,19,31.7%,31,51.7%,60,100.0%
209901   ALBANY ISD,8,23.5%,6,17.7%,20,58.8%,34,100.0%
101902   ALDINE ISD,569,15.5%,880,24.0%,"2,216",60.5%,"3,665",100.0%
184907   ALEDO ISD,101,25.1%,126,31.3%,175,43.5%,402,100.0%
125901   ALICE ISD,96,31.1%,60,19.4%,153,49.5%,309,100.0%
101903   ALIEF ISD,516,19.1%,590,21.8%,"1,596",59.1%,"2,702",100.0%
043901   ALLEN ISD,390,25.4%,471,30.7%,672,43.8%,"1,533",100.0%
022901   ALPINE ISD,*,*,*,*,24,40.0%,60,100.0%
037901   ALTO ISD,9,20.0%,15,33.3%,21,46.7%,45,100.0%
126901   ALVARADO ISD,26,11.0%,48,20.3%,162,68.6%,236,100.0%
020901   ALVIN ISD,251,18.9%,390,29.3%,689,51.8%,"1,330",100.0%
249901   ALVORD ISD,7,13.7%,26,51.0%,18,35.3%,51,100.0%
188901   AMARILLO ISD,325,17.0%,671,35.0%,919,48.0%,"1,915",100.0%
140901   AMHERST ISD,,,*,*,6,66.7%,9,100.0%
036901   ANAHUAC ISD,25,29.1%,25,29.1%,36,41.9%,86,100.0%
093901   ANDERSON-SHIRO CISD,10,16.1%,17,27.4%,35,56.5%,62,100.0%
002901   ANDREWS ISD,41,17.7%,52,22.4%,139,59.9%,232,100.0%
020902   ANGLETON ISD,54,12.9%,145,34.5%,221,52.6%,420,100.0%
043902   ANNA ISD,24,15.6%,45,29.2%,85,55.2%,154,100.0%
127901   ANSON ISD,6,15.4%,10,25.6%,23,59.0%,39,100.0%
071906   ANTHONY ISD,17,27.0%,6,9.5%,40,63.5%,63,100.0%
110901   ANTON ISD,*,*,*,*,8,61.5%,13,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,9,50.0%,18,100.0%
109912   AQUILLA ISD,,,13,92.9%,*,*,14,100.0%
004901   ARANSAS COUNTY ISD,50,24.2%,31,15.0%,126,60.9%,207,100.0%
205901   ARANSAS PASS ISD,11,11.3%,20,20.6%,66,68.0%,97,100.0%
005901   ARCHER CITY ISD,17,37.8%,11,24.4%,17,37.8%,45,100.0%
061910   ARGYLE ISD,49,26.8%,51,27.9%,83,45.4%,183,100.0%
220901   ARLINGTON ISD,895,22.0%,"1,053",25.8%,"2,127",52.2%,"4,075",100.0%
212901   ARP ISD,5,6.9%,22,30.1%,46,63.0%,73,100.0%
217901   ASPERMONT ISD,5,25.0%,5,25.0%,10,50.0%,20,100.0%
107901   ATHENS ISD,39,17.1%,54,23.7%,135,59.2%,228,100.0%
034901   ATLANTA ISD,21,16.0%,38,29.0%,72,55.0%,131,100.0%
061907   AUBREY ISD,27,20.2%,31,23.1%,76,56.7%,134,100.0%
227901   AUSTIN ISD,866,19.9%,925,21.3%,"2,561",58.9%,"4,352",100.0%
196901   AUSTWELL-TIVOLI ISD,*,*,*,*,8,53.3%,15,100.0%
070901   AVALON ISD,*,*,*,*,9,52.9%,17,100.0%
194902   AVERY ISD,*,*,*,*,11,42.3%,26,100.0%
034902   AVINGER ISD,,,6,46.2%,7,53.9%,13,100.0%
161918   AXTELL ISD,10,20.4%,24,49.0%,15,30.6%,49,100.0%
220915   AZLE ISD,45,10.8%,122,29.3%,249,59.9%,416,100.0%
030903   BAIRD ISD,*,*,*,*,6,42.9%,14,100.0%
200901   BALLINGER ISD,24,34.8%,20,29.0%,25,36.2%,69,100.0%
195902   BALMORHEA ISD,*,*,*,*,*,*,9,100.0%
010902   BANDERA ISD,29,19.5%,30,20.1%,90,60.4%,149,100.0%
