DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,*,*,*,*,21,55.3%,38,100.0%
109901   ABBOTT ISD,6,31.6%,7,36.8%,6,31.6%,19,100.0%
095901   ABERNATHY ISD,10,22.2%,18,40.0%,17,37.8%,45,100.0%
221901   ABILENE ISD,127,12.3%,259,25.2%,643,62.5%,"1,029",100.0%
014901   ACADEMY ISD,14,19.4%,31,43.1%,27,37.5%,72,100.0%
015816   ACADEMY OF CAREERS AND TECHNOLOGIE,*,*,*,*,20,69.0%,29,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,8,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,31,59.6%,52,100.0%
178901   AGUA DULCE ISD,6,31.6%,5,26.3%,8,42.1%,19,100.0%
015901   ALAMO HEIGHTS ISD,101,27.0%,86,23.0%,187,50.0%,374,100.0%
250906   ALBA-GOLDEN ISD,18,23.4%,26,33.8%,33,42.9%,77,100.0%
209901   ALBANY ISD,7,22.6%,8,25.8%,16,51.6%,31,100.0%
101902   ALDINE ISD,523,17.6%,879,29.5%,"1,578",53.0%,"2,980",100.0%
184907   ALEDO ISD,90,22.9%,144,36.6%,159,40.5%,393,100.0%
125901   ALICE ISD,72,29.4%,60,24.5%,113,46.1%,245,100.0%
101903   ALIEF ISD,455,18.8%,621,25.6%,"1,349",55.6%,"2,425",100.0%
043901   ALLEN ISD,271,22.3%,414,34.1%,530,43.6%,"1,215",100.0%
057832   ALPHA CHARTER SCHOOL,,,6,22.2%,21,77.8%,27,100.0%
022901   ALPINE ISD,29,38.7%,8,10.7%,38,50.7%,75,100.0%
037901   ALTO ISD,8,17.8%,15,33.3%,22,48.9%,45,100.0%
126901   ALVARADO ISD,29,14.3%,40,19.7%,134,66.0%,203,100.0%
020901   ALVIN ISD,164,16.1%,359,35.2%,498,48.8%,"1,021",100.0%
249901   ALVORD ISD,14,26.9%,14,26.9%,24,46.2%,52,100.0%
188901   AMARILLO ISD,248,14.2%,689,39.5%,806,46.2%,"1,743",100.0%
227801   AMERICAN YOUTHWORKS CHARTER SCHOOL,*,*,*,*,23,74.2%,31,100.0%
140901   AMHERST ISD,*,*,*,*,*,*,8,100.0%
036901   ANAHUAC ISD,15,17.7%,26,30.6%,44,51.8%,85,100.0%
093901   ANDERSON-SHIRO CISD,13,23.6%,14,25.5%,28,50.9%,55,100.0%
002901   ANDREWS ISD,34,14.4%,45,19.0%,158,66.7%,237,100.0%
020902   ANGLETON ISD,54,13.4%,133,32.9%,217,53.7%,404,100.0%
043902   ANNA ISD,12,9.4%,48,37.5%,68,53.1%,128,100.0%
127901   ANSON ISD,6,12.5%,12,25.0%,30,62.5%,48,100.0%
071906   ANTHONY ISD,7,14.6%,8,16.7%,33,68.8%,48,100.0%
110901   ANTON ISD,*,*,*,*,10,47.6%,21,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,8,50.0%,16,100.0%
109912   AQUILLA ISD,*,*,*,*,6,35.3%,17,100.0%
004901   ARANSAS COUNTY ISD,51,25.4%,38,18.9%,112,55.7%,201,100.0%
205901   ARANSAS PASS ISD,24,22.4%,15,14.0%,68,63.6%,107,100.0%
005901   ARCHER CITY ISD,5,12.8%,12,30.8%,22,56.4%,39,100.0%
061910   ARGYLE ISD,68,42.0%,42,25.9%,52,32.1%,162,100.0%
220901   ARLINGTON ISD,749,20.7%,"1,163",32.2%,"1,704",47.1%,"3,616",100.0%
212901   ARP ISD,7,10.5%,27,40.3%,33,49.3%,67,100.0%
217901   ASPERMONT ISD,*,*,*,*,8,57.1%,14,100.0%
107901   ATHENS ISD,32,17.0%,68,36.2%,88,46.8%,188,100.0%
034901   ATLANTA ISD,28,26.7%,26,24.8%,51,48.6%,105,100.0%
061907   AUBREY ISD,22,21.0%,32,30.5%,51,48.6%,105,100.0%
227818   AUSTIN CAN ACADEMY CHARTER SCHOOL,,,11,11.6%,84,88.4%,95,100.0%
227901   AUSTIN ISD,873,20.5%,"1,004",23.6%,"2,382",55.9%,"4,259",100.0%
196901   AUSTWELL-TIVOLI ISD,,,8,66.7%,*,*,12,100.0%
070901   AVALON ISD,*,*,*,*,11,57.9%,19,100.0%
194902   AVERY ISD,9,27.3%,12,36.4%,12,36.4%,33,100.0%
034902   AVINGER ISD,*,*,*,*,6,42.9%,14,100.0%
161918   AXTELL ISD,5,8.3%,31,51.7%,24,40.0%,60,100.0%
220915   AZLE ISD,46,13.3%,100,28.9%,200,57.8%,346,100.0%
212803   AZLEWAY CHARTER SCHOOL,,,5,55.6%,*,*,9,100.0%
030903   BAIRD ISD,*,*,*,*,13,65.0%,20,100.0%
200901   BALLINGER ISD,21,33.9%,22,35.5%,19,30.7%,62,100.0%
195902   BALMORHEA ISD,*,*,*,*,*,*,12,100.0%
010902   BANDERA ISD,36,20.9%,33,19.2%,103,59.9%,172,100.0%
025901   BANGS ISD,17,24.3%,15,21.4%,38,54.3%,70,100.0%
178913   BANQUETE ISD,14,26.4%,12,22.6%,27,50.9%,53,100.0%
036902   BARBERS HILL ISD,57,21.1%,132,48.9%,81,30.0%,270,100.0%
014902   BARTLETT ISD,*,*,*,*,20,69.0%,29,100.0%
011901   BASTROP ISD,89,17.3%,116,22.5%,310,60.2%,515,100.0%
101809   BAY AREA CHARTER INC,,,11,35.5%,20,64.5%,31,100.0%
158901   BAY CITY ISD,33,13.1%,89,35.3%,130,51.6%,252,100.0%
123910   BEAUMONT ISD,442,36.8%,222,18.5%,538,44.8%,"1,202",100.0%
183901   BECKVILLE ISD,*,*,*,*,14,50.0%,28,100.0%
013901   BEEVILLE ISD,29,13.3%,78,35.8%,111,50.9%,218,100.0%
039904   BELLEVUE ISD,*,*,*,*,5,62.5%,8,100.0%
091901   BELLS ISD,*,*,*,*,27,47.4%,57,100.0%
008901   BELLVILLE ISD,32,19.5%,63,38.4%,69,42.1%,164,100.0%
014903   BELTON ISD,77,13.1%,164,27.8%,349,59.2%,590,100.0%
125902   BEN BOLT-PALITO BLANCO ISD,11,27.5%,14,35.0%,15,37.5%,40,100.0%
066901   BENAVIDES ISD,9,29.0%,10,32.3%,12,38.7%,31,100.0%
138904   BENJAMIN ISD,,,*,*,*,*,*,*
187901   BIG SANDY ISD,*,*,*,*,16,51.6%,31,100.0%
230901   BIG SANDY ISD,*,*,*,*,19,44.2%,43,100.0%
114901   BIG SPRING ISD,20,8.9%,74,32.7%,132,58.4%,226,100.0%
193801   BIG SPRINGS CHARTER SCHOOL,,,*,*,7,70.0%,10,100.0%
220902   BIRDVILLE ISD,203,15.0%,503,37.2%,647,47.8%,"1,353",100.0%
178902   BISHOP CISD,37,45.1%,16,19.5%,29,35.4%,82,100.0%
177903   BLACKWELL CISD,*,*,*,*,*,*,8,100.0%
016902   BLANCO ISD,21,31.3%,15,22.4%,31,46.3%,67,100.0%
116915   BLAND ISD,10,25.0%,14,35.0%,16,40.0%,40,100.0%
025904   BLANKET ISD,*,*,*,*,*,*,11,100.0%
034909   BLOOMBURG ISD,*,*,*,*,7,53.9%,13,100.0%
175902   BLOOMING GROVE ISD,11,24.4%,21,46.7%,13,28.9%,45,100.0%
235901   BLOOMINGTON ISD,*,*,*,*,24,70.6%,34,100.0%
043917   BLUE RIDGE ISD,6,12.2%,17,34.7%,26,53.1%,49,100.0%
109913   BLUM ISD,,,13,54.2%,11,45.8%,24,100.0%
123807   BOB HOPE SCHOOL,,,6,31.6%,13,68.4%,19,100.0%
130901   BOERNE ISD,144,27.4%,127,24.2%,254,48.4%,525,100.0%
116916   BOLES ISD,*,*,*,*,26,65.0%,40,100.0%
241901   BOLING ISD,7,9.7%,38,52.8%,27,37.5%,72,100.0%
074903   BONHAM ISD,12,10.3%,39,33.3%,66,56.4%,117,100.0%
148901   BOOKER ISD,5,17.9%,6,21.4%,17,60.7%,28,100.0%
017901   BORDEN COUNTY ISD,*,*,*,*,*,*,12,100.0%
117901   BORGER ISD,32,18.1%,58,32.8%,87,49.2%,177,100.0%
161923   BOSQUEVILLE ISD,5,11.9%,19,45.2%,18,42.9%,42,100.0%
185901   BOVINA ISD,5,15.2%,6,18.2%,22,66.7%,33,100.0%
169901   BOWIE ISD,14,12.8%,22,20.2%,73,67.0%,109,100.0%
249902   BOYD ISD,27,27.8%,30,30.9%,40,41.2%,97,100.0%
180901   BOYS RANCH ISD,8,14.3%,20,35.7%,28,50.0%,56,100.0%
136901   BRACKETT ISD,8,25.0%,13,40.6%,11,34.4%,32,100.0%
160901   BRADY ISD,17,21.5%,15,19.0%,47,59.5%,79,100.0%
008903   BRAZOS ISD,10,18.9%,20,37.7%,23,43.4%,53,100.0%
213801   BRAZOS RIVER CHARTER SCHOOL,*,*,*,*,52,78.8%,66,100.0%
021803   BRAZOS SCHOOL FOR INQUIRY & CREATI,,,*,*,23,85.2%,27,100.0%
020905   BRAZOSPORT ISD,121,15.4%,346,44.1%,318,40.5%,785,100.0%
215901   BRECKENRIDGE ISD,20,22.5%,29,32.6%,40,44.9%,89,100.0%
198901   BREMOND ISD,*,*,*,*,8,36.4%,22,100.0%
239901   BRENHAM ISD,52,16.1%,141,43.7%,130,40.3%,323,100.0%
181901   BRIDGE CITY ISD,23,13.5%,71,41.5%,77,45.0%,171,100.0%
249903   BRIDGEPORT ISD,15,10.0%,43,28.7%,92,61.3%,150,100.0%
243801   BRIGHT IDEAS CHARTER,*,*,*,*,*,*,7,100.0%
203902   BROADDUS ISD,*,*,*,*,24,61.5%,39,100.0%
184909   BROCK ISD,16,23.5%,29,42.7%,23,33.8%,68,100.0%
041901   BRONTE ISD,10,31.3%,8,25.0%,14,43.8%,32,100.0%
