DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
121902   BROOKELAND ISD,12,35.3%,10,29.4%,12,35.3%,34,100.0%
025908   BROOKESMITH ISD,*,*,*,*,6,66.7%,9,100.0%
015830   BROOKS ACADEMY OF SCIENCE AND ENGI,8,18.6%,25,58.1%,10,23.3%,43,100.0%
024901   BROOKS COUNTY ISD,25,29.1%,12,14.0%,49,57.0%,86,100.0%
223901   BROWNFIELD ISD,13,13.7%,17,17.9%,65,68.4%,95,100.0%
107902   BROWNSBORO ISD,17,9.5%,70,39.1%,92,51.4%,179,100.0%
031901   BROWNSVILLE ISD,883,33.3%,614,23.2%,"1,152",43.5%,"2,649",100.0%
025902   BROWNWOOD ISD,36,15.9%,36,15.9%,154,68.1%,226,100.0%
161919   BRUCEVILLE-EDDY ISD,7,13.0%,28,51.9%,19,35.2%,54,100.0%
021902   BRYAN ISD,149,18.1%,219,26.6%,457,55.4%,825,100.0%
119901   BRYSON ISD,*,*,*,*,6,54.6%,11,100.0%
166907   BUCKHOLTS ISD,*,*,*,*,7,70.0%,10,100.0%
186901   BUENA VISTA ISD,*,*,*,*,*,*,7,100.0%
145901   BUFFALO ISD,8,12.5%,29,45.3%,27,42.2%,64,100.0%
212902   BULLARD ISD,19,13.3%,61,42.7%,63,44.1%,143,100.0%
121903   BUNA ISD,18,19.6%,31,33.7%,43,46.7%,92,100.0%
243901   BURKBURNETT ISD,48,23.3%,40,19.4%,118,57.3%,206,100.0%
176901   BURKEVILLE ISD,5,26.3%,5,26.3%,9,47.4%,19,100.0%
126902   BURLESON ISD,93,15.3%,223,36.7%,291,47.9%,607,100.0%
027903   BURNET CISD,56,23.5%,46,19.3%,136,57.1%,238,100.0%
071801   BURNHAM WOOD CHARTER SCHOOL DISTRI,9,52.9%,7,41.2%,*,*,17,100.0%
239903   BURTON ISD,6,21.4%,7,25.0%,15,53.6%,28,100.0%
188904   BUSHLAND ISD,21,24.7%,40,47.1%,24,28.2%,85,100.0%
109902   BYNUM ISD,*,*,*,*,6,28.6%,21,100.0%
116901   CADDO MILLS ISD,21,20.0%,44,41.9%,40,38.1%,105,100.0%
178903   CALALLEN ISD,103,35.4%,80,27.5%,108,37.1%,291,100.0%
026901   CALDWELL ISD,16,13.7%,44,37.6%,57,48.7%,117,100.0%
029901   CALHOUN COUNTY ISD,30,10.5%,85,29.8%,170,59.7%,285,100.0%
049905   CALLISBURG ISD,7,9.5%,30,40.5%,37,50.0%,74,100.0%
198902   CALVERT ISD,*,*,*,*,*,*,15,100.0%
101837   CALVIN NELMS CHARTER SCHOOLS,*,*,*,*,47,69.1%,68,100.0%
166901   CAMERON ISD,16,18.8%,33,38.8%,36,42.4%,85,100.0%
116910   CAMPBELL ISD,*,*,*,*,11,50.0%,22,100.0%
106901   CANADIAN ISD,16,28.6%,8,14.3%,32,57.1%,56,100.0%
234902   CANTON ISD,25,18.9%,41,31.1%,66,50.0%,132,100.0%
071907   CANUTILLO ISD,78,18.8%,125,30.1%,212,51.1%,415,100.0%
191901   CANYON ISD,142,25.6%,199,35.9%,213,38.5%,554,100.0%
201913   CARLISLE ISD,*,*,*,*,23,48.9%,47,100.0%
064903   CARRIZO SPRINGS CISD,13,9.6%,68,50.0%,55,40.4%,136,100.0%
220919   CARROLL ISD,172,25.7%,126,18.8%,371,55.5%,669,100.0%
057903   CARROLLTON-FARMERS BRANCH ISD,281,17.4%,455,28.1%,881,54.5%,"1,617",100.0%
183902   CARTHAGE ISD,17,11.3%,85,56.3%,49,32.5%,151,100.0%
220917   CASTLEBERRY ISD,23,14.0%,40,24.4%,101,61.6%,164,100.0%
001902   CAYUGA ISD,*,*,*,*,15,40.5%,37,100.0%
057904   CEDAR HILL ISD,175,33.1%,142,26.9%,211,40.0%,528,100.0%
116902   CELESTE ISD,*,*,*,*,10,37.0%,27,100.0%
043903   CELINA ISD,24,16.6%,60,41.4%,61,42.1%,145,100.0%
210901   CENTER ISD,26,19.0%,45,32.9%,66,48.2%,137,100.0%
133901   CENTER POINT ISD,*,*,*,*,31,77.5%,40,100.0%
145902   CENTERVILLE ISD,13,25.0%,14,26.9%,25,48.1%,52,100.0%
228904   CENTERVILLE ISD,*,*,,,*,*,7,100.0%
174908   CENTRAL HEIGHTS ISD,19,31.2%,11,18.0%,31,50.8%,61,100.0%
003907   CENTRAL ISD,10,8.1%,48,39.0%,65,52.9%,123,100.0%
101905   CHANNELVIEW ISD,62,12.5%,179,35.9%,257,51.6%,498,100.0%
103901   CHANNING ISD,*,*,*,*,*,*,7,100.0%
227814   CHAPARRAL STAR ACADEMY,*,*,*,*,5,41.7%,12,100.0%
212909   CHAPEL HILL ISD,28,12.4%,86,38.1%,112,49.6%,226,100.0%
225906   CHAPEL HILL ISD,*,*,*,*,27,36.0%,75,100.0%
007901   CHARLOTTE ISD,8,23.5%,12,35.3%,14,41.2%,34,100.0%
206903   CHEROKEE ISD,*,*,*,*,6,60.0%,10,100.0%
229906   CHESTER ISD,*,*,*,*,*,*,10,100.0%
249904   CHICO ISD,*,*,*,*,26,72.2%,36,100.0%
038901   CHILDRESS ISD,14,20.6%,14,20.6%,40,58.8%,68,100.0%
099902   CHILLICOTHE ISD,*,*,*,*,8,66.7%,12,100.0%
073901   CHILTON ISD,*,*,*,*,15,42.9%,35,100.0%
161920   CHINA SPRING ISD,21,13.0%,92,57.1%,48,29.8%,161,100.0%
174901   CHIRENO ISD,*,*,*,*,15,75.0%,20,100.0%
139905   CHISUM ISD,11,17.7%,23,37.1%,28,45.2%,62,100.0%
226901   CHRISTOVAL ISD,14,38.9%,9,25.0%,13,36.1%,36,100.0%
067902   CISCO ISD,7,10.6%,28,42.4%,31,47.0%,66,100.0%
243906   CITY VIEW ISD,12,23.1%,10,19.2%,30,57.7%,52,100.0%
065901   CLARENDON ISD,8,19.5%,17,41.5%,16,39.0%,41,100.0%
194904   CLARKSVILLE ISD,8,17.0%,12,25.5%,27,57.5%,47,100.0%
006902   CLAUDE ISD,10,29.4%,13,38.2%,11,32.4%,34,100.0%
084910   CLEAR CREEK ISD,737,27.3%,984,36.4%,979,36.3%,"2,700",100.0%
126903   CLEBURNE ISD,76,18.2%,117,28.0%,225,53.8%,418,100.0%
146901   CLEVELAND ISD,26,12.6%,52,25.2%,128,62.1%,206,100.0%
018901   CLIFTON ISD,14,19.4%,30,41.7%,28,38.9%,72,100.0%
071901   CLINT ISD,167,24.9%,202,30.1%,302,45.0%,671,100.0%
030902   CLYDE CISD,21,23.3%,31,34.4%,38,42.2%,90,100.0%
114902   COAHOMA ISD,7,14.9%,17,36.2%,23,48.9%,47,100.0%
204901   COLDSPRING-OAKHURST CISD,21,17.8%,19,16.1%,78,66.1%,118,100.0%
042901   COLEMAN ISD,17,35.4%,10,20.8%,21,43.8%,48,100.0%
021901   COLLEGE STATION ISD,151,21.9%,242,35.0%,298,43.1%,691,100.0%
091902   COLLINSVILLE ISD,11,25.0%,15,34.1%,18,40.9%,44,100.0%
229901   COLMESNEIL ISD,7,16.3%,6,14.0%,30,69.8%,43,100.0%
168901   COLORADO ISD,17,19.5%,30,34.5%,40,46.0%,87,100.0%
020907   COLUMBIA-BRAZORIA ISD,21,11.4%,75,40.5%,89,48.1%,185,100.0%
045902   COLUMBUS ISD,24,18.6%,51,39.5%,54,41.9%,129,100.0%
046902   COMAL ISD,295,26.4%,239,21.4%,582,52.2%,"1,116",100.0%
047901   COMANCHE ISD,15,23.1%,21,32.3%,29,44.6%,65,100.0%
130902   COMFORT ISD,19,30.2%,6,9.5%,38,60.3%,63,100.0%
116903   COMMERCE ISD,30,30.9%,30,30.9%,37,38.1%,97,100.0%
043918   COMMUNITY ISD,13,14.8%,25,28.4%,50,56.8%,88,100.0%
112908   COMO-PICKTON CISD,6,9.8%,21,34.4%,34,55.7%,61,100.0%
101842   COMQUEST ACADEMY,,,5,25.0%,15,75.0%,20,100.0%
233903   COMSTOCK ISD,*,*,*,*,6,46.2%,13,100.0%
161921   CONNALLY ISD,10,8.0%,75,60.0%,40,32.0%,125,100.0%
170902   CONROE ISD,657,20.4%,947,29.4%,"1,614",50.2%,"3,218",100.0%
147901   COOLIDGE ISD,,,11,55.0%,9,45.0%,20,100.0%
060902   COOPER ISD,10,19.6%,25,49.0%,16,31.4%,51,100.0%
057922   COPPELL ISD,208,26.7%,186,23.9%,384,49.4%,778,100.0%
050910   COPPERAS COVE ISD,69,14.2%,163,33.5%,254,52.3%,486,100.0%
178904   CORPUS CHRISTI ISD,486,22.0%,634,28.7%,"1,092",49.4%,"2,212",100.0%
187904   CORRIGAN-CAMDEN ISD,11,18.3%,31,51.7%,18,30.0%,60,100.0%
175903   CORSICANA ISD,38,12.9%,132,44.8%,125,42.4%,295,100.0%
095902   COTTON CENTER ISD,,,*,*,*,*,*,*
142901   COTULLA ISD,15,20.8%,19,26.4%,38,52.8%,72,100.0%
109903   COVINGTON ISD,*,*,*,*,6,30.0%,20,100.0%
129901   CRANDALL ISD,35,18.3%,71,37.2%,85,44.5%,191,100.0%
052901   CRANE ISD,14,18.7%,24,32.0%,37,49.3%,75,100.0%
018908   CRANFILLS GAP ISD,*,*,*,*,*,*,10,100.0%
161901   CRAWFORD ISD,5,13.2%,21,55.3%,12,31.6%,38,100.0%
053001   CROCKETT COUNTY CONSOLIDATED CSD,10,24.4%,9,22.0%,22,53.7%,41,100.0%
113901   CROCKETT ISD,15,19.2%,20,25.6%,43,55.1%,78,100.0%
101906   CROSBY ISD,45,14.3%,115,36.5%,155,49.2%,315,100.0%
054901   CROSBYTON CISD,*,*,*,*,14,58.3%,24,100.0%
030901   CROSS PLAINS ISD,7,25.9%,9,33.3%,11,40.7%,27,100.0%
107904   CROSS ROADS ISD,8,15.1%,19,35.9%,26,49.1%,53,100.0%
184801   CROSSTIMBERS ACADEMY,,,14,33.3%,28,66.7%,42,100.0%
078901   CROWELL ISD,*,*,*,*,8,33.3%,24,100.0%
220912   CROWLEY ISD,190,20.9%,281,30.9%,439,48.2%,910,100.0%
254901   CRYSTAL CITY ISD,15,12.7%,59,50.0%,44,37.3%,118,100.0%
062901   CUERO ISD,22,17.6%,45,36.0%,58,46.4%,125,100.0%
055901   CULBERSON COUNTY-ALLAMOORE ISD,*,*,*,*,18,56.3%,32,100.0%
112905   CUMBY ISD,8,33.3%,7,29.2%,9,37.5%,24,100.0%
174902   CUSHING ISD,7,16.7%,20,47.6%,15,35.7%,42,100.0%
101907   CYPRESS-FAIRBANKS ISD,"1,397",21.8%,"2,260",35.2%,"2,762",43.0%,"6,419",100.0%
172902   DAINGERFIELD-LONE STAR ISD,5,6.2%,34,42.0%,42,51.9%,81,100.0%
056901   DALHART ISD,28,22.8%,21,17.1%,74,60.2%,123,100.0%
057804   DALLAS CAN ACADEMY CHARTER,8,1.2%,136,19.6%,551,79.3%,695,100.0%
057905   DALLAS ISD,"1,247",17.1%,"1,855",25.5%,"4,173",57.4%,"7,275",100.0%
020904   DANBURY ISD,8,19.5%,18,43.9%,15,36.6%,41,100.0%
148905   DARROUZETT ISD,*,*,,,*,*,5,100.0%
058902   DAWSON ISD,*,*,*,*,*,*,9,100.0%
175904   DAWSON ISD,5,15.6%,12,37.5%,15,46.9%,32,100.0%
146902   DAYTON ISD,38,10.9%,122,35.1%,188,54.0%,348,100.0%
047902   DE LEON ISD,14,31.8%,8,18.2%,22,50.0%,44,100.0%
249905   DECATUR ISD,33,16.1%,66,32.2%,106,51.7%,205,100.0%
101908   DEER PARK ISD,118,13.8%,443,51.8%,294,34.4%,855,100.0%
019901   DEKALB ISD,8,12.9%,19,30.7%,35,56.5%,62,100.0%
227910   DEL VALLE ISD,89,14.5%,124,20.1%,403,65.4%,616,100.0%
115903   DELL CITY ISD,*,*,,,6,85.7%,7,100.0%
091903   DENISON ISD,21,7.2%,110,37.9%,159,54.8%,290,100.0%
061901   DENTON ISD,280,22.8%,311,25.3%,638,51.9%,"1,229",100.0%
251901   DENVER CITY ISD,8,8.5%,25,26.6%,61,64.9%,94,100.0%
057906   DESOTO ISD,168,27.9%,161,26.7%,274,45.4%,603,100.0%
194905   DETROIT ISD,*,*,*,*,12,36.4%,33,100.0%
163901   DEVINE ISD,21,17.5%,36,30.0%,63,52.5%,120,100.0%
176903   DEWEYVILLE ISD,*,*,*,*,23,51.1%,45,100.0%
163902   D'HANIS ISD,*,*,*,*,10,45.5%,22,100.0%
003905   DIBOLL ISD,18,15.7%,48,41.7%,49,42.6%,115,100.0%
084901   DICKINSON ISD,85,15.3%,207,37.2%,264,47.5%,556,100.0%
082902   DILLEY ISD,8,11.9%,15,22.4%,44,65.7%,67,100.0%
144903   DIME BOX ISD,,,5,71.4%,*,*,7,100.0%
035901   DIMMITT ISD,16,25.4%,9,14.3%,38,60.3%,63,100.0%
074904   DODD CITY ISD,*,*,*,*,5,50.0%,10,100.0%
108902   DONNA ISD,127,19.0%,178,26.7%,362,54.3%,667,100.0%
174911   DOUGLASS ISD,7,41.2%,5,29.4%,5,29.4%,17,100.0%
178801   DR M L GARZA-GONZALEZ CHARTER SCHO,*,*,,,*,*,5,100.0%
101856   DRAW ACADEMY,,,,,18,100.0%,18,100.0%
105904   DRIPPING SPRINGS ISD,99,35.5%,89,31.9%,91,32.6%,279,100.0%
072902   DUBLIN ISD,23,31.9%,24,33.3%,25,34.7%,72,100.0%
171901   DUMAS ISD,25,10.0%,88,35.3%,136,54.6%,249,100.0%
057907   DUNCANVILLE ISD,123,16.3%,240,31.9%,390,51.8%,753,100.0%
220918   EAGLE MT-SAGINAW ISD,177,19.5%,310,34.1%,423,46.5%,910,100.0%
159901   EAGLE PASS ISD,189,20.2%,381,40.7%,366,39.1%,936,100.0%
227909   EANES ISD,195,31.0%,117,18.6%,317,50.4%,629,100.0%
025909   EARLY ISD,23,29.1%,18,22.8%,38,48.1%,79,100.0%
241902   EAST BERNARD ISD,9,13.2%,33,48.5%,26,38.2%,68,100.0%
015911   EAST CENTRAL ISD,84,14.3%,172,29.2%,333,56.5%,589,100.0%
036903   EAST CHAMBERS ISD,20,23.3%,24,27.9%,42,48.8%,86,100.0%
092801   EAST TEXAS CHARTER SCHOOLS,,,18,27.3%,48,72.7%,66,100.0%
067903   EASTLAND ISD,12,18.2%,20,30.3%,34,51.5%,66,100.0%
068901   ECTOR COUNTY ISD,199,16.5%,407,33.8%,597,49.6%,"1,203",100.0%
074905   ECTOR ISD,*,*,*,*,9,40.9%,22,100.0%
108903   EDCOUCH-ELSA ISD,89,29.2%,69,22.6%,147,48.2%,305,100.0%
048901   EDEN CISD,*,*,*,*,10,50.0%,20,100.0%
015905   EDGEWOOD ISD,65,13.5%,157,32.6%,259,53.9%,481,100.0%
234903   EDGEWOOD ISD,10,15.2%,15,22.7%,41,62.1%,66,100.0%
108904   EDINBURG CISD,554,29.4%,378,20.0%,955,50.6%,"1,887",100.0%
120901   EDNA ISD,9,11.1%,30,37.0%,42,51.9%,81,100.0%
241903   EL CAMPO ISD,26,11.1%,100,42.6%,109,46.4%,235,100.0%
071804   EL PASO ACADEMY,*,*,*,*,65,59.1%,110,100.0%
071902   EL PASO ISD,"1,202",28.9%,"1,177",28.3%,"1,784",42.9%,"4,163",100.0%
243902   ELECTRA ISD,*,*,*,*,14,53.9%,26,100.0%
011902   ELGIN ISD,53,19.9%,53,19.9%,160,60.2%,266,100.0%
001903   ELKHART ISD,*,*,*,*,49,66.2%,74,100.0%
102906   ELYSIAN FIELDS ISD,*,*,*,*,21,41.2%,51,100.0%
070903   ENNIS ISD,54,16.5%,109,33.2%,165,50.3%,328,100.0%
049906   ERA ISD,*,*,*,*,13,61.9%,21,100.0%
072802   ERATH EXCELS ACADEMY INC,*,*,*,*,35,70.0%,50,100.0%
030906   EULA ISD,*,*,*,*,11,47.8%,23,100.0%
107905   EUSTACE ISD,12,10.8%,53,47.8%,46,41.4%,111,100.0%
121906   EVADALE ISD,8,25.8%,10,32.3%,13,41.9%,31,100.0%
050901   EVANT ISD,*,*,*,*,15,83.3%,18,100.0%
220904   EVERMAN ISD,40,16.9%,70,29.5%,127,53.6%,237,100.0%
057834   EVOLUTION ACADEMY CHARTER SCHOOL,*,*,*,*,141,81.5%,173,100.0%
071903   FABENS ISD,23,16.4%,43,30.7%,74,52.9%,140,100.0%
081902   FAIRFIELD ISD,15,15.2%,25,25.3%,59,59.6%,99,100.0%
057815   FAITH FAMILY ACADEMY OF OAK CLIFF,*,*,*,*,21,61.8%,34,100.0%
128904   FALLS CITY ISD,13,50.0%,8,30.8%,5,19.2%,26,100.0%
060914   FANNINDEL ISD,*,*,*,*,*,*,8,100.0%
043904   FARMERSVILLE ISD,12,12.8%,41,43.6%,41,43.6%,94,100.0%
185902   FARWELL ISD,5,15.2%,10,30.3%,18,54.6%,33,100.0%
075906   FAYETTEVILLE ISD,*,*,*,*,*,*,18,100.0%
070905   FERRIS ISD,24,15.3%,43,27.4%,90,57.3%,157,100.0%
075901   FLATONIA ISD,6,19.4%,10,32.3%,15,48.4%,31,100.0%
246902   FLORENCE ISD,26,32.9%,13,16.5%,40,50.6%,79,100.0%
247901   FLORESVILLE ISD,59,21.2%,76,27.2%,144,51.6%,279,100.0%
178914   FLOUR BLUFF ISD,151,38.5%,82,20.9%,159,40.6%,392,100.0%
077901   FLOYDADA ISD,15,30.0%,16,32.0%,19,38.0%,50,100.0%
148902   FOLLETT ISD,*,*,*,*,7,70.0%,10,100.0%
169910   FORESTBURG ISD,*,*,*,*,*,*,12,100.0%
129902   FORNEY ISD,93,19.5%,166,34.7%,219,45.8%,478,100.0%
114904   FORSAN ISD,5,10.0%,23,46.0%,22,44.0%,50,100.0%
079907   FORT BEND ISD,"1,579",31.4%,"1,496",29.8%,"1,952",38.8%,"5,027",100.0%
242906   FORT ELLIOTT CISD,*,*,*,*,*,*,6,100.0%
186902   FORT STOCKTON ISD,27,22.3%,24,19.8%,70,57.9%,121,100.0%
