DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
138904   BENJAMIN ISD,*,*,*,*,*,*,*,*
187901   BIG SANDY ISD,6,13.6%,14,31.8%,24,54.6%,44,100.0%
230901   BIG SANDY ISD,8,17.8%,15,33.3%,22,48.9%,45,100.0%
114901   BIG SPRING ISD,19,8.1%,88,37.3%,129,54.7%,236,100.0%
193801   BIG SPRINGS CHARTER SCHOOL,*,*,*,*,6,66.7%,9,100.0%
220902   BIRDVILLE ISD,269,18.3%,529,36.0%,673,45.8%,"1,471",100.0%
178902   BISHOP CISD,35,40.2%,24,27.6%,28,32.2%,87,100.0%
177903   BLACKWELL CISD,*,*,*,*,6,60.0%,10,100.0%
016902   BLANCO ISD,25,33.8%,14,18.9%,35,47.3%,74,100.0%
116915   BLAND ISD,5,15.6%,6,18.8%,21,65.6%,32,100.0%
025904   BLANKET ISD,*,*,*,*,11,64.7%,17,100.0%
034909   BLOOMBURG ISD,,,13,59.1%,9,40.9%,22,100.0%
175902   BLOOMING GROVE ISD,10,17.9%,28,50.0%,18,32.1%,56,100.0%
235901   BLOOMINGTON ISD,5,9.3%,11,20.4%,38,70.4%,54,100.0%
043917   BLUE RIDGE ISD,9,19.2%,23,48.9%,15,31.9%,47,100.0%
109913   BLUM ISD,*,*,*,*,16,61.5%,26,100.0%
123807   BOB HOPE SCHOOL,*,*,*,*,5,33.3%,15,100.0%
130901   BOERNE ISD,175,30.8%,132,23.2%,262,46.1%,569,100.0%
116916   BOLES ISD,9,24.3%,16,43.2%,12,32.4%,37,100.0%
241901   BOLING ISD,*,*,*,*,16,29.6%,54,100.0%
074903   BONHAM ISD,9,7.8%,41,35.7%,65,56.5%,115,100.0%
148901   BOOKER ISD,*,*,*,*,12,54.6%,22,100.0%
017901   BORDEN COUNTY ISD,7,43.8%,5,31.3%,*,*,16,100.0%
117901   BORGER ISD,18,11.4%,57,36.1%,83,52.5%,158,100.0%
161923   BOSQUEVILLE ISD,*,*,*,*,17,39.5%,43,100.0%
185901   BOVINA ISD,*,*,*,*,16,48.5%,33,100.0%
169901   BOWIE ISD,24,25.3%,29,30.5%,42,44.2%,95,100.0%
249902   BOYD ISD,22,25.9%,22,25.9%,41,48.2%,85,100.0%
180901   BOYS RANCH ISD,*,*,*,*,27,65.9%,41,100.0%
136901   BRACKETT ISD,6,15.8%,16,42.1%,16,42.1%,38,100.0%
160901   BRADY ISD,18,25.4%,21,29.6%,32,45.1%,71,100.0%
008903   BRAZOS ISD,12,25.0%,10,20.8%,26,54.2%,48,100.0%
213801   BRAZOS RIVER CHARTER SCHOOL,*,*,*,*,56,80.0%,70,100.0%
021803   BRAZOS SCHOOL FOR INQUIRY & CREATI,,,*,*,25,89.3%,28,100.0%
020905   BRAZOSPORT ISD,126,16.6%,275,36.2%,358,47.2%,759,100.0%
215901   BRECKENRIDGE ISD,8,11.0%,28,38.4%,37,50.7%,73,100.0%
198901   BREMOND ISD,5,14.7%,10,29.4%,19,55.9%,34,100.0%
239901   BRENHAM ISD,47,14.7%,115,35.9%,158,49.4%,320,100.0%
181901   BRIDGE CITY ISD,27,17.1%,59,37.3%,72,45.6%,158,100.0%
249903   BRIDGEPORT ISD,21,16.3%,31,24.0%,77,59.7%,129,100.0%
243801   BRIGHT IDEAS CHARTER,*,*,*,*,6,66.7%,9,100.0%
203902   BROADDUS ISD,*,*,*,*,20,60.6%,33,100.0%
184909   BROCK ISD,9,15.0%,34,56.7%,17,28.3%,60,100.0%
041901   BRONTE ISD,9,47.4%,5,26.3%,5,26.3%,19,100.0%
121902   BROOKELAND ISD,*,*,*,*,11,57.9%,19,100.0%
025908   BROOKESMITH ISD,,,5,62.5%,*,*,8,100.0%
015830   BROOKS ACADEMY OF SCIENCE AND ENGI,14,20.0%,23,32.9%,33,47.1%,70,100.0%
024901   BROOKS COUNTY ISD,21,23.6%,23,25.8%,45,50.6%,89,100.0%
223901   BROWNFIELD ISD,12,10.7%,19,17.0%,81,72.3%,112,100.0%
107902   BROWNSBORO ISD,20,11.8%,52,30.6%,98,57.7%,170,100.0%
031901   BROWNSVILLE ISD,814,28.8%,652,23.0%,"1,365",48.2%,"2,831",100.0%
025902   BROWNWOOD ISD,39,19.6%,35,17.6%,125,62.8%,199,100.0%
161919   BRUCEVILLE-EDDY ISD,7,10.8%,18,27.7%,40,61.5%,65,100.0%
021902   BRYAN ISD,119,14.6%,238,29.3%,456,56.1%,813,100.0%
119901   BRYSON ISD,*,*,*,*,7,46.7%,15,100.0%
166907   BUCKHOLTS ISD,,,5,38.5%,8,61.5%,13,100.0%
186901   BUENA VISTA ISD,,,*,*,*,*,6,100.0%
145901   BUFFALO ISD,7,13.0%,17,31.5%,30,55.6%,54,100.0%
212902   BULLARD ISD,25,19.7%,46,36.2%,56,44.1%,127,100.0%
121903   BUNA ISD,27,26.7%,29,28.7%,45,44.6%,101,100.0%
243901   BURKBURNETT ISD,45,26.2%,31,18.0%,96,55.8%,172,100.0%
176901   BURKEVILLE ISD,,,*,*,15,83.3%,18,100.0%
126902   BURLESON ISD,99,14.5%,261,38.2%,323,47.3%,683,100.0%
027903   BURNET CISD,46,21.1%,48,22.0%,124,56.9%,218,100.0%
071801   BURNHAM WOOD CHARTER SCHOOL DISTRI,*,*,*,*,*,*,10,100.0%
239903   BURTON ISD,*,*,*,*,9,37.5%,24,100.0%
188904   BUSHLAND ISD,19,23.2%,28,34.2%,35,42.7%,82,100.0%
109902   BYNUM ISD,,,14,70.0%,6,30.0%,20,100.0%
116901   CADDO MILLS ISD,16,15.5%,39,37.9%,48,46.6%,103,100.0%
178903   CALALLEN ISD,78,29.4%,69,26.0%,118,44.5%,265,100.0%
026901   CALDWELL ISD,16,13.7%,42,35.9%,59,50.4%,117,100.0%
029901   CALHOUN COUNTY ISD,28,10.3%,81,29.7%,164,60.1%,273,100.0%
049905   CALLISBURG ISD,10,12.7%,22,27.9%,47,59.5%,79,100.0%
198902   CALVERT ISD,*,*,*,*,8,66.7%,12,100.0%
101837   CALVIN NELMS CHARTER SCHOOLS,*,*,*,*,29,61.7%,47,100.0%
166901   CAMERON ISD,18,19.8%,32,35.2%,41,45.1%,91,100.0%
116910   CAMPBELL ISD,*,*,*,*,12,63.2%,19,100.0%
106901   CANADIAN ISD,15,34.1%,7,15.9%,22,50.0%,44,100.0%
234902   CANTON ISD,41,29.1%,48,34.0%,52,36.9%,141,100.0%
071907   CANUTILLO ISD,91,22.0%,120,29.1%,202,48.9%,413,100.0%
191901   CANYON ISD,164,26.1%,200,31.9%,264,42.0%,628,100.0%
201913   CARLISLE ISD,*,*,*,*,18,50.0%,36,100.0%
064903   CARRIZO SPRINGS CISD,24,23.8%,36,35.6%,41,40.6%,101,100.0%
220919   CARROLL ISD,144,24.5%,130,22.1%,315,53.5%,589,100.0%
057903   CARROLLTON-FARMERS BRANCH ISD,285,17.1%,513,30.7%,873,52.2%,"1,671",100.0%
183902   CARTHAGE ISD,11,6.9%,75,46.9%,74,46.3%,160,100.0%
220917   CASTLEBERRY ISD,19,10.9%,42,24.1%,113,64.9%,174,100.0%
001902   CAYUGA ISD,*,*,*,*,26,53.1%,49,100.0%
057904   CEDAR HILL ISD,156,26.4%,175,29.6%,260,44.0%,591,100.0%
116902   CELESTE ISD,9,18.4%,14,28.6%,26,53.1%,49,100.0%
043903   CELINA ISD,36,24.3%,41,27.7%,71,48.0%,148,100.0%
210901   CENTER ISD,22,15.6%,53,37.6%,66,46.8%,141,100.0%
133901   CENTER POINT ISD,7,13.7%,7,13.7%,37,72.6%,51,100.0%
145902   CENTERVILLE ISD,10,18.2%,21,38.2%,24,43.6%,55,100.0%
228904   CENTERVILLE ISD,,,*,*,*,*,*,*
174908   CENTRAL HEIGHTS ISD,13,28.3%,12,26.1%,21,45.7%,46,100.0%
003907   CENTRAL ISD,10,9.4%,42,39.6%,54,50.9%,106,100.0%
101905   CHANNELVIEW ISD,59,12.3%,142,29.5%,280,58.2%,481,100.0%
103901   CHANNING ISD,*,*,*,*,9,56.3%,16,100.0%
227814   CHAPARRAL STAR ACADEMY,*,*,*,*,10,52.6%,19,100.0%
212909   CHAPEL HILL ISD,21,9.1%,94,40.7%,116,50.2%,231,100.0%
225906   CHAPEL HILL ISD,13,17.8%,33,45.2%,27,37.0%,73,100.0%
007901   CHARLOTTE ISD,*,*,*,*,17,60.7%,28,100.0%
206903   CHEROKEE ISD,*,*,*,*,5,41.7%,12,100.0%
229906   CHESTER ISD,*,*,*,*,6,42.9%,14,100.0%
249904   CHICO ISD,*,*,*,*,20,43.5%,46,100.0%
038901   CHILDRESS ISD,18,25.4%,16,22.5%,37,52.1%,71,100.0%
099902   CHILLICOTHE ISD,*,*,*,*,15,75.0%,20,100.0%
073901   CHILTON ISD,*,*,*,*,24,55.8%,43,100.0%
161920   CHINA SPRING ISD,28,15.4%,87,47.8%,67,36.8%,182,100.0%
174901   CHIRENO ISD,*,*,*,*,14,70.0%,20,100.0%
139905   CHISUM ISD,8,13.8%,30,51.7%,20,34.5%,58,100.0%
226901   CHRISTOVAL ISD,10,34.5%,6,20.7%,13,44.8%,29,100.0%
067902   CISCO ISD,9,13.4%,27,40.3%,31,46.3%,67,100.0%
015832   CITY CENTER HEALTH CAREERS,*,*,*,*,*,*,7,100.0%
243906   CITY VIEW ISD,13,22.8%,15,26.3%,29,50.9%,57,100.0%
065901   CLARENDON ISD,8,19.5%,22,53.7%,11,26.8%,41,100.0%
194904   CLARKSVILLE ISD,8,16.7%,13,27.1%,27,56.3%,48,100.0%
006902   CLAUDE ISD,*,*,*,*,8,34.8%,23,100.0%
084910   CLEAR CREEK ISD,746,26.7%,999,35.7%,"1,052",37.6%,"2,797",100.0%
126903   CLEBURNE ISD,62,15.3%,125,30.9%,218,53.8%,405,100.0%
146901   CLEVELAND ISD,16,10.2%,38,24.2%,103,65.6%,157,100.0%
018901   CLIFTON ISD,20,28.6%,25,35.7%,25,35.7%,70,100.0%
071901   CLINT ISD,123,19.6%,200,31.9%,305,48.6%,628,100.0%
030902   CLYDE CISD,18,20.2%,25,28.1%,46,51.7%,89,100.0%
114902   COAHOMA ISD,9,15.8%,19,33.3%,29,50.9%,57,100.0%
204901   COLDSPRING-OAKHURST CISD,23,17.4%,36,27.3%,73,55.3%,132,100.0%
042901   COLEMAN ISD,9,17.7%,17,33.3%,25,49.0%,51,100.0%
021901   COLLEGE STATION ISD,174,25.1%,221,31.8%,299,43.1%,694,100.0%
091902   COLLINSVILLE ISD,7,19.4%,12,33.3%,17,47.2%,36,100.0%
229901   COLMESNEIL ISD,9,25.7%,8,22.9%,18,51.4%,35,100.0%
168901   COLORADO ISD,9,12.2%,23,31.1%,42,56.8%,74,100.0%
020907   COLUMBIA-BRAZORIA ISD,35,16.9%,74,35.8%,98,47.3%,207,100.0%
045902   COLUMBUS ISD,28,22.8%,44,35.8%,51,41.5%,123,100.0%
046902   COMAL ISD,323,26.2%,249,20.2%,660,53.6%,"1,232",100.0%
