DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
129902   FORNEY ISD,108,19.8%,200,36.6%,238,43.6%,546,100.0%
114904   FORSAN ISD,6,16.7%,17,47.2%,13,36.1%,36,100.0%
079907   FORT BEND ISD,"1,557",30.7%,"1,546",30.5%,"1,974",38.9%,"5,077",100.0%
242906   FORT ELLIOTT CISD,*,*,*,*,8,61.5%,13,100.0%
186902   FORT STOCKTON ISD,26,18.8%,34,24.6%,78,56.5%,138,100.0%
220809   FORT WORTH ACADEMY OF FINE ARTS,11,21.6%,16,31.4%,24,47.1%,51,100.0%
220804   FORT WORTH CAN ACADEMY,,,28,12.4%,198,87.6%,226,100.0%
220905   FORT WORTH ISD,558,15.3%,"1,050",28.8%,"2,038",55.9%,"3,646",100.0%
198903   FRANKLIN ISD,15,23.1%,27,41.5%,23,35.4%,65,100.0%
001904   FRANKSTON ISD,6,12.0%,24,48.0%,20,40.0%,50,100.0%
086901   FREDERICKSBURG ISD,70,28.5%,35,14.2%,141,57.3%,246,100.0%
066903   FREER ISD,16,31.4%,14,27.5%,21,41.2%,51,100.0%
152907   FRENSHIP ISD,113,23.4%,145,30.0%,226,46.7%,484,100.0%
084911   FRIENDSWOOD ISD,155,32.2%,183,38.1%,143,29.7%,481,100.0%
185903   FRIONA ISD,22,27.5%,20,25.0%,38,47.5%,80,100.0%
043905   FRISCO ISD,517,23.1%,774,34.7%,943,42.2%,"2,234",100.0%
175905   FROST ISD,*,*,*,*,5,23.8%,21,100.0%
234909   FRUITVALE ISD,6,22.2%,7,25.9%,14,51.9%,27,100.0%
122901   FT DAVIS ISD,*,*,*,*,16,61.5%,26,100.0%
115901   FT HANCOCK ISD,*,*,*,*,18,52.9%,34,100.0%
015914   FT SAM HOUSTON ISD,13,17.1%,16,21.1%,47,61.8%,76,100.0%
049901   GAINESVILLE ISD,20,13.8%,47,32.4%,78,53.8%,145,100.0%
101910   GALENA PARK ISD,230,15.0%,484,31.6%,818,53.4%,"1,532",100.0%
084902   GALVESTON ISD,85,18.5%,188,41.0%,186,40.5%,459,100.0%
120902   GANADO ISD,7,18.4%,18,47.4%,13,34.2%,38,100.0%
057909   GARLAND ISD,661,16.8%,"1,342",34.1%,"1,937",49.2%,"3,940",100.0%
174903   GARRISON ISD,8,20.0%,14,35.0%,18,45.0%,40,100.0%
183904   GARY ISD,*,*,*,*,16,50.0%,32,100.0%
050902   GATESVILLE ISD,32,16.8%,63,33.0%,96,50.3%,191,100.0%
240801   GATEWAY ACADEMY CHARTER DISTRICT,*,*,*,*,138,75.4%,183,100.0%
057831   GATEWAY CHARTER ACADEMY,6,15.0%,11,27.5%,23,57.5%,40,100.0%
015802   GEORGE GERVIN ACADEMY,,,8,19.1%,34,81.0%,42,100.0%
101804   GEORGE I SANCHEZ CHARTER,9,9.7%,19,20.4%,65,69.9%,93,100.0%
149901   GEORGE WEST ISD,25,27.5%,27,29.7%,39,42.9%,91,100.0%
246904   GEORGETOWN ISD,178,25.7%,176,25.4%,340,49.0%,694,100.0%
161925   GHOLSON ISD,,,*,*,*,*,*,*
144901   GIDDINGS ISD,35,23.5%,39,26.2%,75,50.3%,149,100.0%
230902   GILMER ISD,14,9.9%,55,38.7%,73,51.4%,142,100.0%
101805   GIRLS & BOYS PREPARATORY ACADEMY,*,*,*,*,15,75.0%,20,100.0%
092901   GLADEWATER ISD,10,7.1%,56,40.0%,74,52.9%,140,100.0%
087901   GLASSCOCK COUNTY ISD,6,35.3%,9,52.9%,*,*,17,100.0%
213901   GLEN ROSE ISD,48,35.6%,31,23.0%,56,41.5%,135,100.0%
126911   GODLEY ISD,12,14.6%,31,37.8%,39,47.6%,82,100.0%
169906   GOLD BURG ISD,*,*,*,*,8,57.1%,14,100.0%
167901   GOLDTHWAITE ISD,10,22.2%,11,24.4%,24,53.3%,45,100.0%
088902   GOLIAD ISD,22,28.6%,32,41.6%,23,29.9%,77,100.0%
089901   GONZALES ISD,34,20.9%,22,13.5%,107,65.6%,163,100.0%
187903   GOODRICH ISD,*,*,*,*,12,70.6%,17,100.0%
101911   GOOSE CREEK CISD,131,9.7%,550,40.5%,677,49.9%,"1,358",100.0%
182901   GORDON ISD,*,*,*,*,9,42.9%,21,100.0%
067904   GORMAN ISD,*,*,*,*,8,50.0%,16,100.0%
156905   GRADY ISD,*,*,*,*,9,39.1%,23,100.0%
182902   GRAFORD ISD,,,9,64.3%,5,35.7%,14,100.0%
252901   GRAHAM ISD,46,28.9%,46,28.9%,67,42.1%,159,100.0%
111901   GRANBURY ISD,118,29.7%,76,19.1%,203,51.1%,397,100.0%
057910   GRAND PRAIRIE ISD,254,15.5%,506,30.9%,880,53.7%,"1,640",100.0%
234904   GRAND SALINE ISD,9,13.4%,16,23.9%,42,62.7%,67,100.0%
238904   GRANDFALLS-ROYALTY ISD,*,*,,,*,*,*,*
126904   GRANDVIEW ISD,23,25.6%,23,25.6%,44,48.9%,90,100.0%
246905   GRANGER ISD,6,16.2%,12,32.4%,19,51.4%,37,100.0%
226907   GRAPE CREEK ISD,14,20.0%,8,11.4%,48,68.6%,70,100.0%
113902   GRAPELAND ISD,7,20.0%,18,51.4%,10,28.6%,35,100.0%
220906   GRAPEVINE-COLLEYVILLE ISD,268,24.2%,316,28.6%,522,47.2%,"1,106",100.0%
116905   GREENVILLE ISD,40,14.2%,96,34.0%,146,51.8%,282,100.0%
165902   GREENWOOD ISD,18,17.1%,50,47.6%,37,35.2%,105,100.0%
205902   GREGORY-PORTLAND ISD,93,31.7%,76,25.9%,124,42.3%,293,100.0%
147902   GROESBECK ISD,24,19.1%,40,31.8%,62,49.2%,126,100.0%
033901   GROOM ISD,*,*,*,*,,,9,100.0%
228901   GROVETON ISD,10,20.8%,22,45.8%,16,33.3%,48,100.0%
098901   GRUVER ISD,*,*,*,*,22,64.7%,34,100.0%
091917   GUNTER ISD,17,21.5%,35,44.3%,27,34.2%,79,100.0%
047903   GUSTINE ISD,*,*,*,*,*,*,11,100.0%
135001   GUTHRIE CSD,*,*,*,*,*,*,*,*
095903   HALE CENTER ISD,7,21.9%,7,21.9%,18,56.3%,32,100.0%
143901   HALLETTSVILLE ISD,8,10.8%,37,50.0%,29,39.2%,74,100.0%
102904   HALLSVILLE ISD,49,18.4%,96,36.0%,122,45.7%,267,100.0%
097902   HAMILTON ISD,13,24.5%,14,26.4%,26,49.1%,53,100.0%
127903   HAMLIN ISD,*,*,*,*,12,52.2%,23,100.0%
123914   HAMSHIRE-FANNETT ISD,39,33.1%,33,28.0%,46,39.0%,118,100.0%
219901   HAPPY ISD,*,*,*,*,7,46.7%,15,100.0%
146904   HARDIN ISD,16,21.1%,25,32.9%,35,46.1%,76,100.0%
100905   HARDIN-JEFFERSON ISD,46,40.4%,27,23.7%,41,36.0%,114,100.0%
015904   HARLANDALE ISD,102,12.1%,304,36.1%,436,51.8%,842,100.0%
102905   HARLETON ISD,5,10.9%,21,45.7%,20,43.5%,46,100.0%
031903   HARLINGEN CISD,243,21.2%,413,36.0%,492,42.9%,"1,148",100.0%
230905   HARMONY ISD,12,14.0%,22,25.6%,52,60.5%,86,100.0%
101858   HARMONY SCHOOL OF EXCELLENCE,27,34.6%,18,23.1%,33,42.3%,78,100.0%
071806   HARMONY SCIENCE ACAD (EL PASO),24,52.2%,8,17.4%,14,30.4%,46,100.0%
220813   HARMONY SCIENCE ACAD (FORT WORTH),17,37.0%,14,30.4%,15,32.6%,46,100.0%
152805   HARMONY SCIENCE ACAD (LUBBOCK),*,*,*,*,*,*,5,100.0%
015828   HARMONY SCIENCE ACAD (SAN ANTONIO),10,22.2%,17,37.8%,18,40.0%,45,100.0%
161807   HARMONY SCIENCE ACAD (WACO),21,26.3%,21,26.3%,38,47.5%,80,100.0%
101846   HARMONY SCIENCE ACADEMY,26,31.0%,22,26.2%,36,42.9%,84,100.0%
031803   HARMONY SCIENCE ACADEMY - BROWNSVI,6,75.0%,,,*,*,8,100.0%
227816   HARMONY SCIENCE ACADEMY (AUSTIN),15,25.9%,17,29.3%,26,44.8%,58,100.0%
086902   HARPER ISD,11,22.5%,5,10.2%,33,67.4%,49,100.0%
244901   HARROLD ISD,*,*,*,*,*,*,6,100.0%
035902   HART ISD,6,31.6%,5,26.3%,8,42.1%,19,100.0%
103902   HARTLEY ISD,*,*,*,*,6,46.2%,13,100.0%
104901   HASKELL CISD,11,29.7%,14,37.8%,12,32.4%,37,100.0%
250902   HAWKINS ISD,*,*,*,*,31,54.4%,57,100.0%
127904   HAWLEY ISD,*,*,*,*,34,69.4%,49,100.0%
105906   HAYS CISD,186,21.1%,248,28.1%,448,50.8%,882,100.0%
198905   HEARNE ISD,8,12.3%,9,13.9%,48,73.9%,65,100.0%
065902   HEDLEY ISD,,,9,64.3%,5,35.7%,14,100.0%
202903   HEMPHILL ISD,10,17.9%,14,25.0%,32,57.1%,56,100.0%
237902   HEMPSTEAD ISD,16,19.3%,21,25.3%,46,55.4%,83,100.0%
201902   HENDERSON ISD,23,11.5%,82,41.0%,95,47.5%,200,100.0%
039902   HENRIETTA ISD,24,32.0%,19,25.3%,32,42.7%,75,100.0%
015833   HENRY FORD ACADEMY ALAMEDA SCHOOL,5,8.1%,22,35.5%,35,56.5%,62,100.0%
059901   HEREFORD ISD,41,16.7%,67,27.2%,138,56.1%,246,100.0%
208901   HERMLEIGH ISD,*,*,*,*,7,50.0%,14,100.0%
097903   HICO ISD,*,*,*,*,20,55.6%,36,100.0%
108905   HIDALGO ISD,65,29.2%,60,26.9%,98,44.0%,223,100.0%
148903   HIGGINS ISD,,,,,5,100.0%,5,100.0%
015803   HIGGS CARTER KING GIFTED & TALENTE,,,*,*,*,*,*,*
084903   HIGH ISLAND ISD,6,27.3%,6,27.3%,10,45.5%,22,100.0%
177905   HIGHLAND ISD,*,*,*,*,7,46.7%,15,100.0%
057911   HIGHLAND PARK ISD,142,30.0%,81,17.1%,251,53.0%,474,100.0%
188903   HIGHLAND PARK ISD,15,31.3%,15,31.3%,18,37.5%,48,100.0%
109904   HILLSBORO ISD,6,6.4%,39,41.5%,49,52.1%,94,100.0%
084908   HITCHCOCK ISD,5,9.3%,21,38.9%,28,51.9%,54,100.0%
014905   HOLLAND ISD,9,23.7%,12,31.6%,17,44.7%,38,100.0%
005902   HOLLIDAY ISD,20,30.8%,19,29.2%,26,40.0%,65,100.0%
163904   HONDO ISD,33,22.6%,35,24.0%,78,53.4%,146,100.0%
074907   HONEY GROVE ISD,8,20.0%,17,42.5%,15,37.5%,40,100.0%
057825   HONORS ACADEMY,,,*,*,6,66.7%,9,100.0%
019902   HOOKS ISD,5,5.9%,22,25.9%,58,68.2%,85,100.0%
101812   HOUSTON CAN ACADEMY CHARTER SCHOOL,*,*,*,*,153,83.2%,184,100.0%
101828   HOUSTON GATEWAY ACADEMY INC,*,*,*,*,11,61.1%,18,100.0%
101821   HOUSTON HEIGHTS HIGH SCHOOL,*,*,*,*,76,89.4%,85,100.0%
101912   HOUSTON ISD,"2,015",21.2%,"1,905",20.1%,"5,567",58.7%,"9,487",100.0%
091905   HOWE ISD,11,14.1%,41,52.6%,26,33.3%,78,100.0%
109905   HUBBARD ISD,*,*,*,*,8,22.9%,35,100.0%
072908   HUCKABAY ISD,*,*,*,*,*,*,12,100.0%
003902   HUDSON ISD,21,12.7%,82,49.4%,63,38.0%,166,100.0%
101925   HUFFMAN ISD,35,18.8%,82,44.1%,69,37.1%,186,100.0%
034903   HUGHES SPRINGS ISD,13,17.6%,33,44.6%,28,37.8%,74,100.0%
146905   HULL-DAISETTA ISD,*,*,*,*,26,60.5%,43,100.0%
101913   HUMBLE ISD,595,23.3%,926,36.2%,"1,036",40.5%,"2,557",100.0%
003904   HUNTINGTON ISD,17,14.9%,36,31.6%,61,53.5%,114,100.0%
236902   HUNTSVILLE ISD,99,25.1%,80,20.3%,215,54.6%,394,100.0%
220916   HURST-EULESS-BEDFORD ISD,254,17.9%,406,28.6%,762,53.6%,"1,422",100.0%
246906   HUTTO ISD,71,21.2%,94,28.1%,170,50.8%,335,100.0%
152910   IDALOU ISD,20,29.4%,24,35.3%,24,35.3%,68,100.0%
108807   IDEA PUBLIC SCHOOLS,268,62.2%,70,16.2%,93,21.6%,431,100.0%
108801   IGNITE PUBLIC SCHOOLS AND COMMUNIT,*,*,*,*,163,73.4%,222,100.0%
120905   INDUSTRIAL ISD,15,19.7%,34,44.7%,27,35.5%,76,100.0%
205903   INGLESIDE ISD,17,13.6%,38,30.4%,70,56.0%,125,100.0%
133904   INGRAM ISD,19,23.2%,9,11.0%,54,65.9%,82,100.0%
093903   IOLA ISD,7,20.0%,14,40.0%,14,40.0%,35,100.0%
243903   IOWA PARK CISD,28,22.8%,33,26.8%,62,50.4%,123,100.0%
208903   IRA ISD,*,*,*,*,5,38.5%,13,100.0%
186903   IRAAN-SHEFFIELD ISD,9,10.0%,26,28.9%,55,61.1%,90,100.0%
018906   IREDELL ISD,*,*,*,*,*,*,5,100.0%
118902   IRION COUNTY ISD,6,25.0%,14,58.3%,*,*,24,100.0%
057912   IRVING ISD,271,13.5%,588,29.3%,"1,151",57.3%,"2,010",100.0%
070907   ITALY ISD,5,10.6%,16,34.0%,26,55.3%,47,100.0%
109907   ITASCA ISD,7,14.6%,24,50.0%,17,35.4%,48,100.0%
119902   JACKSBORO ISD,18,31.0%,15,25.9%,25,43.1%,58,100.0%
037904   JACKSONVILLE ISD,18,8.3%,46,21.3%,152,70.4%,216,100.0%
101822   JAMIE'S HOUSE CHARTER SCHOOL,,,,,21,100.0%,21,100.0%
246907   JARRELL ISD,16,23.5%,14,20.6%,38,55.9%,68,100.0%
121904   JASPER ISD,38,23.8%,46,28.8%,76,47.5%,160,100.0%
132902   JAYTON-GIRARD ISD,*,*,*,*,*,*,9,100.0%
057819   JEAN MASSIEU ACADEMY,,,*,*,*,*,6,100.0%
155901   JEFFERSON ISD,14,17.1%,22,26.8%,46,56.1%,82,100.0%
124901   JIM HOGG COUNTY ISD,19,27.5%,24,34.8%,26,37.7%,69,100.0%
221911   JIM NED CISD,30,36.1%,25,30.1%,28,33.7%,83,100.0%
210902   JOAQUIN ISD,8,17.8%,19,42.2%,18,40.0%,45,100.0%
015808   JOHN H WOOD JR PUBLIC CHARTER DIST,,,*,*,*,*,6,100.0%
016901   JOHNSON CITY ISD,12,25.0%,13,27.1%,23,47.9%,48,100.0%
050909   JONESBORO ISD,*,*,*,*,10,66.7%,15,100.0%
126905   JOSHUA ISD,61,20.0%,100,32.8%,144,47.2%,305,100.0%
007902   JOURDANTON ISD,15,20.3%,15,20.3%,44,59.5%,74,100.0%
015822   JUBILEE ACADEMIC CENTER,*,*,*,*,25,67.6%,37,100.0%
015916   JUDSON ISD,275,20.6%,326,24.4%,733,55.0%,"1,334",100.0%
134901   JUNCTION ISD,13,26.0%,16,32.0%,21,42.0%,50,100.0%
102901   KARNACK ISD,,,*,*,*,*,8,100.0%
128901   KARNES CITY ISD,19,29.2%,22,33.9%,24,36.9%,65,100.0%
105801   KATHERINE ANNE PORTER SCHOOL,11,36.7%,5,16.7%,14,46.7%,30,100.0%
101914   KATY ISD,954,22.4%,"1,235",29.0%,"2,070",48.6%,"4,259",100.0%
129903   KAUFMAN ISD,38,16.7%,90,39.5%,100,43.9%,228,100.0%
126906   KEENE ISD,8,13.1%,17,27.9%,36,59.0%,61,100.0%
220907   KELLER ISD,499,23.0%,734,33.8%,939,43.2%,"2,172",100.0%
242905   KELTON ISD,,,,,*,*,*,*
129904   KEMP ISD,8,9.6%,35,42.2%,40,48.2%,83,100.0%
128902   KENEDY ISD,7,16.7%,18,42.9%,17,40.5%,42,100.0%
113906   KENNARD ISD,*,*,*,*,11,45.8%,24,100.0%
220914   KENNEDALE ISD,51,22.6%,96,42.5%,79,35.0%,226,100.0%
175907   KERENS ISD,*,*,*,*,16,41.0%,39,100.0%
248901   KERMIT ISD,14,21.9%,21,32.8%,29,45.3%,64,100.0%
133903   KERRVILLE ISD,65,19.4%,43,12.8%,227,67.8%,335,100.0%
092902   KILGORE ISD,23,11.3%,87,42.7%,94,46.1%,204,100.0%
014906   KILLEEN ISD,310,15.3%,629,31.1%,"1,085",53.6%,"2,024",100.0%
137901   KINGSVILLE ISD,62,29.4%,46,21.8%,103,48.8%,211,100.0%
227820   KIPP AUSTIN PUBLIC SCHOOLS INC,18,25.4%,8,11.3%,45,63.4%,71,100.0%
101813   KIPP INC CHARTER,48,39.7%,21,17.4%,52,43.0%,121,100.0%
015826   KIPP SAN ANTONIO,13,20.3%,14,21.9%,37,57.8%,64,100.0%
121905   KIRBYVILLE CISD,17,19.1%,18,20.2%,54,60.7%,89,100.0%
101915   KLEIN ISD,720,23.2%,"1,063",34.2%,"1,323",42.6%,"3,106",100.0%
058905   KLONDIKE ISD,8,42.1%,5,26.3%,6,31.6%,19,100.0%
232901   KNIPPA ISD,*,*,*,*,*,*,11,100.0%
138902   KNOX CITY-O'BRIEN CISD,*,*,*,*,6,50.0%,12,100.0%
018907   KOPPERL ISD,,,*,*,12,80.0%,15,100.0%
100903   KOUNTZE ISD,18,24.0%,25,33.3%,32,42.7%,75,100.0%
219905   KRESS ISD,*,*,*,*,8,50.0%,16,100.0%
061905   KRUM ISD,24,21.6%,35,31.5%,52,46.9%,111,100.0%
031905   LA FERIA ISD,44,20.5%,73,34.0%,98,45.6%,215,100.0%
075902   LA GRANGE ISD,30,19.5%,49,31.8%,75,48.7%,154,100.0%
108912   LA JOYA ISD,305,19.1%,346,21.6%,950,59.3%,"1,601",100.0%
084904   LA MARQUE ISD,29,19.2%,54,35.8%,68,45.0%,151,100.0%
101916   LA PORTE ISD,59,10.9%,236,43.4%,249,45.8%,544,100.0%
254902   LA PRYOR ISD,*,*,*,*,17,41.5%,41,100.0%
161906   LA VEGA ISD,9,5.7%,70,44.6%,78,49.7%,157,100.0%
247903   LA VERNIA ISD,37,18.5%,66,33.0%,97,48.5%,200,100.0%
108914   LA VILLA ISD,*,*,*,*,21,48.8%,43,100.0%
015913   LACKLAND ISD,6,15.8%,11,29.0%,21,55.3%,38,100.0%
227912   LAGO VISTA ISD,24,24.7%,28,28.9%,45,46.4%,97,100.0%
061912   LAKE DALLAS ISD,60,21.3%,104,36.9%,118,41.8%,282,100.0%
227913   LAKE TRAVIS ISD,186,37.7%,110,22.3%,198,40.1%,494,100.0%
220910   LAKE WORTH ISD,20,15.3%,39,29.8%,72,55.0%,131,100.0%
079901   LAMAR CISD,332,23.4%,450,31.7%,637,44.9%,"1,419",100.0%
058906   LAMESA ISD,12,13.8%,49,56.3%,26,29.9%,87,100.0%
141901   LAMPASAS ISD,38,17.6%,59,27.3%,119,55.1%,216,100.0%
057913   LANCASTER ISD,79,22.7%,120,34.5%,149,42.8%,348,100.0%
201903   LANEVILLE ISD,,,*,*,5,71.4%,7,100.0%
107910   LAPOYNOR ISD,*,*,*,*,13,48.2%,27,100.0%
240901   LAREDO ISD,247,21.4%,454,39.4%,451,39.2%,"1,152",100.0%
245901   LASARA ISD,*,*,*,*,14,53.9%,26,100.0%
113905   LATEXO ISD,*,*,*,*,16,47.1%,34,100.0%
185904   LAZBUDDIE ISD,*,*,*,*,6,50.0%,12,100.0%
193902   LEAKEY ISD,5,31.3%,5,31.3%,6,37.5%,16,100.0%
246913   LEANDER ISD,567,27.3%,619,29.8%,890,42.9%,"2,076",100.0%
090902   LEFORS ISD,*,*,*,*,7,63.6%,11,100.0%
187906   LEGGETT ISD,,,5,38.5%,8,61.5%,13,100.0%
145911   LEON ISD,6,12.8%,13,27.7%,28,59.6%,47,100.0%
074909   LEONARD ISD,18,28.6%,20,31.8%,25,39.7%,63,100.0%
110902   LEVELLAND ISD,6,3.8%,72,45.9%,79,50.3%,157,100.0%
201904   LEVERETTS CHAPEL ISD,,,10,58.8%,7,41.2%,17,100.0%
061902   LEWISVILLE ISD,820,22.9%,"1,052",29.4%,"1,705",47.7%,"3,577",100.0%
144902   LEXINGTON ISD,10,16.7%,21,35.0%,29,48.3%,60,100.0%
246908   LIBERTY HILL ISD,37,22.2%,46,27.5%,84,50.3%,167,100.0%
146906   LIBERTY ISD,26,22.2%,30,25.6%,61,52.1%,117,100.0%
019908   LIBERTY-EYLAU ISD,19,11.7%,44,27.2%,99,61.1%,162,100.0%
057807   LIFE SCHOOL,19,15.2%,61,48.8%,45,36.0%,125,100.0%
212903   LINDALE ISD,46,17.8%,108,41.9%,104,40.3%,258,100.0%
034905   LINDEN-KILDARE CISD,8,13.1%,23,37.7%,30,49.2%,61,100.0%
049907   LINDSAY ISD,7,18.9%,16,43.2%,14,37.8%,37,100.0%
072909   LINGLEVILLE ISD,*,*,*,*,8,47.1%,17,100.0%
111902   LIPAN ISD,*,*,*,*,9,60.0%,15,100.0%
181908   LITTLE CYPRESS-MAURICEVILLE CISD,46,19.2%,109,45.4%,85,35.4%,240,100.0%
061914   LITTLE ELM ISD,51,15.0%,117,34.3%,173,50.7%,341,100.0%
140904   LITTLEFIELD ISD,16,19.1%,28,33.3%,40,47.6%,84,100.0%
187907   LIVINGSTON ISD,54,21.6%,66,26.4%,130,52.0%,250,100.0%
150901   LLANO ISD,27,27.8%,17,17.5%,53,54.6%,97,100.0%
028902   LOCKHART ISD,64,20.0%,38,11.9%,218,68.1%,320,100.0%
077902   LOCKNEY ISD,15,48.4%,6,19.4%,10,32.3%,31,100.0%
160905   LOHN ISD,*,*,*,*,5,45.5%,11,100.0%
141902   LOMETA ISD,*,*,*,*,14,63.6%,22,100.0%
116906   LONE OAK ISD,13,21.3%,16,26.2%,32,52.5%,61,100.0%
092903   LONGVIEW ISD,53,10.3%,172,33.3%,291,56.4%,516,100.0%
083902   LOOP ISD,,,7,53.9%,6,46.2%,13,100.0%
168902   LORAINE ISD,*,*,*,*,*,*,6,100.0%
161907   LORENA ISD,23,20.0%,64,55.7%,28,24.4%,115,100.0%
054902   LORENZO ISD,*,*,*,*,9,69.2%,13,100.0%
031906   LOS FRESNOS CISD,199,31.4%,134,21.1%,301,47.5%,634,100.0%
241906   LOUISE ISD,*,*,*,*,14,46.7%,30,100.0%
043919   LOVEJOY ISD,78,28.5%,73,26.6%,123,44.9%,274,100.0%
113903   LOVELADY ISD,5,16.7%,10,33.3%,15,50.0%,30,100.0%
152901   LUBBOCK ISD,292,18.5%,418,26.5%,869,55.0%,"1,579",100.0%
152906   LUBBOCK-COOPER ISD,57,27.9%,66,32.4%,81,39.7%,204,100.0%
003903   LUFKIN ISD,78,14.8%,201,38.1%,249,47.2%,528,100.0%
028903   LULING ISD,13,16.7%,14,18.0%,51,65.4%,78,100.0%
100907   LUMBERTON ISD,84,34.7%,54,22.3%,104,43.0%,242,100.0%
245902   LYFORD CISD,26,23.9%,35,32.1%,48,44.0%,109,100.0%
007904   LYTLE ISD,22,20.4%,28,25.9%,58,53.7%,108,100.0%
129905   MABANK ISD,40,17.0%,69,29.2%,127,53.8%,236,100.0%
154901   MADISONVILLE CISD,31,19.9%,26,16.7%,99,63.5%,156,100.0%
170906   MAGNOLIA ISD,129,16.1%,283,35.3%,390,48.6%,802,100.0%
107906   MALAKOFF ISD,6,9.5%,21,33.3%,36,57.1%,63,100.0%
227907   MANOR ISD,75,20.1%,73,19.6%,225,60.3%,373,100.0%
220908   MANSFIELD ISD,519,24.0%,755,35.0%,885,41.0%,"2,159",100.0%
022902   MARATHON ISD,*,*,,,,,*,*
027904   MARBLE FALLS ISD,66,24.8%,61,22.9%,139,52.3%,266,100.0%
189901   MARFA ISD,*,*,*,*,15,57.7%,26,100.0%
094904   MARION ISD,18,19.8%,21,23.1%,52,57.1%,91,100.0%
073903   MARLIN ISD,14,24.6%,17,29.8%,26,45.6%,57,100.0%
102902   MARSHALL ISD,26,8.8%,85,28.8%,184,62.4%,295,100.0%
161908   MART ISD,*,*,*,*,20,45.5%,44,100.0%
234905   MARTINS MILL ISD,*,*,*,*,10,45.5%,22,100.0%
174909   MARTINSVILLE ISD,*,*,*,*,14,51.9%,27,100.0%
157901   MASON ISD,16,36.4%,8,18.2%,20,45.5%,44,100.0%
205904   MATHIS ISD,16,17.6%,14,15.4%,61,67.0%,91,100.0%
019903   MAUD ISD,5,14.3%,6,17.1%,24,68.6%,35,100.0%
025905   MAY ISD,*,*,*,*,6,54.6%,11,100.0%
070915   MAYPEARL ISD,11,14.1%,34,43.6%,33,42.3%,78,100.0%
108906   MCALLEN ISD,477,32.1%,425,28.6%,583,39.3%,"1,485",100.0%
231901   MCCAMEY ISD,6,20.0%,9,30.0%,15,50.0%,30,100.0%
161909   MCGREGOR ISD,6,7.7%,32,41.0%,40,51.3%,78,100.0%
043907   MCKINNEY ISD,315,20.2%,467,29.9%,780,49.9%,"1,562",100.0%
090903   MCLEAN ISD,*,*,*,*,8,61.5%,13,100.0%
034906   MCLEOD ISD,*,*,*,*,23,69.7%,33,100.0%
162904   MCMULLEN COUNTY ISD,6,35.3%,5,29.4%,6,35.3%,17,100.0%
223902   MEADOW ISD,5,26.3%,6,31.6%,8,42.1%,19,100.0%
130801   MEADOWLAND CHARTER SCHOOL,,,,,14,100.0%,14,100.0%
010901   MEDINA ISD,*,*,*,*,19,63.3%,30,100.0%
163908   MEDINA VALLEY ISD,62,26.2%,55,23.2%,120,50.6%,237,100.0%
043908   MELISSA ISD,12,13.2%,30,33.0%,49,53.9%,91,100.0%
096904   MEMPHIS ISD,7,22.6%,9,29.0%,15,48.4%,31,100.0%
164901   MENARD ISD,*,*,*,*,11,45.8%,24,100.0%
108907   MERCEDES ISD,73,21.9%,118,35.3%,143,42.8%,334,100.0%
018902   MERIDIAN ISD,12,31.6%,11,29.0%,15,39.5%,38,100.0%
221904   MERKEL ISD,9,13.2%,16,23.5%,43,63.2%,68,100.0%
057914   MESQUITE ISD,394,15.8%,855,34.3%,"1,241",49.8%,"2,490",100.0%
147903   MEXIA ISD,19,14.7%,48,37.2%,62,48.1%,129,100.0%
197902   MIAMI ISD,*,*,*,*,8,61.5%,13,100.0%
165901   MIDLAND ISD,206,16.5%,461,36.9%,584,46.7%,"1,251",100.0%
070908   MIDLOTHIAN ISD,114,21.9%,217,41.7%,190,36.5%,521,100.0%
108804   MIDVALLEY ACADEMY CHARTER DISTRICT,*,*,*,*,102,81.6%,125,100.0%
039905   MIDWAY ISD,*,*,*,*,*,*,9,100.0%
161903   MIDWAY ISD,67,12.9%,225,43.4%,227,43.7%,519,100.0%
166903   MILANO ISD,7,26.9%,11,42.3%,8,30.8%,26,100.0%
175910   MILDRED ISD,11,20.4%,21,38.9%,22,40.7%,54,100.0%
200902   MILES ISD,14,32.6%,8,18.6%,21,48.8%,43,100.0%
070909   MILFORD ISD,*,*,*,*,7,53.9%,13,100.0%
112907   MILLER GROVE ISD,*,*,*,*,10,55.6%,18,100.0%
184904   MILLSAP ISD,*,*,*,*,26,55.3%,47,100.0%
250903   MINEOLA ISD,13,11.8%,37,33.6%,60,54.6%,110,100.0%
182903   MINERAL WELLS ISD,19,8.2%,73,31.3%,141,60.5%,233,100.0%
108908   MISSION CISD,246,29.1%,240,28.4%,359,42.5%,845,100.0%
238902   MONAHANS-WICKETT-PYOTE ISD,31,24.4%,24,18.9%,72,56.7%,127,100.0%
108915   MONTE ALTO ISD,9,17.3%,9,17.3%,34,65.4%,52,100.0%
170903   MONTGOMERY ISD,104,23.1%,143,31.8%,203,45.1%,450,100.0%
161910   MOODY ISD,6,14.0%,18,41.9%,19,44.2%,43,100.0%
209902   MORAN ISD,,,6,54.6%,5,45.5%,11,100.0%
018903   MORGAN ISD,,,*,*,6,75.0%,8,100.0%
040901   MORTON ISD,*,*,*,*,14,70.0%,20,100.0%
