DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
AVALON ISD,Richardson,2017,,17,
AZLE ISD,Fort Worth,2011,55,342,16.08187135
AZLE ISD,Fort Worth,2012,46,346,13.29479769
AZLE ISD,Fort Worth,2013,69,388,17.78350515
AZLE ISD,Fort Worth,2014,64,385,16.62337662
AZLE ISD,Fort Worth,2015,55,403,13.64764268
AZLE ISD,Fort Worth,2016,54,453,11.9205298
AZLE ISD,Fort Worth,2017,45,416,10.81730769
BANDERA ISD,San Antonio,2011,41,192,21.35416667
BANDERA ISD,San Antonio,2012,36,172,20.93023256
BANDERA ISD,San Antonio,2013,29,168,17.26190476
BANDERA ISD,San Antonio,2014,40,162,24.69135802
BANDERA ISD,San Antonio,2015,28,149,18.79194631
BANDERA ISD,San Antonio,2016,38,176,21.59090909
BANDERA ISD,San Antonio,2017,29,149,19.46308725
BARBERS HILL ISD,Houston,2011,63,282,22.34042553
BARBERS HILL ISD,Houston,2012,57,270,21.11111111
BARBERS HILL ISD,Houston,2013,52,289,17.99307958
BARBERS HILL ISD,Houston,2014,65,332,19.57831325
BARBERS HILL ISD,Houston,2015,88,319,27.5862069
BARBERS HILL ISD,Houston,2016,56,315,17.77777778
BARBERS HILL ISD,Houston,2017,92,344,26.74418605
BARTLETT ISD,Austin,2011,,15,
BARTLETT ISD,Austin,2012,,29,
BARTLETT ISD,Austin,2013,,39,
BARTLETT ISD,Austin,2014,,34,
BARTLETT ISD,Austin,2016,,23,
BARTLETT ISD,Austin,2017,,30,
BASTROP ISD,Austin,2011,112,525,21.33333333
BASTROP ISD,Austin,2012,89,515,17.2815534
BASTROP ISD,Austin,2013,94,617,15.2350081
BASTROP ISD,Austin,2014,97,569,17.04745167
BASTROP ISD,Austin,2015,92,578,15.91695502
BASTROP ISD,Austin,2016,129,721,17.89181692
BASTROP ISD,Austin,2017,132,679,19.44035346
BELLS ISD,Richardson,2011,5,54,9.259259259
BELLS ISD,Richardson,2012,,57,
BELLS ISD,Richardson,2013,,40,
BELLS ISD,Richardson,2014,6,58,10.34482759
BELLS ISD,Richardson,2015,12,44,27.27272727
BELLS ISD,Richardson,2016,7,51,13.7254902
BELLS ISD,Richardson,2017,5,49,10.20408163
BIRDVILLE ISD,Fort Worth,2011,213,1446,14.73029046
BIRDVILLE ISD,Fort Worth,2012,203,1353,15.00369549
BIRDVILLE ISD,Fort Worth,2013,269,1471,18.28687967
BIRDVILLE ISD,Fort Worth,2014,264,1480,17.83783784
BIRDVILLE ISD,Fort Worth,2015,262,1552,16.8814433
BIRDVILLE ISD,Fort Worth,2016,254,1518,16.73254282
BIRDVILLE ISD,Fort Worth,2017,253,1484,17.04851752
BLANCO ISD,Austin,2011,18,79,22.78481013
BLANCO ISD,Austin,2012,21,67,31.34328358
BLANCO ISD,Austin,2013,25,74,33.78378378
BLANCO ISD,Austin,2014,19,63,30.15873016
BLANCO ISD,Austin,2015,21,69,30.43478261
BLANCO ISD,Austin,2016,17,67,25.37313433
BLANCO ISD,Austin,2017,25,79,31.64556962
BLAND ISD,Richardson,2011,10,37,27.02702703
BLAND ISD,Richardson,2012,10,40,25
BLAND ISD,Richardson,2013,5,32,15.625
BLAND ISD,Richardson,2014,5,44,11.36363636
BLAND ISD,Richardson,2015,10,40,25
BLAND ISD,Richardson,2016,5,36,13.88888889
BLAND ISD,Richardson,2017,11,44,25
BLUE RIDGE ISD,Richardson,2011,,33,
BLUE RIDGE ISD,Richardson,2012,6,49,12.24489796
BLUE RIDGE ISD,Richardson,2013,9,47,19.14893617
BLUE RIDGE ISD,Richardson,2014,5,37,13.51351351
BLUE RIDGE ISD,Richardson,2015,9,49,18.36734694
BLUE RIDGE ISD,Richardson,2016,6,42,14.28571429
BLUE RIDGE ISD,Richardson,2017,7,40,17.5
BOERNE ISD,San Antonio,2011,181,506,35.77075099
BOERNE ISD,San Antonio,2012,144,525,27.42857143
BOERNE ISD,San Antonio,2013,175,569,30.75571178
BOERNE ISD,San Antonio,2014,179,558,32.07885305
BOERNE ISD,San Antonio,2015,155,557,27.82764811
BOERNE ISD,San Antonio,2016,197,580,33.96551724
BOERNE ISD,San Antonio,2017,206,654,31.49847095
BOLES ISD,Richardson,2011,6,41,14.63414634
BOLES ISD,Richardson,2013,9,37,24.32432432
BOLES ISD,Richardson,2014,7,43,16.27906977
BOLES ISD,Richardson,2015,9,31,29.03225806
BOLES ISD,Richardson,2016,7,51,13.7254902
BOLES ISD,Richardson,2017,11,48,22.91666667
BONHAM ISD,Richardson,2011,10,107,9.345794393
BONHAM ISD,Richardson,2012,12,117,10.25641026
BONHAM ISD,Richardson,2013,9,115,7.826086957
BONHAM ISD,Richardson,2014,16,109,14.67889908
BONHAM ISD,Richardson,2015,22,112,19.64285714
BONHAM ISD,Richardson,2016,12,119,10.08403361
BONHAM ISD,Richardson,2017,14,106,13.20754717
BOYD ISD,Fort Worth,2011,18,83,21.68674699
BOYD ISD,Fort Worth,2012,27,97,27.83505155
BOYD ISD,Fort Worth,2013,22,85,25.88235294
BOYD ISD,Fort Worth,2014,25,83,30.12048193
BOYD ISD,Fort Worth,2015,14,91,15.38461538
BOYD ISD,Fort Worth,2016,10,97,10.30927835
BOYD ISD,Fort Worth,2017,11,60,18.33333333
BRACKETT ISD,San Antonio,2011,14,58,24.13793103
BRACKETT ISD,San Antonio,2012,8,32,25
BRACKETT ISD,San Antonio,2013,6,38,15.78947368
BRACKETT ISD,San Antonio,2014,9,53,16.98113208
BRACKETT ISD,San Antonio,2015,12,48,25
BRACKETT ISD,San Antonio,2016,7,38,18.42105263
BRACKETT ISD,San Antonio,2017,13,47,27.65957447
BRAZOSPORT ISD,Houston,2011,129,874,14.7597254
BRAZOSPORT ISD,Houston,2012,121,785,15.41401274
BRAZOSPORT ISD,Houston,2013,126,759,16.60079051
BRAZOSPORT ISD,Houston,2014,130,736,17.66304348
