DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
DENISON ISD,Richardson,2011,32,319,10.03134796
DENISON ISD,Richardson,2012,21,290,7.24137931
DENISON ISD,Richardson,2013,32,282,11.34751773
DENISON ISD,Richardson,2014,26,282,9.219858156
DENISON ISD,Richardson,2015,32,283,11.30742049
DENISON ISD,Richardson,2016,18,311,5.78778135
DENISON ISD,Richardson,2017,32,263,12.16730038
DENTON ISD,Fort Worth,2011,260,1259,20.65131056
DENTON ISD,Fort Worth,2012,280,1229,22.7827502
DENTON ISD,Fort Worth,2013,292,1364,21.40762463
DENTON ISD,Fort Worth,2014,320,1510,21.19205298
DENTON ISD,Fort Worth,2015,290,1549,18.72175597
DENTON ISD,Fort Worth,2016,296,1543,19.18340894
DENTON ISD,Fort Worth,2017,270,1657,16.29450815
DESOTO ISD,Richardson,2011,148,524,28.24427481
DESOTO ISD,Richardson,2012,168,603,27.86069652
DESOTO ISD,Richardson,2013,131,563,23.26820604
DESOTO ISD,Richardson,2014,156,711,21.94092827
DESOTO ISD,Richardson,2015,152,678,22.41887906
DESOTO ISD,Richardson,2016,167,657,25.41856925
DESOTO ISD,Richardson,2017,198,733,27.01227831
DEVINE ISD,San Antonio,2011,24,131,18.32061069
DEVINE ISD,San Antonio,2012,21,120,17.5
DEVINE ISD,San Antonio,2013,25,134,18.65671642
DEVINE ISD,San Antonio,2014,23,141,16.31205674
DEVINE ISD,San Antonio,2015,19,130,14.61538462
DEVINE ISD,San Antonio,2016,25,123,20.32520325
DEVINE ISD,San Antonio,2017,26,131,19.84732824
DICKINSON ISD,Houston,2011,65,509,12.77013752
DICKINSON ISD,Houston,2012,85,556,15.28776978
DICKINSON ISD,Houston,2013,81,557,14.54219031
DICKINSON ISD,Houston,2014,86,544,15.80882353
DICKINSON ISD,Houston,2015,95,568,16.72535211
DICKINSON ISD,Houston,2016,94,597,15.74539363
DICKINSON ISD,Houston,2017,107,638,16.77115987
DILLEY ISD,San Antonio,2011,11,64,17.1875
DILLEY ISD,San Antonio,2014,10,51,19.60784314
DILLEY ISD,San Antonio,2015,9,60,15
DILLEY ISD,San Antonio,2016,5,63,7.936507937
DILLEY ISD,San Antonio,2017,11,57,19.29824561
DIME BOX ISD,Austin,2011,,8,
DIME BOX ISD,Austin,2012,,7,
DIME BOX ISD,Austin,2013,,7,
DIME BOX ISD,Austin,2014,,10,
DIME BOX ISD,Austin,2015,,15,
DIME BOX ISD,Austin,2016,,14,
DODD CITY ISD,Richardson,2017,8,28,28.57142857
DRIPPING SPRINGS ISD,Austin,2011,104,288,36.11111111
DRIPPING SPRINGS ISD,Austin,2012,99,279,35.48387097
DRIPPING SPRINGS ISD,Austin,2013,97,321,30.21806854
DRIPPING SPRINGS ISD,Austin,2014,109,334,32.63473054
DRIPPING SPRINGS ISD,Austin,2015,87,336,25.89285714
DRIPPING SPRINGS ISD,Austin,2016,111,370,30
DRIPPING SPRINGS ISD,Austin,2017,136,406,33.49753695
DUBLIN ISD,Fort Worth,2011,19,57,33.33333333
DUBLIN ISD,Fort Worth,2012,23,72,31.94444444
DUBLIN ISD,Fort Worth,2013,16,62,25.80645161
DUBLIN ISD,Fort Worth,2014,18,70,25.71428571
DUBLIN ISD,Fort Worth,2015,20,57,35.0877193
DUBLIN ISD,Fort Worth,2016,20,72,27.77777778
DUBLIN ISD,Fort Worth,2017,16,59,27.11864407
DUNCANVILLE ISD,Richardson,2011,150,733,20.4638472
DUNCANVILLE ISD,Richardson,2012,123,753,16.33466135
DUNCANVILLE ISD,Richardson,2013,148,797,18.56963614
DUNCANVILLE ISD,Richardson,2014,159,823,19.31956258
DUNCANVILLE ISD,Richardson,2015,197,851,23.14923619
DUNCANVILLE ISD,Richardson,2016,185,872,21.21559633
DUNCANVILLE ISD,Richardson,2017,235,945,24.86772487
EAGLE MT-SAGINAW ISD,Fort Worth,2011,131,893,14.66965286
EAGLE MT-SAGINAW ISD,Fort Worth,2012,177,910,19.45054945
EAGLE MT-SAGINAW ISD,Fort Worth,2013,194,999,19.41941942
EAGLE MT-SAGINAW ISD,Fort Worth,2014,182,1113,16.35220126
EAGLE MT-SAGINAW ISD,Fort Worth,2015,191,1194,15.99664992
EAGLE MT-SAGINAW ISD,Fort Worth,2016,224,1297,17.27062452
EAGLE MT-SAGINAW ISD,Fort Worth,2017,239,1356,17.62536873
EAGLE PASS ISD,San Antonio,2011,189,886,21.33182844
EAGLE PASS ISD,San Antonio,2012,189,936,20.19230769
EAGLE PASS ISD,San Antonio,2013,192,963,19.9376947
EAGLE PASS ISD,San Antonio,2014,183,919,19.91294886
EAGLE PASS ISD,San Antonio,2015,165,906,18.21192053
EAGLE PASS ISD,San Antonio,2016,187,989,18.90798787
EAGLE PASS ISD,San Antonio,2017,251,1079,23.26227989
EANES ISD,Austin,2011,222,617,35.98055105
EANES ISD,Austin,2012,195,629,31.00158983
EANES ISD,Austin,2013,190,597,31.82579564
EANES ISD,Austin,2014,222,647,34.3122102
EANES ISD,Austin,2015,173,592,29.22297297
EANES ISD,Austin,2016,182,605,30.08264463
EANES ISD,Austin,2017,204,651,31.33640553
EAST CENTRAL ISD,San Antonio,2011,68,604,11.25827815
EAST CENTRAL ISD,San Antonio,2012,84,589,14.2614601
EAST CENTRAL ISD,San Antonio,2013,93,668,13.92215569
EAST CENTRAL ISD,San Antonio,2014,80,627,12.75917065
EAST CENTRAL ISD,San Antonio,2015,100,687,14.55604076
EAST CENTRAL ISD,San Antonio,2016,102,703,14.50924609
EAST CENTRAL ISD,San Antonio,2017,91,697,13.05595409
EAST CHAMBERS ISD,Houston,2011,29,89,32.58426966
EAST CHAMBERS ISD,Houston,2012,20,86,23.25581395
ECTOR ISD,Richardson,2011,5,20,25
ECTOR ISD,Richardson,2012,,22,
ECTOR ISD,Richardson,2013,,22,
ECTOR ISD,Richardson,2014,,17,
ECTOR ISD,Richardson,2015,,19,
ECTOR ISD,Richardson,2016,,19,
ECTOR ISD,Richardson,2017,,20,
EDGEWOOD ISD,San Antonio,2011,66,594,11.11111111
EDGEWOOD ISD,San Antonio,2012,65,481,13.51351351
EDGEWOOD ISD,San Antonio,2013,64,549,11.6575592
EDGEWOOD ISD,San Antonio,2014,58,533,10.88180113
EDGEWOOD ISD,San Antonio,2015,54,562,9.608540925
EDGEWOOD ISD,San Antonio,2016,57,572,9.965034965
EDGEWOOD ISD,San Antonio,2017,65,591,10.99830795
ELGIN ISD,Austin,2011,47,212,22.16981132
ELGIN ISD,Austin,2012,53,266,19.92481203
ELGIN ISD,Austin,2013,37,239,15.48117155
ELGIN ISD,Austin,2014,46,249,18.47389558
ELGIN ISD,Austin,2015,59,314,18.78980892
ELGIN ISD,Austin,2016,52,313,16.61341853
ELGIN ISD,Austin,2017,43,288,14.93055556
ENNIS ISD,Richardson,2011,61,348,17.52873563
ENNIS ISD,Richardson,2012,54,328,16.46341463
ENNIS ISD,Richardson,2013,49,345,14.20289855
ENNIS ISD,Richardson,2014,50,341,14.6627566
ENNIS ISD,Richardson,2015,53,375,14.13333333
ENNIS ISD,Richardson,2016,25,351,7.122507123
ENNIS ISD,Richardson,2017,41,389,10.53984576
ERA ISD,Fort Worth,2011,6,35,17.14285714
ERA ISD,Fort Worth,2012,,21,
ERA ISD,Fort Worth,2014,7,24,29.16666667
ERA ISD,Fort Worth,2015,7,41,17.07317073
ERA ISD,Fort Worth,2016,11,37,29.72972973
ERA ISD,Fort Worth,2017,6,35,17.14285714
EVERMAN ISD,Fort Worth,2011,37,216,17.12962963
EVERMAN ISD,Fort Worth,2012,40,237,16.87763713
EVERMAN ISD,Fort Worth,2013,50,275,18.18181818
EVERMAN ISD,Fort Worth,2014,44,273,16.11721612
EVERMAN ISD,Fort Worth,2015,42,313,13.41853035
EVERMAN ISD,Fort Worth,2016,47,351,13.39031339
EVERMAN ISD,Fort Worth,2017,41,351,11.68091168
FALLS CITY ISD,San Antonio,2013,20,34,58.82352941
FALLS CITY ISD,San Antonio,2014,10,27,37.03703704
FALLS CITY ISD,San Antonio,2015,11,26,42.30769231
FALLS CITY ISD,San Antonio,2016,19,35,54.28571429
FALLS CITY ISD,San Antonio,2017,9,35,25.71428571
FARMERSVILLE ISD,Richardson,2011,13,85,15.29411765
FARMERSVILLE ISD,Richardson,2012,12,94,12.76595745
FARMERSVILLE ISD,Richardson,2013,12,94,12.76595745
FARMERSVILLE ISD,Richardson,2014,16,96,16.66666667
FARMERSVILLE ISD,Richardson,2015,20,111,18.01801802
FARMERSVILLE ISD,Richardson,2016,12,77,15.58441558
FARMERSVILLE ISD,Richardson,2017,13,86,15.11627907
FAYETTEVILLE ISD,Austin,2011,7,15,46.66666667
FAYETTEVILLE ISD,Austin,2012,,18,
FAYETTEVILLE ISD,Austin,2014,,17,
FAYETTEVILLE ISD,Austin,2015,,13,
FAYETTEVILLE ISD,Austin,2016,,14,
FAYETTEVILLE ISD,Austin,2017,,10,
FERRIS ISD,Richardson,2011,9,138,6.52173913
FERRIS ISD,Richardson,2012,24,157,15.2866242
FERRIS ISD,Richardson,2013,19,134,14.17910448
FERRIS ISD,Richardson,2014,17,157,10.82802548
FERRIS ISD,Richardson,2015,13,151,8.609271523
FERRIS ISD,Richardson,2016,17,159,10.6918239
FERRIS ISD,Richardson,2017,9,149,6.040268456
FLATONIA ISD,Austin,2011,12,42,28.57142857
FLATONIA ISD,Austin,2012,6,31,19.35483871
FLATONIA ISD,Austin,2013,11,48,22.91666667
FLATONIA ISD,Austin,2014,6,43,13.95348837
FLATONIA ISD,Austin,2015,7,39,17.94871795
FLATONIA ISD,Austin,2016,14,51,27.45098039
FLATONIA ISD,Austin,2017,9,46,19.56521739
FLORENCE ISD,Austin,2011,17,69,24.63768116
FLORENCE ISD,Austin,2012,26,79,32.91139241
FLORENCE ISD,Austin,2013,14,75,18.66666667
FLORENCE ISD,Austin,2014,17,72,23.61111111
FLORENCE ISD,Austin,2015,14,76,18.42105263
FLORENCE ISD,Austin,2016,12,72,16.66666667
FLORENCE ISD,Austin,2017,17,72,23.61111111
FLORESVILLE ISD,San Antonio,2011,34,267,12.7340824
FLORESVILLE ISD,San Antonio,2012,59,279,21.14695341
FLORESVILLE ISD,San Antonio,2013,62,321,19.31464174
FLORESVILLE ISD,San Antonio,2014,52,255,20.39215686
FLORESVILLE ISD,San Antonio,2015,61,280,21.78571429
FLORESVILLE ISD,San Antonio,2016,45,273,16.48351648
FLORESVILLE ISD,San Antonio,2017,44,280,15.71428571
FORNEY ISD,Richardson,2011,93,453,20.52980132
FORNEY ISD,Richardson,2012,93,478,19.45606695
FORNEY ISD,Richardson,2013,108,546,19.78021978
FORNEY ISD,Richardson,2014,99,553,17.90235081
FORNEY ISD,Richardson,2015,114,615,18.53658537
FORNEY ISD,Richardson,2016,133,620,21.4516129
FORNEY ISD,Richardson,2017,134,627,21.37161085
FORT BEND ISD,Houston,2011,1565,4836,32.36145575
FORT BEND ISD,Houston,2012,1579,5027,31.41038393
FORT BEND ISD,Houston,2013,1557,5077,30.66771716
FORT BEND ISD,Houston,2014,1713,5031,34.04889684
FORT BEND ISD,Houston,2015,1782,5437,32.77542763
FORT BEND ISD,Houston,2016,1692,5411,31.26963593
FORT BEND ISD,Houston,2017,1717,5487,31.29214507
FORT WORTH ISD,Fort Worth,2011,547,3863,14.15997929
FORT WORTH ISD,Fort Worth,2012,539,3642,14.79956068
FORT WORTH ISD,Fort Worth,2013,558,3646,15.30444323
FORT WORTH ISD,Fort Worth,2014,584,3740,15.61497326
FORT WORTH ISD,Fort Worth,2015,653,3891,16.78231817
FORT WORTH ISD,Fort Worth,2016,614,4033,15.22439871
FORT WORTH ISD,Fort Worth,2017,733,4306,17.02275894
FREDERICKSBURG ISD,Austin,2011,62,242,25.61983471
FREDERICKSBURG ISD,Austin,2012,58,219,26.48401826
FREDERICKSBURG ISD,Austin,2013,70,246,28.45528455
FREDERICKSBURG ISD,Austin,2014,63,235,26.80851064
FREDERICKSBURG ISD,Austin,2015,67,227,29.5154185
FREDERICKSBURG ISD,Austin,2016,65,230,28.26086957
FREDERICKSBURG ISD,Austin,2017,48,228,21.05263158
FRIENDSWOOD ISD,Houston,2011,154,493,31.23732252
FRIENDSWOOD ISD,Houston,2012,145,485,29.89690722
FRIENDSWOOD ISD,Houston,2013,155,481,32.22453222
FRIENDSWOOD ISD,Houston,2014,153,491,31.16089613
FRIENDSWOOD ISD,Houston,2015,175,532,32.89473684
FRIENDSWOOD ISD,Houston,2016,175,530,33.01886792
FRIENDSWOOD ISD,Houston,2017,205,540,37.96296296
FRISCO ISD,Richardson,2011,358,1740,20.57471264
FRISCO ISD,Richardson,2012,451,1962,22.98674822
FRISCO ISD,Richardson,2013,517,2234,23.14234557
FRISCO ISD,Richardson,2014,603,2388,25.25125628
FRISCO ISD,Richardson,2015,689,2707,25.45253048
FRISCO ISD,Richardson,2016,754,2986,25.25117214
FRISCO ISD,Richardson,2017,889,3452,25.75318656
FT SAM HOUSTON ISD,San Antonio,2011,14,63,22.22222222
FT SAM HOUSTON ISD,San Antonio,2012,12,65,18.46153846
FT SAM HOUSTON ISD,San Antonio,2013,13,76,17.10526316
FT SAM HOUSTON ISD,San Antonio,2014,17,84,20.23809524
FT SAM HOUSTON ISD,San Antonio,2015,25,89,28.08988764
FT SAM HOUSTON ISD,San Antonio,2016,28,92,30.43478261
FT SAM HOUSTON ISD,San Antonio,2017,20,77,25.97402597
GAINESVILLE ISD,Fort Worth,2011,17,137,12.40875912
GAINESVILLE ISD,Fort Worth,2012,8,128,6.25
GAINESVILLE ISD,Fort Worth,2013,20,145,13.79310345
GAINESVILLE ISD,Fort Worth,2014,22,153,14.37908497
GAINESVILLE ISD,Fort Worth,2015,12,152,7.894736842
GAINESVILLE ISD,Fort Worth,2016,18,171,10.52631579
GAINESVILLE ISD,Fort Worth,2017,15,175,8.571428571
GALENA PARK ISD,Houston,2011,208,1414,14.71004243
GALENA PARK ISD,Houston,2012,241,1497,16.0988644
GALENA PARK ISD,Houston,2013,230,1532,15.01305483
GALENA PARK ISD,Houston,2014,190,1541,12.32965607
GALENA PARK ISD,Houston,2015,203,1557,13.03789338
GALENA PARK ISD,Houston,2016,204,1554,13.12741313
GALENA PARK ISD,Houston,2017,209,1607,13.0056005
GALVESTON ISD,Houston,2011,69,416,16.58653846
GALVESTON ISD,Houston,2012,72,392,18.36734694
GALVESTON ISD,Houston,2013,85,459,18.51851852
GALVESTON ISD,Houston,2014,57,381,14.96062992
GALVESTON ISD,Houston,2015,87,441,19.72789116
GALVESTON ISD,Houston,2016,77,449,17.14922049
GALVESTON ISD,Houston,2017,79,413,19.1283293
GARLAND ISD,Richardson,2011,659,3772,17.47083775
GARLAND ISD,Richardson,2012,696,3869,17.98914448
GARLAND ISD,Richardson,2013,661,3940,16.77664975
GARLAND ISD,Richardson,2014,699,3957,17.66489765
GARLAND ISD,Richardson,2015,677,3941,17.17838112
GARLAND ISD,Richardson,2016,742,4116,18.02721088
GARLAND ISD,Richardson,2017,747,3977,18.78300226
GEORGETOWN ISD,Austin,2011,211,714,29.55182073
GEORGETOWN ISD,Austin,2012,206,685,30.0729927
GEORGETOWN ISD,Austin,2013,178,694,25.64841499
GEORGETOWN ISD,Austin,2014,198,792,25
GEORGETOWN ISD,Austin,2015,201,769,26.13784135
GEORGETOWN ISD,Austin,2016,192,816,23.52941176
GEORGETOWN ISD,Austin,2017,221,838,26.37231504
GIDDINGS ISD,Austin,2011,28,140,20
GIDDINGS ISD,Austin,2012,,11,
GIDDINGS ISD,Austin,2013,35,149,23.48993289
GIDDINGS ISD,Austin,2014,24,143,16.78321678
GIDDINGS ISD,Austin,2015,25,169,14.79289941
GIDDINGS ISD,Austin,2016,21,151,13.90728477
GIDDINGS ISD,Austin,2017,22,139,15.82733813
GLEN ROSE ISD,Fort Worth,2011,48,122,39.3442623
GLEN ROSE ISD,Fort Worth,2012,32,121,26.44628099
GLEN ROSE ISD,Fort Worth,2013,48,135,35.55555556
GLEN ROSE ISD,Fort Worth,2014,41,111,36.93693694
GLEN ROSE ISD,Fort Worth,2015,32,100,32
GLEN ROSE ISD,Fort Worth,2016,50,121,41.32231405
GLEN ROSE ISD,Fort Worth,2017,31,106,29.24528302
GODLEY ISD,Fort Worth,2011,27,104,25.96153846
GODLEY ISD,Fort Worth,2012,25,93,26.88172043
GODLEY ISD,Fort Worth,2013,12,82,14.63414634
GODLEY ISD,Fort Worth,2014,15,97,15.46391753
GODLEY ISD,Fort Worth,2015,19,112,16.96428571
GODLEY ISD,Fort Worth,2016,17,100,17
GODLEY ISD,Fort Worth,2017,14,105,13.33333333
GONZALES ISD,Austin,2011,17,134,12.68656716
GONZALES ISD,Austin,2012,22,145,15.17241379
GONZALES ISD,Austin,2013,34,163,20.85889571
GONZALES ISD,Austin,2014,26,153,16.99346405
GONZALES ISD,Austin,2015,26,138,18.84057971
GONZALES ISD,Austin,2016,25,134,18.65671642
GONZALES ISD,Austin,2017,27,180,15
GORDON ISD,Fort Worth,2014,,12,
GORDON ISD,Fort Worth,2015,,14,
GORDON ISD,Fort Worth,2016,,17,
GORDON ISD,Fort Worth,2017,5,21,23.80952381
GRAFORD ISD,Fort Worth,2011,,15,
GRAFORD ISD,Fort Worth,2012,,22,
GRAFORD ISD,Fort Worth,2013,,14,
GRAFORD ISD,Fort Worth,2014,,13,
GRAFORD ISD,Fort Worth,2015,,20,
GRAFORD ISD,Fort Worth,2016,,24,
GRAFORD ISD,Fort Worth,2017,,28,
GRANBURY ISD,Fort Worth,2011,92,411,22.38442822
GRANBURY ISD,Fort Worth,2012,117,462,25.32467532
GRANBURY ISD,Fort Worth,2013,118,397,29.72292191
GRANBURY ISD,Fort Worth,2014,105,395,26.58227848
GRANBURY ISD,Fort Worth,2015,95,444,21.3963964
GRANBURY ISD,Fort Worth,2016,107,475,22.52631579
GRANBURY ISD,Fort Worth,2017,105,461,22.77657267
GRAND PRAIRIE ISD,Richardson,2011,210,1564,13.42710997
GRAND PRAIRIE ISD,Richardson,2012,247,1569,15.74251115
GRAND PRAIRIE ISD,Richardson,2013,254,1640,15.48780488
GRAND PRAIRIE ISD,Richardson,2014,287,1742,16.47531573
GRAND PRAIRIE ISD,Richardson,2015,282,1734,16.26297578
GRAND PRAIRIE ISD,Richardson,2016,276,1707,16.16871705
GRAND PRAIRIE ISD,Richardson,2017,344,1870,18.39572193
GRANDVIEW ISD,Fort Worth,2011,23,71,32.3943662
GRANDVIEW ISD,Fort Worth,2012,20,73,27.39726027
GRANDVIEW ISD,Fort Worth,2013,23,90,25.55555556
GRANDVIEW ISD,Fort Worth,2014,23,79,29.11392405
GRANDVIEW ISD,Fort Worth,2015,16,84,19.04761905
GRANDVIEW ISD,Fort Worth,2016,25,96,26.04166667
GRANDVIEW ISD,Fort Worth,2017,16,84,19.04761905
GRANGER ISD,Austin,2011,,35,
GRANGER ISD,Austin,2012,7,24,29.16666667
GRANGER ISD,Austin,2013,6,37,16.21621622
GRANGER ISD,Austin,2014,6,39,15.38461538
GRANGER ISD,Austin,2015,6,41,14.63414634
GRANGER ISD,Austin,2016,5,27,18.51851852
GRANGER ISD,Austin,2017,5,37,13.51351351
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2011,264,1058,24.95274102
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2012,272,1045,26.02870813
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2013,268,1106,24.23146474
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2014,242,988,24.49392713
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2015,303,1109,27.32191163
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2016,310,1140,27.19298246
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,2017,309,1128,27.39361702
GREENVILLE ISD,Richardson,2011,45,267,16.85393258
GREENVILLE ISD,Richardson,2012,46,268,17.1641791
GREENVILLE ISD,Richardson,2013,40,282,14.18439716
GREENVILLE ISD,Richardson,2014,43,228,18.85964912
GREENVILLE ISD,Richardson,2015,46,267,17.22846442
GUNTER ISD,Richardson,2011,14,63,22.22222222
GUNTER ISD,Richardson,2012,13,60,21.66666667
GUNTER ISD,Richardson,2013,17,79,21.51898734
GUNTER ISD,Richardson,2014,10,61,16.39344262
GUNTER ISD,Richardson,2015,8,73,10.95890411
GUNTER ISD,Richardson,2016,13,67,19.40298507
GUNTER ISD,Richardson,2017,13,62,20.96774194
HARDIN ISD,Houston,2011,12,79,15.18987342
HARDIN ISD,Houston,2012,13,56,23.21428571
HARDIN ISD,Houston,2013,16,76,21.05263158
HARDIN ISD,Houston,2014,15,64,23.4375
HARDIN ISD,Houston,2015,13,71,18.30985915
HARDIN ISD,Houston,2016,10,64,15.625
HARDIN ISD,Houston,2017,13,79,16.4556962
HARLANDALE ISD,San Antonio,2011,93,826,11.2590799
HARLANDALE ISD,San Antonio,2012,97,860,11.27906977
HARLANDALE ISD,San Antonio,2013,102,842,12.11401425
HARLANDALE ISD,San Antonio,2014,122,887,13.75422773
HARLANDALE ISD,San Antonio,2015,80,915,8.743169399
HARLANDALE ISD,San Antonio,2016,121,963,12.56490135
HARLANDALE ISD,San Antonio,2017,130,986,13.18458418
HARPER ISD,Austin,2011,14,53,26.41509434
HARPER ISD,Austin,2012,15,48,31.25
HARPER ISD,Austin,2013,11,49,22.44897959
HARPER ISD,Austin,2014,11,40,27.5
HARPER ISD,Austin,2015,18,57,31.57894737
HARPER ISD,Austin,2016,19,52,36.53846154
HARPER ISD,Austin,2017,16,50,32
HEMPSTEAD ISD,Houston,2011,12,95,12.63157895
HEMPSTEAD ISD,Houston,2012,16,114,14.03508772
HEMPSTEAD ISD,Houston,2013,16,83,19.27710843
HEMPSTEAD ISD,Houston,2014,16,89,17.97752809
HEMPSTEAD ISD,Houston,2015,10,82,12.19512195
HEMPSTEAD ISD,Houston,2016,14,103,13.59223301
HEMPSTEAD ISD,Houston,2017,13,87,14.94252874
HIGHLAND PARK ISD,Richardson,2011,151,508,29.72440945
HIGHLAND PARK ISD,Richardson,2012,121,483,25.05175983
HIGHLAND PARK ISD,Richardson,2013,142,474,29.95780591
HIGHLAND PARK ISD,Richardson,2014,120,502,23.90438247
HIGHLAND PARK ISD,Richardson,2015,126,534,23.59550562
HIGHLAND PARK ISD,Richardson,2016,114,482,23.65145228
HIGHLAND PARK ISD,Richardson,2017,108,517,20.88974855
HITCHCOCK ISD,Houston,2011,8,51,15.68627451
HITCHCOCK ISD,Houston,2012,7,65,10.76923077
HITCHCOCK ISD,Houston,2013,5,54,9.259259259
HITCHCOCK ISD,Houston,2014,6,51,11.76470588
HITCHCOCK ISD,Houston,2015,5,51,9.803921569
HITCHCOCK ISD,Houston,2016,7,79,8.860759494
HITCHCOCK ISD,Houston,2017,11,87,12.64367816
HONDO ISD,San Antonio,2011,31,125,24.8
HONDO ISD,San Antonio,2012,37,145,25.51724138
HONDO ISD,San Antonio,2013,33,146,22.60273973
HONDO ISD,San Antonio,2014,36,145,24.82758621
HONDO ISD,San Antonio,2015,37,136,27.20588235
HONDO ISD,San Antonio,2016,34,128,26.5625
HONDO ISD,San Antonio,2017,23,134,17.1641791
HONEY GROVE ISD,Richardson,2014,13,32,40.625
HONEY GROVE ISD,Richardson,2015,10,36,27.77777778
HONEY GROVE ISD,Richardson,2016,9,41,21.95121951
HONEY GROVE ISD,Richardson,2017,16,38,42.10526316
HOUSTON ISD,Houston,2011,2128,9955,21.37619287
HOUSTON ISD,Houston,2012,2231,9684,23.03800083
HOUSTON ISD,Houston,2013,2015,9487,21.23959102
HOUSTON ISD,Houston,2014,1980,9580,20.66805846
HOUSTON ISD,Houston,2015,1924,9740,19.75359343
HOUSTON ISD,Houston,2016,2072,10225,20.26405868
HOUSTON ISD,Houston,2017,2094,10613,19.73051917
HOWE ISD,Richardson,2011,8,65,12.30769231
HOWE ISD,Richardson,2012,9,63,14.28571429
HOWE ISD,Richardson,2013,11,78,14.1025641
HOWE ISD,Richardson,2014,12,75,16
HOWE ISD,Richardson,2015,18,55,32.72727273
HOWE ISD,Richardson,2016,10,76,13.15789474
HOWE ISD,Richardson,2017,12,73,16.43835616
HUCKABAY ISD,Fort Worth,2011,,14,
HUCKABAY ISD,Fort Worth,2012,11,16,68.75
HUCKABAY ISD,Fort Worth,2013,,12,
HUCKABAY ISD,Fort Worth,2014,,8,
HUCKABAY ISD,Fort Worth,2015,,10,
HUCKABAY ISD,Fort Worth,2016,,14,
HUFFMAN ISD,Houston,2011,35,202,17.32673267
HUFFMAN ISD,Houston,2012,46,228,20.1754386
HUFFMAN ISD,Houston,2013,35,186,18.8172043
HUFFMAN ISD,Houston,2014,40,202,19.8019802
HUFFMAN ISD,Houston,2015,40,222,18.01801802
HUFFMAN ISD,Houston,2016,49,230,21.30434783
HUFFMAN ISD,Houston,2017,48,229,20.96069869
HULL-DAISETTA ISD,Houston,2011,5,38,13.15789474
HULL-DAISETTA ISD,Houston,2012,,29,
HUMBLE ISD,Houston,2011,580,2452,23.65415987
HUMBLE ISD,Houston,2012,571,2538,22.49802994
HUMBLE ISD,Houston,2013,595,2557,23.26945639
HUMBLE ISD,Houston,2014,634,2562,24.74629196
HUMBLE ISD,Houston,2015,628,2677,23.459096
HUMBLE ISD,Houston,2016,723,2780,26.00719424
HUMBLE ISD,Houston,2017,690,2899,23.8013108
HURST-EULESS-BEDFORD ISD,Fort Worth,2011,274,1457,18.80576527
HURST-EULESS-BEDFORD ISD,Fort Worth,2012,275,1417,19.40719831
HURST-EULESS-BEDFORD ISD,Fort Worth,2013,254,1422,17.86216596
HURST-EULESS-BEDFORD ISD,Fort Worth,2014,235,1443,16.28551629
HURST-EULESS-BEDFORD ISD,Fort Worth,2015,262,1469,17.83526208
HURST-EULESS-BEDFORD ISD,Fort Worth,2016,297,1479,20.0811359
HURST-EULESS-BEDFORD ISD,Fort Worth,2017,303,1549,19.5610071
HUTTO ISD,Austin,2011,57,275,20.72727273
HUTTO ISD,Austin,2012,73,319,22.88401254
HUTTO ISD,Austin,2013,71,335,21.19402985
HUTTO ISD,Austin,2014,62,317,19.55835962
HUTTO ISD,Austin,2015,95,383,24.80417755
HUTTO ISD,Austin,2016,93,383,24.28198433
HUTTO ISD,Austin,2017,91,412,22.08737864
INGRAM ISD,San Antonio,2011,13,82,15.85365854
INGRAM ISD,San Antonio,2012,25,84,29.76190476
INGRAM ISD,San Antonio,2013,19,82,23.17073171
INGRAM ISD,San Antonio,2014,7,58,12.06896552
INGRAM ISD,San Antonio,2015,18,75,24
INGRAM ISD,San Antonio,2016,14,83,16.86746988
INGRAM ISD,San Antonio,2017,19,95,20
IRVING ISD,Richardson,2011,286,1949,14.67419189
IRVING ISD,Richardson,2012,262,1922,13.63163371
IRVING ISD,Richardson,2013,271,2010,13.48258706
IRVING ISD,Richardson,2014,251,1998,12.56256256
IRVING ISD,Richardson,2015,239,2137,11.18390267
IRVING ISD,Richardson,2016,270,2143,12.59916006
IRVING ISD,Richardson,2017,294,2280,12.89473684
ITALY ISD,Richardson,2011,6,41,14.63414634
ITALY ISD,Richardson,2012,6,36,16.66666667
ITALY ISD,Richardson,2013,5,47,10.63829787
ITALY ISD,Richardson,2014,8,38,21.05263158
ITALY ISD,Richardson,2015,,34,
ITALY ISD,Richardson,2016,5,45,11.11111111
ITALY ISD,Richardson,2017,5,40,12.5
JARRELL ISD,Austin,2011,10,55,18.18181818
JARRELL ISD,Austin,2012,10,53,18.86792453
JARRELL ISD,Austin,2013,16,68,23.52941176
JARRELL ISD,Austin,2014,11,64,17.1875
JARRELL ISD,Austin,2015,11,66,16.66666667
JARRELL ISD,Austin,2016,8,83,9.638554217
JARRELL ISD,Austin,2017,10,96,10.41666667
