DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,6,7.5%,24,30.0%,50,62.5%,80,100.0%
109901   ABBOTT ISD,6,22.2%,16,59.3%,5,18.5%,27,100.0%
095901   ABERNATHY ISD,14,30.4%,14,30.4%,18,39.1%,46,100.0%
221901   ABILENE ISD,112,11.7%,216,22.6%,628,65.7%,956,100.0%
014901   ACADEMY ISD,15,18.8%,32,40.0%,33,41.3%,80,100.0%
015816   ACADEMY OF CAREERS AND TECHNOLOGIE,,,*,*,14,82.4%,17,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,9,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,19,51.4%,37,100.0%
178901   AGUA DULCE ISD,*,*,*,*,10,45.5%,22,100.0%
015901   ALAMO HEIGHTS ISD,104,29.5%,66,18.7%,183,51.8%,353,100.0%
250906   ALBA-GOLDEN ISD,12,20.0%,14,23.3%,34,56.7%,60,100.0%
209901   ALBANY ISD,9,32.1%,10,35.7%,9,32.1%,28,100.0%
101902   ALDINE ISD,542,17.6%,860,27.9%,"1,678",54.5%,"3,080",100.0%
184907   ALEDO ISD,95,26.5%,122,34.0%,142,39.6%,359,100.0%
125901   ALICE ISD,63,22.3%,83,29.3%,137,48.4%,283,100.0%
101903   ALIEF ISD,504,19.4%,636,24.5%,"1,460",56.2%,"2,600",100.0%
043901   ALLEN ISD,295,21.0%,497,35.3%,615,43.7%,"1,407",100.0%
057832   ALPHA CHARTER SCHOOL,,,*,*,23,95.8%,24,100.0%
022901   ALPINE ISD,*,*,*,*,38,50.7%,75,100.0%
037901   ALTO ISD,*,*,*,*,22,66.7%,33,100.0%
126901   ALVARADO ISD,41,17.2%,69,29.0%,128,53.8%,238,100.0%
020901   ALVIN ISD,195,19.1%,360,35.2%,467,45.7%,"1,022",100.0%
249901   ALVORD ISD,10,22.7%,10,22.7%,24,54.6%,44,100.0%
188901   AMARILLO ISD,287,15.5%,741,40.1%,819,44.3%,"1,847",100.0%
140901   AMHERST ISD,*,*,*,*,*,*,11,100.0%
036901   ANAHUAC ISD,21,32.3%,15,23.1%,29,44.6%,65,100.0%
093901   ANDERSON-SHIRO CISD,15,30.6%,15,30.6%,19,38.8%,49,100.0%
002901   ANDREWS ISD,36,15.7%,46,20.0%,148,64.4%,230,100.0%
020902   ANGLETON ISD,70,16.8%,129,30.9%,218,52.3%,417,100.0%
043902   ANNA ISD,21,15.1%,39,28.1%,79,56.8%,139,100.0%
127901   ANSON ISD,7,14.6%,14,29.2%,27,56.3%,48,100.0%
071906   ANTHONY ISD,6,14.6%,7,17.1%,28,68.3%,41,100.0%
110901   ANTON ISD,*,*,*,*,5,33.3%,15,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,9,45.0%,20,100.0%
109912   AQUILLA ISD,,,12,54.6%,10,45.5%,22,100.0%
004901   ARANSAS COUNTY ISD,48,24.1%,34,17.1%,117,58.8%,199,100.0%
205901   ARANSAS PASS ISD,10,9.7%,22,21.4%,71,68.9%,103,100.0%
005901   ARCHER CITY ISD,7,21.9%,11,34.4%,14,43.8%,32,100.0%
061910   ARGYLE ISD,55,31.3%,45,25.6%,76,43.2%,176,100.0%
220901   ARLINGTON ISD,790,21.6%,"1,121",30.7%,"1,744",47.7%,"3,655",100.0%
212901   ARP ISD,*,*,*,*,22,43.1%,51,100.0%
