DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
217901   ASPERMONT ISD,*,*,*,*,*,*,12,100.0%
107901   ATHENS ISD,35,15.2%,65,28.3%,130,56.5%,230,100.0%
034901   ATLANTA ISD,25,18.1%,32,23.2%,81,58.7%,138,100.0%
061907   AUBREY ISD,35,24.8%,47,33.3%,59,41.8%,141,100.0%
227901   AUSTIN ISD,898,21.6%,989,23.8%,"2,268",54.6%,"4,155",100.0%
196901   AUSTWELL-TIVOLI ISD,*,*,*,*,5,55.6%,9,100.0%
070901   AVALON ISD,*,*,*,*,8,38.1%,21,100.0%
194902   AVERY ISD,*,*,*,*,15,51.7%,29,100.0%
034902   AVINGER ISD,*,*,*,*,*,*,10,100.0%
161918   AXTELL ISD,*,*,*,*,26,56.5%,46,100.0%
220915   AZLE ISD,64,16.6%,106,27.5%,215,55.8%,385,100.0%
030903   BAIRD ISD,*,*,*,*,16,59.3%,27,100.0%
200901   BALLINGER ISD,21,35.0%,12,20.0%,27,45.0%,60,100.0%
195902   BALMORHEA ISD,*,*,*,*,*,*,11,100.0%
010902   BANDERA ISD,40,24.7%,23,14.2%,99,61.1%,162,100.0%
025901   BANGS ISD,13,15.3%,19,22.4%,53,62.4%,85,100.0%
178913   BANQUETE ISD,11,22.5%,10,20.4%,28,57.1%,49,100.0%
036902   BARBERS HILL ISD,65,19.6%,158,47.6%,109,32.8%,332,100.0%
014902   BARTLETT ISD,*,*,*,*,22,64.7%,34,100.0%
011901   BASTROP ISD,97,17.1%,113,19.9%,359,63.1%,569,100.0%
101809   BAY AREA CHARTER INC,*,*,*,*,19,82.6%,23,100.0%
158901   BAY CITY ISD,43,20.9%,53,25.7%,110,53.4%,206,100.0%
101847   BEATRICE MAYES INSTITUTE CHARTER S,,,,,30,100.0%,30,100.0%
123910   BEAUMONT ISD,324,28.1%,226,19.6%,603,52.3%,"1,153",100.0%
183901   BECKVILLE ISD,6,14.3%,24,57.1%,12,28.6%,42,100.0%
013901   BEEVILLE ISD,21,9.5%,77,34.8%,123,55.7%,221,100.0%
039904   BELLEVUE ISD,*,*,*,*,8,61.5%,13,100.0%
091901   BELLS ISD,6,10.3%,29,50.0%,23,39.7%,58,100.0%
008901   BELLVILLE ISD,31,20.8%,55,36.9%,63,42.3%,149,100.0%
014903   BELTON ISD,107,17.5%,187,30.5%,319,52.0%,613,100.0%
125902   BEN BOLT-PALITO BLANCO ISD,15,34.1%,18,40.9%,11,25.0%,44,100.0%
066901   BENAVIDES ISD,*,*,*,*,13,48.2%,27,100.0%
138904   BENJAMIN ISD,,,*,*,*,*,5,100.0%
187901   BIG SANDY ISD,*,*,*,*,23,65.7%,35,100.0%
230901   BIG SANDY ISD,*,*,*,*,24,55.8%,43,100.0%
114901   BIG SPRING ISD,29,13.8%,73,34.8%,108,51.4%,210,100.0%
193801   BIG SPRINGS CHARTER SCHOOL,,,*,*,5,71.4%,7,100.0%
220902   BIRDVILLE ISD,264,17.8%,481,32.5%,735,49.7%,"1,480",100.0%
178902   BISHOP CISD,34,45.3%,16,21.3%,25,33.3%,75,100.0%
177903   BLACKWELL CISD,*,*,*,*,5,31.3%,16,100.0%
016902   BLANCO ISD,19,30.2%,8,12.7%,36,57.1%,63,100.0%
116915   BLAND ISD,5,11.4%,12,27.3%,27,61.4%,44,100.0%
025904   BLANKET ISD,*,*,*,*,*,*,9,100.0%
034909   BLOOMBURG ISD,*,*,*,*,10,55.6%,18,100.0%
175902   BLOOMING GROVE ISD,11,15.5%,30,42.3%,30,42.3%,71,100.0%
235901   BLOOMINGTON ISD,,,20,48.8%,21,51.2%,41,100.0%
043917   BLUE RIDGE ISD,5,13.5%,14,37.8%,18,48.7%,37,100.0%
109913   BLUM ISD,*,*,*,*,11,84.6%,13,100.0%
123807   BOB HOPE SCHOOL,,,9,64.3%,5,35.7%,14,100.0%
130901   BOERNE ISD,179,32.1%,127,22.8%,252,45.2%,558,100.0%
116916   BOLES ISD,7,16.3%,16,37.2%,20,46.5%,43,100.0%
241901   BOLING ISD,11,16.4%,35,52.2%,21,31.3%,67,100.0%
074903   BONHAM ISD,16,14.7%,40,36.7%,53,48.6%,109,100.0%
148901   BOOKER ISD,*,*,*,*,16,66.7%,24,100.0%
017901   BORDEN COUNTY ISD,*,*,*,*,*,*,15,100.0%
117901   BORGER ISD,23,12.4%,71,38.2%,92,49.5%,186,100.0%
161923   BOSQUEVILLE ISD,9,17.7%,26,51.0%,16,31.4%,51,100.0%
185901   BOVINA ISD,12,32.4%,5,13.5%,20,54.1%,37,100.0%
169901   BOWIE ISD,22,22.5%,29,29.6%,47,48.0%,98,100.0%
249902   BOYD ISD,25,30.1%,13,15.7%,45,54.2%,83,100.0%
180901   BOYS RANCH ISD,8,20.5%,12,30.8%,19,48.7%,39,100.0%
136901   BRACKETT ISD,9,17.0%,15,28.3%,29,54.7%,53,100.0%
160901   BRADY ISD,11,14.3%,18,23.4%,48,62.3%,77,100.0%
008903   BRAZOS ISD,*,*,*,*,27,49.1%,55,100.0%
213801   BRAZOS RIVER CHARTER SCHOOL,*,*,*,*,52,83.9%,62,100.0%
021803   BRAZOS SCHOOL FOR INQUIRY & CREATI,,,,,19,100.0%,19,100.0%
020905   BRAZOSPORT ISD,130,17.7%,297,40.4%,309,42.0%,736,100.0%
215901   BRECKENRIDGE ISD,16,25.0%,17,26.6%,31,48.4%,64,100.0%
198901   BREMOND ISD,5,14.7%,16,47.1%,13,38.2%,34,100.0%
239901   BRENHAM ISD,49,15.6%,126,40.1%,139,44.3%,314,100.0%
181901   BRIDGE CITY ISD,46,24.3%,77,40.7%,66,34.9%,189,100.0%
249903   BRIDGEPORT ISD,22,16.4%,30,22.4%,82,61.2%,134,100.0%
243801   BRIGHT IDEAS CHARTER,*,*,*,*,*,*,10,100.0%
203902   BROADDUS ISD,*,*,*,*,14,70.0%,20,100.0%
184909   BROCK ISD,9,12.9%,31,44.3%,30,42.9%,70,100.0%
041901   BRONTE ISD,*,*,*,*,11,61.1%,18,100.0%
121902   BROOKELAND ISD,6,17.7%,10,29.4%,18,52.9%,34,100.0%
025908   BROOKESMITH ISD,*,*,*,*,*,*,8,100.0%
015830   BROOKS ACADEMY OF SCIENCE AND ENGI,9,11.5%,34,43.6%,35,44.9%,78,100.0%
024901   BROOKS COUNTY ISD,21,25.0%,13,15.5%,50,59.5%,84,100.0%
223901   BROWNFIELD ISD,8,8.3%,25,26.0%,63,65.6%,96,100.0%
107902   BROWNSBORO ISD,22,10.6%,79,38.0%,107,51.4%,208,100.0%
031901   BROWNSVILLE ISD,818,28.7%,690,24.2%,"1,346",47.2%,"2,854",100.0%
025902   BROWNWOOD ISD,43,21.7%,45,22.7%,110,55.6%,198,100.0%
161919   BRUCEVILLE-EDDY ISD,6,11.1%,20,37.0%,28,51.9%,54,100.0%
021902   BRYAN ISD,132,16.6%,225,28.3%,437,55.0%,794,100.0%
119901   BRYSON ISD,*,*,*,*,14,58.3%,24,100.0%
166907   BUCKHOLTS ISD,*,*,*,*,10,76.9%,13,100.0%
186901   BUENA VISTA ISD,*,*,*,*,5,55.6%,9,100.0%
145901   BUFFALO ISD,7,13.7%,15,29.4%,29,56.9%,51,100.0%
212902   BULLARD ISD,20,14.3%,57,40.7%,63,45.0%,140,100.0%
121903   BUNA ISD,19,19.8%,21,21.9%,56,58.3%,96,100.0%
243901   BURKBURNETT ISD,55,25.2%,39,17.9%,124,56.9%,218,100.0%
176901   BURKEVILLE ISD,*,*,*,*,8,53.3%,15,100.0%
126902   BURLESON ISD,138,19.0%,262,36.1%,325,44.8%,725,100.0%
027903   BURNET CISD,52,22.2%,33,14.1%,149,63.7%,234,100.0%
071801   BURNHAM WOOD CHARTER SCHOOL DISTRI,8,47.1%,7,41.2%,*,*,17,100.0%
239903   BURTON ISD,*,*,*,*,17,63.0%,27,100.0%
188904   BUSHLAND ISD,44,40.7%,24,22.2%,40,37.0%,108,100.0%
109902   BYNUM ISD,*,*,*,*,9,52.9%,17,100.0%
116901   CADDO MILLS ISD,24,21.6%,36,32.4%,51,46.0%,111,100.0%
178903   CALALLEN ISD,99,34.3%,75,26.0%,115,39.8%,289,100.0%
026901   CALDWELL ISD,18,14.5%,38,30.7%,68,54.8%,124,100.0%
029901   CALHOUN COUNTY ISD,32,11.2%,76,26.5%,179,62.4%,287,100.0%
049905   CALLISBURG ISD,6,7.4%,28,34.6%,47,58.0%,81,100.0%
198902   CALVERT ISD,*,*,*,*,*,*,9,100.0%
101837   CALVIN NELMS CHARTER SCHOOLS,5,12.5%,15,37.5%,20,50.0%,40,100.0%
166901   CAMERON ISD,16,16.7%,30,31.3%,50,52.1%,96,100.0%
116910   CAMPBELL ISD,*,*,*,*,13,65.0%,20,100.0%
106901   CANADIAN ISD,16,38.1%,8,19.1%,18,42.9%,42,100.0%
234902   CANTON ISD,33,23.7%,41,29.5%,65,46.8%,139,100.0%
071907   CANUTILLO ISD,84,21.3%,103,26.1%,208,52.7%,395,100.0%
191901   CANYON ISD,176,25.9%,224,32.9%,280,41.2%,680,100.0%
201913   CARLISLE ISD,5,14.3%,10,28.6%,20,57.1%,35,100.0%
064903   CARRIZO SPRINGS CISD,24,18.6%,54,41.9%,51,39.5%,129,100.0%
220919   CARROLL ISD,179,28.9%,115,18.6%,326,52.6%,620,100.0%
057903   CARROLLTON-FARMERS BRANCH ISD,326,19.9%,508,31.0%,807,49.2%,"1,641",100.0%
183902   CARTHAGE ISD,18,11.4%,82,51.9%,58,36.7%,158,100.0%
220917   CASTLEBERRY ISD,23,12.3%,47,25.1%,117,62.6%,187,100.0%
001902   CAYUGA ISD,*,*,*,*,16,48.5%,33,100.0%
057904   CEDAR HILL ISD,156,28.8%,157,29.0%,228,42.1%,541,100.0%
116902   CELESTE ISD,9,23.1%,10,25.6%,20,51.3%,39,100.0%
043903   CELINA ISD,25,18.7%,45,33.6%,64,47.8%,134,100.0%
210901   CENTER ISD,17,13.7%,46,37.1%,61,49.2%,124,100.0%
133901   CENTER POINT ISD,10,27.0%,7,18.9%,20,54.1%,37,100.0%
145902   CENTERVILLE ISD,6,12.8%,17,36.2%,24,51.1%,47,100.0%
228904   CENTERVILLE ISD,,,,,*,*,*,*
174908   CENTRAL HEIGHTS ISD,18,32.7%,18,32.7%,19,34.6%,55,100.0%
003907   CENTRAL ISD,7,6.8%,43,41.8%,53,51.5%,103,100.0%
101905   CHANNELVIEW ISD,62,12.8%,168,34.6%,256,52.7%,486,100.0%
103901   CHANNING ISD,*,*,*,*,5,71.4%,7,100.0%
227814   CHAPARRAL STAR ACADEMY,5,25.0%,9,45.0%,6,30.0%,20,100.0%
212909   CHAPEL HILL ISD,25,11.7%,71,33.3%,117,54.9%,213,100.0%
225906   CHAPEL HILL ISD,13,17.1%,35,46.1%,28,36.8%,76,100.0%
007901   CHARLOTTE ISD,*,*,*,*,21,77.8%,27,100.0%
206903   CHEROKEE ISD,*,*,*,*,5,45.5%,11,100.0%
229906   CHESTER ISD,*,*,*,*,6,42.9%,14,100.0%
249904   CHICO ISD,8,19.1%,6,14.3%,28,66.7%,42,100.0%
038901   CHILDRESS ISD,9,12.2%,19,25.7%,46,62.2%,74,100.0%
099902   CHILLICOTHE ISD,*,*,*,*,6,50.0%,12,100.0%
073901   CHILTON ISD,*,*,*,*,19,50.0%,38,100.0%
161920   CHINA SPRING ISD,32,16.3%,93,47.5%,71,36.2%,196,100.0%
174901   CHIRENO ISD,*,*,*,*,11,45.8%,24,100.0%
139905   CHISUM ISD,8,11.8%,40,58.8%,20,29.4%,68,100.0%
226901   CHRISTOVAL ISD,16,43.2%,5,13.5%,16,43.2%,37,100.0%
067902   CISCO ISD,9,13.4%,30,44.8%,28,41.8%,67,100.0%
015832   CITY CENTER HEALTH CAREERS,*,*,*,*,7,53.9%,13,100.0%
243906   CITY VIEW ISD,10,21.7%,17,37.0%,19,41.3%,46,100.0%
065901   CLARENDON ISD,*,*,*,*,12,34.3%,35,100.0%
194904   CLARKSVILLE ISD,6,12.2%,22,44.9%,21,42.9%,49,100.0%
006902   CLAUDE ISD,6,20.0%,14,46.7%,10,33.3%,30,100.0%
084910   CLEAR CREEK ISD,875,31.8%,895,32.6%,978,35.6%,"2,748",100.0%
126903   CLEBURNE ISD,71,18.0%,113,28.7%,210,53.3%,394,100.0%
146901   CLEVELAND ISD,21,12.9%,49,30.1%,93,57.1%,163,100.0%
018901   CLIFTON ISD,16,22.9%,21,30.0%,33,47.1%,70,100.0%
071901   CLINT ISD,132,20.3%,197,30.3%,322,49.5%,651,100.0%
030902   CLYDE CISD,24,26.7%,21,23.3%,45,50.0%,90,100.0%
114902   COAHOMA ISD,6,12.0%,28,56.0%,16,32.0%,50,100.0%
204901   COLDSPRING-OAKHURST CISD,19,18.1%,27,25.7%,59,56.2%,105,100.0%
042901   COLEMAN ISD,15,24.6%,10,16.4%,36,59.0%,61,100.0%
021901   COLLEGE STATION ISD,146,21.9%,220,33.0%,301,45.1%,667,100.0%
091902   COLLINSVILLE ISD,7,26.9%,12,46.2%,7,26.9%,26,100.0%
229901   COLMESNEIL ISD,8,21.6%,11,29.7%,18,48.7%,37,100.0%
168901   COLORADO ISD,6,11.3%,20,37.7%,27,50.9%,53,100.0%
020907   COLUMBIA-BRAZORIA ISD,17,9.4%,69,38.3%,94,52.2%,180,100.0%
045902   COLUMBUS ISD,26,21.9%,51,42.9%,42,35.3%,119,100.0%
046902   COMAL ISD,379,30.0%,267,21.1%,617,48.9%,"1,263",100.0%
047901   COMANCHE ISD,23,34.9%,14,21.2%,29,43.9%,66,100.0%
130902   COMFORT ISD,26,32.9%,21,26.6%,32,40.5%,79,100.0%
116903   COMMERCE ISD,39,39.8%,16,16.3%,43,43.9%,98,100.0%
043918   COMMUNITY ISD,14,13.6%,30,29.1%,59,57.3%,103,100.0%
112908   COMO-PICKTON CISD,6,13.3%,12,26.7%,27,60.0%,45,100.0%
101842   COMQUEST ACADEMY,,,*,*,10,76.9%,13,100.0%
233903   COMSTOCK ISD,*,*,*,*,6,40.0%,15,100.0%
161921   CONNALLY ISD,9,8.7%,43,41.8%,51,49.5%,103,100.0%
170902   CONROE ISD,696,20.3%,945,27.5%,"1,796",52.3%,"3,437",100.0%
147901   COOLIDGE ISD,,,6,40.0%,9,60.0%,15,100.0%
060902   COOPER ISD,7,10.8%,27,41.5%,31,47.7%,65,100.0%
057922   COPPELL ISD,297,35.9%,181,21.9%,349,42.2%,827,100.0%
050910   COPPERAS COVE ISD,81,16.2%,153,30.5%,267,53.3%,501,100.0%
178904   CORPUS CHRISTI ISD,469,20.8%,643,28.6%,"1,138",50.6%,"2,250",100.0%
187904   CORRIGAN-CAMDEN ISD,13,17.6%,24,32.4%,37,50.0%,74,100.0%
175903   CORSICANA ISD,46,11.8%,185,47.4%,159,40.8%,390,100.0%
095902   COTTON CENTER ISD,*,*,*,*,*,*,12,100.0%
142901   COTULLA ISD,*,*,*,*,33,63.5%,52,100.0%
246914   COUPLAND ISD,,,*,*,10,83.3%,12,100.0%
109903   COVINGTON ISD,,,10,52.6%,9,47.4%,19,100.0%
129901   CRANDALL ISD,38,16.8%,93,41.2%,95,42.0%,226,100.0%
052901   CRANE ISD,15,25.9%,21,36.2%,22,37.9%,58,100.0%
018908   CRANFILLS GAP ISD,*,*,*,*,,,6,100.0%
161901   CRAWFORD ISD,9,17.0%,28,52.8%,16,30.2%,53,100.0%
053001   CROCKETT COUNTY CONSOLIDATED CSD,13,27.7%,11,23.4%,23,48.9%,47,100.0%
113901   CROCKETT ISD,5,7.9%,16,25.4%,42,66.7%,63,100.0%
101906   CROSBY ISD,46,15.0%,110,35.8%,151,49.2%,307,100.0%
054901   CROSBYTON CISD,*,*,*,*,14,63.6%,22,100.0%
030901   CROSS PLAINS ISD,*,*,*,*,9,52.9%,17,100.0%
107904   CROSS ROADS ISD,*,*,*,*,20,51.3%,39,100.0%
184801   CROSSTIMBERS ACADEMY,*,*,*,*,27,61.4%,44,100.0%
078901   CROWELL ISD,*,*,*,*,7,43.8%,16,100.0%
220912   CROWLEY ISD,198,22.4%,233,26.3%,454,51.3%,885,100.0%
254901   CRYSTAL CITY ISD,20,18.4%,41,37.6%,48,44.0%,109,100.0%
062901   CUERO ISD,21,17.5%,39,32.5%,60,50.0%,120,100.0%
055901   CULBERSON COUNTY-ALLAMOORE ISD,*,*,*,*,20,58.8%,34,100.0%
112905   CUMBY ISD,7,33.3%,8,38.1%,6,28.6%,21,100.0%
174902   CUSHING ISD,*,*,*,*,7,43.8%,16,100.0%
101907   CYPRESS-FAIRBANKS ISD,"1,696",23.7%,"2,252",31.5%,"3,213",44.9%,"7,161",100.0%
172902   DAINGERFIELD-LONE STAR ISD,5,6.8%,32,43.2%,37,50.0%,74,100.0%
056901   DALHART ISD,21,18.3%,23,20.0%,71,61.7%,115,100.0%
057905   DALLAS ISD,"1,222",16.5%,"1,839",24.8%,"4,349",58.7%,"7,410",100.0%
020904   DANBURY ISD,11,16.7%,35,53.0%,20,30.3%,66,100.0%
148905   DARROUZETT ISD,*,*,*,*,6,60.0%,10,100.0%
058902   DAWSON ISD,5,27.8%,6,33.3%,7,38.9%,18,100.0%
175904   DAWSON ISD,*,*,*,*,15,53.6%,28,100.0%
146902   DAYTON ISD,37,11.8%,86,27.4%,191,60.8%,314,100.0%
047902   DE LEON ISD,7,17.5%,18,45.0%,15,37.5%,40,100.0%
249905   DECATUR ISD,32,15.8%,77,37.9%,94,46.3%,203,100.0%
101908   DEER PARK ISD,120,12.9%,439,47.3%,369,39.8%,928,100.0%
019901   DEKALB ISD,8,16.7%,16,33.3%,24,50.0%,48,100.0%
227910   DEL VALLE ISD,66,11.3%,111,18.9%,409,69.8%,586,100.0%
115903   DELL CITY ISD,*,*,*,*,,,*,*
091903   DENISON ISD,26,9.2%,97,34.4%,159,56.4%,282,100.0%
061901   DENTON ISD,320,21.2%,420,27.8%,770,51.0%,"1,510",100.0%
251901   DENVER CITY ISD,11,11.2%,30,30.6%,57,58.2%,98,100.0%
057906   DESOTO ISD,156,21.9%,186,26.2%,369,51.9%,711,100.0%
194905   DETROIT ISD,*,*,*,*,15,44.1%,34,100.0%
163901   DEVINE ISD,23,16.3%,36,25.5%,82,58.2%,141,100.0%
176903   DEWEYVILLE ISD,9,17.7%,25,49.0%,17,33.3%,51,100.0%
163902   D'HANIS ISD,5,21.7%,7,30.4%,11,47.8%,23,100.0%
003905   DIBOLL ISD,19,15.6%,49,40.2%,54,44.3%,122,100.0%
084901   DICKINSON ISD,86,15.8%,174,32.0%,284,52.2%,544,100.0%
082902   DILLEY ISD,10,19.6%,10,19.6%,31,60.8%,51,100.0%
144903   DIME BOX ISD,*,*,*,*,5,50.0%,10,100.0%
035901   DIMMITT ISD,7,12.5%,15,26.8%,34,60.7%,56,100.0%
074904   DODD CITY ISD,*,*,*,*,*,*,14,100.0%
108902   DONNA ISD,168,22.3%,213,28.2%,374,49.5%,755,100.0%
174911   DOUGLASS ISD,*,*,*,*,12,57.1%,21,100.0%
178801   DR M L GARZA-GONZALEZ CHARTER SCHO,,,,,*,*,*,*
105904   DRIPPING SPRINGS ISD,109,32.6%,107,32.0%,118,35.3%,334,100.0%
072902   DUBLIN ISD,18,25.7%,15,21.4%,37,52.9%,70,100.0%
171901   DUMAS ISD,23,8.7%,114,43.0%,128,48.3%,265,100.0%
057907   DUNCANVILLE ISD,159,19.3%,307,37.3%,357,43.4%,823,100.0%
220918   EAGLE MT-SAGINAW ISD,182,16.4%,390,35.0%,541,48.6%,"1,113",100.0%
159901   EAGLE PASS ISD,183,19.9%,372,40.5%,364,39.6%,919,100.0%
227909   EANES ISD,222,34.3%,97,15.0%,328,50.7%,647,100.0%
025909   EARLY ISD,25,34.7%,14,19.4%,33,45.8%,72,100.0%
241902   EAST BERNARD ISD,22,26.2%,42,50.0%,20,23.8%,84,100.0%
015911   EAST CENTRAL ISD,80,12.8%,191,30.5%,356,56.8%,627,100.0%
036903   EAST CHAMBERS ISD,23,25.3%,28,30.8%,40,44.0%,91,100.0%
092801   EAST TEXAS CHARTER SCHOOLS,*,*,*,*,42,75.0%,56,100.0%
067903   EASTLAND ISD,23,29.5%,18,23.1%,37,47.4%,78,100.0%
068901   ECTOR COUNTY ISD,246,19.8%,391,31.4%,608,48.8%,"1,245",100.0%
074905   ECTOR ISD,*,*,*,*,10,58.8%,17,100.0%
108903   EDCOUCH-ELSA ISD,78,25.7%,96,31.7%,129,42.6%,303,100.0%
048901   EDEN CISD,*,*,,,11,73.3%,15,100.0%
015905   EDGEWOOD ISD,58,10.9%,158,29.6%,317,59.5%,533,100.0%
234903   EDGEWOOD ISD,10,14.3%,18,25.7%,42,60.0%,70,100.0%
108904   EDINBURG CISD,629,31.3%,465,23.1%,916,45.6%,"2,010",100.0%
120901   EDNA ISD,13,12.2%,33,30.8%,61,57.0%,107,100.0%
241903   EL CAMPO ISD,23,10.1%,93,41.0%,111,48.9%,227,100.0%
071804   EL PASO ACADEMY,5,3.9%,34,26.6%,89,69.5%,128,100.0%
071902   EL PASO ISD,"1,172",29.0%,"1,112",27.6%,"1,752",43.4%,"4,036",100.0%
243902   ELECTRA ISD,6,23.1%,9,34.6%,11,42.3%,26,100.0%
011902   ELGIN ISD,46,18.5%,63,25.3%,140,56.2%,249,100.0%
001903   ELKHART ISD,6,8.3%,21,29.2%,45,62.5%,72,100.0%
102906   ELYSIAN FIELDS ISD,7,13.2%,14,26.4%,32,60.4%,53,100.0%
070903   ENNIS ISD,50,14.7%,101,29.6%,190,55.7%,341,100.0%
049906   ERA ISD,7,29.2%,8,33.3%,9,37.5%,24,100.0%
072802   ERATH EXCELS ACADEMY INC,*,*,*,*,39,76.5%,51,100.0%
030906   EULA ISD,*,*,*,*,*,*,9,100.0%
107905   EUSTACE ISD,,,*,*,*,*,5,100.0%
121906   EVADALE ISD,5,10.9%,19,41.3%,22,47.8%,46,100.0%
050901   EVANT ISD,*,*,*,*,11,73.3%,15,100.0%
220904   EVERMAN ISD,44,16.1%,82,30.0%,147,53.9%,273,100.0%
057834   EVOLUTION ACADEMY CHARTER SCHOOL,*,*,*,*,108,86.4%,125,100.0%
101811   EXCEL ACADEMY,,,,,*,*,*,*
071903   FABENS ISD,27,19.4%,39,28.1%,73,52.5%,139,100.0%
081902   FAIRFIELD ISD,13,12.8%,39,38.2%,50,49.0%,102,100.0%
057815   FAITH FAMILY ACADEMY OF OAK CLIFF,7,13.2%,13,24.5%,33,62.3%,53,100.0%
128904   FALLS CITY ISD,10,37.0%,11,40.7%,6,22.2%,27,100.0%
060914   FANNINDEL ISD,*,*,*,*,9,75.0%,12,100.0%
043904   FARMERSVILLE ISD,16,16.7%,29,30.2%,51,53.1%,96,100.0%
185902   FARWELL ISD,8,24.2%,6,18.2%,19,57.6%,33,100.0%
075906   FAYETTEVILLE ISD,*,*,*,*,8,47.1%,17,100.0%
070905   FERRIS ISD,17,10.8%,64,40.8%,76,48.4%,157,100.0%
075901   FLATONIA ISD,6,14.0%,17,39.5%,20,46.5%,43,100.0%
246902   FLORENCE ISD,17,23.6%,15,20.8%,40,55.6%,72,100.0%
247901   FLORESVILLE ISD,52,20.4%,72,28.2%,131,51.4%,255,100.0%
178914   FLOUR BLUFF ISD,151,34.2%,90,20.4%,201,45.5%,442,100.0%
077901   FLOYDADA ISD,6,18.8%,12,37.5%,14,43.8%,32,100.0%
057817   FOCUS LEARNING ACADEMY,*,*,*,*,10,52.6%,19,100.0%
148902   FOLLETT ISD,*,*,*,*,8,50.0%,16,100.0%
169910   FORESTBURG ISD,*,*,*,*,7,58.3%,12,100.0%
129902   FORNEY ISD,99,17.9%,216,39.1%,238,43.0%,553,100.0%
114904   FORSAN ISD,18,37.5%,14,29.2%,16,33.3%,48,100.0%
079907   FORT BEND ISD,"1,713",34.1%,"1,353",26.9%,"1,965",39.1%,"5,031",100.0%
242906   FORT ELLIOTT CISD,*,*,*,*,*,*,11,100.0%
186902   FORT STOCKTON ISD,33,29.7%,16,14.4%,62,55.9%,111,100.0%
220809   FORT WORTH ACADEMY OF FINE ARTS,10,17.2%,11,19.0%,37,63.8%,58,100.0%
