DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
037908   NEW SUMMERFIELD ISD,,,8,30.8%,18,69.2%,26,100.0%
236901   NEW WAVERLY ISD,9,15.8%,14,24.6%,34,59.7%,57,100.0%
252902   NEWCASTLE ISD,*,*,*,*,8,44.4%,18,100.0%
176902   NEWTON ISD,*,*,*,*,43,67.2%,64,100.0%
089903   NIXON-SMILEY CISD,*,*,*,*,35,67.3%,52,100.0%
169902   NOCONA ISD,9,18.8%,12,25.0%,27,56.3%,48,100.0%
062902   NORDHEIM ISD,*,*,,,7,87.5%,8,100.0%
145906   NORMANGEE ISD,*,*,*,*,21,56.8%,37,100.0%
015910   NORTH EAST ISD,"1,074",25.1%,"1,195",27.9%,"2,016",47.1%,"4,285",100.0%
101909   NORTH FOREST ISD,46,17.6%,58,22.2%,157,60.2%,261,100.0%
057803   NORTH HILLS PREPARATORY SCHOOL,41,44.1%,21,22.6%,31,33.3%,93,100.0%
112906   NORTH HOPKINS ISD,5,15.6%,12,37.5%,15,46.9%,32,100.0%
139911   NORTH LAMAR ISD,16,8.2%,78,39.8%,102,52.0%,196,100.0%
154903   NORTH ZULCH ISD,*,*,*,*,9,69.2%,13,100.0%
015915   NORTHSIDE ISD,"1,077",19.0%,"1,979",34.9%,"2,622",46.2%,"5,678",100.0%
244905   NORTHSIDE ISD,,,9,50.0%,9,50.0%,18,100.0%
061911   NORTHWEST ISD,150,19.5%,250,32.4%,371,48.1%,771,100.0%
042906   NOVICE ISD,,,*,*,*,*,7,100.0%
069902   NUECES CANYON CISD,*,*,*,*,9,50.0%,18,100.0%
227804   NYOS CHARTER SCHOOL,5,17.9%,10,35.7%,13,46.4%,28,100.0%
145907   OAKWOOD ISD,*,*,*,*,9,69.2%,13,100.0%
205905   ODEM-EDROY ISD,23,39.0%,14,23.7%,22,37.3%,59,100.0%
153903   O'DONNELL ISD,,,*,*,9,69.2%,13,100.0%
050904   OGLESBY ISD,*,*,*,*,*,*,13,100.0%
252903   OLNEY ISD,14,37.8%,5,13.5%,18,48.7%,37,100.0%
140905   OLTON ISD,8,21.1%,11,29.0%,19,50.0%,38,100.0%
187910   ONALASKA ISD,5,8.6%,15,25.9%,38,65.5%,58,100.0%
108801   ONE STOP MULTISERVICE CHARTER SCHO,,,18,12.0%,132,88.0%,150,100.0%
125903   ORANGE GROVE ISD,37,29.8%,35,28.2%,52,41.9%,124,100.0%
181905   ORANGEFIELD ISD,37,28.2%,45,34.4%,49,37.4%,131,100.0%
230903   ORE CITY ISD,*,*,*,*,31,55.4%,56,100.0%
014804   ORENDA CHARTER SCHOOL,,,9,27.3%,24,72.7%,33,100.0%
201908   OVERTON ISD,5,11.9%,18,42.9%,19,45.2%,42,100.0%
051901   PADUCAH ISD,5,19.2%,7,26.9%,14,53.9%,26,100.0%
104907   PAINT CREEK ISD,*,*,*,*,*,*,8,100.0%
048903   PAINT ROCK ISD,*,*,*,*,5,55.6%,9,100.0%
158905   PALACIOS ISD,19,18.3%,30,28.9%,55,52.9%,104,100.0%
001907   PALESTINE ISD,18,10.2%,60,34.1%,98,55.7%,176,100.0%
070910   PALMER ISD,*,*,*,*,37,51.4%,72,100.0%
090904   PAMPA ISD,43,18.8%,77,33.6%,109,47.6%,229,100.0%
033902   PANHANDLE ISD,11,19.6%,13,23.2%,32,57.1%,56,100.0%
183801   PANOLA CHARTER SCHOOL,*,*,*,*,21,61.8%,34,100.0%
042905   PANTHER CREEK CISD,*,*,*,*,*,*,9,100.0%
072801   PARADIGM ACCELERATED CHARTER SCHOO,,,*,*,52,94.6%,55,100.0%
249906   PARADISE ISD,11,18.0%,22,36.1%,28,45.9%,61,100.0%
139909   PARIS ISD,20,10.8%,93,50.3%,72,38.9%,185,100.0%
101917   PASADENA ISD,323,11.2%,"1,165",40.5%,"1,386",48.2%,"2,874",100.0%
071803   PASO DEL NORTE,*,*,*,*,76,65.5%,116,100.0%
063906   PATTON SPRINGS ISD,*,*,*,*,,,*,*
057838   PEAK PREPARATORY SCHOOL,14,41.2%,5,14.7%,15,44.1%,34,100.0%
020908   PEARLAND ISD,288,24.3%,462,39.0%,435,36.7%,"1,185",100.0%
082903   PEARSALL ISD,30,24.2%,24,19.4%,70,56.5%,124,100.0%
184908   PEASTER ISD,9,13.2%,32,47.1%,27,39.7%,68,100.0%
195901   PECOS-BARSTOW-TOYAH ISD,28,17.6%,46,28.9%,85,53.5%,159,100.0%
057802   PEGASUS SCHOOL OF LIBERAL ARTS AND,*,*,*,*,9,42.9%,21,100.0%
109914   PENELOPE ISD,*,*,*,*,7,33.3%,21,100.0%
119903   PERRIN-WHITT CISD,*,*,*,*,11,45.8%,24,100.0%
179901   PERRYTON ISD,8,6.1%,33,25.0%,91,68.9%,132,100.0%
095904   PETERSBURG ISD,*,*,*,*,11,52.4%,21,100.0%
039903   PETROLIA ISD,7,14.6%,14,29.2%,27,56.3%,48,100.0%
013903   PETTUS ISD,*,*,*,*,11,37.9%,29,100.0%
172905   PEWITT CISD,8,14.0%,21,36.8%,28,49.1%,57,100.0%
227904   PFLUGERVILLE ISD,397,28.6%,401,28.9%,591,42.6%,"1,389",100.0%
108909   PHARR-SAN JUAN-ALAMO ISD,413,21.9%,579,30.7%,893,47.4%,"1,885",100.0%
116801   PHOENIX CHARTER SCHOOL,,,13,65.0%,7,35.0%,20,100.0%
061903   PILOT POINT ISD,20,21.5%,28,30.1%,45,48.4%,93,100.0%
092904   PINE TREE ISD,51,18.7%,89,32.6%,133,48.7%,273,100.0%
032902   PITTSBURG ISD,10,6.5%,83,54.3%,60,39.2%,153,100.0%
251902   PLAINS ISD,8,20.5%,13,33.3%,18,46.2%,39,100.0%
095905   PLAINVIEW ISD,29,9.4%,65,21.0%,215,69.6%,309,100.0%
043910   PLANO ISD,865,24.2%,"1,010",28.2%,"1,702",47.6%,"3,577",100.0%
019912   PLEASANT GROVE ISD,35,23.2%,39,25.8%,77,51.0%,151,100.0%
007905   PLEASANTON ISD,37,17.0%,50,22.9%,131,60.1%,218,100.0%
117904   PLEMONS-STINNETT-PHILLIPS CISD,6,13.3%,17,37.8%,22,48.9%,45,100.0%
031909   POINT ISABEL ISD,30,21.4%,30,21.4%,80,57.1%,140,100.0%
061906   PONDER ISD,13,19.1%,27,39.7%,28,41.2%,68,100.0%
184901   POOLVILLE ISD,*,*,*,*,16,59.3%,27,100.0%
015801   POR VIDA ACADEMY,*,*,*,*,42,75.0%,56,100.0%
178908   PORT ARANSAS ISD,18,43.9%,7,17.1%,16,39.0%,41,100.0%
123907   PORT ARTHUR ISD,79,17.2%,129,28.1%,251,54.7%,459,100.0%
123908   PORT NECHES-GROVES ISD,124,38.9%,77,24.1%,118,37.0%,319,100.0%
015814   POSITIVE SOLUTIONS CHARTER SCHOOL,,,*,*,21,84.0%,25,100.0%
085902   POST ISD,*,*,*,*,41,73.2%,56,100.0%
007906   POTEET ISD,11,10.7%,23,22.3%,69,67.0%,103,100.0%
247904   POTH ISD,17,32.1%,12,22.6%,24,45.3%,53,100.0%
