DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
083901   SEAGRAVES ISD,6,13.3%,13,28.9%,26,57.8%,45,100.0%
008902   SEALY ISD,43,23.8%,48,26.5%,90,49.7%,181,100.0%
094901   SEGUIN ISD,86,17.7%,63,13.0%,337,69.3%,486,100.0%
083903   SEMINOLE ISD,22,14.4%,34,22.2%,97,63.4%,153,100.0%
012901   SEYMOUR ISD,8,22.2%,13,36.1%,15,41.7%,36,100.0%
152909   SHALLOWATER ISD,23,22.1%,44,42.3%,37,35.6%,104,100.0%
242902   SHAMROCK ISD,*,*,*,*,10,62.5%,16,100.0%
108911   SHARYLAND ISD,230,34.1%,194,28.8%,250,37.1%,674,100.0%
015819   SHEKINAH RADIANCE ACADEMY,*,*,*,*,18,46.2%,39,100.0%
210903   SHELBYVILLE ISD,5,10.6%,26,55.3%,16,34.0%,47,100.0%
101924   SHELDON ISD,53,15.0%,113,32.0%,187,53.0%,353,100.0%
204904   SHEPHERD ISD,13,17.1%,21,27.6%,42,55.3%,76,100.0%
091906   SHERMAN ISD,45,12.0%,138,36.7%,193,51.3%,376,100.0%
143903   SHINER ISD,16,34.8%,11,23.9%,19,41.3%,46,100.0%
047905   SIDNEY ISD,*,*,*,*,5,55.6%,9,100.0%
115902   SIERRA BLANCA ISD,*,*,*,*,7,53.9%,13,100.0%
100904   SILSBEE ISD,48,25.5%,39,20.7%,101,53.7%,188,100.0%
023902   SILVERTON ISD,*,*,*,*,*,*,7,100.0%
019909   SIMMS ISD,7,15.2%,13,28.3%,26,56.5%,46,100.0%
205906   SINTON ISD,28,22.6%,38,30.7%,58,46.8%,124,100.0%
013905   SKIDMORE-TYNAN ISD,*,*,*,*,20,47.6%,42,100.0%
152903   SLATON ISD,15,18.8%,19,23.8%,46,57.5%,80,100.0%
249908   SLIDELL ISD,,,*,*,6,60.0%,10,100.0%
001909   SLOCUM ISD,6,30.0%,5,25.0%,9,45.0%,20,100.0%
011904   SMITHVILLE ISD,*,*,,,5,83.3%,6,100.0%
110906   SMYER ISD,*,*,*,*,7,36.8%,19,100.0%
026903   SNOOK ISD,*,*,*,*,11,39.3%,28,100.0%
208902   SNYDER ISD,16,8.4%,85,44.7%,89,46.8%,190,100.0%
071909   SOCORRO ISD,712,27.3%,928,35.6%,965,37.0%,"2,605",100.0%
015909   SOMERSET ISD,29,13.8%,52,24.8%,129,61.4%,210,100.0%
026902   SOMERVILLE ISD,*,*,*,*,19,52.8%,36,100.0%
218901   SONORA ISD,19,31.2%,14,23.0%,28,45.9%,61,100.0%
152803   SOUTH PLAINS,,,17,13.5%,109,86.5%,126,100.0%
015908   SOUTH SAN ANTONIO ISD,49,11.6%,162,38.4%,211,50.0%,422,100.0%
031916   SOUTH TEXAS ISD,266,51.8%,107,20.8%,141,27.4%,514,100.0%
085903   SOUTHLAND ISD,*,*,*,*,5,45.5%,11,100.0%
015917   SOUTHSIDE ISD,27,9.1%,100,33.6%,171,57.4%,298,100.0%
015912   SOUTHWEST ISD,50,8.0%,208,33.2%,369,58.9%,627,100.0%
015807   SOUTHWEST PREPARATORY SCHOOL,,,38,20.0%,152,80.0%,190,100.0%
101838   SOUTHWEST SCHOOL,8,9.3%,30,34.9%,48,55.8%,86,100.0%
098904   SPEARMAN ISD,11,19.0%,17,29.3%,30,51.7%,58,100.0%
170907   SPLENDORA ISD,11,4.9%,88,39.3%,125,55.8%,224,100.0%
101920   SPRING BRANCH ISD,435,23.3%,376,20.1%,"1,056",56.6%,"1,867",100.0%
092907   SPRING HILL ISD,30,25.9%,53,45.7%,33,28.5%,116,100.0%
101919   SPRING ISD,412,21.8%,646,34.2%,833,44.1%,"1,891",100.0%
140907   SPRINGLAKE-EARTH ISD,10,28.6%,7,20.0%,18,51.4%,35,100.0%
184902   SPRINGTOWN ISD,26,11.7%,84,37.8%,112,50.5%,222,100.0%
063903   SPUR ISD,5,19.2%,13,50.0%,8,30.8%,26,100.0%
229905   SPURGER ISD,*,*,*,*,11,68.8%,16,100.0%
079910   STAFFORD MSD,58,28.4%,78,38.2%,68,33.3%,204,100.0%
127906   STAMFORD ISD,*,*,*,*,23,60.5%,38,100.0%
156902   STANTON ISD,9,18.0%,20,40.0%,21,42.0%,50,100.0%
227814   STAR CHARTER SCHOOL,8,38.1%,8,38.1%,5,23.8%,21,100.0%
167903   STAR ISD,*,*,*,*,7,77.8%,9,100.0%
072903   STEPHENVILLE,105,43.0%,40,16.4%,99,40.6%,244,100.0%
216901   STERLING CITY ISD,7,43.8%,7,43.8%,*,*,16,100.0%
247906   STOCKDALE ISD,10,17.9%,11,19.6%,35,62.5%,56,100.0%
211902   STRATFORD ISD,10,27.8%,10,27.8%,16,44.4%,36,100.0%
182905   STRAWN ISD,*,*,*,*,5,41.7%,12,100.0%
140908   SUDAN ISD,7,30.4%,8,34.8%,8,34.8%,23,100.0%
112910   SULPHUR BLUFF ISD,*,*,*,*,*,*,20,100.0%
112901   SULPHUR SPRINGS ISD,32,14.4%,72,32.4%,118,53.2%,222,100.0%
220816   SUMMIT INTERNATIONAL PREPARATORY,*,*,*,*,8,36.4%,22,100.0%
110907   SUNDOWN ISD,11,33.3%,13,39.4%,9,27.3%,33,100.0%
057919   SUNNYVALE ISD,22,31.4%,26,37.1%,22,31.4%,70,100.0%
171902   SUNRAY ISD,6,15.4%,9,23.1%,24,61.5%,39,100.0%
020906   SWEENY ISD,29,22.5%,40,31.0%,60,46.5%,129,100.0%
177902   SWEETWATER ISD,28,23.9%,22,18.8%,67,57.3%,117,100.0%
205907   TAFT ISD,10,13.5%,14,18.9%,50,67.6%,74,100.0%
153904   TAHOKA ISD,5,12.2%,18,43.9%,18,43.9%,41,100.0%
146907   TARKINGTON ISD,20,15.2%,39,29.6%,73,55.3%,132,100.0%
201910   TATUM ISD,14,12.3%,45,39.5%,55,48.3%,114,100.0%
246911   TAYLOR ISD,43,19.4%,36,16.2%,143,64.4%,222,100.0%
081904   TEAGUE ISD,15,18.5%,32,39.5%,34,42.0%,81,100.0%
123803   TEKOA ACADEMY OF ACCELERATED STUDI,*,*,*,*,12,80.0%,15,100.0%
014803   TEMPLE EDUCATION CENTER,,,*,*,*,*,7,100.0%
014909   TEMPLE ISD,72,15.5%,143,30.8%,249,53.7%,464,100.0%
210904   TENAHA ISD,*,*,*,*,17,56.7%,30,100.0%
022004   TERLINGUA CSD,*,*,*,*,*,*,8,100.0%
222901   TERRELL COUNTY ISD,*,*,*,*,5,29.4%,17,100.0%
129906   TERRELL ISD,33,14.0%,60,25.5%,142,60.4%,235,100.0%
019907   TEXARKANA ISD,86,17.7%,144,29.6%,257,52.8%,487,100.0%
084906   TEXAS CITY ISD,48,12.5%,145,37.7%,192,49.9%,385,100.0%
211901   TEXHOMA ISD,*,*,*,*,19,82.6%,23,100.0%
056902   TEXLINE ISD,*,*,*,*,12,75.0%,16,100.0%
061803   THE LEGENDS ACADEMY,,,,,6,100.0%,6,100.0%
166905   THORNDALE ISD,11,20.4%,24,44.4%,19,35.2%,54,100.0%
246912   THRALL ISD,10,22.2%,20,44.4%,15,33.3%,45,100.0%
149902   THREE RIVERS ISD,11,23.9%,22,47.8%,13,28.3%,46,100.0%
224901   THROCKMORTON ISD,*,*,*,*,6,37.5%,16,100.0%
158902   TIDEHAVEN ISD,5,9.4%,23,43.4%,25,47.2%,53,100.0%
210905   TIMPSON ISD,*,*,*,*,22,66.7%,33,100.0%
226801   TLC ACADEMY,*,*,*,*,7,63.6%,11,100.0%
111903   TOLAR ISD,14,32.6%,16,37.2%,13,30.2%,43,100.0%
091918   TOM BEAN ISD,8,12.3%,31,47.7%,26,40.0%,65,100.0%
101921   TOMBALL ISD,166,23.7%,257,36.7%,277,39.6%,700,100.0%
071908   TORNILLO ISD,9,11.7%,25,32.5%,43,55.8%,77,100.0%
014802   TRANSFORMATIVE CHARTER ACADEMY,*,*,*,*,36,83.7%,43,100.0%
220801   TREETOPS SCHOOL INTERNATIONAL,5,22.7%,5,22.7%,12,54.6%,22,100.0%
221905   TRENT ISD,*,*,*,*,*,*,9,100.0%
074912   TRENTON ISD,*,*,*,*,23,56.1%,41,100.0%
107907   TRINIDAD ISD,*,*,*,*,*,*,15,100.0%
046802   TRINITY CHARTER SCHOOL,,,*,*,*,*,*,*
228903   TRINITY ISD,8,12.3%,11,16.9%,46,70.8%,65,100.0%
212904   TROUP ISD,5,9.3%,23,42.6%,26,48.2%,54,100.0%
014910   TROY ISD,10,11.1%,38,42.2%,42,46.7%,90,100.0%
219903   TULIA ISD,12,18.5%,11,16.9%,42,64.6%,65,100.0%
178912   TULOSO-MIDWAY ISD,61,22.7%,86,32.0%,122,45.4%,269,100.0%
096905   TURKEY-QUITAQUE ISD,*,*,*,*,*,*,12,100.0%
212905   TYLER ISD,108,10.9%,417,41.9%,470,47.2%,995,100.0%
230908   UNION GROVE ISD,6,14.0%,23,53.5%,14,32.6%,43,100.0%
230904   UNION HILL ISD,*,*,*,*,11,57.9%,19,100.0%
240903   UNITED ISD,538,23.9%,"1,104",48.9%,614,27.2%,"2,256",100.0%
057808   UNIVERSAL ACADEMY,*,*,*,*,9,56.3%,16,100.0%
227806   UNIVERSITY OF TEXAS UNIVERSITY CHA,*,*,*,*,23,45.1%,51,100.0%
232904   UTOPIA ISD,*,*,*,*,7,38.9%,18,100.0%
232903   UVALDE CISD,31,9.4%,172,52.0%,128,38.7%,331,100.0%
122902   VALENTINE ISD,*,*,,,*,*,5,100.0%
018904   VALLEY MILLS ISD,*,*,*,*,20,47.6%,42,100.0%
049903   VALLEY VIEW ISD,9,20.9%,19,44.2%,15,34.9%,43,100.0%
108916   VALLEY VIEW ISD,63,22.0%,104,36.4%,119,41.6%,286,100.0%
091908   VAN ALSTYNE ISD,19,17.0%,43,38.4%,50,44.6%,112,100.0%
234906   VAN ISD,12,8.6%,53,38.1%,74,53.2%,139,100.0%
158906   VAN VLECK ISD,21,29.2%,25,34.7%,26,36.1%,72,100.0%
180902   VEGA ISD,7,36.8%,8,42.1%,*,*,19,100.0%
126908   VENUS ISD,11,10.0%,26,23.6%,73,66.4%,110,100.0%
226908   VERIBEST ISD,*,*,*,*,7,38.9%,18,100.0%
244903   VERNON ISD,30,25.4%,45,38.1%,43,36.4%,118,100.0%
235902   VICTORIA ISD,80,11.3%,284,40.2%,343,48.5%,707,100.0%
181907   VIDOR ISD,58,17.3%,63,18.8%,214,63.9%,335,100.0%
161914   WACO ISD,70,9.5%,360,48.6%,311,42.0%,741,100.0%
089905   WAELDER ISD,*,*,*,*,9,64.3%,14,100.0%
226906   WALL ISD,47,53.4%,15,17.1%,26,29.6%,88,100.0%
237904   WALLER ISD,57,16.8%,95,27.9%,188,55.3%,340,100.0%
018905   WALNUT SPRINGS ISD,*,*,*,*,5,38.5%,13,100.0%
229904   WARREN ISD,16,20.0%,26,32.5%,38,47.5%,80,100.0%
102903   WASKOM ISD,6,12.2%,9,18.4%,34,69.4%,49,100.0%
226905   WATER VALLEY ISD,12,42.9%,6,21.4%,10,35.7%,28,100.0%
070801   WAXAHACHIE FAITH FAMILY ACADEMY,,,8,57.1%,6,42.9%,14,100.0%
070912   WAXAHACHIE ISD,81,16.2%,185,37.1%,233,46.7%,499,100.0%
184903   WEATHERFORD ISD,86,17.4%,164,33.2%,244,49.4%,494,100.0%
240904   WEBB CISD,8,44.4%,6,33.3%,*,*,18,100.0%
045905   WEIMAR ISD,11,20.8%,27,50.9%,15,28.3%,53,100.0%
044902   WELLINGTON ISD,11,27.5%,11,27.5%,18,45.0%,40,100.0%
223904   WELLMAN-UNION CISD,*,*,*,*,*,*,14,100.0%
037909   WELLS ISD,*,*,*,*,9,47.4%,19,100.0%
108913   WESLACO ISD,259,24.8%,350,33.5%,436,41.7%,"1,045",100.0%
100908   WEST HARDIN COUNTY CISD,8,27.6%,8,27.6%,13,44.8%,29,100.0%
161916   WEST ISD,17,17.0%,50,50.0%,33,33.0%,100,100.0%
181906   WEST ORANGE-COVE CISD,32,23.9%,50,37.3%,52,38.8%,134,100.0%
178915   WEST OSO ISD,19,21.8%,26,29.9%,42,48.3%,87,100.0%
201914   WEST RUSK ISD,8,16.3%,19,38.8%,22,44.9%,49,100.0%
202905   WEST SABINE ISD,8,17.0%,10,21.3%,29,61.7%,47,100.0%
168903   WESTBROOK ISD,*,*,*,*,6,46.2%,13,100.0%
220810   WESTLAKE ACADEMY CHARTER SCHOOL,*,*,*,*,18,56.3%,32,100.0%
001908   WESTWOOD ISD,14,14.9%,33,35.1%,47,50.0%,94,100.0%
241904   WHARTON ISD,12,9.0%,74,55.2%,48,35.8%,134,100.0%
242903   WHEELER ISD,9,29.0%,8,25.8%,14,45.2%,31,100.0%
033904   WHITE DEER ISD,6,24.0%,6,24.0%,13,52.0%,25,100.0%
092908   WHITE OAK ISD,11,10.7%,56,54.4%,36,35.0%,103,100.0%
220920   WHITE SETTLEMENT ISD,34,8.9%,116,30.3%,233,60.8%,383,100.0%
040902   WHITEFACE CISD,6,22.2%,9,33.3%,12,44.4%,27,100.0%
212906   WHITEHOUSE ISD,46,15.3%,113,37.5%,142,47.2%,301,100.0%
091909   WHITESBORO ISD,10,8.9%,32,28.6%,70,62.5%,112,100.0%
091910   WHITEWRIGHT ISD,6,10.7%,29,51.8%,21,37.5%,56,100.0%
110908   WHITHARRAL ISD,,,13,86.7%,*,*,15,100.0%
109911   WHITNEY ISD,13,13.3%,44,44.9%,41,41.8%,98,100.0%
243905   WICHITA FALLS ISD,199,20.7%,164,17.1%,599,62.3%,962,100.0%
057842   WILLIAMS PREPARATORY,7,18.0%,9,23.1%,23,59.0%,39,100.0%
170904   WILLIS ISD,61,17.4%,103,29.4%,186,53.1%,350,100.0%
234907   WILLS POINT ISD,32,16.9%,54,28.6%,103,54.5%,189,100.0%
153907   WILSON ISD,,,,,6,100.0%,6,100.0%
105905   WIMBERLEY ISD,52,33.6%,39,25.2%,64,41.3%,155,100.0%
005904   WINDTHORST ISD,10,33.3%,6,20.0%,14,46.7%,30,100.0%
057828   WINFREE ACADEMY CHARTER SCHOOLS,8,1.9%,104,24.5%,312,73.6%,424,100.0%
248902   WINK-LOVING ISD,8,29.6%,10,37.0%,9,33.3%,27,100.0%
250907   WINNSBORO ISD,18,23.4%,19,24.7%,40,52.0%,77,100.0%
212910   WINONA ISD,,,25,41.7%,35,58.3%,60,100.0%
200904   WINTERS ISD,8,21.1%,8,21.1%,22,57.9%,38,100.0%
174906   WODEN ISD,14,18.7%,20,26.7%,41,54.7%,75,100.0%
116909   WOLFE CITY ISD,14,31.8%,10,22.7%,20,45.5%,44,100.0%
196902   WOODSBORO ISD,*,*,*,*,14,37.8%,37,100.0%
224902   WOODSON ISD,*,*,*,*,*,*,10,100.0%
229903   WOODVILLE ISD,14,19.7%,23,32.4%,34,47.9%,71,100.0%
081905   WORTHAM ISD,*,*,*,*,14,41.2%,34,100.0%
043914   WYLIE ISD,121,16.8%,269,37.3%,331,45.9%,721,100.0%
221912   WYLIE ISD,61,29.1%,73,34.8%,76,36.2%,210,100.0%
250905   YANTIS ISD,*,*,*,*,7,43.8%,16,100.0%
101845   YES PREP PUBLIC SCHOOLS INC,69,40.8%,20,11.8%,80,47.3%,169,100.0%
062903   YOAKUM ISD,11,11.1%,41,41.4%,47,47.5%,99,100.0%
062904   YORKTOWN ISD,11,23.9%,15,32.6%,20,43.5%,46,100.0%
071905   YSLETA ISD,765,25.1%,"1,081",35.4%,"1,205",39.5%,"3,051",100.0%
253901   ZAPATA COUNTY ISD,57,24.0%,67,28.2%,114,47.9%,238,100.0%
003906   ZAVALLA ISD,*,*,*,*,13,59.1%,22,100.0%
025906   ZEPHYR ISD,*,*,*,*,*,*,8,100.0%
