DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
025904   BLANKET ISD,*,*,*,*,9,47.4%,19,100.0%
034909   BLOOMBURG ISD,*,*,*,*,6,37.5%,16,100.0%
175902   BLOOMING GROVE ISD,12,18.2%,20,30.3%,34,51.5%,66,100.0%
235901   BLOOMINGTON ISD,8,16.3%,11,22.5%,30,61.2%,49,100.0%
043917   BLUE RIDGE ISD,6,14.3%,13,31.0%,23,54.8%,42,100.0%
109913   BLUM ISD,*,*,*,*,12,46.2%,26,100.0%
123807   BOB HOPE SCHOOL,5,16.1%,12,38.7%,14,45.2%,31,100.0%
130901   BOERNE ISD,197,34.0%,117,20.2%,266,45.9%,580,100.0%
116916   BOLES ISD,7,13.7%,16,31.4%,28,54.9%,51,100.0%
241901   BOLING ISD,15,20.3%,30,40.5%,29,39.2%,74,100.0%
074903   BONHAM ISD,12,10.1%,20,16.8%,87,73.1%,119,100.0%
148901   BOOKER ISD,*,*,*,*,16,61.5%,26,100.0%
017901   BORDEN COUNTY ISD,*,*,*,*,*,*,17,100.0%
117901   BORGER ISD,19,9.7%,84,42.9%,93,47.5%,196,100.0%
161923   BOSQUEVILLE ISD,*,*,*,*,13,23.2%,56,100.0%
185901   BOVINA ISD,*,*,*,*,11,57.9%,19,100.0%
169901   BOWIE ISD,26,24.3%,31,29.0%,50,46.7%,107,100.0%
249902   BOYD ISD,10,10.3%,28,28.9%,59,60.8%,97,100.0%
180901   BOYS RANCH ISD,8,22.2%,8,22.2%,20,55.6%,36,100.0%
136901   BRACKETT ISD,7,18.4%,10,26.3%,21,55.3%,38,100.0%
160901   BRADY ISD,35,40.2%,9,10.3%,43,49.4%,87,100.0%
008903   BRAZOS ISD,9,13.6%,25,37.9%,32,48.5%,66,100.0%
213801   BRAZOS RIVER CHARTER SCHOOL,5,6.3%,12,15.2%,62,78.5%,79,100.0%
020905   BRAZOSPORT ISD,126,15.7%,311,38.8%,365,45.5%,802,100.0%
215901   BRECKENRIDGE ISD,12,15.0%,21,26.3%,47,58.8%,80,100.0%
198901   BREMOND ISD,7,17.5%,12,30.0%,21,52.5%,40,100.0%
239901   BRENHAM ISD,52,17.2%,111,36.8%,139,46.0%,302,100.0%
181901   BRIDGE CITY ISD,44,28.4%,49,31.6%,62,40.0%,155,100.0%
249903   BRIDGEPORT ISD,23,14.2%,41,25.3%,98,60.5%,162,100.0%
203902   BROADDUS ISD,9,24.3%,7,18.9%,21,56.8%,37,100.0%
184909   BROCK ISD,35,41.2%,27,31.8%,23,27.1%,85,100.0%
041901   BRONTE ISD,*,*,*,*,5,41.7%,12,100.0%
121902   BROOKELAND ISD,*,*,*,*,13,56.5%,23,100.0%
025908   BROOKESMITH ISD,,,*,*,8,72.7%,11,100.0%
015830   BROOKS ACADEMY OF SCIENCE AND ENGI,10,12.2%,34,41.5%,38,46.3%,82,100.0%
024901   BROOKS COUNTY ISD,29,29.3%,18,18.2%,52,52.5%,99,100.0%
223901   BROWNFIELD ISD,9,6.9%,25,19.1%,97,74.1%,131,100.0%
107902   BROWNSBORO ISD,36,19.5%,54,29.2%,95,51.4%,185,100.0%
031901   BROWNSVILLE ISD,816,27.0%,760,25.1%,"1,448",47.9%,"3,024",100.0%
025902   BROWNWOOD ISD,43,21.1%,23,11.3%,138,67.7%,204,100.0%
161919   BRUCEVILLE-EDDY ISD,*,*,*,*,25,43.9%,57,100.0%
021902   BRYAN ISD,141,15.7%,208,23.2%,547,61.1%,896,100.0%
119901   BRYSON ISD,*,*,*,*,14,60.9%,23,100.0%
166907   BUCKHOLTS ISD,,,*,*,7,77.8%,9,100.0%
186901   BUENA VISTA ISD,5,62.5%,,,*,*,8,100.0%
145901   BUFFALO ISD,10,14.1%,23,32.4%,38,53.5%,71,100.0%
212902   BULLARD ISD,23,13.1%,58,33.1%,94,53.7%,175,100.0%
121903   BUNA ISD,23,26.7%,20,23.3%,43,50.0%,86,100.0%
243901   BURKBURNETT ISD,34,16.1%,55,26.1%,122,57.8%,211,100.0%
176901   BURKEVILLE ISD,*,*,*,*,10,45.5%,22,100.0%
126902   BURLESON ISD,139,17.7%,290,37.0%,355,45.3%,784,100.0%
027903   BURNET CISD,49,20.3%,46,19.0%,147,60.7%,242,100.0%
071801   BURNHAM WOOD CHARTER SCHOOL DISTRI,*,*,*,*,8,32.0%,25,100.0%
239903   BURTON ISD,*,*,*,*,11,47.8%,23,100.0%
188904   BUSHLAND ISD,36,30.5%,37,31.4%,45,38.1%,118,100.0%
109902   BYNUM ISD,*,*,*,*,6,33.3%,18,100.0%
116901   CADDO MILLS ISD,23,23.7%,38,39.2%,36,37.1%,97,100.0%
178903   CALALLEN ISD,79,28.9%,84,30.8%,110,40.3%,273,100.0%
026901   CALDWELL ISD,15,13.0%,36,31.3%,64,55.7%,115,100.0%
029901   CALHOUN COUNTY ISD,46,16.7%,80,29.1%,149,54.2%,275,100.0%
049905   CALLISBURG ISD,8,10.5%,35,46.1%,33,43.4%,76,100.0%
198902   CALVERT ISD,*,*,*,*,5,38.5%,13,100.0%
101837   CALVIN NELMS CHARTER SCHOOLS,,,8,26.7%,22,73.3%,30,100.0%
166901   CAMERON ISD,11,12.1%,39,42.9%,41,45.1%,91,100.0%
116910   CAMPBELL ISD,7,24.1%,8,27.6%,14,48.3%,29,100.0%
106901   CANADIAN ISD,12,26.1%,9,19.6%,25,54.4%,46,100.0%
234902   CANTON ISD,33,25.6%,37,28.7%,59,45.7%,129,100.0%
071907   CANUTILLO ISD,98,21.9%,100,22.4%,249,55.7%,447,100.0%
191901   CANYON ISD,188,27.6%,197,28.9%,297,43.6%,682,100.0%
201913   CARLISLE ISD,*,*,*,*,19,36.5%,52,100.0%
064903   CARRIZO SPRINGS CISD,26,16.7%,58,37.2%,72,46.2%,156,100.0%
220919   CARROLL ISD,175,28.4%,99,16.1%,343,55.6%,617,100.0%
057903   CARROLLTON-FARMERS BRANCH ISD,276,17.2%,470,29.2%,862,53.6%,"1,608",100.0%
183902   CARTHAGE ISD,24,14.9%,69,42.9%,68,42.2%,161,100.0%
220917   CASTLEBERRY ISD,28,14.0%,61,30.5%,111,55.5%,200,100.0%
001902   CAYUGA ISD,*,*,*,*,24,53.3%,45,100.0%
057904   CEDAR HILL ISD,184,30.9%,139,23.4%,272,45.7%,595,100.0%
116902   CELESTE ISD,6,16.7%,6,16.7%,24,66.7%,36,100.0%
043903   CELINA ISD,31,17.9%,64,37.0%,78,45.1%,173,100.0%
210901   CENTER ISD,25,16.6%,55,36.4%,71,47.0%,151,100.0%
133901   CENTER POINT ISD,*,*,*,*,31,72.1%,43,100.0%
145902   CENTERVILLE ISD,12,23.1%,21,40.4%,19,36.5%,52,100.0%
228904   CENTERVILLE ISD,*,*,*,*,11,78.6%,14,100.0%
174908   CENTRAL HEIGHTS ISD,17,27.4%,20,32.3%,25,40.3%,62,100.0%
003907   CENTRAL ISD,9,8.5%,32,30.2%,65,61.3%,106,100.0%
101905   CHANNELVIEW ISD,75,13.5%,176,31.8%,303,54.7%,554,100.0%
103901   CHANNING ISD,*,*,*,*,5,55.6%,9,100.0%
227814   CHAPARRAL STAR ACADEMY,*,*,*,*,9,64.3%,14,100.0%
212909   CHAPEL HILL ISD,20,9.2%,82,37.8%,115,53.0%,217,100.0%
225906   CHAPEL HILL ISD,18,24.3%,28,37.8%,28,37.8%,74,100.0%
007901   CHARLOTTE ISD,*,*,*,*,12,46.2%,26,100.0%
206903   CHEROKEE ISD,5,55.6%,,,*,*,9,100.0%
229906   CHESTER ISD,*,*,*,*,6,54.6%,11,100.0%
249904   CHICO ISD,8,15.4%,15,28.9%,29,55.8%,52,100.0%
038901   CHILDRESS ISD,10,15.2%,13,19.7%,43,65.2%,66,100.0%
099902   CHILLICOTHE ISD,*,*,*,*,9,60.0%,15,100.0%
073901   CHILTON ISD,6,15.0%,10,25.0%,24,60.0%,40,100.0%
161920   CHINA SPRING ISD,37,20.9%,81,45.8%,59,33.3%,177,100.0%
174901   CHIRENO ISD,*,*,*,*,14,53.9%,26,100.0%
139905   CHISUM ISD,13,18.6%,22,31.4%,35,50.0%,70,100.0%
226901   CHRISTOVAL ISD,18,40.9%,6,13.6%,20,45.5%,44,100.0%
067902   CISCO ISD,9,12.2%,25,33.8%,40,54.1%,74,100.0%
243906   CITY VIEW ISD,18,27.7%,19,29.2%,28,43.1%,65,100.0%
065901   CLARENDON ISD,6,21.4%,11,39.3%,11,39.3%,28,100.0%
194904   CLARKSVILLE ISD,5,13.5%,8,21.6%,24,64.9%,37,100.0%
006902   CLAUDE ISD,*,*,*,*,16,55.2%,29,100.0%
084910   CLEAR CREEK ISD,823,28.2%,852,29.2%,"1,239",42.5%,"2,914",100.0%
126903   CLEBURNE ISD,63,14.4%,103,23.6%,271,62.0%,437,100.0%
146901   CLEVELAND ISD,23,11.7%,50,25.5%,123,62.8%,196,100.0%
018901   CLIFTON ISD,10,16.4%,25,41.0%,26,42.6%,61,100.0%
071901   CLINT ISD,168,23.1%,227,31.2%,333,45.7%,728,100.0%
030902   CLYDE CISD,25,26.9%,24,25.8%,44,47.3%,93,100.0%
114902   COAHOMA ISD,17,30.4%,18,32.1%,21,37.5%,56,100.0%
204901   COLDSPRING-OAKHURST CISD,18,12.9%,33,23.6%,89,63.6%,140,100.0%
042901   COLEMAN ISD,10,21.3%,9,19.2%,28,59.6%,47,100.0%
021901   COLLEGE STATION ISD,211,27.5%,221,28.8%,336,43.8%,768,100.0%
091902   COLLINSVILLE ISD,8,24.2%,13,39.4%,12,36.4%,33,100.0%
229901   COLMESNEIL ISD,5,20.0%,11,44.0%,9,36.0%,25,100.0%
168901   COLORADO ISD,17,21.3%,24,30.0%,39,48.8%,80,100.0%
020907   COLUMBIA-BRAZORIA ISD,29,15.5%,63,33.7%,95,50.8%,187,100.0%
045902   COLUMBUS ISD,18,15.9%,26,23.0%,69,61.1%,113,100.0%
046902   COMAL ISD,369,26.2%,304,21.6%,733,52.1%,"1,406",100.0%
047901   COMANCHE ISD,33,37.9%,9,10.3%,45,51.7%,87,100.0%
130902   COMFORT ISD,13,20.3%,14,21.9%,37,57.8%,64,100.0%
116903   COMMERCE ISD,35,29.7%,19,16.1%,64,54.2%,118,100.0%
043918   COMMUNITY ISD,17,15.7%,39,36.1%,52,48.2%,108,100.0%
112908   COMO-PICKTON CISD,*,*,*,*,31,58.5%,53,100.0%
101842   COMQUEST ACADEMY,,,*,*,13,76.5%,17,100.0%
233903   COMSTOCK ISD,6,35.3%,9,52.9%,*,*,17,100.0%
161921   CONNALLY ISD,14,10.5%,58,43.3%,62,46.3%,134,100.0%
170902   CONROE ISD,721,20.7%,843,24.1%,"1,928",55.2%,"3,492",100.0%
147901   COOLIDGE ISD,*,*,*,*,17,63.0%,27,100.0%
060902   COOPER ISD,5,10.6%,17,36.2%,25,53.2%,47,100.0%
057922   COPPELL ISD,262,29.2%,177,19.8%,457,51.0%,896,100.0%
050910   COPPERAS COVE ISD,72,13.6%,142,26.8%,316,59.6%,530,100.0%
178904   CORPUS CHRISTI ISD,468,20.7%,658,29.1%,"1,133",50.2%,"2,259",100.0%
187904   CORRIGAN-CAMDEN ISD,16,23.5%,17,25.0%,35,51.5%,68,100.0%
175903   CORSICANA ISD,44,12.7%,132,38.0%,171,49.3%,347,100.0%
095902   COTTON CENTER ISD,*,*,*,*,*,*,8,100.0%
142901   COTULLA ISD,18,21.7%,20,24.1%,45,54.2%,83,100.0%
109903   COVINGTON ISD,*,*,*,*,13,50.0%,26,100.0%
129901   CRANDALL ISD,41,18.1%,77,33.9%,109,48.0%,227,100.0%
052901   CRANE ISD,17,23.0%,19,25.7%,38,51.4%,74,100.0%
018908   CRANFILLS GAP ISD,*,*,,,*,*,*,*
161901   CRAWFORD ISD,9,16.7%,28,51.9%,17,31.5%,54,100.0%
053001   CROCKETT COUNTY CONSOLIDATED CSD,9,19.6%,6,13.0%,31,67.4%,46,100.0%
113901   CROCKETT ISD,12,14.1%,25,29.4%,48,56.5%,85,100.0%
101906   CROSBY ISD,61,15.3%,128,32.1%,210,52.6%,399,100.0%
054901   CROSBYTON CISD,*,*,*,*,12,40.0%,30,100.0%
030901   CROSS PLAINS ISD,*,*,*,*,16,66.7%,24,100.0%
107904   CROSS ROADS ISD,*,*,*,*,20,38.5%,52,100.0%
184801   CROSSTIMBERS ACADEMY,,,7,21.2%,26,78.8%,33,100.0%
078901   CROWELL ISD,*,*,*,*,*,*,13,100.0%
220912   CROWLEY ISD,207,20.3%,297,29.1%,516,50.6%,"1,020",100.0%
254901   CRYSTAL CITY ISD,7,5.6%,55,43.7%,64,50.8%,126,100.0%
062901   CUERO ISD,28,20.9%,27,20.2%,79,59.0%,134,100.0%
055901   CULBERSON COUNTY-ALLAMOORE ISD,17,44.7%,6,15.8%,15,39.5%,38,100.0%
112905   CUMBY ISD,*,*,*,*,10,47.6%,21,100.0%
174902   CUSHING ISD,11,22.0%,12,24.0%,27,54.0%,50,100.0%
101907   CYPRESS-FAIRBANKS ISD,"1,776",22.8%,"2,340",30.0%,"3,688",47.3%,"7,804",100.0%
172902   DAINGERFIELD-LONE STAR ISD,5,6.8%,28,37.8%,41,55.4%,74,100.0%
056901   DALHART ISD,18,16.7%,27,25.0%,63,58.3%,108,100.0%
057905   DALLAS ISD,"1,264",16.3%,"1,772",22.8%,"4,738",61.0%,"7,774",100.0%
020904   DANBURY ISD,8,17.4%,25,54.4%,13,28.3%,46,100.0%
148905   DARROUZETT ISD,,,*,*,8,88.9%,9,100.0%
058902   DAWSON ISD,,,7,63.6%,*,*,11,100.0%
175904   DAWSON ISD,*,*,*,*,21,55.3%,38,100.0%
146902   DAYTON ISD,40,13.2%,60,19.7%,204,67.1%,304,100.0%
047902   DE LEON ISD,9,25.0%,9,25.0%,18,50.0%,36,100.0%
249905   DECATUR ISD,47,25.0%,42,22.3%,99,52.7%,188,100.0%
101908   DEER PARK ISD,147,14.8%,436,44.0%,408,41.2%,991,100.0%
019901   DEKALB ISD,5,8.9%,15,26.8%,36,64.3%,56,100.0%
227910   DEL VALLE ISD,73,10.6%,168,24.3%,450,65.1%,691,100.0%
115903   DELL CITY ISD,*,*,*,*,*,*,6,100.0%
091903   DENISON ISD,18,5.8%,98,31.5%,195,62.7%,311,100.0%
061901   DENTON ISD,296,19.2%,383,24.8%,864,56.0%,"1,543",100.0%
251901   DENVER CITY ISD,13,10.9%,28,23.5%,78,65.6%,119,100.0%
057906   DESOTO ISD,167,25.4%,153,23.3%,337,51.3%,657,100.0%
194905   DETROIT ISD,6,14.6%,12,29.3%,23,56.1%,41,100.0%
163901   DEVINE ISD,25,20.3%,20,16.3%,78,63.4%,123,100.0%
176903   DEWEYVILLE ISD,8,14.6%,22,40.0%,25,45.5%,55,100.0%
163902   D'HANIS ISD,*,*,*,*,15,55.6%,27,100.0%
003905   DIBOLL ISD,16,12.3%,47,36.2%,67,51.5%,130,100.0%
084901   DICKINSON ISD,94,15.8%,186,31.2%,317,53.1%,597,100.0%
082902   DILLEY ISD,5,7.9%,10,15.9%,48,76.2%,63,100.0%
144903   DIME BOX ISD,,,5,35.7%,9,64.3%,14,100.0%
035901   DIMMITT ISD,13,20.3%,17,26.6%,34,53.1%,64,100.0%
074904   DODD CITY ISD,*,*,*,*,6,35.3%,17,100.0%
108902   DONNA ISD,114,13.8%,230,27.7%,485,58.5%,829,100.0%
174911   DOUGLASS ISD,9,30.0%,7,23.3%,14,46.7%,30,100.0%
178801   DR M L GARZA-GONZALEZ CHARTER SCHO,,,*,*,*,*,*,*
105904   DRIPPING SPRINGS ISD,111,30.0%,100,27.0%,159,43.0%,370,100.0%
072902   DUBLIN ISD,20,27.8%,11,15.3%,41,56.9%,72,100.0%
171901   DUMAS ISD,26,9.0%,128,44.1%,136,46.9%,290,100.0%
057907   DUNCANVILLE ISD,185,21.2%,288,33.0%,399,45.8%,872,100.0%
220918   EAGLE MT-SAGINAW ISD,224,17.3%,418,32.2%,655,50.5%,"1,297",100.0%
159901   EAGLE PASS ISD,187,18.9%,391,39.5%,411,41.6%,989,100.0%
227909   EANES ISD,182,30.1%,107,17.7%,316,52.2%,605,100.0%
025909   EARLY ISD,33,42.3%,14,18.0%,31,39.7%,78,100.0%
227824   EAST AUSTIN COLLEGE PREP,20,29.0%,17,24.6%,32,46.4%,69,100.0%
241902   EAST BERNARD ISD,13,18.6%,39,55.7%,18,25.7%,70,100.0%
015911   EAST CENTRAL ISD,102,14.5%,185,26.3%,416,59.2%,703,100.0%
036903   EAST CHAMBERS ISD,19,19.6%,34,35.1%,44,45.4%,97,100.0%
092801   EAST TEXAS CHARTER SCHOOLS,,,17,32.7%,35,67.3%,52,100.0%
067903   EASTLAND ISD,16,22.5%,16,22.5%,39,54.9%,71,100.0%
068901   ECTOR COUNTY ISD,272,17.8%,500,32.8%,753,49.4%,"1,525",100.0%
074905   ECTOR ISD,*,*,*,*,13,68.4%,19,100.0%
108903   EDCOUCH-ELSA ISD,87,25.3%,75,21.8%,182,52.9%,344,100.0%
048901   EDEN CISD,*,*,*,*,12,70.6%,17,100.0%
015905   EDGEWOOD ISD,57,10.0%,124,21.7%,391,68.4%,572,100.0%
234903   EDGEWOOD ISD,14,20.9%,22,32.8%,31,46.3%,67,100.0%
108904   EDINBURG CISD,592,26.8%,480,21.7%,"1,136",51.5%,"2,208",100.0%
120901   EDNA ISD,14,13.5%,23,22.1%,67,64.4%,104,100.0%
241903   EL CAMPO ISD,24,11.8%,86,42.4%,93,45.8%,203,100.0%
071804   EL PASO ACADEMY,6,3.0%,36,18.0%,158,79.0%,200,100.0%
071902   EL PASO ISD,"1,278",32.5%,901,22.9%,"1,759",44.7%,"3,938",100.0%
243902   ELECTRA ISD,5,17.2%,7,24.1%,17,58.6%,29,100.0%
011902   ELGIN ISD,52,16.6%,64,20.5%,197,62.9%,313,100.0%
001903   ELKHART ISD,11,14.9%,22,29.7%,41,55.4%,74,100.0%
102906   ELYSIAN FIELDS ISD,6,8.0%,28,37.3%,41,54.7%,75,100.0%
070903   ENNIS ISD,25,7.1%,131,37.3%,195,55.6%,351,100.0%
049906   ERA ISD,11,29.7%,15,40.5%,11,29.7%,37,100.0%
072802   ERATH EXCELS ACADEMY INC,*,*,*,*,36,83.7%,43,100.0%
030906   EULA ISD,*,*,*,*,13,59.1%,22,100.0%
107905   EUSTACE ISD,7,7.3%,41,42.7%,48,50.0%,96,100.0%
121906   EVADALE ISD,7,25.9%,11,40.7%,9,33.3%,27,100.0%
050901   EVANT ISD,*,*,*,*,9,60.0%,15,100.0%
220904   EVERMAN ISD,47,13.4%,81,23.1%,223,63.5%,351,100.0%
057834   EVOLUTION ACADEMY CHARTER SCHOOL,10,4.5%,30,13.4%,184,82.1%,224,100.0%
071903   FABENS ISD,31,22.5%,37,26.8%,70,50.7%,138,100.0%
081902   FAIRFIELD ISD,24,21.6%,39,35.1%,48,43.2%,111,100.0%
128904   FALLS CITY ISD,19,54.3%,9,25.7%,7,20.0%,35,100.0%
060914   FANNINDEL ISD,*,*,*,*,6,40.0%,15,100.0%
043904   FARMERSVILLE ISD,12,15.6%,20,26.0%,45,58.4%,77,100.0%
185902   FARWELL ISD,16,41.0%,5,12.8%,18,46.2%,39,100.0%
075906   FAYETTEVILLE ISD,,,9,64.3%,5,35.7%,14,100.0%
070905   FERRIS ISD,17,10.7%,47,29.6%,95,59.8%,159,100.0%
075901   FLATONIA ISD,14,27.5%,16,31.4%,21,41.2%,51,100.0%
246902   FLORENCE ISD,12,16.7%,14,19.4%,46,63.9%,72,100.0%
247901   FLORESVILLE ISD,45,16.5%,65,23.8%,163,59.7%,273,100.0%
178914   FLOUR BLUFF ISD,141,30.5%,111,24.0%,211,45.6%,463,100.0%
077901   FLOYDADA ISD,11,22.9%,11,22.9%,26,54.2%,48,100.0%
057817   FOCUS LEARNING ACADEMY,*,*,*,*,24,55.8%,43,100.0%
148902   FOLLETT ISD,*,*,*,*,9,69.2%,13,100.0%
169910   FORESTBURG ISD,*,*,*,*,7,53.9%,13,100.0%
129902   FORNEY ISD,133,21.5%,204,32.9%,283,45.7%,620,100.0%
114904   FORSAN ISD,7,13.7%,31,60.8%,13,25.5%,51,100.0%
079907   FORT BEND ISD,"1,692",31.3%,"1,508",27.9%,"2,211",40.9%,"5,411",100.0%
242906   FORT ELLIOTT CISD,*,*,*,*,*,*,11,100.0%
186902   FORT STOCKTON ISD,35,24.8%,14,9.9%,92,65.3%,141,100.0%
220809   FORT WORTH ACADEMY OF FINE ARTS,14,26.4%,16,30.2%,23,43.4%,53,100.0%
220905   FORT WORTH ISD,614,15.2%,986,24.5%,"2,433",60.3%,"4,033",100.0%
198903   FRANKLIN ISD,22,30.1%,21,28.8%,30,41.1%,73,100.0%
001904   FRANKSTON ISD,10,20.0%,19,38.0%,21,42.0%,50,100.0%
086901   FREDERICKSBURG ISD,65,28.3%,43,18.7%,122,53.0%,230,100.0%
066903   FREER ISD,8,18.6%,10,23.3%,25,58.1%,43,100.0%
152907   FRENSHIP ISD,148,27.0%,144,26.2%,257,46.8%,549,100.0%
084911   FRIENDSWOOD ISD,175,33.0%,161,30.4%,194,36.6%,530,100.0%
