DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,7,9.9%,30,42.3%,34,47.9%,71,100.0%
109901   ABBOTT ISD,*,*,*,*,5,25.0%,20,100.0%
095901   ABERNATHY ISD,10,20.4%,13,26.5%,26,53.1%,49,100.0%
221901   ABILENE ISD,137,14.7%,164,17.6%,631,67.7%,932,100.0%
014901   ACADEMY ISD,15,18.1%,29,34.9%,39,47.0%,83,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,5,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,19,59.4%,32,100.0%
178901   AGUA DULCE ISD,14,37.8%,8,21.6%,15,40.5%,37,100.0%
015901   ALAMO HEIGHTS ISD,95,25.0%,67,17.6%,218,57.4%,380,100.0%
250906   ALBA-GOLDEN ISD,9,13.9%,27,41.5%,29,44.6%,65,100.0%
209901   ALBANY ISD,14,40.0%,7,20.0%,14,40.0%,35,100.0%
101902   ALDINE ISD,529,14.9%,975,27.4%,"2,052",57.7%,"3,556",100.0%
184907   ALEDO ISD,108,29.2%,125,33.8%,137,37.0%,370,100.0%
125901   ALICE ISD,79,26.9%,69,23.5%,146,49.7%,294,100.0%
101903   ALIEF ISD,453,17.2%,536,20.3%,"1,650",62.5%,"2,639",100.0%
043901   ALLEN ISD,351,23.1%,485,31.9%,683,45.0%,"1,519",100.0%
057832   ALPHA CHARTER SCHOOL,,,*,*,38,90.5%,42,100.0%
022901   ALPINE ISD,34,49.3%,6,8.7%,29,42.0%,69,100.0%
037901   ALTO ISD,5,10.6%,21,44.7%,21,44.7%,47,100.0%
126901   ALVARADO ISD,34,14.4%,60,25.3%,143,60.3%,237,100.0%
020901   ALVIN ISD,254,19.3%,418,31.7%,645,49.0%,"1,317",100.0%
249901   ALVORD ISD,7,15.6%,12,26.7%,26,57.8%,45,100.0%
188901   AMARILLO ISD,304,16.1%,682,36.2%,898,47.7%,"1,884",100.0%
140901   AMHERST ISD,,,*,*,6,60.0%,10,100.0%
036901   ANAHUAC ISD,17,19.3%,28,31.8%,43,48.9%,88,100.0%
093901   ANDERSON-SHIRO CISD,15,25.0%,21,35.0%,24,40.0%,60,100.0%
002901   ANDREWS ISD,39,15.5%,55,21.8%,158,62.7%,252,100.0%
020902   ANGLETON ISD,71,16.4%,151,34.9%,211,48.7%,433,100.0%
043902   ANNA ISD,17,9.0%,66,35.1%,105,55.9%,188,100.0%
127901   ANSON ISD,9,23.1%,6,15.4%,24,61.5%,39,100.0%
071906   ANTHONY ISD,*,*,*,*,21,60.0%,35,100.0%
110901   ANTON ISD,*,*,*,*,8,53.3%,15,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,7,50.0%,14,100.0%
109912   AQUILLA ISD,5,22.7%,11,50.0%,6,27.3%,22,100.0%
004901   ARANSAS COUNTY ISD,66,30.3%,40,18.4%,112,51.4%,218,100.0%
205901   ARANSAS PASS ISD,20,16.4%,26,21.3%,76,62.3%,122,100.0%
005901   ARCHER CITY ISD,9,28.1%,11,34.4%,12,37.5%,32,100.0%
061910   ARGYLE ISD,52,31.1%,44,26.4%,71,42.5%,167,100.0%
220901   ARLINGTON ISD,829,21.0%,"1,085",27.5%,"2,030",51.5%,"3,944",100.0%
212901   ARP ISD,*,*,*,*,25,49.0%,51,100.0%
217901   ASPERMONT ISD,7,33.3%,5,23.8%,9,42.9%,21,100.0%
107901   ATHENS ISD,40,18.4%,62,28.6%,115,53.0%,217,100.0%
034901   ATLANTA ISD,25,18.7%,35,26.1%,74,55.2%,134,100.0%
061907   AUBREY ISD,41,26.8%,29,19.0%,83,54.3%,153,100.0%
227901   AUSTIN ISD,922,21.0%,917,20.9%,"2,547",58.1%,"4,386",100.0%
196901   AUSTWELL-TIVOLI ISD,*,*,*,*,6,50.0%,12,100.0%
070901   AVALON ISD,*,*,*,*,6,33.3%,18,100.0%
194902   AVERY ISD,6,20.7%,8,27.6%,15,51.7%,29,100.0%
034902   AVINGER ISD,*,*,*,*,7,77.8%,9,100.0%
161918   AXTELL ISD,6,10.2%,25,42.4%,28,47.5%,59,100.0%
220915   AZLE ISD,54,11.9%,162,35.8%,237,52.3%,453,100.0%
030903   BAIRD ISD,*,*,*,*,9,50.0%,18,100.0%
200901   BALLINGER ISD,27,34.2%,17,21.5%,35,44.3%,79,100.0%
195902   BALMORHEA ISD,*,*,*,*,*,*,12,100.0%
010902   BANDERA ISD,38,21.6%,28,15.9%,110,62.5%,176,100.0%
025901   BANGS ISD,10,12.5%,18,22.5%,52,65.0%,80,100.0%
178913   BANQUETE ISD,19,26.4%,24,33.3%,29,40.3%,72,100.0%
036902   BARBERS HILL ISD,56,17.8%,142,45.1%,117,37.1%,315,100.0%
014902   BARTLETT ISD,*,*,*,*,17,73.9%,23,100.0%
011901   BASTROP ISD,129,17.9%,143,19.8%,449,62.3%,721,100.0%
158901   BAY CITY ISD,39,16.3%,68,28.3%,133,55.4%,240,100.0%
123910   BEAUMONT ISD,311,29.7%,186,17.8%,551,52.6%,"1,048",100.0%
183901   BECKVILLE ISD,11,20.8%,25,47.2%,17,32.1%,53,100.0%
013901   BEEVILLE ISD,20,9.5%,76,36.2%,114,54.3%,210,100.0%
039904   BELLEVUE ISD,*,*,*,*,*,*,*,*
091901   BELLS ISD,7,13.7%,15,29.4%,29,56.9%,51,100.0%
008901   BELLVILLE ISD,18,13.2%,72,52.9%,46,33.8%,136,100.0%
014903   BELTON ISD,136,17.9%,215,28.3%,408,53.8%,759,100.0%
125902   BEN BOLT-PALITO BLANCO ISD,10,21.3%,15,31.9%,22,46.8%,47,100.0%
066901   BENAVIDES ISD,*,*,*,*,13,56.5%,23,100.0%
187901   BIG SANDY ISD,9,22.5%,17,42.5%,14,35.0%,40,100.0%
230901   BIG SANDY ISD,*,*,*,*,26,61.9%,42,100.0%
114901   BIG SPRING ISD,24,11.9%,57,28.4%,120,59.7%,201,100.0%
193801   BIG SPRINGS CHARTER SCHOOL,,,,,8,100.0%,8,100.0%
220902   BIRDVILLE ISD,254,16.7%,514,33.9%,750,49.4%,"1,518",100.0%
178902   BISHOP CISD,41,38.0%,33,30.6%,34,31.5%,108,100.0%
177903   BLACKWELL CISD,*,*,*,*,*,*,11,100.0%
016902   BLANCO ISD,17,25.4%,10,14.9%,40,59.7%,67,100.0%
116915   BLAND ISD,5,13.9%,5,13.9%,26,72.2%,36,100.0%
