Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,180,19,10.6,12,63.2,29,17,58.6
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,<450,<50,6.5,<50,86.2,37,29,78.4
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,<225,<25,8.1,<25,17.6,<25,<25,15.8
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,<75,<25,2.0,<25,,<25,<25,
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,458,100,21.8,17,17.0,136,20,14.7
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,397,65,16.4,48,73.8,79,57,72.2
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,1039,234,22.5,117,50.0,547,224,41.0
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,<275,<75,20.2,<25,1.9,<75,<25,1.9
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,225,31,13.8,5,16.1,35,5,14.3
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,452,64,14.2,29,45.3,161,57,35.4
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,80,25,31.3,13,52.0,29,13,44.8
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,147,25,17.0,12,48.0,25,12,48.0
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,<100,<25,1.2,<25,,<25,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,225,12,5.3,5,41.7,14,5,35.7
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,441,81,18.4,15,18.5,135,24,17.8
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,<250,<25,8.3,<25,5.3,<50,<25,3.8
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,325,55,16.9,34,61.8,91,56,61.5
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,428,141,32.9,67,47.5,287,108,37.6
