Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,475,471,452,946,<75,<50,60.7,<25,11.8
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,487,456,454,943,<75,<50,63,<25,13
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,427,418,395,845,<50,<25,30.2,<25,
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,540,567,513,1107,<50,<25,10.3,<25,33.3
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,455,440,416,895,175,66,37.7,6,9.1
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,465,442,426,907,88,49,55.7,5,10.2
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,503,545,558,1048,<50,<25,18.8,<25,33.3
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,491,486,454,977,<275,<50,15.3,<25,10.3
All Students,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,493,491,449,984,<50,<25,55,<25,18.2
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,514,479,454,994,189,99,52.4,25,25.3
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,490,462,449,952,<525,<225,43.7,<50,22
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,483,470,456,953,<150,<50,35.4,<25,15.2
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,447,433,407,880,<125,<50,22.4,<25,3.8
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,473,472,438,945,<50,<25,27.5,<25,
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,499,486,461,985,<100,<25,16.2,<25,25
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,483,463,430,946,209,121,57.9,21,17.4
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,504,508,483,1012,<50,<25,30.8,<25,16.7
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,534,506,515,1039,53,27,50.9,9,33.3
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,511,489,455,1000,<50,<25,26.3,<25,30
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,475,470,440,945,<25,<25,8.3,<25,
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,411,412,388,823,<50,<25,40,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,473,478,472,952,114,38,33.3,6,15.8
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,446,448,415,894,135,64,47.4,7,10.9
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,463,451,427,915,233,86,36.9,11,12.8
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,456,441,436,896,<125,<25,11.9,<25,7.1
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,525,497,477,1022,148,83,56.1,23,27.7
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,499,484,453,983,180,50,27.8,12,24
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,462,430,407,893,<75,<50,41.9,<25,7.7
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,491,489,463,980,<100,<25,8.6,<25,12.5
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,509,535,488,1044,<25,<25,47.1,<25,37.5
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,527,499,480,1026,149,85,57,29,34.1
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,468,459,436,927,578,268,46.4,46,17.2
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,448,451,432,900,314,156,49.7,23,14.7
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,496,464,452,960,119,57,47.9,9,15.8
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,,,,,<50,<25,2.9,<25,100
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,458,465,452,923,<200,<25,6.9,<25,7.7
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,474,429,407,903,<50,<25,20.6,<25,14.3
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,478,505,482,983,<75,<25,10.2,<25,16.7
All Students,014801,Richard Milburn Alter High School,014,Bell County,12,Waco,414,435,415,849,<500,<50,7.7,<25,2.7
All Students,014803,Priority Charter Schools,014,Bell County,12,Waco,495,485,468,980,<50,<25,15.4,<25,25
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,495,503,469,998,80,54,67.5,12,22.2
All Students,014901,Academy ISD,014,Bell County,12,Waco,538,512,500,1050,98,48,49,19,39.6
All Students,014902,Bartlett ISD,014,Bell County,13,Austin,,,,,<25,<25,4.2,<25,
All Students,014903,Belton ISD,014,Bell County,12,Waco,494,495,465,988,705,389,55.2,101,26
All Students,014905,Holland ISD,014,Bell County,12,Waco,506,462,465,968,<75,<25,23.9,<25,5.9
All Students,014906,Killeen ISD,014,Bell County,12,Waco,469,470,443,939,1989,1039,52.2,181,17.4
All Students,014907,Rogers ISD,014,Bell County,12,Waco,494,498,460,992,<75,<25,33.3,<25,13
All Students,014908,Salado ISD,014,Bell County,12,Waco,507,512,490,1019,97,62,63.9,12,19.4
All Students,014909,Temple ISD,014,Bell County,12,Waco,491,481,457,972,<475,<200,37.9,<50,22.7
All Students,014910,Troy ISD,014,Bell County,12,Waco,473,463,463,936,<100,<50,39.4,<25,13.5
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,473,428,424,900,<125,<25,7.3,<25,12.5
All Students,015802,George Gervin Academy,015,Bexar County,20,San Antonio,,,,,<25,<25,4.3,<25,100
All Students,015803,Higgs Carter King Gifted & Talente,015,Bexar County,20,San Antonio,295,360,230,655,<25,<25,,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,415,373,369,788,<25,<25,78.9,<25,6.7
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,449,460,438,909,<100,<25,15.6,<25,14.3
All Students,015815,Radiance Academy Of Learning,015,Bexar County,20,San Antonio,444,486,430,930,<25,<25,20.8,<25,40
All Students,015816,Academy Of Careers And Technologie,015,Bexar County,20,San Antonio,428,445,400,873,<25,<25,25,<25,25
All Students,015819,Shekinah Radiance Academy,015,Bexar County,20,San Antonio,,,,,<25,<25,6.3,<25,
All Students,015820,San Antonio School For Inquiry & C,015,Bexar County,20,San Antonio,485,445,395,930,<50,<25,8,<25,
All Students,015822,Jubilee Academic Center,015,Bexar County,20,San Antonio,396,396,368,792,<50,<50,71.7,<25,3
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,441,430,409,871,97,61,62.9,7,11.5
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,521,519,457,1040,35,40,100,13,32.5
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,497,479,473,977,<100,<100,100,<25,24.2
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,469,461,453,930,80,61,76.3,10,16.4
All Students,015831,School Of Science And Technology D,015,Bexar County,20,San Antonio,532,473,475,1005,<25,<25,100,<25,36.4
All Students,015832,City Center Health Careers,015,Bexar County,20,San Antonio,390,338,303,728,<25,<25,,<25,
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,400,440,405,840,<50,<25,63.2,<25,4.2
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,554,546,528,1100,369,290,78.6,144,49.7
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,397,363,360,760,915,869,95,23,2.6
All Students,015905,Edgewood ISD,015,Bexar County,20,San Antonio,402,395,377,797,<575,<300,48.9,<25,1.8
All Students,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,515,524,499,1038,73,61,83.6,16,26.2
All Students,015907,San Antonio ISD,015,Bexar County,20,San Antonio,406,397,382,803,2613,1650,63.1,65,3.9
All Students,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,427,420,398,847,514,241,46.9,15,6.2
All Students,015909,Somerset ISD,015,Bexar County,20,San Antonio,423,406,381,829,<225,<150,58.5,<25,3.8
All Students,015910,North East ISD,015,Bexar County,20,San Antonio,511,505,483,1016,4723,3218,68.1,1030,32
All Students,015911,East Central ISD,015,Bexar County,20,San Antonio,464,450,421,914,687,350,50.9,43,12.3
All Students,015912,Southwest ISD,015,Bexar County,20,San Antonio,392,374,362,766,<825,<850,100,<50,3.8
All Students,015913,Lackland ISD,015,Bexar County,20,San Antonio,507,525,468,1033,38,11,28.9,5,45.5
All Students,015914,Ft Sam Houston ISD,015,Bexar County,20,San Antonio,497,493,478,990,89,78,87.6,19,24.4
All Students,015915,Northside ISD,015,Bexar County,20,San Antonio,492,482,460,974,6555,3915,59.7,887,22.7
All Students,015916,Judson ISD,015,Bexar County,20,San Antonio,432,420,404,852,1378,1248,90.6,130,10.4
All Students,015917,Southside ISD,015,Bexar County,20,San Antonio,408,375,353,783,<275,<275,96,<25,1.9
All Students,016901,Johnson City ISD,016,Blanco County,13,Austin,477,482,454,958,<50,<50,65.3,<25,18.8
All Students,016902,Blanco ISD,016,Blanco County,13,Austin,483,483,441,965,<75,<25,29,<25,15
All Students,018901,Clifton ISD,018,Bosque County,12,Waco,509,503,470,1012,78,34,43.6,8,23.5
All Students,018902,Meridian ISD,018,Bosque County,12,Waco,478,456,469,934,<50,<25,54.8,<25,11.8
All Students,018903,Morgan ISD,018,Bosque County,12,Waco,400,400,403,800,<25,<25,37.5,<25,
All Students,018904,Valley Mills ISD,018,Bosque County,12,Waco,433,456,427,888,<50,<50,65,<25,3.8
All Students,018905,Walnut Springs ISD,018,Bosque County,12,Waco,515,490,455,1005,<25,<25,16.7,<25,
All Students,018906,Iredell ISD,018,Bosque County,12,Waco,478,454,439,931,<25,<25,80,<25,12.5
All Students,018907,Kopperl ISD,018,Bosque County,12,Waco,467,467,448,933,<25,<25,40,<25,
All Students,018908,Cranfills Gap ISD,018,Bosque County,12,Waco,497,460,463,957,<25,<25,21.4,<25,
All Students,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,580,580,530,1160,<75,<25,3.2,<25,50
All Students,019903,Maud ISD,019,Bowie County,08,Mt Pleasant,,,,,<25,<25,4.8,<25,
All Students,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,580,567,543,1147,<125,<25,3,<25,66.7
All Students,019906,Redwater ISD,019,Bowie County,08,Mt Pleasant,645,650,575,1295,<75,<25,2.8,<25,100
All Students,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,516,525,514,1040,<450,<50,6.4,<25,28.6
All Students,019908,Liberty-Eylau ISD,019,Bowie County,08,Mt Pleasant,480,450,400,930,<175,<25,1.3,<25,
All Students,019912,Pleasant Grove ISD,019,Bowie County,08,Mt Pleasant,660,543,513,1203,<175,<25,2.6,<25,50
All Students,020901,Alvin ISD,020,Brazoria County,04,Houston,489,473,451,962,1194,558,46.7,132,23.7
All Students,020902,Angleton ISD,020,Brazoria County,04,Houston,471,461,443,932,412,215,52.2,33,15.3
All Students,020904,Danbury ISD,020,Brazoria County,04,Houston,493,460,439,953,<75,<50,63.6,<25,17.1
All Students,020905,Brazosport ISD,020,Brazoria County,04,Houston,502,486,455,988,793,324,40.9,96,29.6
All Students,020906,Sweeny ISD,020,Brazoria County,04,Houston,497,486,452,983,118,50,42.4,12,24
All Students,020907,Columbia-Brazoria ISD,020,Brazoria County,04,Houston,458,450,418,908,<200,<75,36,<25,9.5
All Students,020908,Pearland ISD,020,Brazoria County,04,Houston,534,521,502,1054,1388,824,59.4,322,39.1
All Students,021901,College Station ISD,021,Brazos County,06,Huntsville,554,527,503,1081,791,553,69.9,241,43.6
All Students,021902,Bryan ISD,021,Brazos County,06,Huntsville,477,459,434,937,867,461,53.2,88,19.1
All Students,022901,Alpine ISD,022,Brewster County,18,Midland,497,503,479,1000,59,24,40.7,8,33.3
All Students,022902,Marathon ISD,022,Brewster County,18,Midland,475,470,340,945,<25,<25,66.7,<25,
All Students,023902,Silverton ISD,023,Briscoe County,16,Amarillo,527,457,483,983,<25,<25,37.5,<25,33.3
All Students,024901,Brooks County ISD,024,Brooks County,02,Corpus Christi,,,,,<100,<25,1.1,<25,
All Students,025901,Bangs ISD,025,Brown County,15,San Angelo,500,493,493,993,<100,<25,5.3,<25,
All Students,025902,Brownwood ISD,025,Brown County,15,San Angelo,468,453,438,922,212,67,31.6,9,13.4
All Students,025904,Blanket ISD,025,Brown County,15,San Angelo,,,,,<25,<25,9.1,<25,
All Students,025905,May ISD,025,Brown County,15,San Angelo,517,507,453,1023,<25,<25,20,<25,33.3
All Students,025906,Zephyr ISD,025,Brown County,15,San Angelo,560,475,465,1035,<25,<25,15.4,<25,
All Students,025908,Brookesmith ISD,025,Brown County,15,San Angelo,440,465,405,905,<25,<25,20,<25,
All Students,025909,Early ISD,025,Brown County,15,San Angelo,535,528,497,1063,68,44,64.7,17,38.6
All Students,026901,Caldwell ISD,026,Burleson County,06,Huntsville,500,483,461,983,116,59,50.9,20,33.9
