Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,417,414,387,831,<125,<125,94.7,<25,4.6
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,502,491,462,993,<75,<75,100,<25,28.6
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,466,455,441,921,<125,<150,100,<25,17.8
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,447,451,430,898,<100,<75,81.7,<25,10.4
All Students,015831,School Of Science And Technology D,015,Bexar County,20,San Antonio,526,507,474,1033,<25,<25,100,<25,36.8
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,410,435,414,845,<50,<25,53.8,<25,
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,548,535,518,1083,380,313,82.4,143,45.7
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,391,366,361,757,963,902,93.7,25,2.8
All Students,015905,Edgewood ISD,015,Bexar County,20,San Antonio,399,393,372,791,572,273,47.7,11,4.0
All Students,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,512,518,490,1029,118,86,72.9,24,27.9
All Students,015907,San Antonio ISD,015,Bexar County,20,San Antonio,409,403,388,812,2534,1635,64.5,86,5.3
All Students,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,394,370,367,764,493,431,87.4,19,4.4
All Students,015909,Somerset ISD,015,Bexar County,20,San Antonio,390,377,368,767,<275,<250,90.4,<25,1.3
All Students,015910,North East ISD,015,Bexar County,20,San Antonio,499,495,471,994,4864,3421,70.3,948,27.7
All Students,015911,East Central ISD,015,Bexar County,20,San Antonio,457,445,417,901,703,322,45.8,38,11.8
All Students,015912,Southwest ISD,015,Bexar County,20,San Antonio,382,365,357,747,<850,<825,98.3,<50,3.4
All Students,015913,Lackland ISD,015,Bexar County,20,San Antonio,513,541,507,1058,<50,<25,40.0,<25,28.6
All Students,015914,Ft Sam Houston ISD,015,Bexar County,20,San Antonio,501,504,478,1005,92,70,76.1,19,27.1
All Students,015915,Northside ISD,015,Bexar County,20,San Antonio,449,445,424,893,6861,6402,93.3,929,14.5
All Students,015916,Judson ISD,015,Bexar County,20,San Antonio,420,407,391,826,1447,1338,92.5,98,7.3
All Students,015917,Southside ISD,015,Bexar County,20,San Antonio,395,372,358,768,<350,<350,100,<25,3.2
All Students,016901,Johnson City ISD,016,Blanco County,13,Austin,489,494,465,984,<75,<50,72.7,<25,35.0
All Students,016902,Blanco ISD,016,Blanco County,13,Austin,481,468,453,948,67,22,32.8,5,22.7
