Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,494,486,446,980,<50,<25,30.3,<25,20
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,484,479,470,963,<75,<50,47.2,<25,20.6
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,464,446,429,911,<75,<50,47.4,<25,11.1
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,483,460,433,943,<50,<25,7.5,<25,
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,488,464,438,951,176,61,34.7,11,18
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,471,463,432,935,79,47,59.5,7,14.9
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,485,493,469,977,<50,<25,51.7,<25,6.7
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,495,486,449,981,230,64,27.8,13,20.3
All Students,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,517,523,512,1040,<25,<25,42.9,<25,22.2
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,506,487,457,993,181,105,58,28,26.7
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,525,498,481,1023,523,173,33.1,55,31.8
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,505,471,451,976,<150,<50,30.1,<25,20.5
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,475,447,445,922,122,38,31.1,6,15.8
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,455,452,401,906,<50,<25,52,<25,
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,488,482,443,970,<125,<50,26.2,<25,18.5
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,496,463,438,959,199,111,55.8,24,21.6
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,497,523,462,1020,<50,<25,31.3,<25,20
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,495,494,459,989,<75,<25,25.8,<25,11.8
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,513,431,446,944,<50,<25,20,<25,
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,510,560,480,1070,<50,<25,6.7,<25,50
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,370,343,363,713,<50,<25,14.8,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,464,466,460,929,<100,<25,20.6,<25,10
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,447,453,422,900,<125,<50,25.4,<25,9.7
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,479,451,421,930,213,96,45.1,11,11.5
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,429,459,443,888,<125,<25,14,<25,14.3
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,519,476,463,995,149,76,51,21,27.6
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,497,475,439,973,183,61,33.3,14,23
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,480,475,438,955,<75,<50,47.3,<25,11.5
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,540,483,427,1023,<75,<25,4.3,<25,33.3
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,473,470,467,943,<25,<25,60,<25,25
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,518,491,467,1010,<175,<100,56.2,<50,31.9
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,483,463,442,946,569,286,50.3,55,19.2
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,477,474,454,951,249,129,51.8,23,17.8
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,514,470,454,983,133,41,30.8,10,24.4
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,,,,,<50,<25,3.7,<25,
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,511,496,478,1007,221,29,13.1,7,24.1
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,468,436,412,904,<25,<25,54.2,<25,
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,499,464,464,963,<75,<25,11.5,<25,14.3
All Students,014801,Richard Milburn Alter High School,014,Bell County,12,Waco,,,,,<50,<25,2.9,<25,
All Students,014803,Priority Charter Schools,014,Bell County,12,Waco,427,453,397,880,<25,<25,20,<25,
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,505,524,498,1029,56,36,64.3,9,25
All Students,014901,Academy ISD,014,Bell County,12,Waco,513,480,470,993,80,38,47.5,6,15.8
All Students,014902,Bartlett ISD,014,Bell County,13,Austin,455,450,385,905,<50,<25,11.8,<25,25
All Students,014903,Belton ISD,014,Bell County,12,Waco,508,494,463,1002,613,335,54.6,92,27.5
All Students,014905,Holland ISD,014,Bell County,12,Waco,471,450,456,921,<50,<25,17.5,<25,14.3
All Students,014906,Killeen ISD,014,Bell County,12,Waco,471,468,440,938,1954,990,50.7,148,14.9
All Students,014907,Rogers ISD,014,Bell County,12,Waco,509,508,474,1017,79,32,40.5,10,31.3
All Students,014908,Salado ISD,014,Bell County,12,Waco,543,510,490,1052,118,68,57.6,25,36.8
All Students,014909,Temple ISD,014,Bell County,12,Waco,507,486,465,993,<500,<225,45.2,<75,31.5
All Students,014910,Troy ISD,014,Bell County,12,Waco,496,469,446,965,83,37,44.6,8,21.6
All Students,015130,North East Isd,015,Bexar County,20,San Antonio,,,,,<25,<25,,<25,
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,453,470,401,923,<100,<25,7.4,<25,28.6
All Students,015802,George Gervin Academy,015,Bexar County,20,San Antonio,,,,,<50,<25,2.1,<25,
All Students,015803,Higgs Carter King Gifted & Talente,015,Bexar County,20,San Antonio,403,365,380,768,<25,<25,50,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,441,408,373,849,<50,<25,73.1,<25,5.3
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,452,439,423,891,<100,<25,12.4,<25,16.7
All Students,015812,George I Sanchez Charter Hs San An,015,Bexar County,20,San Antonio,,,,,<25,<25,,<25,
All Students,015815,Radiance Academy Of Learning,015,Bexar County,20,San Antonio,441,398,379,839,<50,<25,32,<25,
All Students,015816,Academy Of Careers And Technologie,015,Bexar County,20,San Antonio,420,380,330,800,<25,<25,11.8,<25,
All Students,015820,San Antonio School For Inquiry & C,015,Bexar County,20,San Antonio,503,510,470,1013,<50,<25,10,<25,25
All Students,015822,Jubilee Academic Center,015,Bexar County,20,San Antonio,418,417,393,834,<50,<50,82.5,<25,9.1
