Group,district,DistName,cntyname,RegnName,Region,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,15828,Harmony Science Acad (San Antonio),Bexar County,San Antonio,20,507,473,459,981,26.5,49,13,108.9,45
All Students,15830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,482,463,453,945,,64,<15,91.4,70
All Students,15832,City Center Health Careers,Bexar County,San Antonio,20,382,352,342,734,,5,<5,,<10
All Students,15833,Henry Ford Academy Alameda School,Bexar County,San Antonio,20,435,481,460,916,,44,<10,71,62
All Students,15901,Alamo Heights ISD,Bexar County,San Antonio,20,559,546,534,1105,48.7,300,146,84.5,355
All Students,15904,Harlandale ISD,Bexar County,San Antonio,20,415,383,365,798,4,777,31,92.3,842
All Students,15905,Edgewood ISD,Bexar County,San Antonio,20,416,383,369,799,,274,<5,49.9,549
All Students,15906,Randolph Field ISD,Bexar County,San Antonio,20,521,507,487,1028,36.1,72,26,85.7,84
All Students,15907,San Antonio ISD,Bexar County,San Antonio,20,423,396,391,819,4.4,1571,69,58.3,2693
All Students,15908,South San Antonio ISD,Bexar County,San Antonio,20,439,410,408,849,3.6,251,9,58.2,431
All Students,15909,Somerset ISD,Bexar County,San Antonio,20,420,394,388,814,,97,<5,46.2,210
All Students,15910,North East ISD,Bexar County,San Antonio,20,514,499,479,1013,30.4,3189,969,68.8,4634
All Students,15911,East Central ISD,Bexar County,San Antonio,20,466,436,414,903,15,354,53,53,668
All Students,15912,Southwest ISD,Bexar County,San Antonio,20,450,416,406,866,6.5,263,17,36.6,719
All Students,15913,Lackland ISD,Bexar County,San Antonio,20,533,496,459,1029,,13,<10,34.2,38
All Students,15914,Ft Sam Houston ISD,Bexar County,San Antonio,20,511,506,489,1017,32.8,58,19,76.3,76
All Students,15915,Northside ISD,Bexar County,San Antonio,20,495,476,455,971,23.2,3809,883,63.1,6038
All Students,15916,Judson ISD,Bexar County,San Antonio,20,460,444,425,903,11.2,876,98,65.7,1334
All Students,15917,Southside ISD,Bexar County,San Antonio,20,456,430,412,886,8.4,154,13,53.7,287
All Students,16901,Johnson City ISD,Blanco County,Austin,13,530,504,495,1034,31.3,32,10,66.7,48
All Students,16902,Blanco ISD,Blanco County,Austin,13,507,519,491,1025,29.2,24,7,32.4,74
All Students,17901,Borden County ISD,Borden County,Lubbock,17,,,,,,<5,<5,,16
All Students,18901,Clifton ISD,Bosque County,Waco,12,506,469,477,975,,30,<5,42.9,70
All Students,18902,Meridian ISD,Bosque County,Waco,12,482,474,458,956,,26,<10,68.4,38
All Students,18904,Valley Mills ISD,Bosque County,Waco,12,456,460,421,916,,25,<10,43.9,57
All Students,18905,Walnut Springs ISD,Bosque County,Waco,12,474,412,346,886,,5,<5,33.3,15
All Students,18906,Iredell ISD,Bosque County,Waco,12,445,410,418,855,,<5,<5,,<10
All Students,18907,Kopperl ISD,Bosque County,Waco,12,526,470,450,996,,5,<5,33.3,15
All Students,18908,Cranfills Gap ISD,Bosque County,Waco,12,490,403,443,893,,<5,<5,,6
All Students,19901,Dekalb ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,57
All Students,19907,Texarkana ISD,Bowie County,Mt Pleasant,8,550,547,529,1098,50,42,21,9.6,436
All Students,19908,Liberty-Eylau ISD,Bowie County,Mt Pleasant,8,550,455,465,1005,,<5,<5,,162
All Students,19909,Simms ISD,Bowie County,Mt Pleasant,8,,,,,,<5,<5,,38
All Students,19912,Pleasant Grove ISD,Bowie County,Mt Pleasant,8,584,545,549,1129,50,12,6,7.7,156
All Students,20901,Alvin ISD,Brazoria County,Houston,4,503,469,456,971,22.4,486,109,46,1056
All Students,20902,Angleton ISD,Brazoria County,Houston,4,482,463,431,945,17.9,184,33,38.9,473
All Students,20904,Danbury ISD,Brazoria County,Houston,4,510,462,442,973,,<30,<5,,51
All Students,20905,Brazosport ISD,Brazoria County,Houston,4,527,499,475,1026,33.2,328,109,43.2,759
All Students,20906,Sweeny ISD,Brazoria County,Houston,4,492,460,438,952,,65,<15,45.1,144
All Students,20907,Columbia-Brazoria ISD,Brazoria County,Houston,4,484,453,442,937,16.4,67,11,32.4,207
All Students,20908,Pearland ISD,Brazoria County,Houston,4,509,497,477,1006,27.9,720,201,54.3,1327
All Students,21804,Harmony Science Acad (College Stat,Brazos County,Huntsville,6,488,467,459,955,,10,<5,,<5
All Students,21901,College Station ISD,Brazos County,Huntsville,6,576,545,526,1120,52.7,478,252,68.9,694
All Students,21902,Bryan ISD,Brazos County,Huntsville,6,502,476,457,978,23.7,376,89,46.2,813
All Students,22004,Terlingua CSD,Brewster County,Midland,18,,,,,,<5,<5,,<10
All Students,22901,Alpine ISD,Brewster County,Midland,18,475,458,455,933,18.5,27,5,38.6,70
All Students,23902,Silverton ISD,Briscoe County,Amarillo,16,,,,,,<5,<5,,14
All Students,24901,Brooks County ISD,Brooks County,Corpus Christi,2,397,368,358,765,,53,<5,59.6,89
All Students,25901,Bangs ISD,Brown County,San Angelo,15,513,485,445,998,,10,<5,12.3,81
All Students,25902,Brownwood ISD,Brown County,San Angelo,15,500,478,472,978,19.1,89,17,44.7,199
All Students,25905,May ISD,Brown County,San Angelo,15,530,518,560,1048,,<5,<5,,11
All Students,25906,Zephyr ISD,Brown County,San Angelo,15,520,538,568,1058,,<5,<5,,19
All Students,25908,Brookesmith ISD,Brown County,San Angelo,15,,,,,,<5,<5,,8
All Students,25909,Early ISD,Brown County,San Angelo,15,519,488,485,1007,,42,<15,53.8,78
All Students,26901,Caldwell ISD,Burleson County,Huntsville,6,495,498,485,993,22.6,31,7,26.5,117
All Students,26902,Somerville ISD,Burleson County,Huntsville,6,452,399,394,851,,9,<5,23.1,39
All Students,26903,Snook ISD,Burleson County,Huntsville,6,508,464,430,972,27.3,22,6,71,31
All Students,27903,Burnet CISD,Burnet County,Austin,13,492,473,449,965,17.8,118,21,54.1,218
All Students,27904,Marble Falls ISD,Burnet County,Austin,13,499,486,460,985,27,115,31,43.2,266
All Students,28902,Lockhart ISD,Caldwell County,Austin,13,472,460,445,932,14.1,156,22,48.8,320
All Students,28903,Luling ISD,Caldwell County,Austin,13,473,442,420,916,,36,<5,46.2,78
All Students,28906,Prairie Lea ISD,Caldwell County,Austin,13,400,430,387,830,,6,<5,50,12
All Students,29901,Calhoun County ISD,Calhoun County,Victoria,3,507,456,454,963,21.1,76,16,27.8,273
All Students,30902,Clyde CISD,Callahan County,Abilene,14,508,486,464,993,23.5,34,8,38.2,89
All Students,30903,Baird ISD,Callahan County,Abilene,14,,,,,,<5,<5,,19
All Students,30906,Eula ISD,Callahan County,Abilene,14,500,510,520,1010,,<5,<5,,19
All Students,31504,University Of Texas At Brownsville,Cameron County,Edinburg,1,546,527,528,1073,45.2,42,19,,<5
All Students,31803,Harmony Science Academy - Brownsvi,Cameron County,Edinburg,1,553,478,499,1031,,9,<5,112.5,8
All Students,31901,Brownsville ISD,Cameron County,Edinburg,1,442,415,405,857,5.9,1605,94,56.7,2831
All Students,31903,Harlingen CISD,Cameron County,Edinburg,1,463,446,429,909,11.6,536,62,46.7,1148
All Students,31905,La Feria ISD,Cameron County,Edinburg,1,429,396,393,825,,56,<5,26,215
All Students,31906,Los Fresnos CISD,Cameron County,Edinburg,1,461,423,408,884,11.3,417,47,65.8,634
All Students,31909,Point Isabel ISD,Cameron County,Edinburg,1,444,421,425,865,,84,<5,58.7,143
All Students,31911,Rio Hondo ISD,Cameron County,Edinburg,1,420,379,368,800,,86,<5,65.6,131
All Students,31912,San Benito CISD,Cameron County,Edinburg,1,439,403,403,842,4.6,372,17,56.8,655
